Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,EV50,Max Exit Velocity,Fast Swing Rate %,Squared-Up Rate %,Blast Rate %,Ideal Attack Angle %,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,L30 Barrel %,L30 Pull Air %,L30 EV50,L30 xSLG on Contact,Fast Swing Source,Squared-Up Source,Blast Source,Ideal Attack Angle Source,Barrels per PA,Barrels per PA %,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,SP Statcast BBE,SP Barrel % Allowed,SP Hard Hit % Allowed,SP Fly Ball % Allowed,SP Pull Air % Allowed,SP Sweet Spot % Allowed,SP Avg EV Allowed,SP EV50 Allowed,SP Max EV Allowed,SP xSLG on Contact Allowed,SP Statcast HR Allowed,Pitch Type Matchup Score,Pitch Mix Coverage %,Weighted xSLG vs Pitch Mix,Weighted Barrel % vs Pitch Mix,Primary Pitch Matchup,Effective Batter Side,Handedness Matchup,Handedness Matchup Score,Hitter Split PA,Hitter Split AVG,Hitter Split OBP,Hitter Split SLG,Hitter Split OPS,Hitter Split HR,Hitter Split BB,Hitter Split K,Hitter HR/PA vs Hand,Hitter Barrel % vs Hand,Hitter xSLG vs Hand,Pitcher Split PA Allowed,Pitcher HR/PA Allowed vs Side,Pitcher Barrel % Allowed vs Side,Pitcher xSLG Allowed vs Side,Career BvP PA,Career BvP AB,Career BvP H,Career BvP Results,Career BvP AVG,Career BvP OBP,Career BvP SLG,Career BvP OPS,Career BvP HR,Career BvP BB,Career BvP K,Hitter vs Pitcher Matchup Score,Hitter vs Pitcher Matchup Label,Hitter vs Pitcher Matchup Band,Career BvP Component Score,Recent Pitch Mix Games,Recent Pitch Mix Source,Recent Pitch Mix Total,Recent Pitch 1 Name,Recent Pitch 1 Usage %,Recent Pitch 1 Count,Recent Pitch 2 Name,Recent Pitch 2 Usage %,Recent Pitch 2 Count,Recent Pitch 3 Name,Recent Pitch 3 Usage %,Recent Pitch 3 Count,Recent Pitch 4 Name,Recent Pitch 4 Usage %,Recent Pitch 4 Count,Recent Pitch 5 Name,Recent Pitch 5 Usage %,Recent Pitch 5 Count,Recent Pitch 6 Name,Recent Pitch 6 Usage %,Recent Pitch 6 Count,Weather Condition,Temperature F,Wind,Wind MPH,Roof Closed,Park HR Factor,Park Multiplier,Weather Multiplier,Environment Score,Pitch Fit Multiplier,Pitcher Contact Multiplier,Hitter Power Component,Hitter Power Primary Metric,Hitter Power Secondary Metric,Hitter Power Third Metric,Hitter Power Fourth Metric,Handedness Matchup Component,Pitcher Vulnerability Component,Pitch Type Component,Recent Power Component,Environment Component,Lineup Component,HR Target Score,Target Score Probability %,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
1,2026-08-27,823014,2026-08-27T18:15:00Z,Scheduled,Busch Stadium,Baltimore Orioles @ St. Louis Cardinals,Away,691723,Coby Mayo,Baltimore Orioles,St. Louis Cardinals,3B,R,No,,105,345,316,67,13,3,17,47,48,24,4,113,0.212,0.275,0.434,0.709,10,38,35,7,2,0.2,0.0526,22,75,69,18,3,0.261,0.04,425,99,9.5,30.9,54.1,23.9,22.0,16.9,29.8,55.0,33.9,9.3,6.2,9.3,39.4,83.6,22.7,0.749,74.2,97.9,115.7,54.5,17.4,14.0,45.3,54.5,Average,3.0,Pull Power,A-,Elevated power plane,54.5,Average,1.013,Good,11.1,52.9,96.2,0.876,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,34.39,17.39,Strong positive regression,Average Pull Power profile. 9.5% barrel rate; 83.6 mph average exit velocity; 29.8% air-ball rate; 55.0% pull-air rate; 9.3% HR-launch rate.,0.0493,0.0448,3.99,17,5,18.6,0.91,91.5,Near normal interval,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unknown,R,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,65.4,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,66.7,50.0,45.0,57.1,7.54,1.019,1.0,1.0,1.0,1.013,1.013,1.0,16.72,11.89,72.6,30.8,D,Probable SP unavailable; Lineup unconfirmed
2,2026-08-27,823503,2026-08-27T23:05:00Z,Scheduled,Yankee Stadium,Houston Astros @ New York Yankees,Home,671277,Luis García Jr.,New York Yankees,Houston Astros,1B,L,No,,123,453,429,123,24,5,28,59,87,22,0,74,0.287,0.32,0.562,0.882,11,46,41,14,4,0.341,0.087,23,95,88,27,6,0.307,0.0632,651,126,8.6,30.2,52.9,22.8,23.7,12.6,26.7,49.5,26.1,7.2,4.2,7.2,48.6,85.6,12.7,0.621,73.4,97.6,114.4,47.5,15.3,15.7,61.8,48.2,Average,3.0,Pull Power,A,Excellent HR swing plane,48.2,Average,0.995,Good,10.3,48.6,98.5,0.634,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,48.45,20.45,Strong positive regression,Average Pull Power profile. 8.6% barrel rate; 85.6 mph average exit velocity; 26.7% air-ball rate; 49.5% pull-air rate; 7.2% HR-launch rate.,0.0618,0.0556,4.09,0,0,15.3,0.0,0.0,Very recent HR,669713.0,Hayden Wesneski,R,LHB vs RHP,5,5,27.2,4.23,1.23,2,0.65,7.16,3.25,144.0,4.9,27.8,14.6,40.5,27.8,84.3,96.7,109.2,0.474,2.0,79.7,99.8,0.841,12.3,Sweeper,L,LHB vs RHP,54.2,380,0.297,0.329,0.589,0.918,24,18,62,0.0632,8.1,0.656,58,0.0345,8.9,0.529,3,3,1,1/3,0.333,0.333,0.333,0.666,0,0,0,61.5,Slight Hitter Advantage,Above average,46.0,5,Pitch-level Statcast · last 5 MLB games,412,Sweeper,30.825242718446603,127.0,4-Seam Fastball,25.0,103.0,Sinker,18.932038834951456,78.0,Cutter,13.592233009708737,56.0,Changeup,11.16504854368932,46.0,Curveball,0.4854368932038835,2.0,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.059,0.974,61.2,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,54.2,32.9,79.7,66.3,64.4,45.0,57.1,7.52,1.149,0.972,1.025,1.03,0.995,1.025,0.98,20.85,15.86,84.6,40.7,D+,Lineup unconfirmed
3,2026-08-27,822694,2026-08-27T17:05:00Z,Scheduled,Nationals Park,Colorado Rockies @ Washington Nationals,Away,696100,Hunter Goodman,Colorado Rockies,Washington Nationals,C,R,No,,113,470,424,107,16,1,36,72,72,39,4,154,0.252,0.319,0.55,0.869,2,10,10,3,2,0.3,0.2,14,57,53,12,5,0.226,0.0877,558,66,8.9,28.1,48.7,25.6,25.2,18.3,27.6,50.4,27.2,7.4,4.5,7.4,69.8,83.2,22.5,0.728,73.4,96.2,114.8,42.8,12.0,10.0,64.5,46.8,Below Average,3.0,Pull Power,A-,Elevated power plane,46.8,Below Average,0.991,Good,9.1,44.4,94.9,0.693,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,40.84,4.84,Strong positive regression,Below Average Pull Power profile. 8.9% barrel rate; 83.2 mph average exit velocity; 27.6% air-ball rate; 50.4% pull-air rate; 7.4% HR-launch rate.,0.0766,0.0675,4.15,0,0,11.8,0.0,0.0,Very recent HR,663623.0,Jake Irvin,R,RHB vs RHP,16,16,77.1,5.82,1.36,14,1.63,8.84,3.84,458.0,6.6,27.1,14.8,42.4,29.7,82.6,95.2,114.9,0.626,14.0,65.8,100.0,0.759,9.5,4-Seam Fastball,R,RHB vs RHP,62.3,316,0.24,0.301,0.552,0.853,26,22,100,0.0823,9.0,0.735,126,0.0476,4.9,0.574,8,8,2,2/8,0.25,0.25,0.625,0.875,1,0,3,62.7,Slight Hitter Advantage,Above average,58.2,5,Pitch-level Statcast · last 5 MLB games,434,4-Seam Fastball,29.723502304147466,129.0,Curveball,17.972350230414747,78.0,Changeup,15.668202764976959,68.0,Sweeper,13.133640552995391,57.0,Cutter,13.133640552995391,57.0,Sinker,10.368663594470046,45.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.032,0.991,64.9,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,62.3,44.0,65.8,52.4,50.0,45.0,56.8,7.43,1.054,1.085,0.985,1.03,0.991,1.021,0.98,25.18,16.92,81.6,41.8,D+,Lineup unconfirmed
4,2026-08-27,823503,2026-08-27T23:05:00Z,Scheduled,Yankee Stadium,Houston Astros @ New York Yankees,Away,670541,Yordan Alvarez,Houston Astros,New York Yankees,DH,L,No,,131,575,472,152,28,1,36,88,91,91,8,99,0.322,0.437,0.614,1.051,11,45,37,12,1,0.324,0.0222,24,106,84,26,1,0.31,0.0094,701,113,8.1,32.0,49.0,16.6,34.0,20.2,36.9,44.9,33.8,8.0,4.8,8.0,40.8,86.1,22.6,0.75,74.9,98.8,118.5,56.7,16.9,17.5,40.2,52.1,Average,3.0,Pull Power,A-,Elevated power plane,52.1,Average,1.006,Good,5.3,44.4,98.6,0.568,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,50.19,14.19,Strong positive regression,Average Pull Power profile. 8.1% barrel rate; 86.1 mph average exit velocity; 36.9% air-ball rate; 44.9% pull-air rate; 8.0% HR-launch rate.,0.0626,0.0573,4.31,33,10,13.1,2.52,251.7,Very long drought,543037.0,Gerrit Cole,R,LHB vs RHP,16,16,92.2,3.11,1.07,12,1.17,9.71,1.94,491.0,4.3,25.3,14.7,43.4,30.1,84.2,94.9,114.4,0.513,12.0,78.0,97.9,0.897,11.0,4-Seam Fastball,L,LHB vs RHP,56.0,419,0.343,0.473,0.66,1.132,27,78,72,0.0644,9.8,0.869,239,0.0418,3.4,0.503,7,7,2,2/7,0.286,0.286,1.143,1.429,2,0,4,66.0,Slight Hitter Advantage,Above average,67.5,5,Pitch-level Statcast · last 5 MLB games,460,4-Seam Fastball,56.30434782608695,259.0,Slider,19.565217391304348,90.0,Knuckle Curve,12.173913043478262,56.0,Changeup,11.956521739130435,55.0,,,,,,,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.056,0.968,64.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,56.0,31.7,78.0,51.5,64.4,45.0,56.4,7.3,0.766,1.011,1.025,1.08,1.006,1.086,1.06,22.46,14.21,85.0,48.6,C,Lineup unconfirmed
5,2026-08-27,823581,2026-08-27T23:10:00Z,Scheduled,Citi Field,Milwaukee Brewers @ New York Mets,Away,641343,Jake Bauers,Milwaukee Brewers,New York Mets,1B,L,No,,119,476,401,109,19,2,23,76,75,70,3,122,0.272,0.382,0.501,0.883,10,41,32,10,2,0.312,0.0488,22,95,76,23,5,0.303,0.0526,540,112,8.7,31.6,50.2,16.3,32.2,16.6,30.3,44.1,35.4,9.0,4.2,9.0,50.0,85.0,17.0,0.72,74.2,97.8,113.0,61.3,15.7,17.9,47.6,50.6,Average,3.0,Pull Power,A,Excellent HR swing plane,50.6,Average,1.002,Good,8.9,47.2,97.0,0.775,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,40.38,17.38,Strong positive regression,Average Pull Power profile. 8.7% barrel rate; 85.0 mph average exit velocity; 30.3% air-ball rate; 44.1% pull-air rate; 9.0% HR-launch rate.,0.0483,0.045,4.23,6,2,17.4,0.34,34.4,Very recent HR,640455.0,Sean Manaea,L,LHB vs LHP,27,13,117.0,4.31,1.31,19,1.46,9.0,3.0,712.0,5.6,22.8,14.6,50.5,31.3,80.9,93.9,114.6,0.598,19.0,69.0,100.0,0.754,11.3,4-Seam Fastball,L,LHB vs LHP,46.8,125,0.28,0.376,0.542,0.918,6,17,28,0.048,9.0,0.616,163,0.0307,4.9,0.603,0,0,0,0/0,,,,,0,0,0,55.2,Neutral Matchup,Average,50.0,5,Pitch-level Statcast · last 5 MLB games,466,4-Seam Fastball,50.64377682403433,236.0,Sweeper,30.042918454935624,140.0,Sinker,14.592274678111588,68.0,Cutter,2.7896995708154506,13.0,Changeup,1.9313304721030042,9.0,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.038,0.981,57.9,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,46.8,43.0,69.0,58.9,50.0,45.0,55.0,6.8,1.049,1.058,0.985,1.0,1.002,1.002,0.98,17.71,12.38,84.6,35.2,D,Lineup unconfirmed
6,2026-08-27,822771,2026-08-27T23:07:00Z,Scheduled,Rogers Centre,Kansas City Royals @ Toronto Blue Jays,Away,695506,Jac Caglianone,Kansas City Royals,Toronto Blue Jays,RF,L,No,,122,473,438,120,23,2,22,59,60,29,5,124,0.274,0.326,0.486,0.812,9,34,32,11,1,0.344,0.0294,23,92,89,33,6,0.371,0.0652,600,122,8.4,36.6,52.7,25.2,22.1,12.5,26.9,50.0,29.9,5.8,3.8,5.8,49.0,87.1,12.1,0.721,75.1,100.9,115.8,68.1,15.4,22.9,41.7,55.5,Average,3.0,Pull Power,A,Excellent HR swing plane,55.5,Average,1.015,Good,8.2,55.9,102.1,0.738,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,44.17,22.17,Strong positive regression,Average Pull Power profile. 8.4% barrel rate; 87.1 mph average exit velocity; 26.9% air-ball rate; 50.0% pull-air rate; 5.8% HR-launch rate.,0.0465,0.0436,4.15,28,8,19.9,1.41,140.6,Above normal drought,681293.0,Spencer Arrighetti,R,LHB vs RHP,18,17,91.1,4.73,1.35,13,1.28,8.97,5.12,462.0,4.8,20.6,16.0,43.5,32.7,82.0,93.7,109.4,0.548,13.0,60.1,99.9,0.727,8.2,Curveball,L,LHB vs RHP,54.1,326,0.28,0.344,0.5,0.844,15,28,81,0.046,9.8,0.758,235,0.0383,5.3,0.616,3,3,1,1/3,0.333,0.333,0.333,0.666,0,0,2,54.6,Neutral Matchup,Average,46.0,5,Pitch-level Statcast · last 5 MLB games,346,Curveball,33.8150289017341,117.0,4-Seam Fastball,30.63583815028902,106.0,Sinker,12.138728323699421,42.0,Sweeper,10.982658959537572,38.0,Cutter,8.092485549132949,28.0,Changeup,4.335260115606936,15.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.02,0.973,65.6,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,54.1,33.5,60.1,71.9,50.0,45.0,54.8,6.76,1.018,1.029,1.025,1.0,1.015,1.015,1.035,16.88,12.15,84.4,36.7,D+,Lineup unconfirmed
7,2026-08-27,822694,2026-08-27T17:05:00Z,Scheduled,Nationals Park,Colorado Rockies @ Washington Nationals,Home,665953,Andrés Chaparro,Washington Nationals,Colorado Rockies,1B,R,No,,61,154,131,33,11,0,9,27,33,18,5,34,0.252,0.364,0.542,0.906,9,29,25,9,3,0.36,0.1034,22,65,55,16,4,0.291,0.0615,177,75,8.3,34.2,51.1,31.6,17.3,15.3,24.0,55.1,26.8,8.6,6.2,8.6,52.2,84.7,19.2,0.613,72.1,98.1,112.1,44.9,14.6,16.4,52.2,50.5,Average,3.0,Pull Power,A,Excellent HR swing plane,50.5,Average,1.001,Good,8.0,50.0,98.5,0.517,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,13.14,4.14,Strong positive regression,Average Pull Power profile. 8.3% barrel rate; 84.7 mph average exit velocity; 24.0% air-ball rate; 55.1% pull-air rate; 8.6% HR-launch rate.,0.0584,0.0469,4.17,0,0,14.6,0.0,0.0,Very recent HR,687312.0,Gabriel Hughes,R,RHB vs RHP,9,8,42.2,6.54,1.36,4,0.84,7.38,3.16,260.0,2.7,19.2,12.7,49.3,29.6,82.5,93.3,109.0,0.44,4.0,78.5,100.0,0.865,11.2,4-Seam Fastball,R,RHB vs RHP,48.9,39,0.343,0.41,0.686,1.096,3,2,8,0.0769,9.3,0.594,63,0.0317,3.5,0.499,0,0,0,0/0,,,,,0,0,0,59.5,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,408,4-Seam Fastball,52.205882352941174,213.0,Curveball,13.235294117647058,54.0,Changeup,11.519607843137255,47.0,Sinker,10.53921568627451,43.0,Sweeper,6.617647058823529,27.0,Slider,5.882352941176471,24.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.057,0.952,59.5,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,48.9,30.3,78.5,62.4,50.0,45.0,54.0,6.51,1.32,0.975,0.985,1.03,1.001,1.031,0.98,18.14,13.88,68.2,35.6,D,Lineup unconfirmed
8,2026-08-27,823014,2026-08-27T18:15:00Z,Scheduled,Busch Stadium,Baltimore Orioles @ St. Louis Cardinals,Away,687952,Christian Encarnacion-Strand,Baltimore Orioles,St. Louis Cardinals,3B,R,No,,31,114,106,28,6,0,7,11,27,5,1,30,0.264,0.301,0.519,0.82,11,45,43,12,3,0.279,0.0667,24,84,79,18,4,0.228,0.0476,172,121,7.9,20.8,48.9,25.6,25.4,12.4,24.5,56.6,31.1,7.2,4.5,7.2,48.1,82.8,20.8,0.761,72.1,94.3,111.8,35.6,10.9,6.9,52.4,43.1,Below Average,2.5,Pull Power,A-,Elevated power plane,43.1,Below Average,0.981,Good,7.4,60.0,94.2,0.753,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,11.67,4.67,Strong positive regression,Below Average Pull Power profile. 7.9% barrel rate; 82.8 mph average exit velocity; 24.5% air-ball rate; 56.6% pull-air rate; 7.2% HR-launch rate.,0.0614,0.0463,4.15,5,1,15.1,0.33,33.0,Very recent HR,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unknown,R,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,59.1,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,54.5,50.0,45.0,53.7,6.41,1.102,1.0,1.0,1.0,0.981,0.981,0.98,17.87,12.0,56.9,29.7,F,Probable SP unavailable; Lineup unconfirmed
9,2026-08-27,823014,2026-08-27T18:15:00Z,Scheduled,Busch Stadium,Baltimore Orioles @ St. Louis Cardinals,Away,624413,Pete Alonso,Baltimore Orioles,St. Louis Cardinals,1B,R,No,,133,576,500,138,24,0,32,82,91,64,8,136,0.276,0.365,0.516,0.881,12,52,48,21,6,0.438,0.1154,25,106,96,37,10,0.385,0.0943,739,146,9.2,34.3,38.1,28.7,33.0,15.5,26.8,38.0,32.2,9.2,4.6,9.2,52.7,86.9,19.6,0.828,73.0,99.1,113.4,43.7,15.8,13.7,52.3,50.6,Average,3.0,Contact-First Profile,A,Excellent HR swing plane,50.6,Average,1.002,Good,11.0,41.0,99.8,0.952,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,58.85,26.85,Strong positive regression,Average Contact-First Profile profile. 9.2% barrel rate; 86.9 mph average exit velocity; 26.8% air-ball rate; 38.0% pull-air rate; 9.2% HR-launch rate.,0.0556,0.0515,4.15,0,0,15.6,0.0,0.0,Very recent HR,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unknown,R,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,56.6,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,63.2,50.0,45.0,53.5,6.35,1.35,1.0,1.0,1.0,1.002,1.002,0.98,19.7,14.93,75.0,37.9,D+,Probable SP unavailable; Lineup unconfirmed
10,2026-08-27,822694,2026-08-27T17:05:00Z,Scheduled,Nationals Park,Colorado Rockies @ Washington Nationals,Away,666160,Mickey Moniak,Colorado Rockies,Washington Nationals,LF,L,No,,94,358,328,83,15,4,21,45,60,20,3,94,0.253,0.296,0.515,0.811,11,48,44,6,2,0.136,0.0417,24,98,88,16,4,0.182,0.0408,482,126,6.1,27.0,55.0,19.3,25.7,19.6,28.9,52.8,27.9,6.5,3.0,6.5,64.7,83.3,20.9,0.525,73.1,95.7,109.2,42.6,11.9,13.2,47.9,39.8,Below Average,2.5,Pull Power,A-,Elevated power plane,39.8,Below Average,0.971,Good,4.8,43.2,95.4,0.45,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,27.1,6.1,Strong positive regression,Below Average Pull Power profile. 6.1% barrel rate; 83.3 mph average exit velocity; 28.9% air-ball rate; 52.8% pull-air rate; 6.5% HR-launch rate.,0.0587,0.052,4.15,17,4,15.6,1.09,108.8,Near normal interval,663623.0,Jake Irvin,R,LHB vs RHP,16,16,77.1,5.82,1.36,14,1.63,8.84,3.84,458.0,6.6,27.1,14.8,42.4,29.7,82.6,95.2,114.9,0.626,14.0,68.7,100.0,0.792,9.2,4-Seam Fastball,L,LHB vs RHP,54.3,279,0.273,0.315,0.566,0.882,18,17,64,0.0645,7.3,0.595,213,0.0376,7.7,0.659,5,5,1,1/5,0.2,0.2,0.6,0.8,0,0,2,57.8,Neutral Matchup,Average,46.9,5,Pitch-level Statcast · last 5 MLB games,434,4-Seam Fastball,29.723502304147466,129.0,Curveball,17.972350230414747,78.0,Changeup,15.668202764976959,68.0,Sweeper,13.133640552995391,57.0,Cutter,13.133640552995391,57.0,Sinker,10.368663594470046,45.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.037,0.991,55.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,54.3,44.0,68.7,42.8,50.0,45.0,52.8,6.16,0.918,1.085,1.025,1.0,0.971,0.971,1.0,19.87,12.48,84.8,35.8,D,Lineup unconfirmed
