Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,EV50,Max Exit Velocity,Fast Swing Rate %,Squared-Up Rate %,Blast Rate %,Ideal Attack Angle %,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,L30 Barrel %,L30 Pull Air %,L30 EV50,L30 xSLG on Contact,Fast Swing Source,Squared-Up Source,Blast Source,Ideal Attack Angle Source,Barrels per PA,Barrels per PA %,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,SP Statcast BBE,SP Barrel % Allowed,SP Hard Hit % Allowed,SP Fly Ball % Allowed,SP Pull Air % Allowed,SP Sweet Spot % Allowed,SP Avg EV Allowed,SP EV50 Allowed,SP Max EV Allowed,SP xSLG on Contact Allowed,SP Statcast HR Allowed,Pitch Type Matchup Score,Pitch Mix Coverage %,Weighted xSLG vs Pitch Mix,Weighted Barrel % vs Pitch Mix,Primary Pitch Matchup,Effective Batter Side,Handedness Matchup,Handedness Matchup Score,Hitter Split PA,Hitter Split AVG,Hitter Split OBP,Hitter Split SLG,Hitter Split OPS,Hitter Split HR,Hitter Split BB,Hitter Split K,Hitter HR/PA vs Hand,Hitter Barrel % vs Hand,Hitter xSLG vs Hand,Pitcher Split PA Allowed,Pitcher HR/PA Allowed vs Side,Pitcher Barrel % Allowed vs Side,Pitcher xSLG Allowed vs Side,Career BvP PA,Career BvP AB,Career BvP H,Career BvP Results,Career BvP AVG,Career BvP OBP,Career BvP SLG,Career BvP OPS,Career BvP HR,Career BvP BB,Career BvP K,Hitter vs Pitcher Matchup Score,Hitter vs Pitcher Matchup Label,Hitter vs Pitcher Matchup Band,Career BvP Component Score,Recent Pitch Mix Games,Recent Pitch Mix Source,Recent Pitch Mix Total,Recent Pitch 1 Name,Recent Pitch 1 Usage %,Recent Pitch 1 Count,Recent Pitch 2 Name,Recent Pitch 2 Usage %,Recent Pitch 2 Count,Recent Pitch 3 Name,Recent Pitch 3 Usage %,Recent Pitch 3 Count,Recent Pitch 4 Name,Recent Pitch 4 Usage %,Recent Pitch 4 Count,Recent Pitch 5 Name,Recent Pitch 5 Usage %,Recent Pitch 5 Count,Recent Pitch 6 Name,Recent Pitch 6 Usage %,Recent Pitch 6 Count,Recent Pitch 7 Name,Recent Pitch 7 Usage %,Recent Pitch 7 Count,Weather Condition,Temperature F,Wind,Wind MPH,Roof Closed,Park HR Factor,Park Multiplier,Weather Multiplier,Environment Score,Pitch Fit Multiplier,Pitcher Contact Multiplier,Hitter Power Component,Hitter Power Primary Metric,Hitter Power Secondary Metric,Hitter Power Third Metric,Hitter Power Fourth Metric,Handedness Matchup Component,Pitcher Vulnerability Component,Pitch Type Component,Recent Power Component,Environment Component,Lineup Component,HR Target Score,Target Score Probability %,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality,Recent Pitch 8 Name,Recent Pitch 8 Usage %,Recent Pitch 8 Count
1,2026-09-05,823419,2026-09-05T22:05:00Z,Scheduled,Citizens Bank Park,Atlanta Braves @ Philadelphia Phillies,Home,656941,Kyle Schwarber,Philadelphia Phillies,Atlanta Braves,DH,L,No,,135,605,505,120,17,1,40,81,83,87,6,199,0.238,0.353,0.513,0.866,11,50,44,7,2,0.159,0.04,25,117,98,21,7,0.214,0.0598,672,124,10.6,31.2,63.3,19.8,16.7,15.5,27.7,60.2,30.0,10.1,7.0,10.1,55.2,86.1,19.6,0.776,74.4,98.2,113.4,68.0,15.4,16.2,64.5,57.4,Average,3.5,Pull Power,A,Excellent HR swing plane,57.4,Average,1.021,Good,11.3,62.9,97.5,0.714,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,63.14,23.14,Strong positive regression,Average Pull Power profile. 10.6% barrel rate; 86.1 mph average exit velocity; 27.7% air-ball rate; 60.2% pull-air rate; 10.1% HR-launch rate.,0.0661,0.0605,4.09,27,7,12.6,2.14,213.9,Very long drought,527048,Martín Pérez,L,LHB vs LHP,26,22,121.0,3.05,1.21,12,0.89,6.77,3.72,588,3.6,26.5,12.2,48.8,29.3,82.1,95.7,116.9,0.496,12,78.5,99.9,0.905,11.2,Sinker,L,LHB vs LHP,51.0,217,0.269,0.382,0.516,0.899,12,30,62,0.0553,7.7,0.77,143,0.035,3.5,0.568,15,13,2,2/13,0.154,0.267,0.154,0.421,0,1,5,52.9,Neutral Matchup,Average,12.5,5,Pitch-level Statcast · last 5 MLB games,379,Sinker,38.78627968337731,147,Changeup,34.03693931398417,129,Cutter,16.094986807387862,61,Curveball,7.387862796833773,28,4-Seam Fastball,3.6939313984168867,14.0,,,,,,,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.057,0.961,64.8,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,51.0,34.6,78.5,69.7,64.4,45.0,58.9,8.29,0.924,0.966,0.985,1.0,1.021,1.021,1.06,22.52,15.09,85.0,45.6,C-,Lineup unconfirmed,,,
2,2026-09-05,824066,2026-09-05T23:10:00Z,Scheduled,Kauffman Stadium,Toronto Blue Jays @ Kansas City Royals,Home,695506,Jac Caglianone,Kansas City Royals,Toronto Blue Jays,RF,L,No,,130,509,473,133,27,2,23,66,69,30,5,131,0.281,0.33,0.493,0.823,9,40,39,13,1,0.333,0.025,23,95,91,36,5,0.396,0.0526,642,120,8.3,35.4,56.6,20.9,22.6,13.5,28.4,53.5,29.5,5.8,3.5,5.8,45.7,86.7,11.2,0.709,74.8,100.4,115.5,66.0,13.9,20.9,41.7,54.0,Average,3.0,Pull Power,A,Excellent HR swing plane,54.0,Average,1.011,Good,8.3,62.2,100.8,0.722,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,47.02,24.02,Strong positive regression,Average Pull Power profile. 8.3% barrel rate; 86.7 mph average exit velocity; 28.4% air-ball rate; 53.5% pull-air rate; 5.8% HR-launch rate.,0.0452,0.0427,4.09,29,7,20.6,1.41,141.0,Above normal drought,453286,Max Scherzer,R,LHB vs RHP,13,13,57.0,6.16,1.39,12,1.89,7.26,4.11,388,5.2,19.1,14.4,52.2,30.4,80.8,93.0,111.5,0.506,12,75.5,99.9,0.836,10.4,4-Seam Fastball,L,LHB vs RHP,50.8,352,0.293,0.352,0.514,0.866,16,29,86,0.0455,9.6,0.747,161,0.0435,5.4,0.484,1,1,0,0/1,0.0,0.0,0.0,0.0,0,0,1,58.8,Slight Hitter Advantage,Above average,47.5,5,Pitch-level Statcast · last 5 MLB games,438,4-Seam Fastball,46.57534246575342,204,Slider,18.036529680365298,79,Changeup,15.296803652968036,67,Curveball,15.068493150684931,66,Cutter,5.0228310502283104,22.0,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.051,0.977,65.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.8,37.1,75.5,69.7,50.0,45.0,58.0,7.91,0.951,1.103,1.025,1.0,1.011,1.011,1.035,16.34,12.75,84.6,37.9,D+,Lineup unconfirmed,,,
3,2026-09-05,823335,2026-09-05T22:40:00Z,Scheduled,PNC Park,Los Angeles Angels @ Pittsburgh Pirates,Home,804668,Rafael Flores Jr.,Pittsburgh Pirates,Los Angeles Angels,C,R,No,,31,101,90,19,3,0,7,12,17,11,0,31,0.211,0.297,0.478,0.775,10,37,34,4,1,0.118,0.027,21,76,70,15,6,0.214,0.0789,110,84,8.2,25.1,51.0,30.4,18.6,19.4,24.6,51.1,27.3,8.8,6.8,8.8,80.6,83.5,18.8,0.723,71.9,94.7,110.0,36.0,11.8,8.6,58.0,44.8,Below Average,3.0,Pull Power,A,Excellent HR swing plane,44.8,Below Average,0.985,Good,8.3,50.0,94.8,0.737,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,7.86,0.86,Near expected,Below Average Pull Power profile. 8.2% barrel rate; 83.5 mph average exit velocity; 24.6% air-ball rate; 51.1% pull-air rate; 8.8% HR-launch rate.,0.0693,0.049,3.99,13,4,12.9,1.01,101.1,Near normal interval,579328,Yusei Kikuchi,L,RHB vs LHP,9,9,43.0,5.65,1.49,7,1.47,9.0,3.35,252,5.6,28.6,11.9,55.2,33.3,84.5,96.9,116.2,0.622,7,77.9,80.3,0.927,10.9,4-Seam Fastball,R,RHB vs LHP,58.2,52,0.222,0.327,0.489,0.816,4,7,16,0.0769,10.0,0.739,144,0.0417,5.7,0.654,0,0,0,0/0,,,,,0,0,0,63.5,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,392,4-Seam Fastball,50.51020408163265,198,Slider,21.428571428571427,84,Split-Finger,17.091836734693878,67,Curveball,10.96938775510204,43,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.056,0.981,59.7,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,58.2,47.1,77.9,55.8,50.0,45.0,58.0,7.9,1.011,1.036,1.025,1.0,0.985,0.985,1.0,18.18,13.25,65.3,33.4,D,Lineup unconfirmed,,,
4,2026-09-05,824310,2026-09-06T00:10:00Z,Scheduled,Coors Field,St. Louis Cardinals @ Colorado Rockies,Home,696100,Hunter Goodman,Colorado Rockies,St. Louis Cardinals,C,R,No,,121,502,452,113,18,1,36,75,74,42,4,164,0.25,0.317,0.533,0.85,10,42,38,9,2,0.237,0.0476,16,65,59,13,3,0.22,0.0462,600,76,8.3,28.8,50.7,23.9,25.0,16.1,24.8,47.8,25.0,7.5,4.8,7.5,63.4,83.9,21.6,0.708,73.6,96.8,114.8,45.2,11.3,10.5,64.1,45.8,Below Average,3.0,Pull Power,A-,Elevated power plane,45.8,Below Average,0.988,Good,7.9,37.5,96.7,0.671,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,42.05,6.05,Strong positive regression,Below Average Pull Power profile. 8.3% barrel rate; 83.9 mph average exit velocity; 24.8% air-ball rate; 47.8% pull-air rate; 7.5% HR-launch rate.,0.0717,0.0641,4.09,28,8,12.6,2.23,223.0,Very long drought,669461,Matthew Liberatore,L,RHB vs LHP,27,27,134.2,5.41,1.47,25,1.67,9.42,3.14,756,6.0,27.2,15.7,43.6,31.9,83.9,96.1,112.2,0.617,25,67.6,99.9,0.778,9.4,4-Seam Fastball,R,RHB vs LHP,54.9,163,0.273,0.356,0.517,0.873,9,19,59,0.0552,7.5,0.749,445,0.0404,5.9,0.622,5,5,2,2/5,0.4,0.4,1.0,1.4,1,0,1,60.9,Slight Hitter Advantage,Above average,62.5,5,Pitch-level Statcast · last 5 MLB games,487,Slider,32.4435318275154,158,4-Seam Fastball,27.720739219712527,135,Curveball,19.50718685831622,95,Changeup,9.856262833675565,48,Sinker,5.95482546201232,29.0,Cutter,3.490759753593429,17.0,Sweeper,1.0266940451745379,5.0,Unknown,,Unknown,,No,118.0,1.18,1.0,82.4,1.035,0.985,60.9,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,54.9,43.3,67.6,46.9,82.4,45.0,57.6,7.72,0.893,1.091,1.025,1.03,0.988,1.018,1.06,23.72,17.68,82.2,49.6,C,Lineup unconfirmed,,,
5,2026-09-05,824553,2026-09-05T23:10:00Z,Scheduled,Rate Field,Minnesota Twins @ Chicago White Sox,Home,808959,Munetaka Murakami,Chicago White Sox,Minnesota Twins,1B,L,No,,106,464,380,80,14,0,29,72,59,81,2,158,0.211,0.351,0.476,0.827,12,53,42,4,0,0.095,0.0,27,118,96,13,5,0.135,0.0424,421,100,11.4,32.8,52.3,26.4,20.7,18.9,26.3,54.2,27.0,7.7,3.9,7.7,54.4,86.2,21.1,0.781,72.6,99.0,113.9,46.4,11.5,9.3,44.0,52.2,Average,3.0,Pull Power,A-,Elevated power plane,52.2,Average,1.006,Good,11.0,65.2,98.0,0.718,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,39.95,10.95,Strong positive regression,Average Pull Power profile. 11.4% barrel rate; 86.2 mph average exit velocity; 26.3% air-ball rate; 54.2% pull-air rate; 7.7% HR-launch rate.,0.0625,0.0562,4.09,59,16,13.1,4.5,450.3,Very long drought,671737,Taj Bradley,R,LHB vs RHP,27,27,154.1,3.85,1.26,21,1.22,10.38,3.85,851,4.7,24.8,14.5,40.9,33.4,84.0,95.1,112.7,0.545,21,66.6,100.0,0.775,9.1,4-Seam Fastball,L,LHB vs RHP,66.2,320,0.224,0.362,0.525,0.887,23,55,106,0.0719,13.3,0.835,384,0.0391,6.9,0.568,0,0,0,0/0,,,,,0,0,0,63.1,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,477,4-Seam Fastball,47.58909853249476,227,Cutter,23.68972746331237,113,Split-Finger,15.723270440251572,75,Curveball,9.014675052410901,43,Sinker,3.9832285115303985,19.0,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.033,0.972,70.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,66.2,33.1,66.6,70.0,50.0,45.0,57.4,7.65,0.813,1.019,1.025,1.0,1.006,1.006,1.06,21.08,12.9,85.0,43.2,C-,Lineup unconfirmed,,,
6,2026-09-05,823335,2026-09-05T22:40:00Z,Scheduled,PNC Park,Los Angeles Angels @ Pittsburgh Pirates,Home,665833,Oneil Cruz,Pittsburgh Pirates,Los Angeles Angels,CF,L,No,,79,347,303,81,11,1,17,54,58,41,3,120,0.267,0.36,0.479,0.839,11,48,40,11,1,0.275,0.0208,15,64,53,15,3,0.283,0.0469,350,64,9.6,28.8,51.7,24.7,22.9,12.0,23.5,50.6,27.1,7.0,4.1,7.0,50.0,84.1,12.4,0.786,75.8,97.8,117.2,66.6,12.0,11.9,36.8,49.3,Average,3.0,Pull Power,A,Excellent HR swing plane,49.3,Average,0.998,Good,9.4,53.8,93.6,0.757,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,27.45,10.45,Strong positive regression,Average Pull Power profile. 9.6% barrel rate; 84.1 mph average exit velocity; 23.5% air-ball rate; 50.6% pull-air rate; 7.0% HR-launch rate.,0.049,0.0446,4.09,30,8,17.8,1.68,168.3,Above normal drought,579328,Yusei Kikuchi,L,LHB vs LHP,9,9,43.0,5.65,1.49,7,1.47,9.0,3.35,252,5.6,28.6,11.9,55.2,33.3,84.5,96.9,116.2,0.622,7,58.7,100.0,0.732,7.3,4-Seam Fastball,L,LHB vs LHP,51.9,106,0.306,0.358,0.49,0.848,4,7,43,0.0377,10.3,0.799,48,0.0208,5.1,0.525,2,2,1,1/2,0.5,0.5,1.5,2.0,0,0,1,54.4,Neutral Matchup,Average,52.5,5,Pitch-level Statcast · last 5 MLB games,392,4-Seam Fastball,50.51020408163265,198,Slider,21.428571428571427,84,Split-Finger,17.091836734693878,67,Curveball,10.96938775510204,43,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.017,0.981,65.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,51.9,47.1,58.7,57.6,50.0,45.0,57.0,7.51,0.892,1.036,0.985,1.0,0.998,0.998,1.035,17.03,11.35,81.9,36.7,D+,Lineup unconfirmed,,,
7,2026-09-05,823335,2026-09-05T22:40:00Z,Scheduled,PNC Park,Los Angeles Angels @ Pittsburgh Pirates,Home,699013,Esmerlyn Valdez,Pittsburgh Pirates,Los Angeles Angels,RF,R,No,,67,269,226,54,13,1,16,38,45,39,1,103,0.239,0.349,0.518,0.867,7,30,27,4,2,0.148,0.0667,20,85,73,16,2,0.219,0.0235,270,89,7.8,26.5,44.4,28.4,27.2,16.6,27.2,46.2,29.3,9.7,6.5,9.7,57.5,84.1,14.5,0.737,72.8,95.8,112.3,48.2,12.4,10.7,52.1,45.9,Below Average,3.0,Pull Power,A,Excellent HR swing plane,45.9,Below Average,0.989,Good,4.5,50.0,94.8,0.629,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,18.82,2.82,Positive regression,Below Average Pull Power profile. 7.8% barrel rate; 84.1 mph average exit velocity; 27.2% air-ball rate; 46.2% pull-air rate; 9.7% HR-launch rate.,0.0595,0.051,4.09,9,2,14.1,0.64,63.7,Recently homered,579328,Yusei Kikuchi,L,RHB vs LHP,9,9,43.0,5.65,1.49,7,1.47,9.0,3.35,252,5.6,28.6,11.9,55.2,33.3,84.5,96.9,116.2,0.622,7,68.0,100.0,0.706,13.2,4-Seam Fastball,R,RHB vs LHP,69.0,103,0.25,0.388,0.679,1.067,9,19,35,0.0874,11.0,0.854,144,0.0417,5.7,0.654,0,0,0,0/0,,,,,0,0,0,64.9,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,392,4-Seam Fastball,50.51020408163265,198,Slider,21.428571428571427,84,Split-Finger,17.091836734693878,67,Curveball,10.96938775510204,43,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.036,0.981,62.1,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,69.0,47.1,68.0,47.2,50.0,45.0,56.6,7.34,0.971,1.036,1.025,1.0,0.989,0.989,1.0,19.27,12.99,78.0,35.0,D,Lineup unconfirmed,,,
8,2026-09-05,824145,2026-09-05T23:15:00Z,Scheduled,Daikin Park,Arizona Diamondbacks @ Houston Astros,Home,670541,Yordan Alvarez,Houston Astros,Arizona Diamondbacks,DH,L,No,,140,613,501,159,29,1,37,93,94,97,10,106,0.317,0.434,0.601,1.035,12,52,40,12,1,0.3,0.0192,26,109,87,23,2,0.264,0.0183,757,136,7.8,30.1,50.6,17.4,31.6,19.4,32.6,45.8,32.7,8.3,5.1,8.3,44.4,85.9,22.8,0.722,74.8,98.1,118.5,57.1,15.1,16.8,38.6,50.2,Average,3.0,Pull Power,A-,Elevated power plane,50.2,Average,1.001,Good,5.1,46.3,97.1,0.523,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,53.17,16.17,Strong positive regression,Average Pull Power profile. 7.8% barrel rate; 85.9 mph average exit velocity; 32.6% air-ball rate; 45.8% pull-air rate; 8.3% HR-launch rate.,0.0604,0.0557,4.25,20,6,13.5,1.48,147.7,Above normal drought,694297,Brandon Pfaadt,R,LHB vs RHP,25,15,111.0,3.49,1.14,13,1.05,5.92,2.19,609,4.8,22.7,13.6,41.6,25.6,82.8,94.7,112.3,0.471,13,75.0,100.0,0.871,9.5,4-Seam Fastball,L,LHB vs RHP,57.7,448,0.335,0.469,0.645,1.114,28,84,80,0.0625,9.6,0.861,258,0.0465,5.1,0.498,3,3,1,1/3,0.333,0.333,1.333,1.666,1,0,1,63.7,Slight Hitter Advantage,Above average,57.5,5,Pitch-level Statcast · last 5 MLB games,464,4-Seam Fastball,29.525862068965516,137,Changeup,23.060344827586206,107,Curveball,13.362068965517242,62,Sweeper,12.5,58,Cutter,10.775862068965518,50.0,Sinker,10.775862068965518,50.0,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.05,0.973,64.6,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,57.7,30.8,75.0,50.0,50.0,45.0,54.5,6.65,0.758,0.992,1.025,1.08,1.001,1.081,1.035,21.62,12.32,85.0,40.7,D+,Lineup unconfirmed,,,
9,2026-09-05,823577,2026-09-05T20:10:00Z,Scheduled,Citi Field,San Francisco Giants @ New York Mets,Home,665742,Juan Soto,New York Mets,San Francisco Giants,LF,L,No,,90,382,314,87,8,2,23,50,56,65,0,51,0.277,0.399,0.535,0.934,6,23,21,4,2,0.19,0.087,6,23,21,4,2,0.19,0.087,437,16,10.9,36.5,52.3,22.2,24.9,24.3,38.9,50.6,31.6,12.9,7.3,12.9,60.5,86.9,19.6,0.731,70.6,99.4,113.7,29.8,20.8,9.9,62.0,58.0,Average,3.5,Pull Power,A,Excellent HR swing plane,58.0,Average,1.022,Good,18.8,50.0,101.8,0.812,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,42.83,19.83,Strong positive regression,Average Pull Power profile. 10.9% barrel rate; 86.9 mph average exit velocity; 38.9% air-ball rate; 50.6% pull-air rate; 12.9% HR-launch rate.,0.0602,0.0535,4.25,4,1,13.7,0.29,29.3,Very recent HR,683627,Anthony Molina,R,LHB vs RHP,5,1,14.1,3.77,1.05,2,1.26,5.65,1.26,81,3.7,18.5,19.8,24.0,29.6,79.7,92.3,109.1,0.541,2,69.6,98.6,0.772,10.7,4-Seam Fastball,L,LHB vs RHP,62.8,253,0.289,0.427,0.602,1.029,19,50,33,0.0751,10.3,0.804,32,0.0312,2.2,0.516,1,1,1,1/1,1.0,1.0,1.0,2.0,0,0,0,62.9,Slight Hitter Advantage,Above average,51.2,5,Pitch-level Statcast · last 5 MLB games,215,4-Seam Fastball,48.372093023255815,104,Changeup,25.11627906976744,54,Curveball,13.953488372093023,30,Slider,10.69767441860465,23,Slurve,1.3953488372093024,3.0,Sinker,0.46511627906976744,1.0,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.039,0.962,68.6,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,62.8,15.6,69.6,92.8,50.0,45.0,54.5,6.63,1.138,1.005,1.025,1.03,1.022,1.053,0.98,20.83,14.78,78.8,38.9,D+,Lineup unconfirmed,,,
10,2026-09-05,823094,2026-09-06T01:40:00Z,Scheduled,T-Mobile Park,Athletics @ Seattle Mariners,Home,663728,Cal Raleigh,Seattle Mariners,Athletics,C,S,No,,107,446,380,67,11,0,21,39,58,60,3,139,0.176,0.291,0.371,0.662,11,46,39,13,7,0.333,0.1522,25,97,78,18,9,0.231,0.0928,602,109,10.0,28.1,59.3,19.8,20.9,18.5,24.8,59.7,28.4,7.1,4.0,7.1,46.1,85.8,26.5,0.635,72.8,97.3,119.7,46.0,11.3,12.3,43.2,48.6,Average,3.0,Pull Power,A-,Elevated power plane,48.6,Average,0.996,Good,11.0,65.5,98.7,0.67,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,51.77,30.77,Strong positive regression,Average Pull Power profile. 10.0% barrel rate; 85.8 mph average exit velocity; 24.8% air-ball rate; 59.7% pull-air rate; 7.1% HR-launch rate.,0.0471,0.0439,3.99,0,0,18.1,0.0,0.0,Very recent HR,605488,Jeffrey Springs,L,Switch vs LHP,25,25,123.0,6.37,1.5,33,2.41,7.17,3.66,721,6.0,21.9,18.4,46.4,33.7,81.6,93.7,114.1,0.568,33,51.7,100.0,0.627,9.0,4-Seam Fastball,R,RHB vs LHP,48.2,154,0.152,0.26,0.311,0.57,7,19,55,0.0455,7.6,0.556,392,0.0587,5.8,0.565,11,10,0,0/10,0.0,0.091,0.0,0.091,0,1,4,44.3,Neutral Matchup,Average,22.5,5,Pitch-level Statcast · last 5 MLB games,386,4-Seam Fastball,44.30051813471503,171,Changeup,30.310880829015545,117,Slider,15.544041450777202,60,Cutter,6.7357512953367875,26,Sweeper,3.1088082901554404,12.0,,,,,,,Unknown,,Unknown,,No,92.0,0.92,1.0,35.6,1.003,0.985,65.5,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,48.2,40.7,51.7,71.5,35.6,45.0,54.2,6.54,1.35,1.2,1.035,1.0,0.996,0.996,0.98,16.4,14.23,84.8,34.8,D,Lineup unconfirmed,,,
