Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,EV50,Max Exit Velocity,Fast Swing Rate %,Squared-Up Rate %,Blast Rate %,Ideal Attack Angle %,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,L30 Barrel %,L30 Pull Air %,L30 EV50,L30 xSLG on Contact,Fast Swing Source,Squared-Up Source,Blast Source,Ideal Attack Angle Source,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,SP Statcast BBE,SP Barrel % Allowed,SP Hard Hit % Allowed,SP Fly Ball % Allowed,SP Pull Air % Allowed,SP Sweet Spot % Allowed,SP Avg EV Allowed,SP EV50 Allowed,SP Max EV Allowed,SP xSLG on Contact Allowed,SP Statcast HR Allowed,Pitch Type Matchup Score,Pitch Mix Coverage %,Weighted xSLG vs Pitch Mix,Weighted Barrel % vs Pitch Mix,Primary Pitch Matchup,Weather Condition,Temperature F,Wind,Wind MPH,Roof Closed,Park HR Factor,Park Multiplier,Weather Multiplier,Environment Score,Pitch Fit Multiplier,Pitcher Contact Multiplier,Hitter Power Component,Pitcher Vulnerability Component,Pitch Type Component,Recent Power Component,Environment Component,Lineup Component,HR Target Score,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
1,2026-08-03,823520,2026-08-03T23:05:00Z,Pre-Game,Yankee Stadium,St. Louis Cardinals @ New York Yankees,Home,671277,Luis García Jr.,New York Yankees,St. Louis Cardinals,1B,L,No,,104,374,357,101,20,5,23,48,76,16,0,61,0.283,0.313,0.56,0.873,11,46,45,14,3,0.311,0.0652,21,85,82,24,5,0.293,0.0588,31,31,19.4,32.3,64.7,11.8,23.5,19.4,32.3,60.0,35.5,12.9,6.5,12.9,33.3,87.7,13.0,0.753,75.4,100.3,111.1,76.9,22.6,23.1,61.5,72.8,Great,4.0,Pull Power,A,Excellent HR swing plane,72.8,Great,1.064,Good,19.4,60.0,100.3,0.753,Derived proxy,Derived proxy,Derived proxy,Derived proxy,4.88,-18.12,Strong negative regression,Great Pull Power profile. 19.4% barrel rate; 87.7 mph average exit velocity; 32.3% air-ball rate; 60.0% pull-air rate; 12.9% HR-launch rate.,0.0615,0.0543,4.09,7,2,15.5,0.45,45.1,Recently homered,700241,Michael McGreevy,R,LHB vs RHP,21,21,116.0,3.57,1.2,15,1.16,5.9,2.25,25.0,12.0,28.0,12.0,33.3,56.0,80.2,94.8,106.7,0.716,0.0,100.0,55.0,0.887,28.7,Sinker,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.1,1.045,72.8,61.7,100.0,93.1,64.4,45.0,74.8,1.059,1.01,1.025,1.03,1.064,1.096,1.0,20.43,29.21,83.8,61.8,B-,Lineup unconfirmed
2,2026-08-03,823757,2026-08-03T23:40:00Z,Scheduled,American Family Field,Pittsburgh Pirates @ Milwaukee Brewers,Home,641343,Jake Bauers,Milwaukee Brewers,Pittsburgh Pirates,1B,L,No,,101,399,341,92,16,2,20,66,64,54,3,102,0.27,0.373,0.504,0.877,10,37,33,13,2,0.394,0.0541,23,89,74,21,5,0.284,0.0562,17,17,23.5,58.8,66.7,6.7,20.0,29.4,52.9,66.7,47.1,29.4,17.6,29.4,50.0,93.3,8.8,1.027,77.3,104.1,109.8,82.6,35.3,43.5,56.5,89.3,Excellent,4.5,Launch Monster,C,Low line-drive plane,89.3,Excellent,1.11,Small Statcast sample,23.5,66.7,104.1,1.027,Derived proxy,Derived proxy,Derived proxy,Derived proxy,3.86,-16.14,Strong negative regression,Excellent Launch Monster profile. 23.5% barrel rate; 93.3 mph average exit velocity; 52.9% air-ball rate; 66.7% pull-air rate; 29.4% HR-launch rate.,0.0501,0.0459,4.09,3,1,17.0,0.18,17.6,Very recent HR,696149,Bubba Chandler,R,LHB vs RHP,21,20,104.2,4.56,1.41,10,0.86,8.0,4.9,33.0,3.0,15.2,9.1,50.0,27.3,78.5,87.7,102.3,0.466,0.0,100.0,80.9,1.454,34.6,4-Seam Fastball,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.1,0.955,89.3,25.5,100.0,100.0,50.0,45.0,70.7,1.079,0.962,1.025,1.0,1.11,1.11,0.98,17.5,20.95,84.1,48.7,C,Lineup unconfirmed
3,2026-08-03,823520,2026-08-03T23:05:00Z,Pre-Game,Yankee Stadium,St. Louis Cardinals @ New York Yankees,Home,682987,Spencer Jones,New York Yankees,St. Louis Cardinals,CF,L,No,,39,109,97,23,4,0,5,10,13,12,0,41,0.237,0.321,0.433,0.754,9,27,24,6,3,0.25,0.1111,9,27,24,6,3,0.25,0.1111,25,25,20.0,40.0,38.5,23.1,38.5,20.0,32.0,25.0,40.0,12.0,4.0,12.0,60.0,90.4,22.8,1.103,76.9,101.5,111.4,68.4,16.0,26.3,39.5,66.1,Above Average,3.5,Balanced Power,A-,Elevated power plane,66.1,Above Average,1.045,Good,20.0,25.0,101.5,1.103,Derived proxy,Derived proxy,Derived proxy,Derived proxy,3.98,-1.02,Near expected,Above Average Balanced Power profile. 20.0% barrel rate; 90.4 mph average exit velocity; 32.0% air-ball rate; 25.0% pull-air rate; 12.0% HR-launch rate.,0.0459,0.0386,3.99,4,1,19.4,0.21,20.6,Very recent HR,700241,Michael McGreevy,R,LHB vs RHP,21,21,116.0,3.57,1.2,15,1.16,5.9,2.25,25.0,12.0,28.0,12.0,33.3,56.0,80.2,94.8,106.7,0.716,0.0,80.2,23.3,0.991,12.1,4-Seam Fastball,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.06,1.045,66.1,61.7,80.2,71.7,64.4,45.0,67.2,1.35,1.01,1.025,1.0,1.045,1.045,0.98,14.54,23.88,61.9,48.4,C,Lineup unconfirmed
4,2026-08-03,823431,2026-08-03T22:40:00Z,Pre-Game,Citizens Bank Park,Washington Nationals @ Philadelphia Phillies,Away,665953,Andrés Chaparro,Washington Nationals,Philadelphia Phillies,1B,R,No,,43,98,82,18,5,0,6,18,21,13,3,21,0.22,0.347,0.5,0.847,9,20,17,4,2,0.235,0.1,16,39,34,10,5,0.294,0.1282,8,8,12.5,25.0,50.0,50.0,0.0,25.0,25.0,100.0,25.0,12.5,12.5,12.5,100.0,81.3,15.4,0.377,72.9,93.8,105.0,54.5,12.5,18.2,54.5,50.4,Average,3.0,Pull Power,A,Excellent HR swing plane,50.4,Average,1.001,Small Statcast sample,12.5,100.0,93.8,0.377,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.86,-5.14,Strong negative regression,Average Pull Power profile. 12.5% barrel rate; 81.3 mph average exit velocity; 25.0% air-ball rate; 100.0% pull-air rate; 12.5% HR-launch rate.,0.0612,0.0451,4.15,3,2,13.7,0.22,22.0,Very recent HR,605400,Aaron Nola,R,RHB vs RHP,22,22,114.0,5.61,1.45,26,2.05,9.16,3.08,27.0,11.1,37.0,7.4,57.1,33.3,85.3,98.3,112.2,0.535,1.0,100.0,21.1,0.904,33.3,4-Seam Fastball,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.1,1.036,50.4,67.4,100.0,65.0,64.4,45.0,65.6,1.35,1.152,0.985,1.0,1.001,1.001,0.98,17.44,30.36,62.1,60.2,B-,Lineup unconfirmed
5,2026-08-03,824647,2026-08-04T00:05:00Z,Scheduled,Wrigley Field,Los Angeles Dodgers @ Chicago Cubs,Away,660271,Shohei Ohtani,Los Angeles Dodgers,Chicago Cubs,TWP,L,No,,106,470,391,114,22,2,24,70,67,67,5,108,0.292,0.397,0.542,0.939,10,46,39,13,2,0.333,0.0435,21,93,82,25,6,0.305,0.0645,23,23,13.0,39.1,61.5,0.0,30.8,8.7,34.8,62.5,47.8,8.7,4.3,8.7,66.7,91.0,16.8,1.28,72.2,103.1,112.6,38.5,30.4,15.4,43.6,68.6,Above Average,3.5,Pull Power,A,Excellent HR swing plane,68.6,Above Average,1.052,Good,13.0,62.5,103.1,1.28,Derived proxy,Derived proxy,Derived proxy,Derived proxy,2.72,-21.28,Strong negative regression,Above Average Pull Power profile. 13.0% barrel rate; 91.0 mph average exit velocity; 34.8% air-ball rate; 62.5% pull-air rate; 8.7% HR-launch rate.,0.0511,0.0472,4.31,6,2,16.3,0.37,36.8,Recently homered,571510,Matthew Boyd,L,LHB vs LHP,12,12,66.0,3.41,1.2,6,0.82,8.18,2.59,38.0,7.9,15.8,10.5,62.5,28.9,76.1,88.2,111.3,0.413,0.0,92.2,98.9,1.449,18.1,4-Seam Fastball,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.084,1.004,68.6,39.1,92.2,84.5,50.0,45.0,64.0,1.049,0.958,0.985,1.03,1.052,1.084,1.0,18.81,21.67,84.4,50.8,C,Lineup unconfirmed
6,2026-08-03,824324,2026-08-04T00:40:00Z,Scheduled,Coors Field,Tampa Bay Rays @ Colorado Rockies,Away,676439,Hunter Feduccia,Tampa Bay Rays,Colorado Rockies,C,L,No,,60,160,141,33,7,1,2,15,12,14,1,44,0.234,0.306,0.34,0.646,6,16,15,4,0,0.267,0.0,12,36,33,8,1,0.242,0.0278,12,12,16.7,41.7,66.7,33.3,0.0,16.7,25.0,66.7,25.0,16.7,8.3,16.7,0.0,86.9,18.8,0.527,73.2,97.4,107.4,50.0,25.0,14.3,42.9,57.8,Average,3.5,Pull Power,A,Excellent HR swing plane,57.8,Average,1.022,Small Statcast sample,16.7,66.7,97.4,0.527,Derived proxy,Derived proxy,Derived proxy,Derived proxy,1.72,-0.28,Near expected,Average Pull Power profile. 16.7% barrel rate; 86.9 mph average exit velocity; 25.0% air-ball rate; 66.7% pull-air rate; 16.7% HR-launch rate.,0.0125,0.0209,3.93,29,10,70.5,0.41,41.1,Recently homered,547179,Michael Lorenzen,R,LHB vs RHP,23,22,104.2,6.54,1.81,16,1.38,6.88,3.44,36.0,5.6,22.2,11.1,44.4,22.2,84.6,95.9,107.4,0.495,0.0,86.8,10.0,0.758,20.0,4-Seam Fastball,Unknown,,Unknown,,No,118.0,1.18,1.0,82.4,1.074,0.981,57.8,38.0,86.8,81.5,82.4,45.0,61.0,0.917,1.045,1.025,0.94,1.022,0.961,1.0,7.95,9.26,66.3,24.1,F,Lineup unconfirmed
7,2026-08-03,823431,2026-08-03T22:40:00Z,Pre-Game,Citizens Bank Park,Washington Nationals @ Philadelphia Phillies,Away,691781,Brady House,Washington Nationals,Philadelphia Phillies,3B,R,No,,51,200,186,43,10,0,7,24,26,13,0,57,0.231,0.28,0.398,0.678,7,23,23,6,0,0.261,0.0,7,23,23,6,0,0.261,0.0,22,22,13.6,40.9,25.0,25.0,50.0,18.2,31.8,0.0,40.9,9.1,0.0,9.1,0.0,87.8,13.5,0.919,74.4,98.2,107.5,60.0,18.2,14.3,51.4,49.5,Average,3.0,Contact-First Profile,A,Excellent HR swing plane,49.5,Average,0.999,Good,13.6,0.0,98.2,0.919,Derived proxy,Derived proxy,Derived proxy,Derived proxy,2.21,-4.79,Strong negative regression,Average Contact-First Profile profile. 13.6% barrel rate; 87.8 mph average exit velocity; 31.8% air-ball rate; 0.0% pull-air rate; 9.1% HR-launch rate.,0.035,0.0339,3.99,31,9,26.6,1.17,116.7,Near normal interval,605400,Aaron Nola,R,RHB vs RHP,22,22,114.0,5.61,1.45,26,2.05,9.16,3.08,27.0,11.1,37.0,7.4,57.1,33.3,85.3,98.3,112.2,0.535,1.0,83.1,35.6,1.182,13.6,4-Seam Fastball,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.066,1.036,49.5,67.4,83.1,46.3,64.4,45.0,60.9,0.857,1.152,0.985,1.0,0.999,0.999,1.0,12.85,14.77,68.1,35.5,D,Lineup unconfirmed
8,2026-08-03,824324,2026-08-04T00:40:00Z,Scheduled,Coors Field,Tampa Bay Rays @ Colorado Rockies,Away,691406,Junior Caminero,Tampa Bay Rays,Colorado Rockies,3B,R,No,,111,483,419,118,18,1,30,66,66,60,2,88,0.282,0.373,0.544,0.917,12,50,43,11,1,0.256,0.02,25,106,92,23,4,0.25,0.0377,27,27,11.1,22.2,46.7,20.0,33.3,18.5,25.9,57.1,25.9,7.4,7.4,7.4,33.3,86.3,18.4,0.782,78.7,97.0,111.4,81.0,7.4,9.5,57.1,52.0,Average,3.0,Pull Power,A,Excellent HR swing plane,52.0,Average,1.006,Good,11.1,57.1,97.0,0.782,Derived proxy,Derived proxy,Derived proxy,Derived proxy,2.53,-27.47,Strong negative regression,Average Pull Power profile. 11.1% barrel rate; 86.3 mph average exit velocity; 25.9% air-ball rate; 57.1% pull-air rate; 7.4% HR-launch rate.,0.0621,0.0561,4.23,7,2,14.0,0.5,50.1,Recently homered,547179,Michael Lorenzen,R,RHB vs RHP,23,22,104.2,6.54,1.81,16,1.38,6.88,3.44,36.0,5.6,22.2,11.1,44.4,22.2,84.6,95.9,107.4,0.495,0.0,83.6,71.1,0.932,13.8,Sinker,Unknown,,Unknown,,No,118.0,1.18,1.0,82.4,1.067,0.981,52.0,38.0,83.6,68.2,82.4,45.0,57.2,0.799,1.045,0.985,1.03,1.006,1.036,1.0,21.68,22.7,85.0,52.2,C,Lineup unconfirmed
9,2026-08-03,825095,2026-08-04T01:40:00Z,Scheduled,Chase Field,San Diego Padres @ Arizona Diamondbacks,Home,682998,Corbin Carroll,Arizona Diamondbacks,San Diego Padres,RF,L,No,,108,469,405,100,22,12,16,67,52,55,6,107,0.247,0.343,0.479,0.822,12,59,49,11,2,0.224,0.0339,23,106,89,16,3,0.18,0.0283,25,25,12.0,52.0,53.3,20.0,26.7,20.0,36.0,55.6,44.0,16.0,12.0,16.0,33.3,91.9,25.8,0.659,74.4,100.6,107.3,57.9,32.0,23.7,65.8,77.1,Great,4.0,Pull Power,A-,Elevated power plane,77.1,Great,1.076,Good,12.0,55.6,100.6,0.659,Derived proxy,Derived proxy,Derived proxy,Derived proxy,3.01,-12.99,Strong negative regression,Great Pull Power profile. 12.0% barrel rate; 91.9 mph average exit velocity; 36.0% air-ball rate; 55.6% pull-air rate; 16.0% HR-launch rate.,0.0341,0.0337,4.09,3,1,25.3,0.12,11.9,Very recent HR,650633,Michael King,R,LHB vs RHP,22,22,125.1,3.38,1.17,13,0.93,7.83,3.59,35.0,5.7,8.6,17.1,33.3,34.3,76.8,87.7,107.7,0.69,2.0,52.2,29.2,0.56,12.6,4-Seam Fastball,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.004,0.982,77.1,28.6,52.2,77.5,50.0,45.0,57.0,0.973,0.973,1.025,1.0,1.076,1.076,0.98,13.08,13.19,85.0,35.6,D,Lineup unconfirmed
10,2026-08-03,823431,2026-08-03T22:40:00Z,Pre-Game,Citizens Bank Park,Washington Nationals @ Philadelphia Phillies,Away,686611,Dylan Crews,Washington Nationals,Philadelphia Phillies,RF,R,No,,61,252,226,51,9,0,9,35,25,19,7,57,0.226,0.306,0.385,0.691,10,44,37,12,2,0.324,0.0455,21,89,74,16,4,0.216,0.0449,20,20,10.0,35.0,78.6,7.1,14.3,20.0,35.0,71.4,30.0,10.0,10.0,10.0,50.0,87.9,10.3,0.67,74.2,98.2,104.4,53.3,10.0,10.0,50.0,52.9,Average,3.0,Pull Power,A,Excellent HR swing plane,52.9,Average,1.008,Good,10.0,71.4,98.2,0.67,Derived proxy,Derived proxy,Derived proxy,Derived proxy,1.91,-7.09,Strong negative regression,Average Pull Power profile. 10.0% barrel rate; 87.9 mph average exit velocity; 35.0% air-ball rate; 71.4% pull-air rate; 10.0% HR-launch rate.,0.0357,0.0345,4.05,16,4,25.1,0.64,63.7,Recently homered,605400,Aaron Nola,R,RHB vs RHP,22,22,114.0,5.61,1.45,26,2.05,9.16,3.08,27.0,11.1,37.0,7.4,57.1,33.3,85.3,98.3,112.2,0.535,1.0,33.7,21.1,0.537,4.5,Sinker,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,0.967,1.036,52.9,67.4,33.7,68.1,64.4,45.0,55.5,1.124,1.152,0.985,1.0,1.008,1.008,1.0,13.26,18.08,77.1,40.3,D+,Lineup unconfirmed
