Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,EV50,Max Exit Velocity,Fast Swing Rate %,Squared-Up Rate %,Blast Rate %,Ideal Attack Angle %,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,L30 Barrel %,L30 Pull Air %,L30 EV50,L30 xSLG on Contact,Fast Swing Source,Squared-Up Source,Blast Source,Ideal Attack Angle Source,Barrels per PA,Barrels per PA %,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,SP Statcast BBE,SP Barrel % Allowed,SP Hard Hit % Allowed,SP Fly Ball % Allowed,SP Pull Air % Allowed,SP Sweet Spot % Allowed,SP Avg EV Allowed,SP EV50 Allowed,SP Max EV Allowed,SP xSLG on Contact Allowed,SP Statcast HR Allowed,Pitch Type Matchup Score,Pitch Mix Coverage %,Weighted xSLG vs Pitch Mix,Weighted Barrel % vs Pitch Mix,Primary Pitch Matchup,Effective Batter Side,Handedness Matchup,Handedness Matchup Score,Hitter Split PA,Hitter Split AVG,Hitter Split OBP,Hitter Split SLG,Hitter Split OPS,Hitter Split HR,Hitter Split BB,Hitter Split K,Hitter HR/PA vs Hand,Hitter Barrel % vs Hand,Hitter xSLG vs Hand,Pitcher Split PA Allowed,Pitcher HR/PA Allowed vs Side,Pitcher Barrel % Allowed vs Side,Pitcher xSLG Allowed vs Side,Career BvP PA,Career BvP AB,Career BvP H,Career BvP Results,Career BvP AVG,Career BvP OBP,Career BvP SLG,Career BvP OPS,Career BvP HR,Career BvP BB,Career BvP K,Hitter vs Pitcher Matchup Score,Hitter vs Pitcher Matchup Label,Hitter vs Pitcher Matchup Band,Career BvP Component Score,Recent Pitch Mix Games,Recent Pitch Mix Source,Recent Pitch Mix Total,Recent Pitch 1 Name,Recent Pitch 1 Usage %,Recent Pitch 1 Count,Recent Pitch 2 Name,Recent Pitch 2 Usage %,Recent Pitch 2 Count,Recent Pitch 3 Name,Recent Pitch 3 Usage %,Recent Pitch 3 Count,Recent Pitch 4 Name,Recent Pitch 4 Usage %,Recent Pitch 4 Count,Recent Pitch 5 Name,Recent Pitch 5 Usage %,Recent Pitch 5 Count,Weather Condition,Temperature F,Wind,Wind MPH,Roof Closed,Park HR Factor,Park Multiplier,Weather Multiplier,Environment Score,Pitch Fit Multiplier,Pitcher Contact Multiplier,Hitter Power Component,Hitter Power Primary Metric,Hitter Power Secondary Metric,Hitter Power Third Metric,Hitter Power Fourth Metric,Handedness Matchup Component,Pitcher Vulnerability Component,Pitch Type Component,Recent Power Component,Environment Component,Lineup Component,HR Target Score,Target Score Probability %,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality,Recent Pitch 6 Name,Recent Pitch 6 Usage %,Recent Pitch 6 Count,Recent Pitch 7 Name,Recent Pitch 7 Usage %,Recent Pitch 7 Count,Recent Pitch 8 Name,Recent Pitch 8 Usage %,Recent Pitch 8 Count
1,2026-08-30,823662,2026-08-30T18:10:00Z,Scheduled,Target Field,Chicago White Sox @ Minnesota Twins,Away,808959,Munetaka Murakami,Chicago White Sox,Minnesota Twins,1B,L,No,,100,438,358,79,14,0,29,71,58,77,2,148,0.221,0.361,0.503,0.864,12,55,43,5,1,0.116,0.0182,26,116,96,15,5,0.156,0.0431,396,95,11.4,34.2,50.7,26.9,21.8,18.1,26.5,50.9,27.3,7.6,4.2,7.6,57.6,86.1,18.6,0.817,72.1,99.2,113.9,44.0,12.2,9.6,44.1,52.8,Average,3.0,Pull Power,A,Excellent HR swing plane,52.8,Average,1.008,Good,10.5,59.1,98.1,0.767,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,37.1,8.1,Strong positive regression,Average Pull Power profile. 11.4% barrel rate; 86.1 mph average exit velocity; 26.5% air-ball rate; 50.9% pull-air rate; 7.6% HR-launch rate.,0.0662,0.0589,4.15,37,10,12.3,3.0,299.7,Very long drought,805673.0,Zebby Matthews,R,LHB vs RHP,18,18,103.2,4.86,1.31,19,1.65,7.64,2.78,575.0,6.8,27.3,13.6,46.8,29.9,84.9,96.5,112.8,0.554,19.0,80.6,100.0,0.879,12.3,4-Seam Fastball,L,LHB vs RHP,70.1,296,0.238,0.372,0.561,0.933,23,50,97,0.0777,13.8,0.877,242,0.0413,7.7,0.589,3,3,1,1/3,0.333,0.333,1.333,1.666,1,0,1,71.2,Slight Hitter Advantage,Above average,57.5,5,Pitch-level Statcast · last 5 MLB games,473,4-Seam Fastball,34.883720930232556,165.0,Slider,25.58139534883721,121.0,Changeup,12.473572938689218,59.0,Curveball,10.782241014799155,51.0,Cutter,9.30232558139535,44.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.061,0.993,70.6,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,70.1,46.9,80.6,69.1,50.0,45.0,63.6,10.82,0.809,1.088,1.025,1.0,1.008,1.008,1.06,22.25,16.1,85.0,48.9,C,Lineup unconfirmed,Sinker,6.976744186046512,33.0,,,,,,
2,2026-08-30,823010,2026-08-30T18:15:00Z,Scheduled,Busch Stadium,Pittsburgh Pirates @ St. Louis Cardinals,Away,665833,Oneil Cruz,Pittsburgh Pirates,St. Louis Cardinals,CF,L,No,,74,323,285,75,10,1,17,50,52,35,3,113,0.263,0.35,0.484,0.834,10,40,35,9,3,0.257,0.075,10,40,35,9,3,0.257,0.075,326,40,11.0,30.4,55.3,22.9,21.0,11.7,22.5,51.7,27.3,7.6,4.9,7.6,54.5,84.1,13.6,0.891,76.1,98.4,117.2,66.8,13.5,12.9,36.1,53.7,Average,3.0,Pull Power,A,Excellent HR swing plane,53.7,Average,1.01,Good,12.5,57.1,94.5,1.006,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,28.57,11.57,Strong positive regression,Average Pull Power profile. 11.0% barrel rate; 84.1 mph average exit velocity; 22.5% air-ball rate; 51.7% pull-air rate; 7.6% HR-launch rate.,0.0526,0.047,4.15,12,3,16.8,0.72,71.6,Recently homered,669461.0,Matthew Liberatore,L,LHB vs LHP,26,26,129.0,5.44,1.47,23,1.6,9.21,3.14,729.0,5.8,27.3,15.4,44.3,32.2,84.0,96.1,112.2,0.612,23.0,77.8,100.0,0.847,11.0,4-Seam Fastball,L,LHB vs LHP,56.0,98,0.293,0.337,0.478,0.815,4,5,42,0.0408,10.0,0.802,138,0.0507,5.3,0.591,3,2,0,0/2,0.0,0.333,0.0,0.333,0,1,1,60.9,Slight Hitter Advantage,Above average,42.5,5,Pitch-level Statcast · last 5 MLB games,465,Slider,29.892473118279568,139.0,4-Seam Fastball,27.526881720430108,128.0,Curveball,19.13978494623656,89.0,Changeup,12.043010752688172,56.0,Sinker,7.096774193548387,33.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.056,0.983,68.6,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,56.0,42.8,77.8,66.3,50.0,45.0,61.0,9.32,1.238,1.08,0.985,1.0,1.01,1.01,1.0,18.12,16.07,78.3,39.4,D+,Lineup unconfirmed,Cutter,3.870967741935484,18.0,Sweeper,0.43010752688172044,2.0,,,
3,2026-08-30,823987,2026-08-30T20:07:00Z,Scheduled,Angel Stadium,Philadelphia Phillies @ Los Angeles Angels,Away,656941,Kyle Schwarber,Philadelphia Phillies,Los Angeles Angels,DH,L,No,,130,583,487,119,17,1,40,79,82,84,6,193,0.244,0.359,0.53,0.889,11,52,46,10,3,0.217,0.0577,26,122,100,22,7,0.22,0.0574,650,133,10.2,31.6,62.9,20.3,16.5,14.3,26.5,60.6,29.6,9.9,7.2,9.9,57.1,85.9,19.8,0.809,74.5,98.2,113.4,68.3,15.5,16.7,65.3,57.5,Average,3.5,Pull Power,A,Excellent HR swing plane,57.5,Average,1.021,Good,9.8,63.6,97.2,0.77,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,59.09,19.09,Strong positive regression,Average Pull Power profile. 10.2% barrel rate; 85.9 mph average exit velocity; 26.5% air-ball rate; 60.6% pull-air rate; 9.9% HR-launch rate.,0.0686,0.0624,4.15,9,2,12.2,0.74,73.9,Recently homered,579328.0,Yusei Kikuchi,L,LHB vs LHP,8,8,36.0,6.25,1.58,5,1.25,9.25,3.75,218.0,5.5,28.9,12.4,54.4,31.7,84.4,97.2,116.2,0.625,5.0,67.5,100.0,0.763,10.1,4-Seam Fastball,L,LHB vs LHP,55.7,209,0.273,0.383,0.528,0.911,12,28,60,0.0574,7.9,0.784,39,0.0256,6.1,0.556,3,3,0,0/3,0.0,0.0,0.0,0.0,0,0,2,57.2,Neutral Matchup,Average,42.5,5,Pitch-level Statcast · last 5 MLB games,382,4-Seam Fastball,42.40837696335078,162.0,Slider,23.298429319371728,89.0,Split-Finger,20.94240837696335,80.0,Curveball,10.732984293193716,41.0,Cutter,2.6178010471204187,10.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.035,0.98,65.7,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,55.7,47.3,67.5,65.7,50.0,45.0,59.4,8.49,0.969,1.012,0.985,1.03,1.021,1.052,1.0,23.45,15.51,85.0,40.3,D+,Lineup unconfirmed,,,,,,,,,
4,2026-08-30,823010,2026-08-30T18:15:00Z,Scheduled,Busch Stadium,Pittsburgh Pirates @ St. Louis Cardinals,Away,804668,Rafael Flores Jr.,Pittsburgh Pirates,St. Louis Cardinals,C,R,No,,27,86,77,18,3,0,7,11,17,9,0,27,0.234,0.314,0.545,0.859,11,39,37,6,3,0.162,0.0769,19,67,62,14,6,0.226,0.0896,84,63,9.5,25.7,51.9,25.6,22.5,23.3,28.8,54.9,27.2,10.3,7.6,10.3,77.9,83.8,18.9,0.702,72.1,95.2,110.0,33.6,13.0,8.1,59.4,47.2,Below Average,3.0,Pull Power,A,Excellent HR swing plane,47.2,Below Average,0.992,Good,9.5,52.9,95.3,0.683,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,6.91,-0.09,Near expected,Below Average Pull Power profile. 9.5% barrel rate; 83.8 mph average exit velocity; 28.8% air-ball rate; 54.9% pull-air rate; 10.3% HR-launch rate.,0.0814,0.0526,4.15,0,0,11.0,0.0,0.0,Very recent HR,669461.0,Matthew Liberatore,L,RHB vs LHP,26,26,129.0,5.44,1.47,23,1.6,9.21,3.14,729.0,5.8,27.3,15.4,44.3,32.2,84.0,96.1,112.2,0.612,23.0,76.5,99.5,0.796,12.9,4-Seam Fastball,R,RHB vs LHP,52.4,46,0.231,0.348,0.462,0.809,3,7,14,0.0652,9.5,0.649,428,0.0374,5.9,0.618,0,0,0,0/0,,,,,0,0,0,60.3,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,465,Slider,29.892473118279568,139.0,4-Seam Fastball,27.526881720430108,128.0,Curveball,19.13978494623656,89.0,Changeup,12.043010752688172,56.0,Sinker,7.096774193548387,33.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.053,0.983,59.7,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,52.4,42.8,76.5,61.4,50.0,45.0,57.0,7.52,1.228,1.08,1.025,1.03,0.992,1.022,0.98,20.1,16.45,63.5,38.3,D+,Lineup unconfirmed,Cutter,3.870967741935484,18.0,Sweeper,0.43010752688172044,2.0,,,
5,2026-08-30,823580,2026-08-30T19:10:00Z,Scheduled,Citi Field,Houston Astros @ New York Mets,Away,670541,Yordan Alvarez,Houston Astros,New York Mets,DH,L,No,,134,588,481,154,28,1,37,90,93,93,9,102,0.32,0.435,0.613,1.048,11,45,35,11,1,0.314,0.0222,25,109,86,26,2,0.302,0.0183,720,123,8.1,31.3,49.5,17.2,33.0,19.4,35.1,46.1,33.7,8.4,4.6,8.4,39.4,85.9,23.2,0.741,74.9,98.4,118.5,57.0,16.6,16.9,39.8,51.7,Average,3.0,Pull Power,A-,Elevated power plane,51.7,Average,1.005,Good,5.7,47.7,97.7,0.554,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,52.15,15.15,Strong positive regression,Average Pull Power profile. 8.1% barrel rate; 85.9 mph average exit velocity; 35.1% air-ball rate; 46.1% pull-air rate; 8.4% HR-launch rate.,0.0629,0.0577,4.31,0,0,13.0,0.0,0.0,Very recent HR,804267.0,Zac Thornton,L,LHB vs LHP,10,10,56.1,2.88,1.15,6,0.96,6.39,2.24,326.0,5.2,25.8,14.1,41.9,30.1,82.4,95.8,113.2,0.539,6.0,77.5,99.8,0.904,10.8,Cutter,L,LHB vs LHP,51.7,151,0.273,0.344,0.515,0.86,9,13,24,0.0596,8.9,0.796,71,0.0141,4.4,0.442,0,0,0,0/0,,,,,0,0,0,60.4,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,425,Cutter,34.11764705882353,145.0,4-Seam Fastball,22.11764705882353,94.0,Sweeper,13.647058823529411,58.0,Slider,10.117647058823529,43.0,Sinker,10.117647058823529,43.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.055,0.977,63.6,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,51.7,36.2,77.5,53.5,50.0,45.0,56.3,7.24,0.766,0.982,0.985,1.08,1.005,1.085,0.98,22.59,12.39,85.0,37.7,D+,Lineup unconfirmed,Curveball,5.411764705882353,23.0,Changeup,4.470588235294118,19.0,,,
6,2026-08-30,823010,2026-08-30T18:15:00Z,Scheduled,Busch Stadium,Pittsburgh Pirates @ St. Louis Cardinals,Away,699013,Esmerlyn Valdez,Pittsburgh Pirates,St. Louis Cardinals,RF,R,No,,64,255,213,52,13,1,15,36,42,38,1,96,0.244,0.357,0.526,0.883,8,33,29,4,1,0.138,0.0303,22,91,73,14,1,0.192,0.011,258,86,8.2,26.0,44.1,28.4,27.5,17.5,27.2,47.3,29.6,9.9,7.2,9.9,46.2,84.5,15.9,0.755,72.9,95.9,112.3,48.7,12.6,10.8,50.5,47.2,Below Average,3.0,Pull Power,A,Excellent HR swing plane,47.2,Below Average,0.992,Good,4.7,52.4,94.7,0.643,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,18.8,3.8,Positive regression,Below Average Pull Power profile. 8.2% barrel rate; 84.5 mph average exit velocity; 27.2% air-ball rate; 47.3% pull-air rate; 9.9% HR-launch rate.,0.0588,0.0502,4.15,8,2,14.2,0.56,56.3,Recently homered,669461.0,Matthew Liberatore,L,RHB vs LHP,26,26,129.0,5.44,1.47,23,1.6,9.21,3.14,729.0,5.8,27.3,15.4,44.3,32.2,84.0,96.1,112.2,0.612,23.0,66.9,100.0,0.747,10.6,4-Seam Fastball,R,RHB vs LHP,66.8,99,0.25,0.394,0.662,1.056,8,19,34,0.0808,11.5,0.874,428,0.0374,5.9,0.618,0,0,0,0/0,,,,,0,0,0,63.4,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,465,Slider,29.892473118279568,139.0,4-Seam Fastball,27.526881720430108,128.0,Curveball,19.13978494623656,89.0,Changeup,12.043010752688172,56.0,Sinker,7.096774193548387,33.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.034,0.983,62.5,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,66.8,42.8,66.9,49.3,50.0,45.0,55.5,6.97,0.814,1.08,1.025,1.03,0.992,1.022,1.0,19.26,11.98,77.5,33.5,D,Lineup unconfirmed,Cutter,3.870967741935484,18.0,Sweeper,0.43010752688172044,2.0,,,
7,2026-08-30,824959,2026-08-30T20:05:00Z,Scheduled,Sutter Health Park,Baltimore Orioles @ Athletics,Away,691723,Coby Mayo,Baltimore Orioles,Athletics,3B,R,No,,108,358,327,71,13,3,18,51,52,25,5,116,0.217,0.282,0.44,0.722,10,40,36,10,3,0.278,0.075,23,80,74,20,4,0.27,0.05,440,106,8.6,29.3,50.2,25.4,24.4,16.4,28.5,51.4,32.0,8.3,5.7,8.3,46.3,83.2,22.6,0.722,74.1,97.6,115.7,54.1,15.4,13.8,45.2,50.9,Average,3.0,Pull Power,A-,Elevated power plane,50.9,Average,1.003,Good,8.5,45.5,95.4,0.791,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,31.96,13.96,Strong positive regression,Average Pull Power profile. 8.6% barrel rate; 83.2 mph average exit velocity; 28.5% air-ball rate; 51.4% pull-air rate; 8.3% HR-launch rate.,0.0503,0.0457,3.99,7,2,18.2,0.39,38.5,Recently homered,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unknown,R,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,63.8,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,53.0,50.0,45.0,55.4,6.93,1.158,1.0,1.0,1.0,1.003,1.003,1.0,17.02,12.61,73.4,31.5,D,Probable SP unavailable; Lineup unconfirmed,,,,,,,,,
8,2026-08-30,823580,2026-08-30T19:10:00Z,Scheduled,Citi Field,Houston Astros @ New York Mets,Home,665742,Juan Soto,New York Mets,Houston Astros,LF,L,No,,85,363,297,84,8,2,21,47,53,63,0,48,0.283,0.406,0.535,0.941,1,4,4,1,0,0.25,0.0,1,4,4,1,0,0.25,0.0,421,0,8.6,32.5,53.0,24.7,21.5,20.4,31.8,50.7,26.1,9.3,5.7,9.3,58.3,86.3,18.7,0.705,69.6,98.6,114.2,25.3,14.0,10.1,61.8,48.6,Average,3.0,Pull Power,A,Excellent HR swing plane,48.6,Average,0.996,Good,,,,,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,32.74,11.74,Strong positive regression,Average Pull Power profile. 8.6% barrel rate; 86.3 mph average exit velocity; 31.8% air-ball rate; 50.7% pull-air rate; 9.3% HR-launch rate.,0.0579,0.0514,4.25,31,10,14.1,2.19,219.2,Very long drought,814490.0,Ethan Pecko,R,LHB vs RHP,2,2,8.0,7.88,1.88,2,2.25,5.63,7.88,57.0,3.5,24.6,14.0,50.0,35.1,81.9,93.9,109.5,0.628,2.0,62.7,100.0,0.727,9.5,Sinker,L,LHB vs RHP,65.3,239,0.287,0.431,0.59,1.021,17,49,32,0.0711,9.7,0.793,26,0.0769,5.7,0.756,0,0,0,0/0,,,,,0,0,0,61.3,Slight Hitter Advantage,Above average,50.0,2,Pitch-level Statcast · last 5 MLB games,177,Sinker,28.8135593220339,51.0,4-Seam Fastball,27.683615819209038,49.0,Cutter,15.254237288135593,27.0,Curveball,13.559322033898304,24.0,Sweeper,7.909604519774011,14.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.025,0.96,66.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,65.3,37.7,62.7,50.0,50.0,45.0,54.9,6.79,1.0,1.021,1.025,1.03,0.996,1.026,1.06,20.1,13.77,77.3,43.8,C-,Lineup unconfirmed; Limited recent games,Changeup,6.779661016949152,12.0,,,,,,
9,2026-08-30,823662,2026-08-30T18:10:00Z,Scheduled,Target Field,Chicago White Sox @ Minnesota Twins,Away,695657,Colson Montgomery,Chicago White Sox,Minnesota Twins,SS,L,No,,127,536,480,102,20,0,28,60,76,44,10,183,0.213,0.291,0.429,0.72,10,41,37,8,2,0.216,0.0488,24,103,93,18,3,0.194,0.0291,594,122,7.3,27.3,54.5,28.0,17.0,15.6,24.8,55.1,30.2,7.7,5.1,7.7,52.9,83.4,22.0,0.653,74.3,96.1,115.1,63.5,12.7,12.5,49.3,46.5,Below Average,3.0,Pull Power,A-,Elevated power plane,46.5,Below Average,0.99,Good,5.7,56.0,94.6,0.635,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,38.65,10.65,Strong positive regression,Below Average Pull Power profile. 7.3% barrel rate; 83.4 mph average exit velocity; 24.8% air-ball rate; 55.1% pull-air rate; 7.7% HR-launch rate.,0.0522,0.0485,4.05,3,1,17.1,0.18,17.5,Very recent HR,805673.0,Zebby Matthews,R,LHB vs RHP,18,18,103.2,4.86,1.31,19,1.65,7.64,2.78,575.0,6.8,27.3,13.6,46.8,29.9,84.9,96.5,112.8,0.554,19.0,55.4,100.0,0.67,8.7,4-Seam Fastball,L,LHB vs RHP,53.8,366,0.192,0.27,0.399,0.67,19,31,135,0.0519,8.7,0.674,242,0.0413,7.7,0.589,9,8,2,2/8,0.25,0.333,0.75,1.083,1,0,3,57.5,Neutral Matchup,Average,69.3,5,Pitch-level Statcast · last 5 MLB games,473,4-Seam Fastball,34.883720930232556,165.0,Slider,25.58139534883721,121.0,Changeup,12.473572938689218,59.0,Curveball,10.782241014799155,51.0,Cutter,9.30232558139535,44.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.011,0.993,61.8,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,53.8,46.9,55.4,51.5,50.0,45.0,54.6,6.67,0.929,1.088,1.025,1.0,0.99,0.99,0.98,18.25,11.95,85.0,32.1,D,Lineup unconfirmed,Sinker,6.976744186046512,33.0,,,,,,
10,2026-08-30,822766,2026-08-30T17:37:00Z,Scheduled,Rogers Centre,Seattle Mariners @ Toronto Blue Jays,Away,663728,Cal Raleigh,Seattle Mariners,Toronto Blue Jays,C,S,No,,102,424,360,61,8,0,19,34,53,58,3,134,0.169,0.288,0.35,0.638,11,40,30,9,6,0.3,0.15,24,92,74,14,8,0.189,0.087,573,103,10.5,28.2,59.4,19.8,20.8,18.1,24.1,56.3,29.9,7.9,4.4,7.9,40.5,85.9,27.6,0.656,72.5,97.7,119.7,43.4,12.4,12.0,42.9,50.1,Average,3.0,Pull Power,A-,Elevated power plane,50.1,Average,1.0,Good,12.6,57.7,99.7,0.745,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,51.42,32.42,Strong positive regression,Average Pull Power profile. 10.5% barrel rate; 85.9 mph average exit velocity; 24.1% air-ball rate; 56.3% pull-air rate; 7.9% HR-launch rate.,0.0448,0.042,3.87,0,0,18.9,0.0,0.0,Very recent HR,453286.0,Max Scherzer,R,Switch vs RHP,12,12,50.0,7.02,1.54,12,2.16,6.48,4.5,358.0,5.3,18.7,13.7,51.2,32.1,80.8,92.9,111.5,0.522,12.0,45.5,99.9,0.561,9.2,4-Seam Fastball,L,LHB vs RHP,48.6,274,0.172,0.292,0.361,0.652,12,38,81,0.0438,10.1,0.629,146,0.0479,5.6,0.501,2,1,0,0/1,0.0,0.5,0.0,0.5,0,1,1,46.9,Neutral Matchup,Average,45.5,5,Pitch-level Statcast · last 5 MLB games,425,4-Seam Fastball,47.05882352941177,200.0,Slider,20.705882352941178,88.0,Curveball,15.058823529411764,64.0,Changeup,14.352941176470589,61.0,Cutter,2.823529411764706,12.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,0.991,0.978,66.7,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,48.6,38.2,45.5,77.0,50.0,45.0,54.4,6.63,1.35,1.121,1.035,0.975,1.0,0.975,0.98,15.29,13.36,84.4,33.2,D,Lineup unconfirmed,,,,,,,,,
