Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,EV50,Max Exit Velocity,Fast Swing Rate %,Squared-Up Rate %,Blast Rate %,Ideal Attack Angle %,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,L30 Barrel %,L30 Pull Air %,L30 EV50,L30 xSLG on Contact,Fast Swing Source,Squared-Up Source,Blast Source,Ideal Attack Angle Source,Barrels per PA,Barrels per PA %,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,SP Statcast BBE,SP Barrel % Allowed,SP Hard Hit % Allowed,SP Fly Ball % Allowed,SP Pull Air % Allowed,SP Sweet Spot % Allowed,SP Avg EV Allowed,SP EV50 Allowed,SP Max EV Allowed,SP xSLG on Contact Allowed,SP Statcast HR Allowed,Pitch Type Matchup Score,Pitch Mix Coverage %,Weighted xSLG vs Pitch Mix,Weighted Barrel % vs Pitch Mix,Primary Pitch Matchup,Effective Batter Side,Handedness Matchup,Handedness Matchup Score,Hitter Split PA,Hitter Split AVG,Hitter Split OBP,Hitter Split SLG,Hitter Split OPS,Hitter Split HR,Hitter Split BB,Hitter Split K,Hitter HR/PA vs Hand,Hitter Barrel % vs Hand,Hitter xSLG vs Hand,Pitcher Split PA Allowed,Pitcher HR/PA Allowed vs Side,Pitcher Barrel % Allowed vs Side,Pitcher xSLG Allowed vs Side,Career BvP PA,Career BvP AB,Career BvP H,Career BvP Results,Career BvP AVG,Career BvP OBP,Career BvP SLG,Career BvP OPS,Career BvP HR,Career BvP BB,Career BvP K,Hitter vs Pitcher Matchup Score,Hitter vs Pitcher Matchup Label,Hitter vs Pitcher Matchup Band,Career BvP Component Score,Recent Pitch Mix Games,Recent Pitch Mix Source,Recent Pitch Mix Total,Recent Pitch 1 Name,Recent Pitch 1 Usage %,Recent Pitch 1 Count,Recent Pitch 2 Name,Recent Pitch 2 Usage %,Recent Pitch 2 Count,Recent Pitch 3 Name,Recent Pitch 3 Usage %,Recent Pitch 3 Count,Recent Pitch 4 Name,Recent Pitch 4 Usage %,Recent Pitch 4 Count,Recent Pitch 5 Name,Recent Pitch 5 Usage %,Recent Pitch 5 Count,Weather Condition,Temperature F,Wind,Wind MPH,Roof Closed,Park HR Factor,Park Multiplier,Weather Multiplier,Environment Score,Pitch Fit Multiplier,Pitcher Contact Multiplier,Hitter Power Component,Hitter Power Primary Metric,Hitter Power Secondary Metric,Hitter Power Third Metric,Hitter Power Fourth Metric,Handedness Matchup Component,Pitcher Vulnerability Component,Pitch Type Component,Recent Power Component,Environment Component,Lineup Component,HR Target Score,Target Score Probability %,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality,Recent Pitch 6 Name,Recent Pitch 6 Usage %,Recent Pitch 6 Count,Recent Pitch 7 Name,Recent Pitch 7 Usage %,Recent Pitch 7 Count
1,2026-09-06,824552,2026-09-06T22:20:00Z,Scheduled,Rate Field,Minnesota Twins @ Chicago White Sox,Home,808959,Munetaka Murakami,Chicago White Sox,Minnesota Twins,1B,L,No,,107,468,384,81,14,0,30,73,61,81,2,161,0.211,0.35,0.482,0.832,12,53,43,5,1,0.116,0.0189,27,118,96,13,5,0.135,0.0424,427,102,10.9,32.6,51.1,25.9,22.4,19.3,26.5,51.3,26.6,7.5,3.9,7.5,52.5,85.9,20.7,0.758,72.7,98.8,113.9,47.1,11.3,9.4,43.2,50.7,Average,3.0,Pull Power,A-,Elevated power plane,50.7,Average,1.002,Good,9.8,58.3,97.7,0.669,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,38.49,8.49,Strong positive regression,Average Pull Power profile. 10.9% barrel rate; 85.9 mph average exit velocity; 26.5% air-ball rate; 51.3% pull-air rate; 7.5% HR-launch rate.,0.0641,0.0576,4.09,0,0,12.8,0.0,0.0,Very recent HR,641927.0,Bailey Ober,R,LHB vs RHP,21,21,113.1,4.37,1.24,18,1.43,6.27,2.46,666.0,6.8,25.4,17.3,52.9,29.7,82.9,95.7,115.5,0.559,18.0,71.8,100.0,0.775,11.7,Changeup,L,LHB vs RHP,66.9,323,0.222,0.359,0.519,0.878,23,55,106,0.0712,13.1,0.823,271,0.0443,7.1,0.563,3,2,0,0/2,0.0,0.333,0.0,0.333,0,1,1,63.8,Slight Hitter Advantage,Above average,42.5,5,Pitch-level Statcast · last 5 MLB games,435,4-Seam Fastball,34.94252873563219,152.0,Changeup,30.57471264367816,133.0,Slider,20.689655172413794,90.0,Sweeper,12.183908045977011,53.0,Sinker,1.1494252873563218,5.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.044,0.993,69.2,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,66.9,48.3,71.8,66.7,50.0,45.0,61.8,9.72,0.81,1.053,1.025,1.0,1.002,1.002,0.98,21.53,14.04,85.0,37.1,D+,Lineup unconfirmed,Curveball,0.45977011494252873,2.0,,,
2,2026-09-06,823578,2026-09-06T17:40:00Z,Scheduled,Citi Field,San Francisco Giants @ New York Mets,Home,665742,Juan Soto,New York Mets,San Francisco Giants,LF,L,No,,91,386,318,87,8,2,23,50,56,65,0,51,0.274,0.395,0.528,0.923,7,27,25,4,2,0.16,0.0741,7,27,25,4,2,0.16,0.0741,443,22,10.1,35.1,52.1,23.9,23.5,24.0,37.5,49.0,29.3,12.0,6.8,12.0,61.1,86.4,18.6,0.69,70.9,99.2,113.5,31.6,19.6,10.2,64.0,54.5,Average,3.0,Pull Power,A,Excellent HR swing plane,54.5,Average,1.013,Good,13.6,45.5,100.3,0.658,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,40.28,17.28,Strong positive regression,Average Pull Power profile. 10.1% barrel rate; 86.4 mph average exit velocity; 37.5% air-ball rate; 49.0% pull-air rate; 12.0% HR-launch rate.,0.0596,0.053,4.25,8,2,13.8,0.58,57.9,Recently homered,702885.0,Cesar Perdomo,L,LHB vs LHP,1,0,4.0,2.25,1.0,1,2.25,9.0,2.25,23.0,8.7,26.1,21.7,85.7,30.4,83.7,94.0,109.0,0.641,1.0,67.3,100.0,0.772,9.5,4-Seam Fastball,L,LHB vs LHP,41.3,126,0.261,0.344,0.423,0.767,4,14,18,0.0317,6.0,0.533,7,0.1429,10.0,1.156,0,0,0,0/0,,,,,0,0,0,52.1,Neutral Matchup,Average,50.0,1,Pitch-level Statcast · last 5 MLB games,58,4-Seam Fastball,53.44827586206897,31.0,Slider,39.6551724137931,23.0,Changeup,6.896551724137931,4.0,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.035,1.012,60.2,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,41.3,57.4,67.3,74.3,50.0,45.0,60.7,9.12,1.159,1.011,0.985,1.03,1.013,1.043,1.0,20.68,16.47,79.2,41.5,D+,Lineup unconfirmed,,,,,,
3,2026-09-06,823578,2026-09-06T17:40:00Z,Scheduled,Citi Field,San Francisco Giants @ New York Mets,Home,668901,Mark Vientos,New York Mets,San Francisco Giants,1B,R,No,,77,264,247,54,9,0,13,27,39,12,3,62,0.219,0.261,0.413,0.674,4,10,10,4,2,0.4,0.2,4,10,10,4,2,0.4,0.2,331,11,8.0,33.5,38.9,26.9,34.2,17.6,28.5,41.4,26.7,9.0,6.2,9.0,67.1,85.4,19.4,0.626,72.4,96.9,109.2,33.1,14.2,11.9,61.6,43.1,Below Average,2.5,Contact-First Profile,A,Excellent HR swing plane,43.1,Below Average,0.981,Good,18.2,50.0,100.5,0.734,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,23.27,10.27,Strong positive regression,Below Average Contact-First Profile profile. 8.0% barrel rate; 85.4 mph average exit velocity; 28.5% air-ball rate; 41.4% pull-air rate; 9.0% HR-launch rate.,0.0492,0.0439,3.93,0,0,19.0,0.0,0.0,Very recent HR,702885.0,Cesar Perdomo,L,RHB vs LHP,1,0,4.0,2.25,1.0,1,2.25,9.0,2.25,23.0,8.7,26.1,21.7,85.7,30.4,83.7,94.0,109.0,0.641,1.0,69.8,100.0,0.802,9.3,4-Seam Fastball,R,RHB vs LHP,58.2,102,0.292,0.324,0.594,0.917,8,4,20,0.0784,7.5,0.685,8,0.0,7.7,0.125,0,0,0,0/0,,,,,0,0,0,60.6,Slight Hitter Advantage,Above average,50.0,1,Pitch-level Statcast · last 5 MLB games,58,4-Seam Fastball,53.44827586206897,31.0,Slider,39.6551724137931,23.0,Changeup,6.896551724137931,4.0,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.04,1.012,53.7,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,58.2,57.4,69.8,89.1,50.0,45.0,59.8,8.71,1.0,1.011,1.025,1.0,0.981,0.981,0.98,16.16,12.38,71.7,30.2,D,Lineup unconfirmed; Limited recent games,,,,,,
4,2026-09-06,824385,2026-09-06T17:40:00Z,Scheduled,Progressive Field,Detroit Tigers @ Cleveland Guardians,Away,680664,Eduardo Valencia,Detroit Tigers,Cleveland Guardians,DH,R,No,,29,90,88,27,8,0,6,14,18,1,1,26,0.307,0.322,0.602,0.924,6,22,22,5,0,0.227,0.0,16,53,52,13,2,0.25,0.0377,122,74,9.8,26.1,42.9,22.4,34.7,10.3,22.1,43.9,41.9,9.8,4.1,9.8,41.7,82.9,13.7,0.658,71.4,95.3,111.6,28.7,14.4,8.5,50.9,44.1,Below Average,3.0,Pull Power,A,Excellent HR swing plane,44.1,Below Average,0.983,Good,8.1,35.7,94.7,0.603,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,9.66,3.66,Positive regression,Below Average Pull Power profile. 9.8% barrel rate; 82.9 mph average exit velocity; 22.1% air-ball rate; 43.9% pull-air rate; 9.8% HR-launch rate.,0.0667,0.0469,4.23,36,11,14.7,2.45,245.5,Very long drought,668909.0,Gavin Williams,R,RHB vs RHP,28,28,163.0,3.81,1.09,27,1.49,11.98,2.76,797.0,6.0,26.5,12.3,38.1,29.9,83.5,95.4,116.0,0.63,27.0,100.0,98.8,0.914,22.9,Sweeper,R,RHB vs RHP,55.1,47,0.311,0.34,0.533,0.874,2,1,9,0.0426,11.7,0.642,263,0.0532,6.3,0.661,0,0,0,0/0,,,,,0,0,0,69.8,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,448,4-Seam Fastball,34.151785714285715,153.0,Curveball,28.348214285714285,127.0,Sweeper,26.5625,119.0,Sinker,10.491071428571429,47.0,Cutter,0.44642857142857145,2.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.1,0.985,59.1,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,55.1,39.5,100.0,41.8,50.0,45.0,58.3,8.04,0.822,1.062,0.985,1.055,0.983,1.038,1.06,18.37,12.88,62.7,41.3,D+,Lineup unconfirmed,,,,,,
5,2026-09-06,824309,2026-09-06T19:10:00Z,Scheduled,Coors Field,St. Louis Cardinals @ Colorado Rockies,Home,696100,Hunter Goodman,Colorado Rockies,St. Louis Cardinals,C,R,No,,122,507,457,114,18,1,36,76,76,42,4,166,0.249,0.316,0.53,0.846,11,47,43,10,2,0.233,0.0426,16,66,60,14,3,0.233,0.0455,608,81,8.0,28.0,49.2,25.3,25.1,16.2,25.7,47.4,26.9,7.3,4.6,7.3,63.4,84.2,22.2,0.702,73.5,96.6,114.8,44.4,11.5,10.0,65.7,45.0,Below Average,3.0,Pull Power,A-,Elevated power plane,45.0,Below Average,0.986,Good,7.4,36.8,96.2,0.658,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,41.78,5.78,Strong positive regression,Below Average Pull Power profile. 8.0% barrel rate; 84.2 mph average exit velocity; 25.7% air-ball rate; 47.4% pull-air rate; 7.3% HR-launch rate.,0.071,0.0635,4.09,33,9,12.7,2.6,260.0,Very long drought,681517.0,Kyle Leahy,R,RHB vs RHP,26,26,129.1,3.13,1.31,13,0.9,8.21,2.64,704.0,6.2,29.4,12.8,44.4,29.8,84.1,96.9,114.9,0.58,13.0,62.5,100.0,0.746,8.4,4-Seam Fastball,R,RHB vs RHP,54.2,339,0.239,0.298,0.54,0.838,27,23,105,0.0796,8.8,0.718,258,0.0194,5.4,0.521,6,6,0,0/6,0.0,0.0,0.0,0.0,0,0,6,53.3,Neutral Matchup,Average,35.0,5,Pitch-level Statcast · last 5 MLB games,367,4-Seam Fastball,21.798365122615802,80.0,Changeup,18.52861035422343,68.0,Slider,17.166212534059945,63.0,Curveball,15.803814713896458,58.0,Sweeper,14.713896457765667,54.0,Unknown,,Unknown,,No,118.0,1.18,1.0,82.4,1.025,0.988,60.4,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,54.2,44.6,62.5,44.2,82.4,45.0,56.6,7.37,0.876,0.968,0.985,1.03,0.986,1.016,1.06,23.55,15.35,82.3,47.0,C-,Lineup unconfirmed,Sinker,11.989100817438691,44.0,,,
6,2026-09-06,823417,2026-09-06T17:10:00Z,Scheduled,Citizens Bank Park,Atlanta Braves @ Philadelphia Phillies,Away,621566,Matt Olson,Atlanta Braves,Philadelphia Phillies,1B,L,No,,142,617,551,138,33,0,37,94,80,60,3,159,0.25,0.326,0.512,0.838,11,47,43,7,1,0.163,0.0213,26,109,101,17,4,0.168,0.0367,846,140,8.0,29.9,46.8,21.6,31.4,17.2,27.6,41.8,33.3,9.1,4.4,9.1,47.9,85.0,21.8,0.707,73.0,97.6,111.7,46.5,15.3,14.2,44.4,45.8,Below Average,3.0,Contact-First Profile,A-,Elevated power plane,45.8,Below Average,0.988,Good,7.1,33.3,97.2,0.69,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,59.11,22.11,Strong positive regression,Below Average Contact-First Profile profile. 8.0% barrel rate; 85.0 mph average exit velocity; 27.6% air-ball rate; 41.8% pull-air rate; 9.1% HR-launch rate.,0.06,0.0554,4.15,36,9,14.9,2.42,241.7,Very long drought,605400.0,Aaron Nola,R,LHB vs RHP,28,28,148.0,4.93,1.4,32,1.95,9.55,3.1,781.0,6.3,26.2,15.0,47.8,29.8,82.1,95.6,113.9,0.566,32.0,75.1,99.6,0.852,9.6,Knuckle Curve,L,LHB vs RHP,60.5,361,0.248,0.332,0.525,0.858,23,40,93,0.0637,9.2,0.774,394,0.0482,6.4,0.575,42,35,9,9/35,0.257,0.381,0.686,1.067,4,6,8,71.5,Slight Hitter Advantage,Above average,89.9,5,Pitch-level Statcast · last 5 MLB games,490,Knuckle Curve,33.265306122448976,163.0,4-Seam Fastball,23.46938775510204,115.0,Changeup,18.775510204081634,92.0,Sinker,16.3265306122449,80.0,Cutter,8.16326530612245,40.0,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.05,0.988,58.5,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,60.5,45.0,75.1,42.3,64.4,45.0,56.6,7.36,0.804,1.136,1.025,1.0,0.988,0.988,1.06,21.07,14.37,85.0,45.3,C-,Lineup unconfirmed,,,,,,
7,2026-09-06,824552,2026-09-06T22:20:00Z,Scheduled,Rate Field,Minnesota Twins @ Chicago White Sox,Home,695657,Colson Montgomery,Chicago White Sox,Minnesota Twins,SS,L,No,,134,566,506,108,22,0,31,66,82,47,11,193,0.213,0.293,0.441,0.734,11,47,41,9,4,0.22,0.0851,25,105,95,20,6,0.211,0.0571,633,127,9.1,29.0,55.6,25.0,19.0,14.4,24.5,59.0,32.2,8.4,5.2,8.4,49.6,84.1,23.8,0.684,74.5,97.1,115.7,64.4,14.8,14.0,51.2,51.2,Average,3.0,Pull Power,A-,Elevated power plane,51.2,Average,1.003,Good,10.2,65.4,97.7,0.718,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,50.11,19.11,Strong positive regression,Average Pull Power profile. 9.1% barrel rate; 84.1 mph average exit velocity; 24.5% air-ball rate; 59.0% pull-air rate; 8.4% HR-launch rate.,0.0548,0.0508,3.99,0,0,16.3,0.0,0.0,Very recent HR,641927.0,Bailey Ober,R,LHB vs RHP,21,21,113.1,4.37,1.24,18,1.43,6.27,2.46,666.0,6.8,25.4,17.3,52.9,29.7,82.9,95.7,115.5,0.559,18.0,47.2,100.0,0.607,7.8,Changeup,L,LHB vs RHP,53.2,393,0.191,0.275,0.4,0.675,20,35,144,0.0509,9.1,0.672,271,0.0443,7.1,0.563,2,2,1,1/2,0.5,0.5,2.0,2.5,1,0,0,51.5,Neutral Matchup,Average,55.0,5,Pitch-level Statcast · last 5 MLB games,435,4-Seam Fastball,34.94252873563219,152.0,Changeup,30.57471264367816,133.0,Slider,20.689655172413794,90.0,Sweeper,12.183908045977011,53.0,Sinker,1.1494252873563218,5.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,0.994,0.993,64.9,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,53.2,48.3,47.2,67.6,50.0,45.0,56.0,7.15,1.171,1.053,1.025,1.0,1.003,1.003,0.98,18.78,14.12,85.0,35.8,D,Lineup unconfirmed,Curveball,0.45977011494252873,2.0,,,
8,2026-09-06,823903,2026-09-07T02:10:00Z,Scheduled,UNIQLO Field at Dodger Stadium,Washington Nationals @ Los Angeles Dodgers,Away,695578,James Wood,Washington Nationals,Los Angeles Dodgers,RF,L,No,,117,549,450,120,28,1,30,101,74,91,4,157,0.267,0.392,0.533,0.925,3,14,13,4,0,0.308,0.0,3,14,13,4,0,0.308,0.0,551,9,11.4,36.6,42.6,20.0,37.1,12.9,29.5,37.3,34.8,8.4,3.5,8.4,42.3,88.2,11.8,0.857,73.9,100.6,115.5,60.9,17.0,18.9,40.9,56.0,Average,3.0,Balanced Power,A,Excellent HR swing plane,56.0,Average,1.017,Good,11.1,100.0,100.7,0.571,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,52.3,22.3,Strong positive regression,Average Balanced Power profile. 11.4% barrel rate; 88.2 mph average exit velocity; 29.5% air-ball rate; 37.3% pull-air rate; 8.4% HR-launch rate.,0.0546,0.0506,4.31,41,11,15.0,2.73,273.3,Very long drought,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unknown,L,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,60.7,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,75.7,50.0,45.0,56.0,7.15,0.87,1.0,1.0,1.03,1.017,1.047,1.06,20.05,12.67,68.1,41.9,D+,Probable SP unavailable; Lineup unconfirmed; Limited recent games,,,,,,
9,2026-09-06,823417,2026-09-06T17:10:00Z,Scheduled,Citizens Bank Park,Atlanta Braves @ Philadelphia Phillies,Home,656941,Kyle Schwarber,Philadelphia Phillies,Atlanta Braves,DH,L,No,,136,610,508,122,17,1,41,83,85,89,6,199,0.24,0.356,0.52,0.876,11,50,42,8,2,0.19,0.04,25,117,97,22,8,0.227,0.0684,686,133,10.6,30.8,62.6,19.7,17.4,15.3,27.1,59.1,29.3,9.7,6.7,9.7,53.5,85.8,19.0,0.768,74.4,98.0,114.2,68.3,14.9,16.6,65.0,56.7,Average,3.5,Pull Power,A,Excellent HR swing plane,56.7,Average,1.019,Good,11.3,61.1,97.1,0.701,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,63.43,22.43,Strong positive regression,Average Pull Power profile. 10.6% barrel rate; 85.8 mph average exit velocity; 27.1% air-ball rate; 59.1% pull-air rate; 9.7% HR-launch rate.,0.0672,0.0614,4.09,0,0,12.4,0.0,0.0,Very recent HR,641816.0,Tyler Mahle,R,LHB vs RHP,23,23,125.0,4.25,1.29,17,1.22,8.71,3.02,646.0,4.2,23.8,15.2,39.1,29.4,82.9,94.9,110.5,0.539,17.0,63.7,99.9,0.735,9.6,4-Seam Fastball,L,LHB vs RHP,58.1,386,0.221,0.338,0.514,0.852,28,57,136,0.0725,11.7,0.832,285,0.0316,3.2,0.507,8,7,3,3/7,0.429,0.5,0.857,1.357,1,1,4,62.4,Slight Hitter Advantage,Above average,70.0,5,Pitch-level Statcast · last 5 MLB games,444,4-Seam Fastball,49.549549549549546,220.0,Split-Finger,38.513513513513516,171.0,Cutter,11.26126126126126,50.0,Slider,0.6756756756756757,3.0,,,,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.027,0.967,67.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,58.1,29.4,63.7,68.9,64.4,45.0,55.8,7.07,0.944,1.019,1.025,1.03,1.019,1.049,0.98,22.84,14.97,85.0,39.2,D+,Lineup unconfirmed,,,,,,
10,2026-09-06,823822,2026-09-06T17:40:00Z,Scheduled,loanDepot park,Chicago Cubs @ Miami Marlins,Away,691718,Pete Crow-Armstrong,Chicago Cubs,Miami Marlins,CF,L,No,,143,641,551,154,28,7,39,105,94,75,11,169,0.279,0.375,0.568,0.943,12,57,52,14,6,0.269,0.1053,26,125,112,27,13,0.241,0.104,832,163,8.5,29.5,55.1,21.6,22.7,17.1,27.8,59.9,31.3,9.1,6.0,9.1,68.2,83.9,24.2,0.748,72.6,96.9,114.2,49.1,13.7,14.2,49.7,51.2,Average,3.0,Pull Power,A-,Elevated power plane,51.2,Average,1.003,Good,9.2,58.3,96.4,0.81,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,62.9,23.9,Strong positive regression,Average Pull Power profile. 8.5% barrel rate; 83.9 mph average exit velocity; 27.8% air-ball rate; 59.9% pull-air rate; 9.1% HR-launch rate.,0.0608,0.0563,4.23,8,2,14.1,0.57,56.6,Recently homered,663969.0,Tyler Phillips,R,LHB vs RHP,33,16,110.1,3.43,1.33,14,1.14,7.34,3.83,559.0,5.7,30.8,16.6,40.2,29.0,83.6,97.0,112.9,0.523,14.0,67.5,100.0,0.78,9.3,Sinker,L,LHB vs RHP,54.8,431,0.27,0.363,0.577,0.94,28,51,109,0.065,9.2,0.764,265,0.0264,5.9,0.543,0,0,0,0/0,,,,,0,0,0,58.3,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,348,Sweeper,27.298850574712645,95.0,Sinker,26.149425287356323,91.0,Split-Finger,23.850574712643677,83.0,Curveball,18.103448275862068,63.0,4-Seam Fastball,3.160919540229885,11.0,Unknown,,Unknown,,No,94.0,0.94,1.0,39.2,1.035,0.982,63.8,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,54.8,38.0,67.5,62.8,39.2,45.0,55.1,6.82,1.344,1.006,1.025,1.03,1.003,1.033,1.0,21.74,16.7,85.0,43.0,C-,Lineup unconfirmed,Slider,1.4367816091954022,5.0,,,
