rank,season,season_type,week,game_id,game_time,player_id,player_name,team,opponent,home_away,position,projected_sacks,median_sacks,p90_sacks,model_lambda,sacks_current,sacks_prior,sacks_l5_pg,sacks_l10_pg,sacks_season_pg,sacks_prior_pg,opp_sacks_allowed_pg,team_def_sacks_pg,qb_hits_l5_pg,qb_hurries_l5_pg,pressures_l5_pg,snaps_l5_pg,pass_rush_snaps_l5_pg,pressure_rate_l5,qb_hit_rate_l5,matchup_multiplier,pressure_multiplier,sample_reliability,matchup_score,confidence,ai_play_0_5,n_sims,prob_over_0_5,prob_over_1_0,prob_over_1_5,prob_over_2_0,prob_over_2_5,prob_over_3_0,prob_over_3_5,prob_over_4_0,prob_1_0_plus,prob_1_5_plus,prob_2_0_plus,prob_2_5_plus,prob_3_0_plus,prob_3_5_plus,prob_4_0_plus,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,tier
1,2026,REG,2,401872946,2026-09-20T17:00Z,00-0036333,Alex Highsmith,PIT,NE,AWAY,LB,1.652,1.5,3.0,1.6444,2.0,9.5,1.0,1.0,2.0,0.679,3.0,4.0,1.8,,2.8,,,,,1.352,1.012,1.0,69.0,90.0,MORE,25000,78.2,52.9,45.7,25.9,20.3,9.9,7.1,3.2,78.2,52.9,45.7,25.9,20.3,9.9,7.1,78.2,45.7,20.3,7.1,ELITE
2,2026,REG,2,401872941,2026-09-20T20:05Z,00-0034973,Maxx Crosby,LV,LAC,AWAY,DL,1.428,1.0,3.0,1.4277,1.5,10.0,1.1,0.75,1.5,0.667,3.0,5.0,1.6,,2.7,,,,,1.352,1.008,1.0,69.0,90.0,MORE,25000,73.2,45.1,38.5,19.8,15.4,6.7,4.6,1.8,73.2,45.1,38.5,19.8,15.4,6.7,4.6,73.2,38.5,15.4,4.6,ELITE
3,2026,REG,2,401872932,2026-09-18T00:15Z,00-0037236,Aidan Hutchinson,DET,BUF,AWAY,DL,1.381,1.0,3.0,1.3826,2.0,14.5,1.6,0.95,2.0,0.853,2.0,5.0,2.8,,4.4,,,,,0.901,1.076,1.0,45.0,90.0,MORE,25000,72.5,43.5,36.7,18.0,13.9,6.1,4.4,1.8,72.5,43.5,36.7,18.0,13.9,6.1,4.4,72.5,36.7,13.9,4.4,ELITE
4,2026,REG,2,401872940,2026-09-20T20:05Z,00-0035642,Josh Hines-Allen,JAX,DEN,AWAY,DL,1.23,1.0,3.0,1.227,1.5,9.0,0.7,0.85,1.5,0.5,3.0,5.0,1.8,,2.5,,,,,1.352,1.0,1.0,69.0,90.0,MORE,25000,67.8,38.1,31.9,14.4,10.9,4.3,3.0,1.1,67.8,38.1,31.9,14.4,10.9,4.3,3.0,67.8,31.9,10.9,3.0,ELITE
5,2026,REG,2,401872947,2026-09-22T00:15Z,00-0033868,Myles Garrett,LAR,NYG,HOME,LB,1.116,1.0,2.5,1.1258,0.0,23.0,0.8,1.8,,1.353,2.0,0.0,1.8,,2.6,,,,,0.901,1.004,1.0,45.0,90.0,MORE,25000,64.5,33.9,28.1,11.6,8.6,3.1,2.1,0.7,64.5,33.9,28.1,11.6,8.6,3.1,2.1,64.5,28.1,8.6,2.1,STRONG
6,2026,REG,2,401872936,2026-09-20T17:00Z,00-0036932,Micah Parsons,GB,NYJ,AWAY,LB,1.116,1.0,2.5,1.1191,0.0,12.5,1.2,1.0,,0.893,0.0,3.0,2.4,,3.6,,,,,1.0,1.044,1.0,20.0,90.0,MORE,25000,64.5,33.8,27.8,11.7,8.7,3.2,2.2,0.7,64.5,33.8,27.8,11.7,8.7,3.2,2.2,64.5,27.8,8.7,2.2,STRONG
7,2026,REG,2,401872946,2026-09-20T17:00Z,00-0033886,T.J. Watt,PIT,NE,AWAY,LB,1.075,1.0,2.5,1.0793,2.0,7.0,0.4,0.5,2.0,0.467,3.0,4.0,1.0,,1.4,,,,,1.352,0.956,1.0,69.0,90.0,MORE,25000,63.2,32.3,26.3,10.8,7.9,2.7,1.8,0.6,63.2,32.3,26.3,10.8,7.9,2.7,1.8,63.2,26.3,7.9,1.8,STRONG
8,2026,REG,2,401872938,2026-09-20T17:00Z,00-0038505,Tavius Robinson,BAL,NO,HOME,LB,1.039,1.0,2.0,1.0341,1.0,4.5,0.7,0.55,1.0,0.5,5.0,2.0,2.0,,2.7,,,,,1.45,1.008,1.0,90.0,90.0,MORE,25000,62.0,30.4,24.8,9.8,7.4,2.7,1.9,0.6,62.0,30.4,24.8,9.8,7.4,2.7,1.9,62.0,24.8,7.4,1.9,STRONG
9,2026,REG,2,401872935,2026-09-20T17:00Z,00-0033964,Al-Quadin Muhammad,TB,CLE,HOME,LB,0.985,1.0,2.0,0.9827,0.0,11.0,1.0,0.75,0.0,0.846,5.0,1.0,2.0,,3.0,,,,,1.45,1.02,1.0,90.0,90.0,MORE,25000,59.6,28.6,23.3,9.0,6.6,2.2,1.4,0.4,59.6,28.6,23.3,9.0,6.6,2.2,1.4,59.6,23.3,6.6,1.4,STRONG
10,2026,REG,2,401872941,2026-09-20T20:05Z,00-0036479,Kwity Paye,LV,LAC,AWAY,DL,0.975,1.0,2.0,0.9727,2.0,4.0,0.4,0.3,2.0,0.25,3.0,5.0,1.0,,1.4,,,,,1.352,0.956,1.0,69.0,90.0,MORE,25000,59.0,28.3,23.0,8.8,6.4,2.0,1.3,0.4,59.0,28.3,23.0,8.8,6.4,2.0,1.3,59.0,23.0,6.4,1.3,STRONG
