rank,season,season_type,week,game_id,game_time,player_id,player_name,team,opponent,home_away,position,projected_sacks,median_sacks,p90_sacks,model_lambda,sacks_current,sacks_prior,sacks_l5_pg,sacks_l10_pg,sacks_season_pg,sacks_prior_pg,opp_sacks_allowed_pg,team_def_sacks_pg,qb_hits_l5_pg,qb_hurries_l5_pg,pressures_l5_pg,snaps_l5_pg,pass_rush_snaps_l5_pg,pressure_rate_l5,qb_hit_rate_l5,qb_hits_source,hurries_source,pressures_source,rush_snaps_source,matchup_multiplier,pressure_multiplier,sample_reliability,matchup_score,confidence,ai_play_0_5,n_sims,prob_over_0_5,prob_over_1_0,prob_over_1_5,prob_over_2_0,prob_over_2_5,prob_over_3_0,prob_over_3_5,prob_over_4_0,prob_1_0_plus,prob_1_5_plus,prob_2_0_plus,prob_2_5_plus,prob_3_0_plus,prob_3_5_plus,prob_4_0_plus,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,tier
1,2026,REG,3,401872953,2026-09-27T17:00Z,00-0036914,Greg Rousseau,BUF,LAC,HOME,LB,1.655,1.5,3.0,1.65,4.0,8.0,1.1,0.9,2.0,0.444,3.0,3.5,3.2,6.153,11.034,,147.1,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.2,1.0,66.0,90.0,MORE,20000,79.1,52.8,45.5,25.7,20.2,9.9,6.9,3.1,79.1,52.8,45.5,25.7,20.2,9.9,6.9,79.1,45.5,20.2,6.9,ELITE
2,2026,REG,3,401872948,2026-09-25T00:15Z,00-0036932,Micah Parsons,GB,ATL,HOME,LB,1.649,1.5,3.0,1.65,0.0,12.5,1.2,1.0,,0.893,3.0,3.5,2.4,4.521,8.276,,110.3,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.2,1.0,66.0,90.0,MORE,20000,78.6,52.5,45.5,25.7,20.2,9.7,6.9,3.1,78.6,52.5,45.5,25.7,20.2,9.7,6.9,78.6,45.5,20.2,6.9,ELITE
3,2026,REG,3,401872950,2026-09-27T17:00Z,00-0036333,Alex Highsmith,PIT,CIN,HOME,LB,1.639,1.5,3.0,1.65,3.0,9.5,1.2,0.9,1.5,0.679,3.0,3.5,2.0,3.717,6.897,,92.0,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.176,1.0,66.0,90.0,MORE,20000,78.6,52.5,44.7,25.0,19.9,9.8,6.9,3.1,78.6,52.5,44.7,25.0,19.9,9.8,6.9,78.6,44.7,19.9,6.9,ELITE
4,2026,REG,3,401872959,2026-09-27T20:05Z,00-0039924,Dallas Turner,MIN,TB,AWAY,LB,1.641,1.5,3.0,1.65,3.0,8.0,1.1,0.95,1.5,0.471,3.5,4.0,2.8,5.349,9.655,,128.7,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,1.2,1.0,78.0,90.0,MORE,20000,78.0,53.0,45.4,25.6,19.9,9.9,6.9,2.9,78.0,53.0,45.4,25.6,19.9,9.9,6.9,78.0,45.4,19.9,6.9,ELITE
5,2026,REG,3,401872948,2026-09-25T00:15Z,00-0040578,James Pearce Jr.,ATL,GB,AWAY,LB,1.582,1.5,3.0,1.5737,0.0,10.5,1.1,1.0,,0.7,3.5,2.0,1.2,2.812,5.0,,47.6,10.5,2.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,1.1,1.0,78.0,90.0,MORE,20000,77.2,50.7,43.5,23.7,18.3,8.7,6.3,2.7,77.2,50.7,43.5,23.7,18.3,8.7,6.3,77.2,43.5,18.3,6.3,ELITE
6,2026,REG,3,401872959,2026-09-27T20:05Z,00-0035272,Andrew Van Ginkel,MIN,TB,AWAY,LB,1.536,1.0,3.0,1.5392,2.5,7.0,1.0,0.75,1.25,0.583,3.5,4.0,1.8,3.19,5.806,,61.1,9.5,2.9,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,1.132,1.0,78.0,90.0,MORE,20000,76.1,48.8,41.8,22.1,17.2,8.3,6.0,2.6,76.1,48.8,41.8,22.1,17.2,8.3,6.0,76.1,41.8,17.2,6.0,ELITE
7,2026,REG,3,401872954,2026-09-27T17:00Z,00-0037236,Aidan Hutchinson,DET,NYJ,HOME,DL,1.354,1.0,3.0,1.3756,3.0,14.5,1.6,1.05,1.5,0.853,2.0,3.5,2.6,4.288,7.879,,75.0,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,1.2,1.0,43.0,90.0,MORE,20000,72.0,42.6,36.1,17.6,13.5,5.3,3.6,1.3,72.0,42.6,36.1,17.6,13.5,5.3,3.6,72.0,36.1,13.5,3.6,ELITE
8,2026,REG,3,401872950,2026-09-27T17:00Z,00-0033886,T.J. Watt,PIT,CIN,HOME,LB,1.289,1.0,3.0,1.2828,3.5,7.0,0.7,0.65,1.75,0.467,3.0,3.5,1.4,2.501,4.516,,47.5,9.5,2.9,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.081,1.0,66.0,90.0,MORE,20000,69.9,40.1,33.4,16.1,12.2,4.8,3.3,1.3,69.9,40.1,33.4,16.1,12.2,4.8,3.3,69.9,33.4,12.2,3.3,ELITE
9,2026,REG,3,401872961,2026-09-27T20:25Z,00-0034973,Maxx Crosby,LV,NO,AWAY,DL,1.113,1.0,2.5,1.1168,1.5,10.0,0.7,0.75,0.75,0.667,4.0,4.0,1.4,2.349,4.242,,40.4,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,1.07,1.0,90.0,90.0,MORE,20000,64.4,33.6,27.6,11.5,8.6,3.2,1.9,0.6,64.4,33.6,27.6,11.5,8.6,3.2,1.9,64.4,27.6,8.6,1.9,STRONG
10,2026,REG,3,401872948,2026-09-25T00:15Z,00-0039112,Lukas Van Ness,GB,ATL,HOME,LB,1.081,1.0,2.5,1.0903,2.5,2.5,0.7,0.556,1.25,0.357,3.0,3.5,1.6,3.039,5.517,,73.6,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.121,1.0,66.0,85.0,MORE,20000,63.3,32.4,26.7,10.9,8.1,2.9,1.9,0.5,63.3,32.4,26.7,10.9,8.1,2.9,1.9,63.3,26.7,8.1,1.9,STRONG
