player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_fg_made,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,prob_0_5_plus,prob_1_plus,prob_1_5_plus,prob_2_plus,prob_2_5_plus,prob_3_plus,prob_3_5_plus,prob_4_plus,prob_4_5_plus,prob_5_plus,prob_5_5_plus
00-0032726,Ka'imi Fairbairn,HOU,LAC,K,K,ACT,10.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_LAC_HOU,,home,2.787,2.787,3.0,1.0,5.0,1.833,41,3.4,3.3,2.933,2.933,3.6,0.92,0.991,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,91.77,91.77,73.4,73.4,50.77,50.77,31.06,31.06,17.17,17.17,8.73
00-0031492,Jason Myers,SEA,DAL,K,K,ACT,11.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_DAL_SEA,,home,2.453,2.453,2.0,0.0,5.0,1.724,49,3.4,3.0,2.6,2.562,3.8,0.92,0.955,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,88.98,88.98,67.09,67.09,43.18,43.18,24.43,24.43,12.39,12.39,5.71
00-0034173,Eddy Pineiro,SF,TEN,K,K,ACT,8.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_TEN_SF,,home,2.22,2.22,2.0,0.0,4.0,1.655,40,2.2,2.6,2.067,2.545,2.4,0.92,1.077,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,86.21,86.21,61.76,61.76,37.59,37.59,20.2,20.2,9.67,9.67,4.19
00-0039576,Spencer Shrader,IND,NE,K,K,ACT,2.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_IND_NE,,away,2.142,2.142,2.0,0.0,4.0,1.624,6,3.2,3.0,3.0,3.25,3.4,0.92,0.903,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,85.23,85.23,59.94,59.94,35.77,35.77,18.67,18.67,8.75,8.75,3.77
00-0037692,Brandon Aubrey,DAL,SEA,K,K,ACT,4.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_DAL_SEA,,away,2.141,2.141,2.0,0.0,4.0,1.675,50,2.8,2.1,2.0,2.118,3.6,0.92,0.979,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,84.13,84.13,59.02,59.02,35.61,35.61,19.16,19.16,9.33,9.33,4.26
00-0034794,Jason Sanders,NYJ,TB,K,K,ACT,8.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_TB_NYJ,,home,2.108,2.108,2.0,0.0,4.0,1.612,29,3.0,2.5,2.267,2.176,3.0,0.92,0.913,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,84.67,84.67,59.13,59.13,35.05,35.05,18.09,18.09,8.45,8.45,3.55
00-0035358,Chase McLaughlin,TB,NYJ,K,K,ACT,7.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_TB_NYJ,,away,2.096,2.096,2.0,0.0,4.0,1.607,45,2.0,1.9,2.067,2.0,2.4,0.92,1.15,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,84.62,84.62,58.92,58.92,34.59,34.59,17.78,17.78,8.22,8.22,3.52
00-0032569,Wil Lutz,DEN,ATL,K,K,ACT,10.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_DEN_ATL,,away,2.086,2.086,2.0,0.0,4.0,1.606,46,2.2,2.0,1.867,1.867,2.4,0.92,1.122,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,84.56,84.56,58.43,58.43,34.32,34.32,17.72,17.72,8.25,8.25,3.47
00-0033303,Harrison Butker,KC,LAR,K,K,ACT,9.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_LAR_KC,,home,2.083,2.083,2.0,0.0,4.0,1.607,42,2.4,2.3,2.2,2.357,2.8,0.92,1.004,PLAYER_HISTORY,100000,NFL_FG_MADE_V1,84.23,84.23,58.49,58.49,34.43,34.43,17.64,17.64,8.16,8.16,3.44
00-0038748,B.T. Potter,TB,NYJ,K,K,ACT,3.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_TB_NYJ,,away,2.07,2.07,2.0,0.0,4.0,1.596,0,,,,,,0.92,1.15,TEAM_LEAGUE_PRIOR,100000,NFL_FG_MADE_V1,84.34,84.34,58.38,58.38,33.85,33.85,17.33,17.33,7.97,7.97,3.34
