player_id,player_name,team,opponent,position,depth_chart_position,status,season,season_type,week,target_slate,game_id,game_date,home_away,projected_fg_made,projected_fg_attempts,fg_make_rate,fg_make_rate_weather_adjusted,fg_weather_stadium,fg_weather_stadium_type,fg_weather_roof,fg_weather_temperature_f,fg_weather_humidity_pct,fg_weather_pressure_hpa,fg_weather_elevation_ft,fg_weather_wind_mph,fg_weather_gust_mph,fg_weather_wind_direction_deg,fg_weather_field_bearing_deg,fg_weather_crosswind_mph,fg_weather_headwind_mph,fg_weather_gust_crosswind_mph,fg_weather_gust_headwind_mph,fg_weather_precip_pct,fg_weather_precip_in,fg_weather_rating,fg_weather_multiplier,fg_weather_short_multiplier,fg_weather_mid_multiplier,fg_weather_long_multiplier,fg_weather_extreme_multiplier,fg_weather_risk,fg_1_19_make_pct_5y,fg_1_19_attempts_5y,fg_1_19_makes_5y,fg_20_29_make_pct_5y,fg_20_29_attempts_5y,fg_20_29_makes_5y,fg_30_39_make_pct_5y,fg_30_39_attempts_5y,fg_30_39_makes_5y,fg_40_49_make_pct_5y,fg_40_49_attempts_5y,fg_40_49_makes_5y,fg_50_59_make_pct_5y,fg_50_59_attempts_5y,fg_50_59_makes_5y,fg_60_plus_make_pct_5y,fg_60_plus_attempts_5y,fg_60_plus_makes_5y,fg_distance_identity_source,fg_1_19_source,fg_20_29_source,fg_30_39_source,fg_40_49_source,fg_50_59_source,fg_60_plus_source,recent_fg_made_pg,recent_fg_attempts_pg,kicker_role_stability,historical_kicking_games,preseason_usage_multiplier,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,data_source,simulations,model_version,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,prob_5_plus
00-0039576,Spencer Shrader,IND,ATL,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_ATL_IND,,home,2.591,2.91,88.53,89.64,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,100.0,7,7,100.0,6,6,100.0,4,4,50.0,2,1,,0,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,2.977,3.178,79.7,6,0.915,2.591,2.0,1.0,5.0,1.586,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,92.43,73.19,48.27,26.5,12.35
00-0032726,Ka'imi Fairbairn,HOU,LV,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_LV_HOU,,home,2.589,2.88,89.28,90.4,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,95.24,42,40,95.92,49,47,87.5,40,35,78.0,50,39,100.0,1,1,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.923,3.147,70.6,47,0.915,2.589,2.0,1.0,5.0,1.583,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,92.43,73.3,48.13,26.43,12.35
00-0031492,Jason Myers,SEA,TEN,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_SEA_TEN,,away,2.489,2.83,87.27,88.36,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,96.88,32,31,92.06,63,58,82.0,50,41,78.05,41,32,0.0,3,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.78,3.093,75.2,52,0.915,2.489,2.0,1.0,5.0,1.556,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,91.79,71.14,45.56,24.22,10.85
00-0040530,Ben Sauls,NYG,MIA,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NYG_MIA,,away,2.341,2.65,87.2,88.29,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,100.0,3,3,100.0,4,4,100.0,1,1,,0,0,,0,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,NO_SAMPLE,2.9,2.9,76.2,3,0.915,2.341,2.0,1.0,4.0,1.512,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,90.51,68.0,41.5,20.98,9.03
00-0033303,Harrison Butker,KC,TB,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_KC_TB,,away,2.091,2.44,84.97,86.04,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,100.0,2,2,97.83,46,45,94.23,52,49,86.84,38,33,66.67,36,24,66.67,3,2,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.347,2.667,70.2,48,0.915,2.091,2.0,0.0,4.0,1.439,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,87.59,61.83,34.8,16.14,6.25
00-0034794,Jason Sanders,NYJ,PIT,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NYJ_PIT,,away,2.106,2.28,91.18,92.32,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,96.0,25,24,94.59,37,35,82.5,40,33,63.64,33,21,,0,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,2.347,2.493,74.1,29,0.915,2.106,2.0,0.0,4.0,1.449,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,87.56,62.24,35.37,16.39,6.43
00-0039229,Charlie Smyth,NO,LAR,K,K,E14,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NO_LAR,,away,2.097,2.57,80.8,81.81,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,100.0,1,1,100.0,4,4,60.0,5,3,80.0,5,4,0.0,1,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.07,2.807,63.9,6,0.915,2.097,2.0,0.0,4.0,1.441,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,87.5,62.08,35.11,16.38,6.25
00-0037692,Brandon Aubrey,DAL,ARI,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_DAL_ARI,,away,2.016,2.33,86.0,87.08,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,100.0,23,23,87.1,31,27,93.33,30,28,82.86,35,29,66.67,9,6,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.077,2.547,64.0,51,0.915,2.016,2.0,0.0,4.0,1.416,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,86.63,59.87,32.74,14.68,5.53
00-0037224,Cameron Dicker,LAC,SF,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_SF_LAC,,home,1.916,2.1,90.9,92.03,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,100.0,1,1,100.0,33,33,97.56,41,40,92.86,42,39,78.57,28,22,,0,0,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,2.093,2.297,68.0,51,0.915,1.916,2.0,0.0,4.0,1.383,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,85.22,56.97,30.26,12.89,4.51
00-0035269,Matt Gay,LV,HOU,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_LV_HOU,,away,1.904,2.33,80.83,81.84,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,100.0,38,38,96.15,52,50,89.74,39,35,59.09,44,26,0.0,2,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,1.94,2.547,75.9,40,0.915,1.904,2.0,0.0,4.0,1.373,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,85.22,56.79,29.6,12.64,4.5
00-0034173,Eddy Pineiro,SF,LAC,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_SF_LAC,,away,1.894,2.08,90.59,91.72,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,100.0,22,22,95.35,43,41,88.89,45,40,84.21,19,16,0.0,1,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.147,2.27,76.2,42,0.915,1.894,2.0,0.0,4.0,1.368,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,85.01,56.62,29.48,12.3,4.33
00-0035358,Chase McLaughlin,TB,KC,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_KC_TB,,home,1.893,2.16,86.35,87.43,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,100.0,36,36,92.68,41,38,69.23,39,27,83.33,48,40,100.0,1,1,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.04,2.363,77.1,48,0.915,1.893,2.0,0.0,4.0,1.379,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,84.71,56.35,29.64,12.47,4.48
00-0031136,Chris Boswell,PIT,NYJ,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NYJ_PIT,,home,1.88,2.15,86.35,87.43,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,100.0,37,37,89.74,39,35,80.39,51,41,87.5,48,42,33.33,3,1,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.007,2.35,80.3,46,0.915,1.88,2.0,0.0,4.0,1.369,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,84.61,56.2,29.11,12.25,4.29
00-0032569,Wil Lutz,DEN,GB,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_GB_DEN,,home,1.871,2.23,83.06,84.09,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,100.0,31,31,92.0,50,46,73.33,30,22,66.67,24,16,33.33,3,1,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.053,2.433,74.5,49,0.915,1.871,2.0,0.0,4.0,1.364,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,84.52,55.9,28.89,12.13,4.2
00-0038152,Lucas Havrisik,GB,DEN,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_GB_DEN,,away,1.856,2.26,81.42,82.44,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,100.0,8,8,100.0,5,5,42.86,7,3,66.67,3,2,100.0,1,1,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,1.982,2.47,80.7,10,0.915,1.856,2.0,0.0,4.0,1.367,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,84.15,55.09,28.52,12.15,4.26
00-0039404,Will Reichard,MIN,BAL,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_BAL_MIN,,home,1.827,2.04,88.51,89.62,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,100.0,11,11,94.12,17,16,85.71,14,12,78.26,23,18,100.0,1,1,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.117,2.23,80.7,29,0.915,1.827,2.0,0.0,4.0,1.348,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,83.94,54.57,27.6,11.34,3.85
00-0040074,Tyler Loop,BAL,MIN,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_BAL_MIN,,away,1.841,2.1,87.2,88.29,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,100.0,10,10,100.0,11,11,88.89,9,8,25.0,4,1,,0,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,1.997,2.293,74.1,15,0.915,1.841,2.0,0.0,4.0,1.362,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,83.93,54.88,27.97,11.66,4.12
00-0033862,Zane Gonzalez,MIA,NYG,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NYG_MIA,,home,1.838,2.16,83.82,84.87,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,100.0,8,8,87.5,8,7,92.59,27,25,68.75,16,11,,0,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,1.983,2.363,76.2,17,0.915,1.838,2.0,0.0,4.0,1.36,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,83.93,54.68,28.09,11.64,4.05
00-0040200,Andy Borregales,NE,PHI,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_PHI_NE,,home,1.8,2.17,81.96,82.98,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,100.0,2,2,100.0,8,8,90.91,11,10,58.33,12,7,100.0,4,4,0.0,1,0,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,1.893,2.37,70.2,16,0.915,1.8,2.0,0.0,4.0,1.345,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,83.32,53.53,26.99,11.16,3.74
00-0039498,Harrison Mevis,LAR,NO,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NO_LAR,,home,1.746,1.95,88.53,89.64,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,100.0,3,3,100.0,4,4,90.0,10,9,100.0,2,2,,0,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,2.029,2.131,75.8,9,0.915,1.746,2.0,0.0,4.0,1.321,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,82.46,52.07,25.6,10.08,3.28
00-0031203,Cairo Santos,CHI,CIN,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_CHI_CIN,,away,1.745,2.02,85.51,86.58,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,100.0,31,31,97.3,37,36,80.39,51,41,80.0,30,24,0.0,1,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,1.91,2.203,63.3,44,0.915,1.745,2.0,0.0,4.0,1.325,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,82.41,51.97,25.44,10.14,3.42
00-0038097,Cade York,NYJ,PIT,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NYJ_PIT,,away,1.686,2.1,79.73,80.73,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,100.0,10,10,73.33,15,11,63.64,11,7,62.5,8,5,0.0,1,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,1.698,2.295,75.0,6,0.915,1.686,2.0,0.0,3.0,1.303,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,81.24,50.09,24.09,9.18,3.03
00-0025565,Nick Folk,ATL,IND,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_ATL_IND,,away,1.661,1.75,93.68,94.85,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,100.0,1,1,100.0,37,37,100.0,39,39,89.58,48,43,81.82,33,27,,0,0,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,1.837,1.913,77.5,40,0.915,1.661,1.0,0.0,3.0,1.284,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,81.1,49.62,23.11,8.62,2.75
00-0038562,Jake Moody,WAS,DET,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_WAS_DET,,away,1.669,2.25,73.44,74.36,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,91.67,24,22,91.3,23,21,61.54,26,16,64.71,17,11,,0,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,1.833,2.46,76.4,38,0.915,1.669,1.0,0.0,3.0,1.293,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,80.94,49.73,23.54,9.06,2.85
00-0039409,Cam Little,JAX,CAR,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_CAR_JAX,,home,1.656,1.85,88.3,89.41,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,100.0,13,13,100.0,15,15,85.0,20,17,73.33,15,11,100.0,2,2,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,1.733,2.023,84.2,31,0.915,1.656,1.0,0.0,3.0,1.285,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,80.87,49.25,23.24,8.64,2.73
00-0036816,Riley Patterson,MIA,NYG,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NYG_MIA,,home,1.659,1.88,87.35,88.44,,OUTDOOR,OUTDOOR,,,,,,,,,,,,,,,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,,0,0,94.74,19,18,95.12,41,39,87.88,33,29,53.85,13,7,,0,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,1.887,2.053,74.0,25,0.915,1.659,1.0,0.0,3.0,1.291,ADVANCED_FG_MADE,50000,NFL_FG_MADE_V1,80.66,49.31,23.58,8.76,2.75
