player_id,player_name,team,opponent,position,depth_chart_position,status,season,season_type,week,target_slate,game_id,game_date,home_away,projected_fg_made,projected_fg_attempts,fg_make_rate,fg_make_rate_weather_adjusted,fg_weather_stadium,fg_weather_stadium_type,fg_weather_roof,fg_weather_temperature_f,fg_weather_humidity_pct,fg_weather_pressure_hpa,fg_weather_elevation_ft,fg_weather_wind_mph,fg_weather_gust_mph,fg_weather_wind_direction_deg,fg_weather_field_bearing_deg,fg_weather_crosswind_mph,fg_weather_headwind_mph,fg_weather_gust_crosswind_mph,fg_weather_gust_headwind_mph,fg_weather_precip_pct,fg_weather_precip_in,fg_weather_rating,fg_weather_multiplier,fg_weather_short_multiplier,fg_weather_mid_multiplier,fg_weather_long_multiplier,fg_weather_extreme_multiplier,fg_weather_risk,fg_weather_source,fg_weather_confidence_pct,fg_weather_uncertainty_score,fg_weather_condition,fg_weather_window,fg_1_19_make_pct_5y,fg_1_19_attempts_5y,fg_1_19_makes_5y,fg_20_29_make_pct_5y,fg_20_29_attempts_5y,fg_20_29_makes_5y,fg_30_39_make_pct_5y,fg_30_39_attempts_5y,fg_30_39_makes_5y,fg_40_49_make_pct_5y,fg_40_49_attempts_5y,fg_40_49_makes_5y,fg_50_59_make_pct_5y,fg_50_59_attempts_5y,fg_50_59_makes_5y,fg_60_plus_make_pct_5y,fg_60_plus_attempts_5y,fg_60_plus_makes_5y,fg_distance_identity_source,fg_1_19_source,fg_20_29_source,fg_30_39_source,fg_40_49_source,fg_50_59_source,fg_60_plus_source,recent_fg_made_pg,recent_fg_attempts_pg,kicker_role_stability,historical_kicking_games,preseason_usage_multiplier,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,data_source,simulations,model_version,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,prob_5_plus
00-0039576,Spencer Shrader,IND,DET,K,K,ACT,2026,PRE,3,2026 PRE W3,2026_PRE_W3_DET_IND,,home,2.562,2.91,88.53,88.53,Lucas Oil Stadium,INDOOR,INDOOR,79.2,69.2,988.7,715.0,12.2,17.9,292.0,,,,,,1.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,INDOOR / CONTROLLED,Open-Meteo,100.0,0.0,,Kickoff through +3h,,0,0,100.0,7,7,100.0,6,6,100.0,4,4,50.0,2,1,,0,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,2.977,3.178,79.7,6,0.915,2.562,2.0,1.0,5.0,1.577,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,92.22,72.6,47.48,26.02,11.92
00-0032726,Ka'imi Fairbairn,HOU,CAR,K,K,ACT,2026,PRE,3,2026 PRE W3,2026_PRE_W3_HOU_CAR,,away,2.554,2.88,89.28,89.28,Reliant Stadium,INDOOR,INDOOR,86.0,69.8,1012.9,39.0,7.5,16.3,204.0,,,,,,1.2,0.0,100.0,1.0,1.0,1.0,1.0,1.0,INDOOR / CONTROLLED,Open-Meteo,100.0,0.0,,Kickoff through +3h,,0,0,95.24,42,40,95.92,49,47,87.5,40,35,78.0,50,39,100.0,1,1,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.923,3.147,70.6,47,0.915,2.554,2.0,1.0,5.0,1.57,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,92.17,72.67,47.37,25.61,11.74
00-0031492,Jason Myers,SEA,KC,K,K,ACT,2026,PRE,3,2026 PRE W3,2026_PRE_W3_SEA_KC,,away,2.485,2.83,87.27,88.36,Nissan Stadium,OUTDOOR,OUTDOOR,75.8,62.2,997.0,558.0,2.4,5.0,226.0,,,,,,0.0,0.0,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,Open-Meteo,100.0,0.0,,Kickoff through +3h,,0,0,96.88,32,31,92.06,63,58,82.0,50,41,78.05,41,32,0.0,3,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.78,3.093,75.2,52,0.915,2.485,2.0,1.0,5.0,1.552,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,91.76,71.09,45.45,24.18,10.78
00-0040530,Ben Sauls,NYG,NYJ,K,K,ACT,2026,PRE,3,2026 PRE W3,2026_PRE_W3_NYG_NYJ,,away,2.331,2.65,87.2,88.29,Hard Rock Stadium,OUTDOOR,OUTDOOR,84.6,75.5,1015.4,7.0,4.9,8.7,163.0,,,,,,20.2,0.0,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,Open-Meteo,100.0,0.0,,Kickoff through +3h,,0,0,100.0,3,3,100.0,4,4,100.0,1,1,,0,0,,0,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,NO_SAMPLE,2.9,2.9,76.2,3,0.915,2.331,2.0,1.0,4.0,1.515,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,90.3,67.56,41.32,20.87,8.95
00-0034794,Jason Sanders,NYJ,NYG,K,K,ACT,2026,PRE,3,2026 PRE W3,2026_PRE_W3_NYG_NYJ,,home,2.109,2.28,91.18,92.32,Acrisure Stadium,OUTDOOR,OUTDOOR,72.8,68.2,988.8,764.0,2.5,4.8,62.0,335.0,2.5,0.1,4.8,0.3,0.0,0.0,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,Open-Meteo,100.0,0.0,,Kickoff through +3h,,0,0,96.0,25,24,94.59,37,35,82.5,40,33,63.64,33,21,,0,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,2.347,2.493,74.1,29,0.915,2.109,2.0,0.0,4.0,1.448,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,87.76,62.32,35.37,16.41,6.37
00-0039229,Charlie Smyth,NO,DAL,K,K,E14,2026,PRE,3,2026 PRE W3,2026_PRE_W3_NO_DAL,,away,2.102,2.57,80.8,81.81,SoFi Stadium,OUTDOOR,OUTDOOR,85.4,59.0,1008.1,131.0,8.2,9.1,268.0,,,,,,0.0,0.0,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,Open-Meteo,100.0,0.0,,Kickoff through +3h,,0,0,100.0,1,1,100.0,4,4,60.0,5,3,80.0,5,4,0.0,1,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.07,2.807,63.9,6,0.915,2.102,2.0,0.0,4.0,1.443,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,87.65,62.07,35.26,16.44,6.35
00-0033303,Harrison Butker,KC,SEA,K,K,ACT,2026,PRE,3,2026 PRE W3,2026_PRE_W3_SEA_KC,,home,2.085,2.44,84.97,86.04,Raymond James Stadium,OUTDOOR,OUTDOOR,84.7,67.8,1014.5,3.0,5.8,10.2,222.0,,,,,,3.5,0.0,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,Open-Meteo,100.0,0.0,,Kickoff through +3h,100.0,2,2,97.83,46,45,94.23,52,49,86.84,38,33,66.67,36,24,66.67,3,2,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.347,2.667,70.2,48,0.915,2.085,2.0,0.0,4.0,1.436,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,87.52,61.69,34.66,16.02,6.19
00-0037692,Brandon Aubrey,DAL,NO,K,K,ACT,2026,PRE,3,2026 PRE W3,2026_PRE_W3_NO_DAL,,home,1.997,2.33,86.0,86.0,State Farm Stadium,INDOOR,INDOOR,105.1,12.8,969.3,1152.0,6.8,17.5,175.0,,,,,,1.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,INDOOR / CONTROLLED,Open-Meteo,100.0,0.0,,Kickoff through +3h,,0,0,100.0,23,23,87.1,31,27,93.33,30,28,82.86,35,29,66.67,9,6,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.077,2.547,64.0,51,0.915,1.997,2.0,0.0,4.0,1.411,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,86.3,59.32,32.34,14.36,5.39
00-0037224,Cameron Dicker,LAC,LAR,K,K,ACT,2026,PRE,3,2026 PRE W3,2026_PRE_W3_LAR_LAC,,home,1.924,2.1,90.9,92.03,SoFi Stadium,OUTDOOR,OUTDOOR,71.9,82.5,1007.8,131.0,4.2,5.7,270.0,,,,,,0.0,0.0,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,Open-Meteo,100.0,0.0,,Kickoff through +3h,100.0,1,1,100.0,33,33,97.56,41,40,92.86,42,39,78.57,28,22,,0,0,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,2.093,2.297,68.0,51,0.915,1.924,2.0,0.0,4.0,1.383,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,85.38,57.3,30.33,13.02,4.65
00-0034173,Eddy Pineiro,SF,LV,K,K,ACT,2026,PRE,3,2026 PRE W3,2026_PRE_W3_SF_LV,,away,1.9,2.08,90.59,91.72,SoFi Stadium,OUTDOOR,OUTDOOR,71.9,82.5,1007.8,131.0,4.2,5.7,270.0,,,,,,0.0,0.0,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,Open-Meteo,100.0,0.0,,Kickoff through +3h,,0,0,100.0,22,22,95.35,43,41,88.89,45,40,84.21,19,16,0.0,1,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.147,2.27,76.2,42,0.915,1.9,2.0,0.0,4.0,1.376,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,85.0,56.66,29.65,12.57,4.47
