player_id,player_name,team,opponent,position,depth_chart_position,status,season,season_type,week,target_slate,game_id,game_date,home_away,projected_fg_made,projected_fg_attempts,fg_make_rate,fg_make_rate_weather_adjusted,fg_weather_stadium,fg_weather_stadium_type,fg_weather_roof,fg_weather_temperature_f,fg_weather_humidity_pct,fg_weather_pressure_hpa,fg_weather_elevation_ft,fg_weather_wind_mph,fg_weather_gust_mph,fg_weather_wind_direction_deg,fg_weather_field_bearing_deg,fg_weather_crosswind_mph,fg_weather_headwind_mph,fg_weather_gust_crosswind_mph,fg_weather_gust_headwind_mph,fg_weather_precip_pct,fg_weather_precip_in,fg_weather_rating,fg_weather_multiplier,fg_weather_short_multiplier,fg_weather_mid_multiplier,fg_weather_long_multiplier,fg_weather_extreme_multiplier,fg_weather_risk,fg_weather_source,fg_weather_confidence_pct,fg_weather_uncertainty_score,fg_weather_condition,fg_weather_window,fg_1_19_make_pct_5y,fg_1_19_attempts_5y,fg_1_19_makes_5y,fg_20_29_make_pct_5y,fg_20_29_attempts_5y,fg_20_29_makes_5y,fg_30_39_make_pct_5y,fg_30_39_attempts_5y,fg_30_39_makes_5y,fg_40_49_make_pct_5y,fg_40_49_attempts_5y,fg_40_49_makes_5y,fg_50_59_make_pct_5y,fg_50_59_attempts_5y,fg_50_59_makes_5y,fg_60_plus_make_pct_5y,fg_60_plus_attempts_5y,fg_60_plus_makes_5y,fg_distance_identity_source,fg_1_19_source,fg_20_29_source,fg_30_39_source,fg_40_49_source,fg_50_59_source,fg_60_plus_source,recent_fg_made_pg,recent_fg_attempts_pg,kicker_role_stability,historical_kicking_games,preseason_usage_multiplier,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,data_source,simulations,model_version,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,prob_5_plus
00-0032726,Ka'imi Fairbairn,HOU,CIN,K,K,ACT,2026,REG,2,2026 REG W2,401872934,2026-09-20T17:00Z,home,2.79,3.15,89.28,89.28,Reliant Stadium,INDOOR,INDOOR,92.2,51.7,1009.6,39.0,4.5,5.6,126.0,,,,,,13.3,0.0,100.0,1.0,1.0,1.0,1.0,1.0,INDOOR / CONTROLLED,NWS + Open-Meteo,92.3,11.9,Sunny / Slight Chance Showers And Thunderstorms,Kickoff through +3h,,0,0,95.24,42,40,95.92,49,47,87.5,40,35,78.0,50,39,100.0,1,1,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.83,3.0,68.2,48,1.04,2.79,3.0,1.0,5.0,1.627,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,93.87,77.05,53.4,30.96,15.35
00-0031492,Jason Myers,SEA,ARI,K,K,ACT,2026,REG,2,2026 REG W2,401872943,2026-09-20T20:25Z,away,2.78,3.21,87.46,87.46,State Farm Stadium,INDOOR,INDOOR,99.6,17.4,968.6,1152.0,4.1,3.8,331.0,,,,,,2.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,INDOOR / CONTROLLED,NWS + Open-Meteo,94.0,9.3,Sunny,Kickoff through +3h,,0,0,96.88,32,31,92.06,63,58,82.0,50,41,78.05,41,32,0.0,3,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.827,3.083,73.4,53,1.04,2.78,3.0,1.0,5.0,1.624,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,93.86,76.78,53.05,30.92,15.16
00-0040899,Trey Smack,GB,NYJ,K,K,ACT,2026,REG,2,2026 REG W2,401872936,2026-09-20T17:00Z,away,2.644,3.15,87.2,84.85,MetLife Stadium,OUTDOOR,OUTDOOR,79.1,64.9,1006.4,79.0,11.4,23.2,256.0,340.0,11.3,1.2,23.1,2.4,32.8,0.0,77.1,0.9731,0.9896,0.9819,0.9689,0.9534,WATCH,NWS + Open-Meteo,90.3,14.9,Chance Rain Showers,Kickoff through +3h,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,LEAGUE_FALLBACK,NO_SAMPLE,NO_SAMPLE,NO_SAMPLE,NO_SAMPLE,NO_SAMPLE,NO_SAMPLE,3.0,3.0,55.0,1,1.04,2.644,2.0,1.0,5.0,1.588,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,93.04,74.36,49.65,27.65,13.14
00-0039576,Spencer Shrader,IND,KC,K,K,ACT,2026,REG,2,2026 REG W2,401872945,2026-09-21T00:20Z,away,2.545,2.84,88.89,89.83,Arrowhead Stadium,OUTDOOR,OUTDOOR,70.4,85.5,981.0,899.0,7.5,17.2,18.0,10.0,1.0,7.4,2.4,17.0,30.5,0.0,95.1,1.0106,1.0041,1.0071,1.0122,1.0183,FAVORABLE,NWS + Open-Meteo,92.6,11.4,Chance Showers And Thunderstorms,Kickoff through +3h,,0,0,100.0,7,7,100.0,6,6,100.0,4,4,50.0,2,1,,0,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,2.598,2.757,74.1,7,1.04,2.545,2.0,1.0,5.0,1.569,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,92.2,72.29,47.06,25.5,11.65
00-0033303,Harrison Butker,KC,IND,K,K,ACT,2026,REG,2,2026 REG W2,401872945,2026-09-21T00:20Z,home,2.42,2.84,84.97,85.87,Arrowhead Stadium,OUTDOOR,OUTDOOR,70.4,85.5,981.0,899.0,7.5,17.2,18.0,10.0,1.0,7.4,2.4,17.0,30.5,0.0,95.1,1.0106,1.0041,1.0071,1.0122,1.0183,FAVORABLE,NWS + Open-Meteo,92.6,11.4,Chance Showers And Thunderstorms,Kickoff through +3h,100.0,2,2,97.83,46,45,94.23,52,49,86.84,38,33,66.67,36,24,66.67,3,2,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.347,2.667,70.2,48,1.04,2.42,2.0,1.0,4.0,1.533,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,91.1,69.78,43.83,22.77,9.9
00-0034794,Jason Sanders,NYJ,GB,K,K,ACT,2026,REG,2,2026 REG W2,401872936,2026-09-20T17:00Z,home,2.362,2.72,89.62,87.21,MetLife Stadium,OUTDOOR,OUTDOOR,79.1,64.9,1006.4,79.0,11.4,23.2,256.0,340.0,11.3,1.2,23.1,2.4,32.8,0.0,77.1,0.9731,0.9896,0.9819,0.9689,0.9534,WATCH,NWS + Open-Meteo,90.3,14.9,Chance Rain Showers,Kickoff through +3h,,0,0,96.0,25,24,94.59,37,35,82.5,40,33,63.64,33,21,,0,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,2.463,2.65,74.5,30,1.04,2.362,2.0,1.0,4.0,1.518,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,90.6,68.43,42.27,21.51,9.26
00-0037692,Brandon Aubrey,DAL,WAS,K,K,ACT,2026,REG,2,2026 REG W2,401872944,2026-09-20T20:25Z,home,2.315,2.71,86.0,86.0,AT&T Stadium,INDOOR,INDOOR,97.8,30.9,986.6,604.0,6.1,7.1,71.0,,,,,,12.8,0.0,100.0,1.0,1.0,1.0,1.0,1.0,INDOOR / CONTROLLED,NWS + Open-Meteo,94.1,9.0,Slight Chance Rain Showers,Kickoff through +3h,,0,0,100.0,23,23,87.1,31,27,93.33,30,28,82.86,35,29,66.67,9,6,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.077,2.547,64.0,51,1.04,2.315,2.0,1.0,4.0,1.507,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,90.11,67.34,40.96,20.56,8.74
00-0034173,Eddy Pineiro,SF,MIA,K,K,ACT,2026,REG,2,2026 REG W2,401872942,2026-09-20T20:25Z,home,2.298,2.57,88.91,90.02,Levi's Stadium,OUTDOOR,OUTDOOR,79.1,42.7,1009.5,75.0,6.7,5.1,341.0,330.0,1.3,6.6,1.0,5.0,0.0,0.0,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,NWS + Open-Meteo,96.1,6.0,Sunny,Kickoff through +3h,,0,0,100.0,22,22,95.35,43,41,88.89,45,40,84.21,19,16,0.0,1,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.22,2.387,77.9,43,1.04,2.298,2.0,0.0,4.0,1.505,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,89.89,66.99,40.4,20.14,8.47
00-0038567,Chad Ryland,ARI,SEA,K,K,ACT,2026,REG,2,2026 REG W2,401872943,2026-09-20T20:25Z,home,2.251,2.81,80.48,80.48,State Farm Stadium,INDOOR,INDOOR,99.6,17.4,968.6,1152.0,4.1,3.8,331.0,,,,,,2.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,INDOOR / CONTROLLED,NWS + Open-Meteo,94.0,9.3,Sunny,Kickoff through +3h,,0,0,100.0,15,15,88.46,26,23,61.29,31,19,70.59,17,12,0.0,1,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.11,2.767,71.0,41,1.04,2.251,2.0,0.0,4.0,1.493,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,89.31,65.63,39.26,19.57,7.94
00-0037224,Cameron Dicker,LAC,LV,K,K,ACT,2026,REG,2,2026 REG W2,401872941,2026-09-20T20:05Z,home,2.222,2.42,90.9,92.03,SoFi Stadium,OUTDOOR,OUTDOOR,76.9,64.9,1005.2,131.0,8.7,5.6,230.0,,,,,,0.0,0.0,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,NWS + Open-Meteo,98.1,3.0,Mostly Sunny,Kickoff through +3h,100.0,1,1,100.0,33,33,97.56,41,40,92.86,42,39,78.57,28,22,,0,0,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,2.093,2.297,68.0,51,1.04,2.222,2.0,0.0,4.0,1.479,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,89.22,65.12,38.38,18.62,7.63
