player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_fg_made,model_version
00-0025565,Nick Folk,ATL,IND,K,2026,PRE,2,1,80.6,ELITE,1.639,NFL_FG_MADE_V1
00-0025565,Nick Folk,ATL,IND,K,2026,PRE,2,2,48.82,ELITE,1.639,NFL_FG_MADE_V1
00-0025565,Nick Folk,ATL,IND,K,2026,PRE,2,3,22.64,ELITE,1.639,NFL_FG_MADE_V1
00-0025565,Nick Folk,ATL,IND,K,2026,PRE,2,4,8.4,ELITE,1.639,NFL_FG_MADE_V1
00-0025565,Nick Folk,ATL,IND,K,2026,PRE,2,5,2.63,ELITE,1.639,NFL_FG_MADE_V1
00-0031136,Chris Boswell,PIT,NYJ,K,2026,PRE,2,1,84.54,ELITE,1.879,NFL_FG_MADE_V1
00-0031136,Chris Boswell,PIT,NYJ,K,2026,PRE,2,2,56.09,ELITE,1.879,NFL_FG_MADE_V1
00-0031136,Chris Boswell,PIT,NYJ,K,2026,PRE,2,3,29.08,ELITE,1.879,NFL_FG_MADE_V1
00-0031136,Chris Boswell,PIT,NYJ,K,2026,PRE,2,4,12.28,ELITE,1.879,NFL_FG_MADE_V1
00-0031136,Chris Boswell,PIT,NYJ,K,2026,PRE,2,5,4.32,ELITE,1.879,NFL_FG_MADE_V1
00-0031203,Cairo Santos,CHI,CIN,K,2026,PRE,2,1,82.79,ELITE,1.756,NFL_FG_MADE_V1
00-0031203,Cairo Santos,CHI,CIN,K,2026,PRE,2,2,52.16,ELITE,1.756,NFL_FG_MADE_V1
00-0031203,Cairo Santos,CHI,CIN,K,2026,PRE,2,3,25.8,ELITE,1.756,NFL_FG_MADE_V1
00-0031203,Cairo Santos,CHI,CIN,K,2026,PRE,2,4,10.28,ELITE,1.756,NFL_FG_MADE_V1
00-0031203,Cairo Santos,CHI,CIN,K,2026,PRE,2,5,3.35,ELITE,1.756,NFL_FG_MADE_V1
00-0031492,Jason Myers,SEA,TEN,K,2026,PRE,2,1,91.76,ELITE,2.485,NFL_FG_MADE_V1
00-0031492,Jason Myers,SEA,TEN,K,2026,PRE,2,2,71.09,ELITE,2.485,NFL_FG_MADE_V1
00-0031492,Jason Myers,SEA,TEN,K,2026,PRE,2,3,45.45,ELITE,2.485,NFL_FG_MADE_V1
00-0031492,Jason Myers,SEA,TEN,K,2026,PRE,2,4,24.18,ELITE,2.485,NFL_FG_MADE_V1
00-0031492,Jason Myers,SEA,TEN,K,2026,PRE,2,5,10.78,ELITE,2.485,NFL_FG_MADE_V1
00-0032569,Wil Lutz,DEN,GB,K,2026,PRE,2,1,84.16,ELITE,1.85,NFL_FG_MADE_V1
00-0032569,Wil Lutz,DEN,GB,K,2026,PRE,2,2,55.3,ELITE,1.85,NFL_FG_MADE_V1
00-0032569,Wil Lutz,DEN,GB,K,2026,PRE,2,3,28.4,ELITE,1.85,NFL_FG_MADE_V1
00-0032569,Wil Lutz,DEN,GB,K,2026,PRE,2,4,11.73,ELITE,1.85,NFL_FG_MADE_V1
00-0032569,Wil Lutz,DEN,GB,K,2026,PRE,2,5,4.01,ELITE,1.85,NFL_FG_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,LV,K,2026,PRE,2,1,92.17,ELITE,2.554,NFL_FG_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,LV,K,2026,PRE,2,2,72.67,ELITE,2.554,NFL_FG_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,LV,K,2026,PRE,2,3,47.37,ELITE,2.554,NFL_FG_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,LV,K,2026,PRE,2,4,25.61,ELITE,2.554,NFL_FG_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,LV,K,2026,PRE,2,5,11.74,ELITE,2.554,NFL_FG_MADE_V1
00-0033303,Harrison Butker,KC,TB,K,2026,PRE,2,1,87.52,ELITE,2.085,NFL_FG_MADE_V1
00-0033303,Harrison Butker,KC,TB,K,2026,PRE,2,2,61.69,ELITE,2.085,NFL_FG_MADE_V1
00-0033303,Harrison Butker,KC,TB,K,2026,PRE,2,3,34.66,ELITE,2.085,NFL_FG_MADE_V1
00-0033303,Harrison Butker,KC,TB,K,2026,PRE,2,4,16.02,ELITE,2.085,NFL_FG_MADE_V1
00-0033303,Harrison Butker,KC,TB,K,2026,PRE,2,5,6.19,ELITE,2.085,NFL_FG_MADE_V1
00-0033787,Jake Elliott,PHI,NE,K,2026,PRE,2,1,73.15,ELITE,1.316,NFL_FG_MADE_V1
00-0033787,Jake Elliott,PHI,NE,K,2026,PRE,2,2,37.88,ELITE,1.316,NFL_FG_MADE_V1
00-0033787,Jake Elliott,PHI,NE,K,2026,PRE,2,3,14.65,ELITE,1.316,NFL_FG_MADE_V1
00-0033787,Jake Elliott,PHI,NE,K,2026,PRE,2,4,4.51,ELITE,1.316,NFL_FG_MADE_V1
00-0033787,Jake Elliott,PHI,NE,K,2026,PRE,2,5,1.16,ELITE,1.316,NFL_FG_MADE_V1
00-0033862,Zane Gonzalez,MIA,NYG,K,2026,PRE,2,1,83.89,ELITE,1.838,NFL_FG_MADE_V1
00-0033862,Zane Gonzalez,MIA,NYG,K,2026,PRE,2,2,54.64,ELITE,1.838,NFL_FG_MADE_V1
00-0033862,Zane Gonzalez,MIA,NYG,K,2026,PRE,2,3,28.02,ELITE,1.838,NFL_FG_MADE_V1
00-0033862,Zane Gonzalez,MIA,NYG,K,2026,PRE,2,4,11.69,ELITE,1.838,NFL_FG_MADE_V1
00-0033862,Zane Gonzalez,MIA,NYG,K,2026,PRE,2,5,4.1,ELITE,1.838,NFL_FG_MADE_V1
00-0034173,Eddy Pineiro,SF,LAC,K,2026,PRE,2,1,84.58,ELITE,1.877,NFL_FG_MADE_V1
00-0034173,Eddy Pineiro,SF,LAC,K,2026,PRE,2,2,55.94,ELITE,1.877,NFL_FG_MADE_V1
00-0034173,Eddy Pineiro,SF,LAC,K,2026,PRE,2,3,29.14,ELITE,1.877,NFL_FG_MADE_V1
00-0034173,Eddy Pineiro,SF,LAC,K,2026,PRE,2,4,12.26,ELITE,1.877,NFL_FG_MADE_V1
00-0034173,Eddy Pineiro,SF,LAC,K,2026,PRE,2,5,4.29,ELITE,1.877,NFL_FG_MADE_V1
00-0034794,Jason Sanders,NYJ,PIT,K,2026,PRE,2,1,87.76,ELITE,2.109,NFL_FG_MADE_V1
00-0034794,Jason Sanders,NYJ,PIT,K,2026,PRE,2,2,62.32,ELITE,2.109,NFL_FG_MADE_V1
00-0034794,Jason Sanders,NYJ,PIT,K,2026,PRE,2,3,35.37,ELITE,2.109,NFL_FG_MADE_V1
00-0034794,Jason Sanders,NYJ,PIT,K,2026,PRE,2,4,16.41,ELITE,2.109,NFL_FG_MADE_V1
00-0034794,Jason Sanders,NYJ,PIT,K,2026,PRE,2,5,6.37,ELITE,2.109,NFL_FG_MADE_V1
00-0035192,Joey Slye,TEN,SEA,K,2026,PRE,2,1,74.67,ELITE,1.381,NFL_FG_MADE_V1
00-0035192,Joey Slye,TEN,SEA,K,2026,PRE,2,2,39.93,ELITE,1.381,NFL_FG_MADE_V1
00-0035192,Joey Slye,TEN,SEA,K,2026,PRE,2,3,16.33,ELITE,1.381,NFL_FG_MADE_V1
00-0035192,Joey Slye,TEN,SEA,K,2026,PRE,2,4,5.35,ELITE,1.381,NFL_FG_MADE_V1
00-0035192,Joey Slye,TEN,SEA,K,2026,PRE,2,5,1.43,ELITE,1.381,NFL_FG_MADE_V1
00-0035269,Matt Gay,LV,HOU,K,2026,PRE,2,1,84.62,ELITE,1.879,NFL_FG_MADE_V1
00-0035269,Matt Gay,LV,HOU,K,2026,PRE,2,2,56.1,ELITE,1.879,NFL_FG_MADE_V1
00-0035269,Matt Gay,LV,HOU,K,2026,PRE,2,3,29.08,ELITE,1.879,NFL_FG_MADE_V1
00-0035269,Matt Gay,LV,HOU,K,2026,PRE,2,4,12.29,ELITE,1.879,NFL_FG_MADE_V1
00-0035269,Matt Gay,LV,HOU,K,2026,PRE,2,5,4.28,ELITE,1.879,NFL_FG_MADE_V1
00-0035358,Chase McLaughlin,TB,KC,K,2026,PRE,2,1,84.72,ELITE,1.891,NFL_FG_MADE_V1
00-0035358,Chase McLaughlin,TB,KC,K,2026,PRE,2,2,56.3,ELITE,1.891,NFL_FG_MADE_V1
00-0035358,Chase McLaughlin,TB,KC,K,2026,PRE,2,3,29.56,ELITE,1.891,NFL_FG_MADE_V1
00-0035358,Chase McLaughlin,TB,KC,K,2026,PRE,2,4,12.57,ELITE,1.891,NFL_FG_MADE_V1
00-0035358,Chase McLaughlin,TB,KC,K,2026,PRE,2,5,4.4,ELITE,1.891,NFL_FG_MADE_V1
00-0036162,Tyler Bass,BUF,CLE,K,2026,PRE,2,1,73.89,ELITE,1.351,NFL_FG_MADE_V1
00-0036162,Tyler Bass,BUF,CLE,K,2026,PRE,2,2,39.14,ELITE,1.351,NFL_FG_MADE_V1
00-0036162,Tyler Bass,BUF,CLE,K,2026,PRE,2,3,15.43,ELITE,1.351,NFL_FG_MADE_V1
00-0036162,Tyler Bass,BUF,CLE,K,2026,PRE,2,4,4.93,ELITE,1.351,NFL_FG_MADE_V1
00-0036162,Tyler Bass,BUF,CLE,K,2026,PRE,2,5,1.36,ELITE,1.351,NFL_FG_MADE_V1
00-0036816,Riley Patterson,MIA,NYG,K,2026,PRE,2,1,80.76,ELITE,1.664,NFL_FG_MADE_V1
00-0036816,Riley Patterson,MIA,NYG,K,2026,PRE,2,2,49.52,ELITE,1.664,NFL_FG_MADE_V1
00-0036816,Riley Patterson,MIA,NYG,K,2026,PRE,2,3,23.5,ELITE,1.664,NFL_FG_MADE_V1
00-0036816,Riley Patterson,MIA,NYG,K,2026,PRE,2,4,8.88,ELITE,1.664,NFL_FG_MADE_V1
00-0036816,Riley Patterson,MIA,NYG,K,2026,PRE,2,5,2.83,ELITE,1.664,NFL_FG_MADE_V1
00-0036854,Evan McPherson,CIN,CHI,K,2026,PRE,2,1,78.81,ELITE,1.554,NFL_FG_MADE_V1
00-0036854,Evan McPherson,CIN,CHI,K,2026,PRE,2,2,45.99,ELITE,1.554,NFL_FG_MADE_V1
00-0036854,Evan McPherson,CIN,CHI,K,2026,PRE,2,3,20.56,ELITE,1.554,NFL_FG_MADE_V1
00-0036854,Evan McPherson,CIN,CHI,K,2026,PRE,2,4,7.33,ELITE,1.554,NFL_FG_MADE_V1
00-0036854,Evan McPherson,CIN,CHI,K,2026,PRE,2,5,2.14,ELITE,1.554,NFL_FG_MADE_V1
00-0037224,Cameron Dicker,LAC,SF,K,2026,PRE,2,1,85.11,ELITE,1.902,NFL_FG_MADE_V1
00-0037224,Cameron Dicker,LAC,SF,K,2026,PRE,2,2,56.74,ELITE,1.902,NFL_FG_MADE_V1
00-0037224,Cameron Dicker,LAC,SF,K,2026,PRE,2,3,29.68,ELITE,1.902,NFL_FG_MADE_V1
00-0037224,Cameron Dicker,LAC,SF,K,2026,PRE,2,4,12.57,ELITE,1.902,NFL_FG_MADE_V1
00-0037224,Cameron Dicker,LAC,SF,K,2026,PRE,2,5,4.5,ELITE,1.902,NFL_FG_MADE_V1
00-0037692,Brandon Aubrey,DAL,ARI,K,2026,PRE,2,1,86.74,ELITE,2.024,NFL_FG_MADE_V1
00-0037692,Brandon Aubrey,DAL,ARI,K,2026,PRE,2,2,60.03,ELITE,2.024,NFL_FG_MADE_V1
00-0037692,Brandon Aubrey,DAL,ARI,K,2026,PRE,2,3,32.96,ELITE,2.024,NFL_FG_MADE_V1
00-0037692,Brandon Aubrey,DAL,ARI,K,2026,PRE,2,4,14.88,ELITE,2.024,NFL_FG_MADE_V1
00-0037692,Brandon Aubrey,DAL,ARI,K,2026,PRE,2,5,5.62,ELITE,2.024,NFL_FG_MADE_V1
00-0038097,Cade York,NYJ,PIT,K,2026,PRE,2,1,81.47,ELITE,1.692,NFL_FG_MADE_V1
00-0038097,Cade York,NYJ,PIT,K,2026,PRE,2,2,50.2,ELITE,1.692,NFL_FG_MADE_V1
