player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_fg_made,model_version
00-0025565,Nick Folk,ATL,PIT,K,2026,REG,1,1,84.08,ELITE,1.837,NFL_FG_MADE_V1
00-0025565,Nick Folk,ATL,PIT,K,2026,REG,1,2,54.84,ELITE,1.837,NFL_FG_MADE_V1
00-0025565,Nick Folk,ATL,PIT,K,2026,REG,1,3,27.86,ELITE,1.837,NFL_FG_MADE_V1
00-0025565,Nick Folk,ATL,PIT,K,2026,REG,1,4,11.49,ELITE,1.837,NFL_FG_MADE_V1
00-0025565,Nick Folk,ATL,PIT,K,2026,REG,1,5,4.0,ELITE,1.837,NFL_FG_MADE_V1
00-0031136,Chris Boswell,PIT,ATL,K,2026,REG,1,1,87.99,ELITE,2.122,NFL_FG_MADE_V1
00-0031136,Chris Boswell,PIT,ATL,K,2026,REG,1,2,62.48,ELITE,2.122,NFL_FG_MADE_V1
00-0031136,Chris Boswell,PIT,ATL,K,2026,REG,1,3,35.69,ELITE,2.122,NFL_FG_MADE_V1
00-0031136,Chris Boswell,PIT,ATL,K,2026,REG,1,4,16.77,ELITE,2.122,NFL_FG_MADE_V1
00-0031136,Chris Boswell,PIT,ATL,K,2026,REG,1,5,6.56,ELITE,2.122,NFL_FG_MADE_V1
00-0031203,Cairo Santos,CHI,CAR,K,2026,REG,1,1,86.61,ELITE,2.011,NFL_FG_MADE_V1
00-0031203,Cairo Santos,CHI,CAR,K,2026,REG,1,2,59.58,ELITE,2.011,NFL_FG_MADE_V1
00-0031203,Cairo Santos,CHI,CAR,K,2026,REG,1,3,32.67,ELITE,2.011,NFL_FG_MADE_V1
00-0031203,Cairo Santos,CHI,CAR,K,2026,REG,1,4,14.63,ELITE,2.011,NFL_FG_MADE_V1
00-0031203,Cairo Santos,CHI,CAR,K,2026,REG,1,5,5.53,ELITE,2.011,NFL_FG_MADE_V1
00-0031492,Jason Myers,SEA,NE,K,2026,REG,1,1,94.16,ELITE,2.832,NFL_FG_MADE_V1
00-0031492,Jason Myers,SEA,NE,K,2026,REG,1,2,77.7,ELITE,2.832,NFL_FG_MADE_V1
00-0031492,Jason Myers,SEA,NE,K,2026,REG,1,3,54.4,ELITE,2.832,NFL_FG_MADE_V1
00-0031492,Jason Myers,SEA,NE,K,2026,REG,1,4,32.01,ELITE,2.832,NFL_FG_MADE_V1
00-0031492,Jason Myers,SEA,NE,K,2026,REG,1,5,16.06,ELITE,2.832,NFL_FG_MADE_V1
00-0032569,Wil Lutz,DEN,KC,K,2026,REG,1,1,86.35,ELITE,2.005,NFL_FG_MADE_V1
