player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,game_id,game_date,home_away,season,season_type,week,projected_role
00-0025565,Nick Folk,ATL,MIA,K,K,ACT,19.0,2026_PRE_W3_ATL_MIA,,away,2026,PRE,3,K
00-0031136,Chris Boswell,PIT,BUF,K,K,ACT,12.0,2026_PRE_W3_PIT_BUF,,away,2026,PRE,3,K
00-0031203,Cairo Santos,CHI,TEN,K,K,ACT,12.0,2026_PRE_W3_CHI_TEN,,away,2026,PRE,3,K
00-0031492,Jason Myers,SEA,KC,K,K,ACT,11.0,2026_PRE_W3_SEA_KC,,away,2026,PRE,3,K
00-0032569,Wil Lutz,DEN,MIN,K,K,ACT,10.0,2026_PRE_W3_MIN_DEN,,home,2026,PRE,3,K
00-0032726,Ka'imi Fairbairn,HOU,CAR,K,K,ACT,10.0,2026_PRE_W3_HOU_CAR,,away,2026,PRE,3,K
00-0033303,Harrison Butker,KC,SEA,K,K,ACT,9.0,2026_PRE_W3_SEA_KC,,home,2026,PRE,3,K
00-0033787,Jake Elliott,PHI,CIN,K,K,ACT,9.0,2026_PRE_W3_CIN_PHI,,home,2026,PRE,3,K
00-0033862,Zane Gonzalez,MIA,ATL,K,K,ACT,9.0,2026_PRE_W3_ATL_MIA,,home,2026,PRE,3,K
00-0034173,Eddy Pineiro,SF,LV,K,K,ACT,8.0,2026_PRE_W3_SF_LV,,away,2026,PRE,3,K
00-0034794,Jason Sanders,NYJ,NYG,K,K,ACT,8.0,2026_PRE_W3_NYG_NYJ,,home,2026,PRE,3,K
00-0035192,Joey Slye,TEN,CHI,K,K,ACT,7.0,2026_PRE_W3_CHI_TEN,,home,2026,PRE,3,K
00-0035269,Matt Gay,LV,SF,K,K,ACT,7.0,2026_PRE_W3_SF_LV,,home,2026,PRE,3,K
00-0035358,Chase McLaughlin,TB,JAX,K,K,ACT,7.0,2026_PRE_W3_TB_JAX,,away,2026,PRE,3,K
00-0036162,Tyler Bass,BUF,PIT,K,K,ACT,6.0,2026_PRE_W3_PIT_BUF,,home,2026,PRE,3,K
00-0036816,Riley Patterson,MIA,ATL,K,K,ACT,5.0,2026_PRE_W3_ATL_MIA,,home,2026,PRE,3,K
00-0036854,Evan McPherson,CIN,PHI,K,K,ACT,5.0,2026_PRE_W3_CIN_PHI,,away,2026,PRE,3,K
00-0037224,Cameron Dicker,LAC,LAR,K,K,ACT,4.0,2026_PRE_W3_LAR_LAC,,home,2026,PRE,3,K
00-0037692,Brandon Aubrey,DAL,NO,K,K,ACT,4.0,2026_PRE_W3_NO_DAL,,home,2026,PRE,3,K
00-0038097,Cade York,NYJ,NYG,K,K,ACT,4.0,2026_PRE_W3_NYG_NYJ,,home,2026,PRE,3,K
00-0038152,Lucas Havrisik,GB,ARI,K,K,ACT,4.0,2026_PRE_W3_ARI_GB,,home,2026,PRE,3,K
00-0038428,Andre Szmyt,CLE,NE,K,K,ACT,3.0,2026_PRE_W3_NE_CLE,,home,2026,PRE,3,K
00-0038562,Jake Moody,WAS,BAL,K,K,ACT,3.0,2026_PRE_W3_WAS_BAL,,away,2026,PRE,3,K
00-0038748,B.T. Potter,TB,JAX,K,K,ACT,3.0,2026_PRE_W3_TB_JAX,,away,2026,PRE,3,K
00-0038905,Blake Grupe,IND,DET,K,K,ACT,3.0,2026_PRE_W3_DET_IND,,home,2026,PRE,3,K
00-0039172,Jake Bates,DET,IND,K,K,ACT,3.0,2026_PRE_W3_DET_IND,,away,2026,PRE,3,K
00-0039229,Charlie Smyth,NO,DAL,K,K,E14,2.0,2026_PRE_W3_NO_DAL,,away,2026,PRE,3,K
00-0039404,Will Reichard,MIN,DEN,K,K,ACT,2.0,2026_PRE_W3_MIN_DEN,,away,2026,PRE,3,K
00-0039409,Cam Little,JAX,TB,K,K,ACT,2.0,2026_PRE_W3_TB_JAX,,home,2026,PRE,3,K
00-0039498,Harrison Mevis,LAR,LAC,K,K,ACT,2.0,2026_PRE_W3_LAR_LAC,,away,2026,PRE,3,K
00-0039576,Spencer Shrader,IND,DET,K,K,ACT,2.0,2026_PRE_W3_DET_IND,,home,2026,PRE,3,K
00-0040074,Tyler Loop,BAL,WAS,K,K,ACT,1.0,2026_PRE_W3_WAS_BAL,,home,2026,PRE,3,K
00-0040200,Andy Borregales,NE,CLE,K,K,ACT,1.0,2026_PRE_W3_NE_CLE,,away,2026,PRE,3,K
00-0040279,Ryan Fitzgerald,CAR,HOU,K,K,ACT,1.0,2026_PRE_W3_HOU_CAR,,home,2026,PRE,3,K
00-0040530,Ben Sauls,NYG,NYJ,K,K,ACT,1.0,2026_PRE_W3_NYG_NYJ,,away,2026,PRE,3,K
00-0040899,Trey Smack,GB,ARI,K,K,ACT,0.0,2026_PRE_W3_ARI_GB,,home,2026,PRE,3,K
00-0041145,Dominic Zvada,NYG,NYJ,K,K,ACT,0.0,2026_PRE_W3_NYG_NYJ,,away,2026,PRE,3,K
00-0041174,Gabriel Plascencia,CHI,TEN,K,K,ACT,0.0,2026_PRE_W3_CHI_TEN,,away,2026,PRE,3,K
00-0041182,Drew Stevens,WAS,BAL,K,K,ACT,0.0,2026_PRE_W3_WAS_BAL,,away,2026,PRE,3,K
00-0041262,Laith Marjan,PIT,BUF,K,K,ACT,0.0,2026_PRE_W3_PIT_BUF,,away,2026,PRE,3,K
00-0041333,Mason Shipley,NO,DAL,K,K,ACT,0.0,2026_PRE_W3_NO_DAL,,away,2026,PRE,3,K
00-0041582,Kansei Matsuzawa,LV,SF,K,K,E14,0.0,2026_PRE_W3_SF_LV,,home,2026,PRE,3,K
