player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,game_id,game_date,home_away,season,season_type,week,projected_role
00-0025565,Nick Folk,ATL,PIT,K,K,ACT,19.0,401872658,2026-09-13T17:00Z,away,2026,REG,1,K
00-0031136,Chris Boswell,PIT,ATL,K,K,ACT,12.0,401872658,2026-09-13T17:00Z,home,2026,REG,1,K
00-0031203,Cairo Santos,CHI,CAR,K,K,ACT,12.0,401872661,2026-09-13T17:00Z,away,2026,REG,1,K
00-0031492,Jason Myers,SEA,NE,K,K,ACT,11.0,401872656,2026-09-10T00:20Z,home,2026,REG,1,K
00-0032569,Wil Lutz,DEN,KC,K,K,ACT,10.0,401872931,2026-09-15T00:15Z,away,2026,REG,1,K
00-0032726,Ka'imi Fairbairn,HOU,BUF,K,K,ACT,10.0,401872660,2026-09-13T17:00Z,home,2026,REG,1,K
00-0033303,Harrison Butker,KC,DEN,K,K,ACT,9.0,401872931,2026-09-15T00:15Z,home,2026,REG,1,K
00-0033787,Jake Elliott,PHI,WAS,K,K,ACT,9.0,401872929,2026-09-13T20:25Z,home,2026,REG,1,K
00-0034161,Daniel Carlson,NO,DET,K,K,ACT,8.0,401872923,2026-09-13T17:00Z,away,2026,REG,1,K
00-0034173,Eddy Pineiro,SF,LAR,K,K,ACT,8.0,401872657,2026-09-11T00:35Z,away,2026,REG,1,K
00-0035192,Joey Slye,TEN,NYJ,K,K,ACT,7.0,401872924,2026-09-13T17:00Z,home,2026,REG,1,K
00-0035269,Matt Gay,LV,MIA,K,K,ACT,7.0,401872928,2026-09-13T20:25Z,home,2026,REG,1,K
00-0035358,Chase McLaughlin,TB,CIN,K,K,ACT,7.0,401872925,2026-09-13T17:00Z,away,2026,REG,1,K
00-0036162,Tyler Bass,BUF,HOU,K,K,ACT,6.0,401872660,2026-09-13T17:00Z,away,2026,REG,1,K
00-0036816,Riley Patterson,MIA,LV,K,K,ACT,5.0,401872928,2026-09-13T20:25Z,away,2026,REG,1,K
00-0036854,Evan McPherson,CIN,TB,K,K,ACT,5.0,401872925,2026-09-13T17:00Z,home,2026,REG,1,K
00-0037224,Cameron Dicker,LAC,ARI,K,K,ACT,4.0,401872926,2026-09-13T20:25Z,home,2026,REG,1,K
00-0037692,Brandon Aubrey,DAL,NYG,K,K,ACT,4.0,401872930,2026-09-14T00:20Z,away,2026,REG,1,K
00-0038428,Andre Szmyt,CLE,JAX,K,K,ACT,3.0,401872922,2026-09-13T17:00Z,away,2026,REG,1,K
00-0038567,Chad Ryland,ARI,LAC,K,K,ACT,3.0,401872926,2026-09-13T20:25Z,away,2026,REG,1,K
00-0038905,Blake Grupe,NYJ,TEN,K,K,ACT,3.0,401872924,2026-09-13T17:00Z,away,2026,REG,1,K
00-0039172,Jake Bates,DET,NO,K,K,ACT,3.0,401872923,2026-09-13T17:00Z,home,2026,REG,1,K
00-0039404,Will Reichard,MIN,GB,K,K,ACT,2.0,401872927,2026-09-13T20:25Z,home,2026,REG,1,K
00-0039409,Cam Little,JAX,CLE,K,K,ACT,2.0,401872922,2026-09-13T17:00Z,home,2026,REG,1,K
00-0039498,Harrison Mevis,LAR,SF,K,K,ACT,2.0,401872657,2026-09-11T00:35Z,home,2026,REG,1,K
00-0039576,Spencer Shrader,IND,BAL,K,K,ACT,2.0,401872659,2026-09-13T17:00Z,home,2026,REG,1,K
00-0040074,Tyler Loop,BAL,IND,K,K,ACT,1.0,401872659,2026-09-13T17:00Z,away,2026,REG,1,K
00-0040200,Andy Borregales,NE,SEA,K,K,ACT,1.0,401872656,2026-09-10T00:20Z,away,2026,REG,1,K
00-0040279,Ryan Fitzgerald,CAR,CHI,K,K,ACT,1.0,401872661,2026-09-13T17:00Z,home,2026,REG,1,K
00-0040899,Trey Smack,GB,MIN,K,K,ACT,0.0,401872927,2026-09-13T20:25Z,away,2026,REG,1,K
00-0041145,Dominic Zvada,NYG,DAL,K,K,ACT,0.0,401872930,2026-09-14T00:20Z,home,2026,REG,1,K
00-0041182,Drew Stevens,WAS,PHI,K,K,ACT,0.0,401872929,2026-09-13T20:25Z,away,2026,REG,1,K
