player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_pass_tds,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,projected_attempts,pass_td_rate_per_attempt,red_zone_pass_rate,goal_to_go_pass_rate,end_zone_target_rate,qb_pressure_rate,qb_interception_rate,recent_pass_td_per_game,last_5_pass_td_avg,last_10_pass_td_avg,last_15_pass_td_avg,attempt_stability,opp_pass_td_allowed_pg,opp_rz_pass_td_rate,opp_goal_to_go_pass_td_rate,opp_pressure_rate,opp_int_rate_forced,opp_pass_td_factor,preseason_usage_multiplier,data_source,simulations,model_version,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,prob_5_plus
00-0026498,Matthew Stafford,LAR,LAC,QB,QB,ACT,17.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_LAR_LAC,,away,1.439,1.439,1.0,0.0,3.0,1.466,18.23,6.93,16.56,8.51,7.59,14.27,1.43,2.5,2.4,2.5,2.733,91.3,1.283,16.88,26.92,15.35,2.39,0.878,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,68.39,39.27,19.64,9.39,4.4
00-0036442,Joe Burrow,CIN,PHI,QB,QB,ACT,6.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_CIN_PHI,,away,1.443,1.443,1.0,0.0,3.0,1.48,17.17,6.26,17.17,9.5,8.25,16.95,1.46,2.4,2.6,2.1,2.4,82.6,1.456,20.08,30.6,14.94,1.97,0.997,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,68.29,39.0,20.11,9.29,4.59
00-0033106,Jared Goff,DET,IND,QB,QB,ACT,10.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_DET_IND,,away,1.194,1.194,1.0,0.0,3.0,1.301,18.14,5.55,16.31,7.6,6.64,16.41,1.76,1.855,1.8,1.9,1.867,88.4,1.412,20.37,28.68,14.9,2.4,0.966,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,63.04,31.85,14.51,6.21,2.48
00-0034796,Lamar Jackson,BAL,WAS,QB,QB,ACT,8.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_WAS_BAL,,home,1.147,1.147,1.0,0.0,3.0,1.271,10.71,7.7,14.47,6.96,6.06,13.78,1.38,1.345,1.2,1.2,1.667,80.4,1.87,24.55,30.2,14.38,1.45,1.18,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,61.59,30.48,13.72,5.63,2.11
00-0036971,Trevor Lawrence,JAX,TB,QB,QB,ACT,5.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_TB_JAX,,home,1.067,1.067,1.0,0.0,3.0,1.21,15.21,5.0,13.55,6.36,5.9,13.04,2.27,2.39,2.8,2.3,1.867,91.1,1.574,20.37,31.67,14.64,1.59,1.078,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,59.56,28.08,11.99,4.7,1.57
00-0036264,Jordan Love,GB,ARI,QB,QB,ACT,6.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_ARI_GB,,home,1.077,1.077,1.0,0.0,3.0,1.238,14.74,4.88,17.12,6.41,5.81,13.97,2.0,1.985,2.4,1.7,1.667,82.1,1.627,22.48,33.58,11.88,1.74,1.114,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,59.22,28.4,12.07,5.03,2.07
00-0039851,Drake Maye,NE,CLE,QB,QB,ACT,2.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_NE_CLE,,away,1.006,1.006,1.0,0.0,3.0,1.167,13.6,6.14,13.72,7.19,5.39,17.22,2.08,1.59,1.4,1.7,1.8,82.8,1.481,26.84,40.22,18.85,1.94,1.014,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,57.92,26.27,10.3,3.9,1.44
00-0039918,Caleb Williams,CHI,TEN,QB,QB,ACT,2.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_CHI_TEN,,away,1.04,1.04,1.0,0.0,3.0,1.204,18.04,4.64,13.63,5.8,5.27,14.23,1.36,1.83,2.0,1.8,1.533,91.2,1.51,23.67,27.41,14.5,1.37,1.034,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,57.79,27.89,11.63,4.36,1.59
00-0037834,Brock Purdy,SF,LV,QB,QB,ACT,4.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_SF_LV,,away,1.006,1.006,1.0,0.0,3.0,1.169,14.73,5.29,16.22,7.55,6.36,14.2,2.59,1.955,2.0,2.0,1.933,93.3,1.431,21.6,33.08,14.23,1.74,0.98,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,57.45,26.47,10.63,4.03,1.44
00-0034855,Baker Mayfield,TB,JAX,QB,QB,ACT,8.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_TB_JAX,,away,1.033,1.033,1.0,0.0,3.0,1.207,14.8,5.47,13.43,6.9,6.06,10.72,2.04,1.405,1.4,1.3,1.4,84.6,1.577,18.92,29.91,13.55,2.22,1.079,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,57.3,27.57,11.57,4.54,1.63
