player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_pass_tds,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,projected_attempts,pass_td_rate_per_attempt,red_zone_pass_rate,goal_to_go_pass_rate,end_zone_target_rate,qb_pressure_rate,qb_interception_rate,recent_pass_td_per_game,last_5_pass_td_avg,last_10_pass_td_avg,last_15_pass_td_avg,attempt_stability,opp_pass_td_allowed_pg,opp_rz_pass_td_rate,opp_goal_to_go_pass_td_rate,opp_pressure_rate,opp_int_rate_forced,opp_pass_td_factor,preseason_usage_multiplier,data_source,simulations,model_version,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,prob_5_plus
00-0026498,Matthew Stafford,LAR,DEN,QB,QB,ACT,17.0,2026,REG,3,2026 REG W3,401872962,2026-09-28T00:20Z,away,2.869,2.869,3.0,0.0,6.0,2.095,35.73,7.11,16.56,8.51,7.59,14.27,1.43,2.275,2.0,2.4,2.6,89.8,1.37,18.15,26.24,19.72,1.85,0.938,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,87.51,69.2,50.08,34.45,22.53
00-0036442,Joe Burrow,CIN,PIT,QB,QB,ACT,6.0,2026,REG,3,2026 REG W3,401872950,2026-09-27T17:00Z,away,2.816,2.816,2.0,0.0,6.0,2.104,33.94,6.28,17.17,9.5,8.25,16.95,1.46,2.255,2.4,2.0,2.2,84.4,1.519,19.8,26.32,16.39,2.44,1.039,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,87.22,67.48,48.68,33.02,21.87
00-0033106,Jared Goff,DET,NYJ,QB,QB,ACT,10.0,2026,REG,3,2026 REG W3,401872954,2026-09-27T17:00Z,home,2.632,2.632,2.0,0.0,6.0,2.02,38.45,5.73,16.31,7.6,6.64,16.41,1.76,2.105,2.2,2.0,2.067,88.9,1.431,22.22,32.77,14.4,1.43,0.98,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,85.78,65.26,45.49,29.77,18.42
00-0037834,Brock Purdy,SF,ARI,QB,QB,ACT,4.0,2026,REG,3,2026 REG W3,401872958,2026-09-27T20:05Z,home,2.364,2.364,2.0,0.0,5.0,1.904,29.44,5.87,16.22,7.55,6.36,14.2,2.59,1.735,1.4,2.0,2.133,93.0,1.627,22.48,33.58,11.88,1.74,1.114,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,83.64,60.64,39.95,24.42,14.68
00-0033873,Patrick Mahomes,KC,MIA,QB,QB,ACT,9.0,2026,REG,3,2026 REG W3,401872952,2026-09-27T17:00Z,away,2.289,2.289,2.0,0.0,5.0,1.867,34.95,4.96,17.55,8.95,7.57,17.45,1.92,1.725,1.8,1.6,1.733,89.1,1.519,25.93,32.17,16.1,1.86,1.04,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,82.43,59.44,38.75,23.5,13.5
00-0036264,Jordan Love,GB,ATL,QB,QB,ACT,6.0,2026,REG,3,2026 REG W3,401872948,2026-09-25T00:15Z,home,2.316,2.316,2.0,0.0,5.0,1.926,32.27,5.08,17.12,6.41,5.81,13.97,2.0,1.765,1.8,1.8,1.733,81.4,1.667,21.27,31.53,14.65,2.01,1.141,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,82.2,58.47,38.76,24.44,14.5
00-0023459,Aaron Rodgers,PIT,CIN,QB,QB,ACT,21.0,2026,REG,3,2026 REG W3,401872950,2026-09-27T17:00Z,home,2.086,2.086,2.0,0.0,5.0,1.793,36.15,4.49,14.84,7.42,6.18,12.19,1.41,0.705,0.4,0.7,1.133,83.8,1.686,25.32,33.33,16.09,2.52,1.154,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,80.1,54.67,34.27,19.71,10.83
00-0036389,Jalen Hurts,PHI,CHI,QB,QB,ACT,6.0,2026,REG,3,2026 REG W3,401872963,2026-09-29T00:15Z,away,2.095,2.095,2.0,0.0,5.0,1.799,30.52,5.61,11.52,4.51,3.9,12.43,1.65,1.685,1.8,1.5,1.733,86.5,1.585,21.8,35.77,14.98,3.01,1.085,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,79.81,55.15,34.57,19.95,10.87
00-0034796,Lamar Jackson,BAL,DAL,QB,QB,ACT,8.0,2026,REG,3,2026 REG W3,401872960,2026-09-27T20:25Z,away,2.05,2.05,2.0,0.0,5.0,1.78,21.79,6.85,14.47,6.96,6.06,13.78,1.38,1.3,1.4,0.9,1.533,80.7,1.673,23.81,38.46,17.86,2.07,1.145,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,79.5,53.91,33.13,19.31,10.75
00-0039851,Drake Maye,NE,JAX,QB,QB,ACT,2.0,2026,REG,3,2026 REG W3,401872957,2026-09-27T17:00Z,away,2.038,2.038,2.0,0.0,5.0,1.783,28.79,5.72,13.72,7.19,5.39,17.22,2.08,1.385,1.2,1.5,1.533,81.9,1.577,18.92,29.91,13.55,2.22,1.079,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,79.17,53.52,32.94,18.99,10.49
00-0039150,Bryce Young,CAR,CLE,QB,QB,ACT,3.0,2026,REG,3,2026 REG W3,401872949,2026-09-27T17:00Z,away,1.966,1.966,2.0,0.0,4.0,1.726,32.73,5.19,12.74,5.28,4.44,17.18,1.99,1.795,1.8,1.9,1.667,86.5,1.481,26.84,40.22,18.85,1.94,1.014,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,78.54,52.16,31.66,17.84,9.34
00-0039918,Caleb Williams,CHI,PHI,QB,QB,ACT,2.0,2026,REG,3,2026 REG W3,401872963,2026-09-29T00:15Z,home,1.938,1.938,2.0,0.0,4.0,1.73,35.28,4.69,13.63,5.8,5.27,14.23,1.36,1.63,1.6,1.7,1.6,89.1,1.456,20.08,30.6,14.94,1.97,0.997,1.0,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,77.78,51.5,30.84,17.24,9.25
