player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_pass_tds,model_version
00-0023459,Aaron Rodgers,PIT,NE,QB,2026,REG,2,1,75.4,ELITE,1.738,NFL_PASS_TD_V1
00-0023459,Aaron Rodgers,PIT,NE,QB,2026,REG,2,2,47.12,ELITE,1.738,NFL_PASS_TD_V1
00-0023459,Aaron Rodgers,PIT,NE,QB,2026,REG,2,3,26.22,ELITE,1.738,NFL_PASS_TD_V1
00-0023459,Aaron Rodgers,PIT,NE,QB,2026,REG,2,4,13.78,ELITE,1.738,NFL_PASS_TD_V1
00-0023459,Aaron Rodgers,PIT,NE,QB,2026,REG,2,5,6.4,ELITE,1.738,NFL_PASS_TD_V1
00-0026158,Joe Flacco,CIN,HOU,QB,2026,REG,2,1,67.48,ELITE,1.369,NFL_PASS_TD_V1
00-0026158,Joe Flacco,CIN,HOU,QB,2026,REG,2,2,37.16,ELITE,1.369,NFL_PASS_TD_V1
00-0026158,Joe Flacco,CIN,HOU,QB,2026,REG,2,3,18.37,ELITE,1.369,NFL_PASS_TD_V1
00-0026158,Joe Flacco,CIN,HOU,QB,2026,REG,2,4,8.44,ELITE,1.369,NFL_PASS_TD_V1
00-0026158,Joe Flacco,CIN,HOU,QB,2026,REG,2,5,3.43,ELITE,1.369,NFL_PASS_TD_V1
00-0026498,Matthew Stafford,LAR,NYG,QB,2026,REG,2,1,86.92,ELITE,2.805,NFL_PASS_TD_V1
00-0026498,Matthew Stafford,LAR,NYG,QB,2026,REG,2,2,67.49,ELITE,2.805,NFL_PASS_TD_V1
00-0026498,Matthew Stafford,LAR,NYG,QB,2026,REG,2,3,48.84,ELITE,2.805,NFL_PASS_TD_V1
00-0026498,Matthew Stafford,LAR,NYG,QB,2026,REG,2,4,33.61,ELITE,2.805,NFL_PASS_TD_V1
00-0026498,Matthew Stafford,LAR,NYG,QB,2026,REG,2,5,21.68,ELITE,2.805,NFL_PASS_TD_V1
00-0027973,Andy Dalton,PHI,TEN,QB,2026,REG,2,1,58.32,ELITE,1.045,NFL_PASS_TD_V1
00-0027973,Andy Dalton,PHI,TEN,QB,2026,REG,2,2,27.07,ELITE,1.045,NFL_PASS_TD_V1
00-0027973,Andy Dalton,PHI,TEN,QB,2026,REG,2,3,11.63,ELITE,1.045,NFL_PASS_TD_V1
00-0027973,Andy Dalton,PHI,TEN,QB,2026,REG,2,4,4.72,ELITE,1.045,NFL_PASS_TD_V1
00-0027973,Andy Dalton,PHI,TEN,QB,2026,REG,2,5,1.86,ELITE,1.045,NFL_PASS_TD_V1
00-0028118,Tyrod Taylor,GB,NYJ,QB,2026,REG,2,1,57.86,ELITE,1.02,NFL_PASS_TD_V1
00-0028118,Tyrod Taylor,GB,NYJ,QB,2026,REG,2,2,27.15,ELITE,1.02,NFL_PASS_TD_V1
00-0028118,Tyrod Taylor,GB,NYJ,QB,2026,REG,2,3,10.85,ELITE,1.02,NFL_PASS_TD_V1
00-0028118,Tyrod Taylor,GB,NYJ,QB,2026,REG,2,4,4.02,ELITE,1.02,NFL_PASS_TD_V1
00-0028118,Tyrod Taylor,GB,NYJ,QB,2026,REG,2,5,1.41,ELITE,1.02,NFL_PASS_TD_V1
