player_id,player_name,team,opponent,position,depth_chart_position,status,season,season_type,week,target_slate,game_id,game_date,home_away,projected_pat_made,projected_pat_attempts,pat_make_rate,recent_pat_made_pg,recent_pat_attempts_pg,td_environment_multiplier,kicker_role_stability,historical_kicking_games,preseason_usage_multiplier,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,data_source,simulations,model_version,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,prob_5_plus,prob_6_plus
00-0039498,Harrison Mevis,LAR,NO,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NO_LAR,,home,3.498,3.53,99.3,3.862,3.862,1.0,84.5,12,0.915,3.498,3.0,1.0,6.0,1.827,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,96.99,86.62,67.99,46.7,27.91,14.54
00-0036162,Tyler Bass,BUF,CLE,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_BUF_CLE,,away,3.06,3.24,93.11,3.303,3.54,1.0,76.6,39,0.915,3.06,3.0,1.0,5.0,1.717,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,95.51,80.99,59.41,37.19,19.35,8.65
00-0039409,Cam Little,JAX,CAR,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_CAR_JAX,,home,2.929,2.99,97.9,3.217,3.267,1.0,78.2,33,0.915,2.929,3.0,1.0,5.0,1.696,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,94.62,78.96,56.27,34.19,17.13,7.58
00-0036854,Evan McPherson,CIN,CHI,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_CHI_CIN,,home,2.887,3.05,95.36,3.063,3.33,1.0,73.4,40,0.915,2.887,3.0,1.0,5.0,1.68,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,94.41,78.29,55.64,32.88,16.58,7.22
00-0031492,Jason Myers,SEA,TEN,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_SEA_TEN,,away,2.796,2.81,99.45,3.073,3.073,1.0,72.8,51,0.915,2.796,3.0,1.0,5.0,1.656,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,93.96,77.02,53.04,30.75,15.22,6.38
00-0034173,Eddy Pineiro,SF,LAC,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_SF_LAC,,away,2.643,2.97,88.59,2.88,3.243,1.0,71.3,42,0.915,2.643,2.0,1.0,5.0,1.626,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,92.9,73.8,48.98,27.78,12.98,5.31
00-0039172,Jake Bates,DET,WAS,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_WAS_DET,,home,2.608,2.8,94.16,2.93,3.06,1.0,72.5,35,0.915,2.608,2.0,1.0,5.0,1.598,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,92.76,73.45,48.7,26.57,12.34,4.84
00-0040200,Andy Borregales,NE,PHI,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_PHI_NE,,home,2.621,2.72,96.5,2.977,2.977,1.0,66.0,21,0.915,2.621,2.0,1.0,5.0,1.613,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,92.73,73.65,48.61,27.05,12.6,5.09
00-0031136,Chris Boswell,PIT,NYJ,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NYJ_PIT,,home,2.555,2.62,97.69,2.777,2.867,1.0,74.5,47,0.915,2.555,2.0,1.0,5.0,1.589,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,92.36,72.35,47.02,25.58,11.68,4.56
00-0037692,Brandon Aubrey,DAL,ARI,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_DAL_ARI,,away,2.542,2.63,97.81,2.823,2.873,1.0,80.7,49,0.915,2.542,2.0,1.0,5.0,1.587,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,92.04,72.76,46.25,25.01,11.64,4.42
00-0038152,Lucas Havrisik,GB,DEN,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_GB_DEN,,away,2.517,2.83,88.51,2.522,3.088,1.0,82.4,10,0.915,2.517,2.0,1.0,5.0,1.585,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,91.9,71.49,45.85,24.67,11.65,4.4
00-0039576,Spencer Shrader,IND,ATL,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_ATL_IND,,home,2.517,2.59,96.8,2.831,2.831,1.0,81.0,8,0.915,2.517,2.0,1.0,5.0,1.584,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,91.8,71.57,46.04,24.97,11.1,4.35
00-0031203,Cairo Santos,CHI,CIN,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_CHI_CIN,,away,2.435,2.43,99.45,2.653,2.653,1.0,69.8,43,0.915,2.435,2.0,1.0,4.0,1.558,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,91.44,69.92,43.56,23.0,9.88,3.99
00-0033862,Zane Gonzalez,MIA,NYG,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NYG_MIA,,home,2.42,2.47,97.18,2.62,2.703,1.0,69.8,16,0.915,2.42,2.0,1.0,4.0,1.538,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,91.36,70.21,43.19,22.5,9.62,3.66
00-0036816,Riley Patterson,MIA,NYG,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NYG_MIA,,home,2.462,2.51,97.81,2.673,2.743,1.0,73.2,33,0.915,2.462,2.0,1.0,5.0,1.577,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,91.3,69.95,44.99,23.42,10.59,4.25
00-0038097,Cade York,NYJ,PIT,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NYJ_PIT,,away,2.397,2.52,94.38,2.597,2.752,1.0,74.2,6,0.915,2.397,2.0,1.0,4.0,1.546,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,90.99,69.27,42.73,22.06,9.41,3.56
00-0040074,Tyler Loop,BAL,MIN,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_BAL_MIN,,away,2.389,2.52,95.46,2.673,2.75,1.0,76.4,16,0.915,2.389,2.0,1.0,4.0,1.537,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,90.69,69.11,43.12,21.91,9.21,3.4
00-0039229,Charlie Smyth,NO,LAR,K,K,E14,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NO_LAR,,away,2.273,2.38,95.8,2.6,2.6,1.0,81.1,5,0.915,2.273,2.0,0.0,4.0,1.508,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,89.04,66.6,39.8,19.97,8.24,2.7
00-0040530,Ben Sauls,NYG,MIA,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NYG_MIA,,away,2.128,2.24,95.6,2.45,2.45,1.0,64.0,3,0.915,2.128,2.0,0.0,4.0,1.458,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,88.06,62.88,35.87,16.44,6.24,2.42
00-0037224,Cameron Dicker,LAC,SF,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_SF_LAC,,home,2.091,2.16,95.46,2.273,2.363,1.0,75.2,45,0.915,2.091,2.0,0.0,4.0,1.437,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,87.64,62.26,34.85,15.57,6.12,2.11
00-0033303,Harrison Butker,KC,TB,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_KC_TB,,away,2.024,2.25,90.45,2.217,2.457,1.0,68.2,48,0.915,2.024,2.0,0.0,4.0,1.41,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,87.05,60.27,32.99,14.52,5.26,1.68
00-0033787,Jake Elliott,PHI,NE,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_PHI_NE,,away,2.039,2.12,96.18,2.153,2.313,1.0,68.1,56,0.915,2.039,2.0,0.0,4.0,1.432,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,86.9,59.89,34.05,15.07,5.58,1.86
00-0039404,Will Reichard,MIN,BAL,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_BAL_MIN,,home,1.994,2.03,99.45,2.213,2.213,1.0,65.7,26,0.915,1.994,2.0,0.0,4.0,1.411,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,86.86,59.02,31.65,14.05,5.44,1.69
00-0035269,Matt Gay,LV,HOU,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_LV_HOU,,away,2.012,2.07,98.8,2.263,2.263,1.0,69.3,43,0.915,2.012,2.0,0.0,4.0,1.418,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,86.69,59.43,32.8,14.71,5.18,1.84
00-0038562,Jake Moody,WAS,DET,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_WAS_DET,,away,1.992,2.13,95.56,2.183,2.323,1.0,73.1,41,0.915,1.992,2.0,0.0,4.0,1.42,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,86.0,58.94,32.19,14.5,5.49,1.65
00-0032569,Wil Lutz,DEN,GB,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_GB_DEN,,home,1.886,1.91,98.9,2.087,2.087,1.0,71.2,51,0.915,1.886,2.0,0.0,4.0,1.361,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,85.14,56.54,29.03,12.04,4.2,1.18
00-0032726,Ka'imi Fairbairn,HOU,LV,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_LV_HOU,,home,1.872,2.05,91.63,2.157,2.243,1.0,77.3,46,0.915,1.872,2.0,0.0,4.0,1.368,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,84.32,56.24,28.93,11.81,4.24,1.26
