player_id,player_name,team,opponent,position,depth_chart_position,status,season,season_type,week,target_slate,game_id,game_date,home_away,projected_pat_made,projected_pat_attempts,projected_xpa,pat_make_rate,season_pat_made,season_pat_attempts,season_pat_make_pct,career_pat_made,career_pat_attempts,career_pat_make_pct,career_history_start_season,pat_makes_5y,pat_attempts_5y,pat_make_pct_5y,team_ppg,team_td_per_game,team_scoring_games,projected_team_points,xp_opportunity_pct,recent_pat_made_pg,recent_pat_attempts_pg,td_environment_multiplier,kicker_role_stability,historical_kicking_games,preseason_usage_multiplier,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,data_source,simulations,model_version,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,prob_5_plus,prob_6_plus
00-0039498,Harrison Mevis,LAR,NYG,K,K,ACT,2026,REG,2,2026 REG W2,401872947,2026-09-22T00:15Z,home,4.471,4.58,4.58,99.4,48,48,100.0,48,48,100.0,2025.0,48,48,100.0,27.03,3.175,58,27.75,98.98,3.572,3.572,1.233,78.2,13,1.04,4.471,4.0,2.0,7.0,1.972,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,98.93,94.2,83.03,66.25,47.57,30.59
00-0036162,Tyler Bass,BUF,DET,K,K,ACT,2026,REG,2,2026 REG W2,401872932,2026-09-18T00:15Z,home,4.316,4.7,4.7,93.02,0,0,,122,128,95.31,2023.0,122,128,95.31,26.88,3.328,59,29.0,99.09,3.327,3.51,1.289,75.7,40,1.04,4.316,4.0,2.0,7.0,1.93,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,98.72,93.31,81.42,64.07,44.72,27.84
00-0031203,Cairo Santos,CHI,MIN,K,K,ACT,2026,REG,2,2026 REG W2,401872937,2026-09-20T17:00Z,home,3.912,3.97,3.97,99.45,43,43,100.0,99,102,97.06,2023.0,99,102,97.06,27.74,3.377,54,27.5,98.1,3.12,3.12,1.222,60.4,44,1.04,3.912,4.0,2.0,7.0,1.899,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,98.03,90.44,75.48,55.63,36.03,20.55
00-0034173,Eddy Pineiro,SF,MIA,K,K,ACT,2026,REG,2,2026 REG W2,401872942,2026-09-20T20:25Z,home,3.781,4.31,4.31,88.77,36,41,87.8,86,96,89.58,2023.0,86,96,89.58,23.57,2.741,57,29.5,98.66,2.813,3.16,1.311,75.9,43,1.04,3.781,4.0,1.0,6.0,1.858,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,97.8,89.42,73.49,53.14,33.58,18.87
00-0041145,Dominic Zvada,NYG,LAR,K,K,ACT,2026,REG,2,2026 REG W2,401872947,2026-09-22T00:15Z,away,3.645,3.84,3.84,95.6,0,0,,0,0,,,0,0,,22.15,2.569,51,20.75,97.84,4.0,4.0,0.922,55.0,1,1.04,3.645,4.0,1.0,6.0,1.848,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,97.38,88.14,70.97,50.1,30.63,16.49
00-0040074,Tyler Loop,BAL,NO,K,K,ACT,2026,REG,2,2026 REG W2,401872938,2026-09-20T17:00Z,home,3.537,3.71,3.71,95.92,44,46,95.65,44,46,95.65,2025.0,44,46,95.65,27.02,3.139,56,28.0,97.54,2.79,2.863,1.244,74.1,17,1.04,3.537,3.0,1.0,6.0,1.833,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,97.16,86.98,68.78,47.69,28.54,15.08
00-0037692,Brandon Aubrey,DAL,WAS,K,K,ACT,2026,REG,2,2026 REG W2,401872944,2026-09-20T20:25Z,home,3.387,3.53,3.53,96.18,47,48,97.92,127,132,96.21,2023.0,127,132,96.21,23.48,2.553,53,27.0,97.07,2.693,2.83,1.2,80.7,50,1.04,3.387,3.0,1.0,6.0,1.798,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,96.69,85.35,66.17,44.18,25.56,12.96
00-0039172,Jake Bates,DET,BUF,K,K,ACT,2026,REG,2,2026 REG W2,401872932,2026-09-18T00:15Z,away,3.342,3.47,3.47,96.8,54,56,96.43,122,127,96.06,2024.0,122,127,96.06,26.21,3.021,56,24.5,96.87,2.937,3.06,1.089,72.7,36,1.04,3.342,3.0,1.0,6.0,1.789,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,96.55,84.85,65.21,43.19,24.71,12.36
00-0039409,Cam Little,JAX,DEN,K,K,ACT,2026,REG,2,2026 REG W2,401872940,2026-09-20T20:05Z,away,3.214,3.29,3.29,97.95,53,54,98.15,80,81,98.77,2024.0,80,81,98.77,29.01,3.367,53,21.0,96.28,3.343,3.39,0.933,80.9,34,1.04,3.214,3.0,1.0,6.0,1.765,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,96.02,83.25,62.51,40.18,22.36,10.84
00-0036854,Evan McPherson,CIN,HOU,K,K,ACT,2026,REG,2,2026 REG W2,401872934,2026-09-20T17:00Z,away,3.089,3.25,3.25,95.36,41,44,93.18,118,122,96.72,2023.0,118,122,96.72,29.02,3.555,51,21.75,96.14,2.98,3.237,0.967,78.2,41,1.04,3.089,3.0,1.0,5.0,1.726,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,95.59,81.68,59.92,37.34,20.02,9.26
00-0031492,Jason Myers,SEA,ARI,K,K,ACT,2026,REG,2,2026 REG W2,401872943,2026-09-20T20:25Z,away,2.959,2.98,2.98,99.45,59,59,100.0,129,132,97.73,2023.0,129,132,97.73,23.68,2.287,55,23.0,94.94,2.807,2.807,1.022,72.8,52,1.04,2.959,3.0,1.0,5.0,1.703,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,94.95,79.55,56.87,34.46,17.82,7.96
00-0040200,Andy Borregales,NE,PIT,K,K,ACT,2026,REG,2,2026 REG W2,401872946,2026-09-20T17:00Z,home,2.957,2.99,2.99,99.45,60,62,96.77,60,62,96.77,2025.0,60,62,96.77,19.47,2.258,54,23.5,94.97,2.753,2.753,1.044,63.2,22,1.04,2.957,3.0,1.0,5.0,1.712,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,94.88,79.34,56.56,34.28,17.99,8.2
00-0033303,Harrison Butker,KC,IND,K,K,ACT,2026,REG,2,2026 REG W2,401872945,2026-09-21T00:20Z,home,2.823,3.12,3.12,90.45,31,35,88.57,111,117,94.87,2023.0,111,117,94.87,16.15,1.402,57,27.5,95.6,2.217,2.457,1.222,68.2,48,1.04,2.823,3.0,1.0,5.0,1.662,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,94.07,77.37,53.78,31.5,15.72,6.79
00-0039576,Spencer Shrader,IND,KC,K,K,ACT,2026,REG,2,2026 REG W2,401872945,2026-09-21T00:20Z,away,2.636,2.78,2.78,95.28,14,14,100.0,23,23,100.0,2024.0,23,23,100.0,23.17,2.546,52,21.0,93.77,2.71,2.86,0.933,82.3,9,1.04,2.636,2.0,1.0,5.0,1.613,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,92.94,73.97,49.13,27.23,12.77,5.25
00-0032726,Ka'imi Fairbairn,HOU,CIN,K,K,ACT,2026,REG,2,2026 REG W2,401872934,2026-09-20T17:00Z,home,2.575,2.81,2.81,91.83,32,33,96.97,97,102,95.1,2023.0,97,102,95.1,23.12,2.154,57,24.75,93.96,2.37,2.453,1.1,76.2,47,1.04,2.575,2.0,1.0,5.0,1.6,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,92.34,72.77,47.49,25.89,12.06,4.81
00-0037224,Cameron Dicker,LAC,LV,K,K,ACT,2026,REG,2,2026 REG W2,401872941,2026-09-20T20:05Z,home,2.566,2.69,2.69,95.46,34,35,97.14,102,107,95.33,2023.0,102,107,95.33,16.65,1.719,54,25.25,93.23,2.22,2.307,1.122,75.2,46,1.04,2.566,2.0,1.0,5.0,1.593,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,92.23,72.8,47.4,25.66,11.76,4.69
00-0033787,Jake Elliott,PHI,TEN,K,K,ACT,2026,REG,2,2026 REG W2,401872939,2026-09-20T17:00Z,away,2.372,2.48,2.48,95.92,42,44,95.45,147,154,95.45,2023.0,147,154,95.45,20.7,2.439,58,23.25,91.59,2.15,2.303,1.033,71.2,57,1.04,2.372,2.0,1.0,4.0,1.543,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,90.55,68.4,42.38,21.6,9.33,3.48
00-0039404,Will Reichard,MIN,CHI,K,K,ACT,2026,REG,2,2026 REG W2,401872937,2026-09-20T17:00Z,away,2.354,2.38,2.38,99.45,31,31,100.0,69,69,100.0,2024.0,69,69,100.0,23.3,2.438,52,22.0,90.74,2.34,2.34,0.978,68.0,27,1.04,2.354,2.0,1.0,4.0,1.528,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,90.42,68.24,42.05,21.18,8.93,3.26
00-0035358,Chase McLaughlin,TB,CLE,K,K,ACT,2026,REG,2,2026 REG W2,401872935,2026-09-20T17:00Z,home,2.25,2.31,2.31,97.38,32,33,96.97,126,129,97.67,2023.0,126,129,97.67,20.62,2.165,55,24.5,90.08,2.04,2.04,1.089,83.6,51,1.04,2.25,2.0,0.0,4.0,1.502,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,89.46,65.58,39.09,19.05,7.9,2.8
00-0032569,Wil Lutz,DEN,JAX,K,K,ACT,2026,REG,2,2026 REG W2,401872940,2026-09-20T20:05Z,home,2.248,2.27,2.27,98.9,43,43,100.0,119,121,98.35,2023.0,119,121,98.35,20.09,1.956,54,23.5,89.63,2.087,2.087,1.044,71.2,51,1.04,2.248,2.0,0.0,4.0,1.498,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,89.39,65.64,39.1,19.02,7.83,2.76
00-0040279,Ryan Fitzgerald,CAR,ATL,K,K,ACT,2026,REG,2,2026 REG W2,401872933,2026-09-20T17:00Z,away,2.234,2.45,2.45,91.13,31,34,91.18,31,34,91.18,2025.0,31,34,91.18,20.94,2.487,51,22.5,91.41,2.11,2.36,1.0,67.2,18,1.04,2.234,2.0,0.0,4.0,1.495,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,89.28,65.16,38.64,18.93,7.75,2.73
00-0031136,Chris Boswell,PIT,NE,K,K,ACT,2026,REG,2,2026 REG W2,401872946,2026-09-20T17:00Z,away,2.23,2.28,2.28,97.72,42,43,97.67,108,110,98.18,2023.0,108,110,98.18,17.91,1.809,55,18.0,89.8,2.657,2.743,0.8,77.7,48,1.04,2.23,2.0,0.0,4.0,1.485,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,89.24,65.35,38.76,18.65,7.54,2.53
00-0040899,Trey Smack,GB,NYJ,K,K,ACT,2026,REG,2,2026 REG W2,401872936,2026-09-20T17:00Z,away,1.938,2.26,2.26,85.6,0,0,,0,0,,,0,0,,20.96,2.369,56,24.5,89.62,1.0,2.0,1.089,55.0,1,1.04,1.938,2.0,0.0,4.0,1.398,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,85.45,57.56,30.68,13.27,4.87,1.53
00-0036816,Riley Patterson,MIA,SF,K,K,ACT,2026,REG,2,2026 REG W2,401872942,2026-09-20T20:25Z,away,1.861,1.9,1.9,97.78,34,35,97.14,93,97,95.88,2023.0,93,97,95.88,18.09,1.971,53,16.0,85.05,2.503,2.57,0.711,69.1,34,1.04,1.861,2.0,0.0,4.0,1.362,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,84.51,55.54,28.47,11.84,4.12,1.22
00-0041182,Drew Stevens,WAS,DAL,K,K,ACT,2026,REG,2,2026 REG W2,401872944,2026-09-20T20:25Z,away,1.863,2.17,2.17,85.6,0,0,,0,0,,,0,0,,20.83,2.379,54,23.5,88.61,1.0,2.0,1.044,55.0,1,1.04,1.863,2.0,0.0,4.0,1.37,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,84.29,55.47,28.62,12.08,4.2,1.23
