player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_pat_made,model_version
00-0025565,Nick Folk,ATL,IND,K,2026,PRE,2,1,81.83,ELITE,1.706,NFL_PAT_MADE_V1
00-0025565,Nick Folk,ATL,IND,K,2026,PRE,2,2,50.88,ELITE,1.706,NFL_PAT_MADE_V1
00-0025565,Nick Folk,ATL,IND,K,2026,PRE,2,3,24.53,ELITE,1.706,NFL_PAT_MADE_V1
00-0025565,Nick Folk,ATL,IND,K,2026,PRE,2,4,9.44,ELITE,1.706,NFL_PAT_MADE_V1
00-0025565,Nick Folk,ATL,IND,K,2026,PRE,2,5,2.94,ELITE,1.706,NFL_PAT_MADE_V1
00-0025565,Nick Folk,ATL,IND,K,2026,PRE,2,6,0.77,HIGH,1.706,NFL_PAT_MADE_V1
00-0031136,Chris Boswell,PIT,NYJ,K,2026,PRE,2,1,92.37,ELITE,2.563,NFL_PAT_MADE_V1
00-0031136,Chris Boswell,PIT,NYJ,K,2026,PRE,2,2,72.53,ELITE,2.563,NFL_PAT_MADE_V1
00-0031136,Chris Boswell,PIT,NYJ,K,2026,PRE,2,3,47.42,ELITE,2.563,NFL_PAT_MADE_V1
00-0031136,Chris Boswell,PIT,NYJ,K,2026,PRE,2,4,25.8,ELITE,2.563,NFL_PAT_MADE_V1
00-0031136,Chris Boswell,PIT,NYJ,K,2026,PRE,2,5,11.67,ELITE,2.563,NFL_PAT_MADE_V1
00-0031136,Chris Boswell,PIT,NYJ,K,2026,PRE,2,6,4.55,ELITE,2.563,NFL_PAT_MADE_V1
00-0031203,Cairo Santos,CHI,CIN,K,2026,PRE,2,1,91.11,ELITE,2.407,NFL_PAT_MADE_V1
00-0031203,Cairo Santos,CHI,CIN,K,2026,PRE,2,2,69.51,ELITE,2.407,NFL_PAT_MADE_V1
00-0031203,Cairo Santos,CHI,CIN,K,2026,PRE,2,3,43.27,ELITE,2.407,NFL_PAT_MADE_V1
00-0031203,Cairo Santos,CHI,CIN,K,2026,PRE,2,4,22.02,ELITE,2.407,NFL_PAT_MADE_V1
00-0031203,Cairo Santos,CHI,CIN,K,2026,PRE,2,5,9.63,ELITE,2.407,NFL_PAT_MADE_V1
00-0031203,Cairo Santos,CHI,CIN,K,2026,PRE,2,6,3.64,ELITE,2.407,NFL_PAT_MADE_V1
00-0031492,Jason Myers,SEA,TEN,K,2026,PRE,2,1,94.0,ELITE,2.793,NFL_PAT_MADE_V1
00-0031492,Jason Myers,SEA,TEN,K,2026,PRE,2,2,77.06,ELITE,2.793,NFL_PAT_MADE_V1
00-0031492,Jason Myers,SEA,TEN,K,2026,PRE,2,3,52.95,ELITE,2.793,NFL_PAT_MADE_V1
00-0031492,Jason Myers,SEA,TEN,K,2026,PRE,2,4,30.56,ELITE,2.793,NFL_PAT_MADE_V1
00-0031492,Jason Myers,SEA,TEN,K,2026,PRE,2,5,15.24,ELITE,2.793,NFL_PAT_MADE_V1
00-0031492,Jason Myers,SEA,TEN,K,2026,PRE,2,6,6.35,ELITE,2.793,NFL_PAT_MADE_V1
00-0032569,Wil Lutz,DEN,GB,K,2026,PRE,2,1,85.18,ELITE,1.904,NFL_PAT_MADE_V1
00-0032569,Wil Lutz,DEN,GB,K,2026,PRE,2,2,56.92,ELITE,1.904,NFL_PAT_MADE_V1
00-0032569,Wil Lutz,DEN,GB,K,2026,PRE,2,3,29.83,ELITE,1.904,NFL_PAT_MADE_V1
00-0032569,Wil Lutz,DEN,GB,K,2026,PRE,2,4,12.44,ELITE,1.904,NFL_PAT_MADE_V1
00-0032569,Wil Lutz,DEN,GB,K,2026,PRE,2,5,4.33,ELITE,1.904,NFL_PAT_MADE_V1
00-0032569,Wil Lutz,DEN,GB,K,2026,PRE,2,6,1.32,ELITE,1.904,NFL_PAT_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,LV,K,2026,PRE,2,1,84.37,ELITE,1.865,NFL_PAT_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,LV,K,2026,PRE,2,2,55.76,ELITE,1.865,NFL_PAT_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,LV,K,2026,PRE,2,3,28.67,ELITE,1.865,NFL_PAT_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,LV,K,2026,PRE,2,4,12.02,ELITE,1.865,NFL_PAT_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,LV,K,2026,PRE,2,5,4.1,ELITE,1.865,NFL_PAT_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,LV,K,2026,PRE,2,6,1.2,ELITE,1.865,NFL_PAT_MADE_V1
00-0033303,Harrison Butker,KC,TB,K,2026,PRE,2,1,86.93,ELITE,2.037,NFL_PAT_MADE_V1
00-0033303,Harrison Butker,KC,TB,K,2026,PRE,2,2,60.59,ELITE,2.037,NFL_PAT_MADE_V1
00-0033303,Harrison Butker,KC,TB,K,2026,PRE,2,3,33.3,ELITE,2.037,NFL_PAT_MADE_V1
00-0033303,Harrison Butker,KC,TB,K,2026,PRE,2,4,14.96,ELITE,2.037,NFL_PAT_MADE_V1
00-0033303,Harrison Butker,KC,TB,K,2026,PRE,2,5,5.59,ELITE,2.037,NFL_PAT_MADE_V1
00-0033303,Harrison Butker,KC,TB,K,2026,PRE,2,6,1.74,ELITE,2.037,NFL_PAT_MADE_V1
00-0033787,Jake Elliott,PHI,NE,K,2026,PRE,2,1,86.84,ELITE,2.036,NFL_PAT_MADE_V1
00-0033787,Jake Elliott,PHI,NE,K,2026,PRE,2,2,60.26,ELITE,2.036,NFL_PAT_MADE_V1
00-0033787,Jake Elliott,PHI,NE,K,2026,PRE,2,3,33.5,ELITE,2.036,NFL_PAT_MADE_V1
00-0033787,Jake Elliott,PHI,NE,K,2026,PRE,2,4,14.99,ELITE,2.036,NFL_PAT_MADE_V1
