player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_pat_made,model_version
00-0025565,Nick Folk,ATL,PIT,K,2026,REG,1,1,80.43,ELITE,1.633,NFL_PAT_MADE_V1
00-0025565,Nick Folk,ATL,PIT,K,2026,REG,1,2,48.49,ELITE,1.633,NFL_PAT_MADE_V1
00-0025565,Nick Folk,ATL,PIT,K,2026,REG,1,3,22.62,ELITE,1.633,NFL_PAT_MADE_V1
00-0025565,Nick Folk,ATL,PIT,K,2026,REG,1,4,8.39,ELITE,1.633,NFL_PAT_MADE_V1
00-0025565,Nick Folk,ATL,PIT,K,2026,REG,1,5,2.52,ELITE,1.633,NFL_PAT_MADE_V1
00-0025565,Nick Folk,ATL,PIT,K,2026,REG,1,6,0.66,SOLID,1.633,NFL_PAT_MADE_V1
00-0031136,Chris Boswell,PIT,ATL,K,2026,REG,1,1,94.6,ELITE,2.912,NFL_PAT_MADE_V1
00-0031136,Chris Boswell,PIT,ATL,K,2026,REG,1,2,78.74,ELITE,2.912,NFL_PAT_MADE_V1
00-0031136,Chris Boswell,PIT,ATL,K,2026,REG,1,3,55.96,ELITE,2.912,NFL_PAT_MADE_V1
00-0031136,Chris Boswell,PIT,ATL,K,2026,REG,1,4,33.37,ELITE,2.912,NFL_PAT_MADE_V1
00-0031136,Chris Boswell,PIT,ATL,K,2026,REG,1,5,17.16,ELITE,2.912,NFL_PAT_MADE_V1
00-0031136,Chris Boswell,PIT,ATL,K,2026,REG,1,6,7.54,ELITE,2.912,NFL_PAT_MADE_V1
00-0031203,Cairo Santos,CHI,CAR,K,2026,REG,1,1,95.28,ELITE,3.042,NFL_PAT_MADE_V1
00-0031203,Cairo Santos,CHI,CAR,K,2026,REG,1,2,80.83,ELITE,3.042,NFL_PAT_MADE_V1
00-0031203,Cairo Santos,CHI,CAR,K,2026,REG,1,3,58.59,ELITE,3.042,NFL_PAT_MADE_V1
00-0031203,Cairo Santos,CHI,CAR,K,2026,REG,1,4,36.43,ELITE,3.042,NFL_PAT_MADE_V1
00-0031203,Cairo Santos,CHI,CAR,K,2026,REG,1,5,19.39,ELITE,3.042,NFL_PAT_MADE_V1
00-0031203,Cairo Santos,CHI,CAR,K,2026,REG,1,6,8.84,ELITE,3.042,NFL_PAT_MADE_V1
00-0031492,Jason Myers,SEA,NE,K,2026,REG,1,1,96.66,ELITE,3.374,NFL_PAT_MADE_V1
00-0031492,Jason Myers,SEA,NE,K,2026,REG,1,2,85.32,ELITE,3.374,NFL_PAT_MADE_V1
00-0031492,Jason Myers,SEA,NE,K,2026,REG,1,3,65.76,ELITE,3.374,NFL_PAT_MADE_V1
00-0031492,Jason Myers,SEA,NE,K,2026,REG,1,4,43.86,ELITE,3.374,NFL_PAT_MADE_V1
00-0031492,Jason Myers,SEA,NE,K,2026,REG,1,5,25.32,ELITE,3.374,NFL_PAT_MADE_V1
00-0031492,Jason Myers,SEA,NE,K,2026,REG,1,6,12.7,ELITE,3.374,NFL_PAT_MADE_V1
00-0032569,Wil Lutz,DEN,KC,K,2026,REG,1,1,85.08,ELITE,1.897,NFL_PAT_MADE_V1
00-0032569,Wil Lutz,DEN,KC,K,2026,REG,1,2,56.69,ELITE,1.897,NFL_PAT_MADE_V1
00-0032569,Wil Lutz,DEN,KC,K,2026,REG,1,3,29.45,ELITE,1.897,NFL_PAT_MADE_V1
00-0032569,Wil Lutz,DEN,KC,K,2026,REG,1,4,12.43,ELITE,1.897,NFL_PAT_MADE_V1
00-0032569,Wil Lutz,DEN,KC,K,2026,REG,1,5,4.32,ELITE,1.897,NFL_PAT_MADE_V1
00-0032569,Wil Lutz,DEN,KC,K,2026,REG,1,6,1.34,ELITE,1.897,NFL_PAT_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,BUF,K,2026,REG,1,1,86.97,ELITE,2.038,NFL_PAT_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,BUF,K,2026,REG,1,2,60.44,ELITE,2.038,NFL_PAT_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,BUF,K,2026,REG,1,3,33.33,ELITE,2.038,NFL_PAT_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,BUF,K,2026,REG,1,4,14.9,ELITE,2.038,NFL_PAT_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,BUF,K,2026,REG,1,5,5.73,ELITE,2.038,NFL_PAT_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,BUF,K,2026,REG,1,6,1.8,ELITE,2.038,NFL_PAT_MADE_V1
