player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,game_id,game_date,home_away,season,season_type,week,projected_role
00-0023459,Aaron Rodgers,PIT,GB,QB,QB,ACT,21.0,2026_PRE_W1_GB_PIT,,home,2026,PRE,1,QB
00-0026158,Joe Flacco,CIN,DET,QB,QB,ACT,18.0,2026_PRE_W1_DET_CIN,,home,2026,PRE,1,QB
00-0026300,Josh Johnson,CIN,DET,QB,QB,ACT,18.0,2026_PRE_W1_DET_CIN,,home,2026,PRE,1,QB
00-0026498,Matthew Stafford,LAR,KC,QB,QB,ACT,17.0,2026_PRE_W1_LAR_KC,,away,2026,PRE,1,QB
00-0027973,Andy Dalton,PHI,BAL,QB,QB,ACT,15.0,2026_PRE_W1_PHI_BAL,,away,2026,PRE,1,QB
00-0028118,Tyrod Taylor,GB,PIT,QB,QB,ACT,15.0,2026_PRE_W1_GB_PIT,,away,2026,PRE,1,QB
00-0028986,Case Keenum,CHI,CLE,QB,QB,ACT,14.0,2026_PRE_W1_CLE_CHI,,home,2026,PRE,1,QB
00-0029604,Kirk Cousins,LV,ARI,QB,QB,ACT,14.0,2026_PRE_W1_ARI_LV,,home,2026,PRE,1,QB
00-0030565,Geno Smith,NYJ,TB,QB,QB,ACT,13.0,2026_PRE_W1_TB_NYJ,,home,2026,PRE,1,QB
00-0031237,Teddy Bridgewater,DET,CIN,QB,QB,ACT,12.0,2026_PRE_W1_DET_CIN,,away,2026,PRE,1,QB
00-0031503,Jameis Winston,NYG,MIN,QB,QB,ACT,11.0,2026_PRE_W1_MIN_NYG,,home,2026,PRE,1,QB
00-0032156,Trevor Siemian,ATL,DEN,QB,QB,ACT,11.0,2026_PRE_W1_DEN_ATL,,home,2026,PRE,1,QB
00-0032268,Marcus Mariota,WAS,MIA,QB,QB,ACT,11.0,2026_PRE_W1_MIA_WAS,,home,2026,PRE,1,QB
00-0032434,Brandon Allen,NYG,MIN,QB,QB,ACT,10.0,2026_PRE_W1_MIN_NYG,,home,2026,PRE,1,QB
00-0032950,Carson Wentz,MIN,NYG,QB,QB,ACT,10.0,2026_PRE_W1_MIN_NYG,,away,2026,PRE,1,QB
00-0033077,Dak Prescott,DAL,SEA,QB,QB,ACT,10.0,2026_PRE_W1_DAL_SEA,,away,2026,PRE,1,QB
00-0033106,Jared Goff,DET,CIN,QB,QB,ACT,10.0,2026_PRE_W1_DET_CIN,,away,2026,PRE,1,QB
00-0033319,Nick Mullens,JAX,NO,QB,QB,ACT,9.0,2026_PRE_W1_JAX_NO,,away,2026,PRE,1,QB
00-0033537,Deshaun Watson,CLE,CHI,QB,QB,ACT,9.0,2026_PRE_W1_CLE_CHI,,away,2026,PRE,1,QB
00-0033869,Mitchell Trubisky,TEN,SF,QB,QB,ACT,9.0,2026_PRE_W1_TEN_SF,,away,2026,PRE,1,QB
00-0033873,Patrick Mahomes,KC,LAR,QB,QB,ACT,9.0,2026_PRE_W1_LAR_KC,,home,2026,PRE,1,QB
00-0034577,Kyle Allen,BUF,CAR,QB,QB,ACT,8.0,2026_PRE_W1_CAR_BUF,,home,2026,PRE,1,QB
00-0034771,Mason Rudolph,PIT,GB,QB,QB,ACT,8.0,2026_PRE_W1_GB_PIT,,home,2026,PRE,1,QB
00-0034796,Lamar Jackson,BAL,PHI,QB,QB,ACT,8.0,2026_PRE_W1_PHI_BAL,,home,2026,PRE,1,QB
00-0034855,Baker Mayfield,TB,NYJ,QB,QB,ACT,8.0,2026_PRE_W1_TB_NYJ,,away,2026,PRE,1,QB
00-0034857,Josh Allen,BUF,CAR,QB,QB,ACT,8.0,2026_PRE_W1_CAR_BUF,,home,2026,PRE,1,QB
00-0034869,Sam Darnold,SEA,DAL,QB,QB,ACT,8.0,2026_PRE_W1_DAL_SEA,,home,2026,PRE,1,QB
00-0035100,Jake Browning,TB,NYJ,QB,QB,ACT,7.0,2026_PRE_W1_TB_NYJ,,away,2026,PRE,1,QB
00-0035228,Kyler Murray,MIN,NYG,QB,QB,ACT,7.0,2026_PRE_W1_MIN_NYG,,away,2026,PRE,1,QB
00-0035251,Will Grier,CAR,BUF,QB,QB,ACT,7.0,2026_PRE_W1_CAR_BUF,,away,2026,PRE,1,QB
00-0035264,Jarrett Stidham,DEN,ATL,QB,QB,ACT,7.0,2026_PRE_W1_DEN_ATL,,away,2026,PRE,1,QB
00-0035282,Easton Stick,IND,NE,QB,QB,ACT,7.0,2026_PRE_W1_IND_NE,,away,2026,PRE,1,QB
00-0035704,Drew Lock,SEA,DAL,QB,QB,ACT,7.0,2026_PRE_W1_DAL_SEA,,home,2026,PRE,1,QB
00-0035710,Daniel Jones,IND,NE,QB,QB,ACT,7.0,2026_PRE_W1_IND_NE,,away,2026,PRE,1,QB
00-0035993,Tyler Huntley,BAL,PHI,QB,QB,ACT,6.0,2026_PRE_W1_PHI_BAL,,home,2026,PRE,1,QB
00-0036212,Tua Tagovailoa,ATL,DEN,QB,QB,ACT,6.0,2026_PRE_W1_DEN_ATL,,home,2026,PRE,1,QB
00-0036264,Jordan Love,GB,PIT,QB,QB,ACT,6.0,2026_PRE_W1_GB_PIT,,away,2026,PRE,1,QB
00-0036355,Justin Herbert,LAC,HOU,QB,QB,ACT,6.0,2026_PRE_W1_LAC_HOU,,away,2026,PRE,1,QB
00-0036389,Jalen Hurts,PHI,BAL,QB,QB,ACT,6.0,2026_PRE_W1_PHI_BAL,,away,2026,PRE,1,QB
00-0036442,Joe Burrow,CIN,DET,QB,QB,ACT,6.0,2026_PRE_W1_DET_CIN,,home,2026,PRE,1,QB
00-0036679,Shane Buechele,BUF,CAR,QB,QB,ACT,5.0,2026_PRE_W1_CAR_BUF,,home,2026,PRE,1,QB
00-0036879,Sam Ehlinger,DEN,ATL,QB,QB,ACT,5.0,2026_PRE_W1_DEN_ATL,,away,2026,PRE,1,QB
00-0036898,Davis Mills,HOU,LAC,QB,QB,ACT,5.0,2026_PRE_W1_LAC_HOU,,home,2026,PRE,1,QB
00-0036945,Justin Fields,KC,LAR,QB,QB,ACT,5.0,2026_PRE_W1_LAR_KC,,home,2026,PRE,1,QB
00-0036971,Trevor Lawrence,JAX,NO,QB,QB,ACT,5.0,2026_PRE_W1_JAX_NO,,away,2026,PRE,1,QB
00-0036972,Mac Jones,SF,TEN,QB,QB,ACT,5.0,2026_PRE_W1_TEN_SF,,home,2026,PRE,1,QB
00-0037012,Trey Lance,LAC,HOU,QB,QB,ACT,5.0,2026_PRE_W1_LAC_HOU,,away,2026,PRE,1,QB
00-0037013,Zach Wilson,NO,JAX,QB,QB,ACT,5.0,2026_PRE_W1_JAX_NO,,home,2026,PRE,1,QB
00-0037077,Sam Howell,DAL,SEA,QB,QB,ACT,4.0,2026_PRE_W1_DAL_SEA,,away,2026,PRE,1,QB
00-0037324,Chris Oladokun,KC,LAR,QB,QB,ACT,4.0,2026_PRE_W1_LAR_KC,,home,2026,PRE,1,QB
00-0037327,Skylar Thompson,BAL,PHI,QB,QB,ACT,4.0,2026_PRE_W1_PHI_BAL,,home,2026,PRE,1,QB
00-0037834,Brock Purdy,SF,TEN,QB,QB,ACT,4.0,2026_PRE_W1_TEN_SF,,home,2026,PRE,1,QB
00-0038102,Kenny Pickett,CAR,BUF,QB,QB,ACT,4.0,2026_PRE_W1_CAR_BUF,,away,2026,PRE,1,QB
00-0038108,Bailey Zappe,NYJ,TB,QB,QB,ACT,4.0,2026_PRE_W1_TB_NYJ,,home,2026,PRE,1,QB
00-0038128,Malik Willis,MIA,WAS,QB,QB,ACT,4.0,2026_PRE_W1_MIA_WAS,,away,2026,PRE,1,QB
00-0038391,Sean Clifford,CIN,DET,QB,QB,ACT,3.0,2026_PRE_W1_DET_CIN,,home,2026,PRE,1,QB
00-0038400,Tanner McKee,PHI,BAL,QB,QB,ACT,3.0,2026_PRE_W1_PHI_BAL,,away,2026,PRE,1,QB
00-0038416,Tyson Bagent,CHI,CLE,QB,QB,ACT,3.0,2026_PRE_W1_CLE_CHI,,home,2026,PRE,1,QB
00-0038476,Tommy DeVito,NE,IND,QB,QB,ACT,3.0,2026_PRE_W1_IND_NE,,home,2026,PRE,1,QB
00-0038550,Hendon Hooker,TEN,SF,QB,QB,ACT,3.0,2026_PRE_W1_TEN_SF,,away,2026,PRE,1,QB
00-0038579,Aidan O'Connell,LV,ARI,QB,QB,ACT,3.0,2026_PRE_W1_ARI_LV,,home,2026,PRE,1,QB
00-0038658,Adrian Martinez,SF,TEN,QB,QB,ACT,3.0,2026_PRE_W1_TEN_SF,,home,2026,PRE,1,QB
00-0039107,Stetson Bennett,LAR,KC,QB,QB,ACT,3.0,2026_PRE_W1_LAR_KC,,away,2026,PRE,1,QB
00-0039150,Bryce Young,CAR,BUF,QB,QB,ACT,3.0,2026_PRE_W1_CAR_BUF,,away,2026,PRE,1,QB
00-0039152,Will Levis,TEN,SF,QB,QB,ACT,3.0,2026_PRE_W1_TEN_SF,,away,2026,PRE,1,QB
00-0039163,C.J. Stroud,HOU,LAC,QB,QB,ACT,3.0,2026_PRE_W1_LAC_HOU,,home,2026,PRE,1,QB
00-0039164,Anthony Richardson,IND,NE,QB,QB,ACT,3.0,2026_PRE_W1_IND_NE,,away,2026,PRE,1,QB
00-0039376,Spencer Rattler,NO,JAX,QB,QB,ACT,2.0,2026_PRE_W1_JAX_NO,,home,2026,PRE,1,QB
00-0039398,Joe Milton III,DAL,SEA,QB,QB,ACT,2.0,2026_PRE_W1_DAL_SEA,,away,2026,PRE,1,QB
00-0039534,Carter Bradley,JAX,NO,QB,QB,ACT,2.0,2026_PRE_W1_JAX_NO,,away,2026,PRE,1,QB
00-0039677,Sam Hartman,WAS,MIA,QB,QB,ACT,2.0,2026_PRE_W1_MIA_WAS,,home,2026,PRE,1,QB
00-0039732,Bo Nix,DEN,ATL,QB,QB,ACT,2.0,2026_PRE_W1_DEN_ATL,,away,2026,PRE,1,QB
00-0039851,Drake Maye,NE,IND,QB,QB,ACT,2.0,2026_PRE_W1_IND_NE,,home,2026,PRE,1,QB
00-0039910,Jayden Daniels,WAS,MIA,QB,QB,ACT,2.0,2026_PRE_W1_MIA_WAS,,home,2026,PRE,1,QB
00-0039917,Michael Penix Jr.,ATL,DEN,QB,QB,ACT,2.0,2026_PRE_W1_DEN_ATL,,home,2026,PRE,1,QB
00-0039918,Caleb Williams,CHI,CLE,QB,QB,ACT,2.0,2026_PRE_W1_CLE_CHI,,home,2026,PRE,1,QB
00-0039923,J.J. McCarthy,MIN,NYG,QB,QB,ACT,2.0,2026_PRE_W1_MIN_NYG,,away,2026,PRE,1,QB
00-0040014,Kyle McCord,GB,PIT,QB,QB,ACT,1.0,2026_PRE_W1_GB_PIT,,away,2026,PRE,1,QB
00-0040203,Will Howard,PIT,GB,QB,QB,ACT,1.0,2026_PRE_W1_GB_PIT,,home,2026,PRE,1,QB
00-0040206,Riley Leonard,IND,NE,QB,QB,ACT,1.0,2026_PRE_W1_IND_NE,,away,2026,PRE,1,QB
00-0040211,Graham Mertz,HOU,LAC,QB,QB,ACT,1.0,2026_PRE_W1_LAC_HOU,,home,2026,PRE,1,QB
00-0040222,Cam Miller,MIA,WAS,QB,QB,ACT,1.0,2026_PRE_W1_MIA_WAS,,away,2026,PRE,1,QB
00-0040234,Quinn Ewers,MIA,WAS,QB,QB,ACT,1.0,2026_PRE_W1_MIA_WAS,,away,2026,PRE,1,QB
00-0040398,Brady Cook,NYJ,TB,QB,QB,ACT,1.0,2026_PRE_W1_TB_NYJ,,home,2026,PRE,1,QB
00-0040415,Connor Bazelak,TB,NYJ,QB,QB,ACT,1.0,2026_PRE_W1_TB_NYJ,,away,2026,PRE,1,QB
00-0040464,DJ Uiagalelei,LAC,HOU,QB,QB,ACT,1.0,2026_PRE_W1_LAC_HOU,,away,2026,PRE,1,QB
00-0040494,Max Brosmer,MIN,NYG,QB,QB,ACT,1.0,2026_PRE_W1_MIN_NYG,,away,2026,PRE,1,QB
00-0040589,Kurtis Rourke,SF,TEN,QB,QB,ACT,1.0,2026_PRE_W1_TEN_SF,,home,2026,PRE,1,QB
00-0040668,Shedeur Sanders,CLE,CHI,QB,QB,ACT,1.0,2026_PRE_W1_CLE_CHI,,away,2026,PRE,1,QB
00-0040673,Jalen Milroe,SEA,DAL,QB,QB,ACT,1.0,2026_PRE_W1_DAL_SEA,,home,2026,PRE,1,QB
00-0040676,Cam Ward,TEN,SF,QB,QB,ACT,1.0,2026_PRE_W1_TEN_SF,,away,2026,PRE,1,QB
00-0040691,Jaxson Dart,NYG,MIN,QB,QB,ACT,1.0,2026_PRE_W1_MIN_NYG,,home,2026,PRE,1,QB
00-0040704,Dillon Gabriel,CLE,CHI,QB,QB,ACT,1.0,2026_PRE_W1_CLE_CHI,,away,2026,PRE,1,QB
00-0040743,Tyler Shough,NO,JAX,QB,QB,ACT,1.0,2026_PRE_W1_JAX_NO,,home,2026,PRE,1,QB
00-0040891,Cole Payton,PHI,BAL,QB,QB,ACT,0.0,2026_PRE_W1_PHI_BAL,,away,2026,PRE,1,QB
00-0040906,Garrett Nussmeier,KC,LAR,QB,QB,ACT,0.0,2026_PRE_W1_LAR_KC,,home,2026,PRE,1,QB
00-0040942,Kyron Drones,GB,PIT,QB,QB,ACT,0.0,2026_PRE_W1_GB_PIT,,away,2026,PRE,1,QB
00-0040981,Joe Fagnano,BAL,PHI,QB,QB,ACT,0.0,2026_PRE_W1_PHI_BAL,,home,2026,PRE,1,QB
00-0040985,Diego Pavia,BAL,PHI,QB,QB,ACT,0.0,2026_PRE_W1_PHI_BAL,,home,2026,PRE,1,QB
00-0040996,Jacob Clark,LV,ARI,QB,QB,ACT,0.0,2026_PRE_W1_ARI_LV,,home,2026,PRE,1,QB
00-0041056,Cade Klubnik,NYJ,TB,QB,QB,ACT,0.0,2026_PRE_W1_TB_NYJ,,home,2026,PRE,1,QB
