player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,game_id,game_date,home_away,season,season_type,week,projected_role
00-0023459,Aaron Rodgers,PIT,NE,QB,QB,ACT,21.0,401872946,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0026158,Joe Flacco,CIN,HOU,QB,QB,ACT,18.0,401872934,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0026498,Matthew Stafford,LAR,NYG,QB,QB,ACT,17.0,401872947,2026-09-22T00:15Z,home,2026,REG,2,QB
00-0027973,Andy Dalton,PHI,TEN,QB,QB,ACT,15.0,401872939,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0028118,Tyrod Taylor,GB,NYJ,QB,QB,ACT,15.0,401872936,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0028986,Case Keenum,CHI,MIN,QB,QB,ACT,14.0,401872937,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0029604,Kirk Cousins,LV,LAC,QB,QB,ACT,14.0,401872941,2026-09-20T20:05Z,away,2026,REG,2,QB
00-0030565,Geno Smith,NYJ,GB,QB,QB,ACT,13.0,401872936,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0031503,Jameis Winston,NYG,LAR,QB,QB,ACT,11.0,401872947,2026-09-22T00:15Z,away,2026,REG,2,QB
00-0032268,Marcus Mariota,WAS,DAL,QB,QB,ACT,11.0,401872944,2026-09-20T20:25Z,away,2026,REG,2,QB
00-0032950,Carson Wentz,MIN,CHI,QB,QB,ACT,10.0,401872937,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0033077,Dak Prescott,DAL,WAS,QB,QB,ACT,10.0,401872944,2026-09-20T20:25Z,home,2026,REG,2,QB
00-0033106,Jared Goff,DET,BUF,QB,QB,ACT,10.0,401872932,2026-09-18T00:15Z,away,2026,REG,2,QB
00-0033119,Jacoby Brissett,ARI,SEA,QB,QB,ACT,10.0,401872943,2026-09-20T20:25Z,home,2026,REG,2,QB
00-0033319,Nick Mullens,JAX,DEN,QB,QB,ACT,9.0,401872940,2026-09-20T20:05Z,away,2026,REG,2,QB
00-0033537,Deshaun Watson,CLE,TB,QB,QB,ACT,9.0,401872935,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0033662,Cooper Rush,ATL,CAR,QB,QB,ACT,9.0,401872933,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0033869,Mitchell Trubisky,TEN,PHI,QB,QB,ACT,9.0,401872939,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0033873,Patrick Mahomes,KC,IND,QB,QB,ACT,9.0,401872945,2026-09-21T00:20Z,home,2026,REG,2,QB
00-0033949,Joshua Dobbs,DET,BUF,QB,QB,ACT,9.0,401872932,2026-09-18T00:15Z,away,2026,REG,2,QB
00-0034577,Kyle Allen,BUF,DET,QB,QB,ACT,8.0,401872932,2026-09-18T00:15Z,home,2026,REG,2,QB
00-0034771,Mason Rudolph,PIT,NE,QB,QB,ACT,8.0,401872946,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0034796,Lamar Jackson,BAL,NO,QB,QB,ACT,8.0,401872938,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0034855,Baker Mayfield,TB,CLE,QB,QB,ACT,8.0,401872935,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0034857,Josh Allen,BUF,DET,QB,QB,ACT,8.0,401872932,2026-09-18T00:15Z,home,2026,REG,2,QB
00-0034869,Sam Darnold,SEA,ARI,QB,QB,ACT,8.0,401872943,2026-09-20T20:25Z,away,2026,REG,2,QB
00-0035228,Kyler Murray,MIN,CHI,QB,QB,ACT,7.0,401872937,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0035264,Jarrett Stidham,DEN,JAX,QB,QB,ACT,7.0,401872940,2026-09-20T20:05Z,home,2026,REG,2,QB
00-0035289,Gardner Minshew,ARI,SEA,QB,QB,ACT,7.0,401872943,2026-09-20T20:25Z,home,2026,REG,2,QB
00-0035704,Drew Lock,SEA,ARI,QB,QB,ACT,7.0,401872943,2026-09-20T20:25Z,away,2026,REG,2,QB
00-0035710,Daniel Jones,IND,KC,QB,QB,ACT,7.0,401872945,2026-09-21T00:20Z,away,2026,REG,2,QB
00-0035993,Tyler Huntley,BAL,NO,QB,QB,ACT,6.0,401872938,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0036264,Jordan Love,GB,NYJ,QB,QB,ACT,6.0,401872936,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0036355,Justin Herbert,LAC,LV,QB,QB,ACT,6.0,401872941,2026-09-20T20:05Z,home,2026,REG,2,QB
00-0036389,Jalen Hurts,PHI,TEN,QB,QB,ACT,6.0,401872939,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0036442,Joe Burrow,CIN,HOU,QB,QB,ACT,6.0,401872934,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0036879,Sam Ehlinger,DEN,JAX,QB,QB,ACT,5.0,401872940,2026-09-20T20:05Z,home,2026,REG,2,QB
00-0036898,Davis Mills,HOU,CIN,QB,QB,ACT,5.0,401872934,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0036945,Justin Fields,KC,IND,QB,QB,ACT,5.0,401872945,2026-09-21T00:20Z,home,2026,REG,2,QB
00-0036971,Trevor Lawrence,JAX,DEN,QB,QB,ACT,5.0,401872940,2026-09-20T20:05Z,away,2026,REG,2,QB
00-0036972,Mac Jones,SF,MIA,QB,QB,ACT,5.0,401872942,2026-09-20T20:25Z,home,2026,REG,2,QB
00-0037012,Trey Lance,LAC,LV,QB,QB,ACT,5.0,401872941,2026-09-20T20:05Z,home,2026,REG,2,QB
00-0037077,Sam Howell,DAL,WAS,QB,QB,ACT,4.0,401872944,2026-09-20T20:25Z,home,2026,REG,2,QB
00-0037834,Brock Purdy,SF,MIA,QB,QB,ACT,4.0,401872942,2026-09-20T20:25Z,home,2026,REG,2,QB
00-0038102,Kenny Pickett,CAR,ATL,QB,QB,ACT,4.0,401872933,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0038128,Malik Willis,MIA,SF,QB,QB,ACT,4.0,401872942,2026-09-20T20:25Z,away,2026,REG,2,QB
00-0038476,Tommy DeVito,NE,PIT,QB,QB,ACT,3.0,401872946,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0039107,Stetson Bennett,LAR,NYG,QB,QB,ACT,3.0,401872947,2026-09-22T00:15Z,home,2026,REG,2,QB
00-0039150,Bryce Young,CAR,ATL,QB,QB,ACT,3.0,401872933,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0039163,C.J. Stroud,HOU,CIN,QB,QB,ACT,3.0,401872934,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0039164,Anthony Richardson,IND,KC,QB,QB,ACT,3.0,401872945,2026-09-21T00:20Z,away,2026,REG,2,QB
00-0039376,Spencer Rattler,NO,BAL,QB,QB,ACT,2.0,401872938,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0039732,Bo Nix,DEN,JAX,QB,QB,ACT,2.0,401872940,2026-09-20T20:05Z,home,2026,REG,2,QB
00-0039851,Drake Maye,NE,PIT,QB,QB,ACT,2.0,401872946,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0039910,Jayden Daniels,WAS,DAL,QB,QB,ACT,2.0,401872944,2026-09-20T20:25Z,away,2026,REG,2,QB
00-0039918,Caleb Williams,CHI,MIN,QB,QB,ACT,2.0,401872937,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0040014,Kyle McCord,MIA,SF,QB,QB,ACT,1.0,401872942,2026-09-20T20:25Z,away,2026,REG,2,QB
00-0040668,Shedeur Sanders,CLE,TB,QB,QB,ACT,1.0,401872935,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0040676,Cam Ward,TEN,PHI,QB,QB,ACT,1.0,401872939,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0040691,Jaxson Dart,NYG,LAR,QB,QB,ACT,1.0,401872947,2026-09-22T00:15Z,away,2026,REG,2,QB
00-0040743,Tyler Shough,NO,BAL,QB,QB,ACT,1.0,401872938,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0040906,Garrett Nussmeier,KC,IND,QB,QB,ACT,0.0,401872945,2026-09-21T00:20Z,home,2026,REG,2,QB
00-0041056,Cade Klubnik,NYJ,GB,QB,QB,ACT,0.0,401872936,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0041194,Jack Strand,ATL,CAR,QB,QB,ACT,0.0,401872933,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0041251,Jalon Daniels,TB,CLE,QB,QB,ACT,0.0,401872935,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0041562,Fernando Mendoza,LV,LAC,QB,QB,ACT,0.0,401872941,2026-09-20T20:05Z,away,2026,REG,2,QB
