rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,roster_status,years_exp,jersey_number,headshot_url,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,data_through_season,last_5_avg,last_10_avg,last_15_avg,season_avg,prior_season_avg,last_5_attempts,last_10_attempts,season_attempts,last_5_ypa,last_10_ypa,season_ypa,normal_attempts,projected_ypa,baseline_yards,player_std,projection_source,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,projected_passing_yards,model_std,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,prob_100_plus,grade_100_plus,prob_110_plus,grade_110_plus,prob_120_plus,grade_120_plus,prob_130_plus,grade_130_plus,prob_140_plus,grade_140_plus,prob_150_plus,grade_150_plus,prob_160_plus,grade_160_plus,prob_170_plus,grade_170_plus,prob_180_plus,grade_180_plus,prob_190_plus,grade_190_plus,prob_200_plus,grade_200_plus,prob_210_plus,grade_210_plus,prob_220_plus,grade_220_plus,prob_230_plus,grade_230_plus,prob_240_plus,grade_240_plus,prob_250_plus,grade_250_plus,prob_260_plus,grade_260_plus,prob_270_plus,grade_270_plus,prob_280_plus,grade_280_plus,prob_290_plus,grade_290_plus,prob_300_plus,grade_300_plus,prob_310_plus,grade_310_plus,prob_320_plus,grade_320_plus,prob_330_plus,grade_330_plus,prob_340_plus,grade_340_plus,prob_350_plus,grade_350_plus,prob_360_plus,grade_360_plus,prob_370_plus,grade_370_plus,prob_380_plus,grade_380_plus,prob_390_plus,grade_390_plus,prob_400_plus,grade_400_plus,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,opponent,home_away,game_id,game_date,game_name
1,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,ACT,4,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hsnetccy7bquili3gcqq",TEAM_BLEND,29.2,6.82,200.4,5,2025.0,173.8,173.8,173.8,204.5,153.3,15.6,15.6,16.0,10.9,10.9,12.36,17.0,10.5,176.9,81.21847759202528,NFL_HISTORY,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,187.2,82.4,81.5,132.1,187.4,242.6,292.9,85.6,VERY HIGH,82.6,VERY HIGH,79.4,HIGH,75.8,HIGH,71.8,HIGH,67.7,SOLID,63.1,SOLID,58.4,LEAN,53.6,LEAN,48.8,COIN FLIP,44.0,COIN FLIP,39.3,LOW,34.6,LOW,30.2,LOW,26.0,LOW,22.3,VERY LOW,18.9,VERY LOW,15.9,VERY LOW,13.0,VERY LOW,10.6,VERY LOW,8.6,VERY LOW,6.8,VERY LOW,5.4,VERY LOW,4.2,VERY LOW,3.2,VERY LOW,2.4,VERY LOW,1.8,VERY LOW,1.4,VERY LOW,1.0,VERY LOW,0.7,VERY LOW,0.5,VERY LOW,100.0,99.8,98.8,96.3,94.1,93.1,QB_3_SEASON_EMPIRICAL,126,WAS,away,2026_PRE_W1_MIA_WAS,,MIA at WAS
2,2026,PRE,1,Preseason Week 1,00-0039851,Drake Maye,NE,ACT,2,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oyap81gtzcvnfmripis1",TEAM_BLEND,29.5,7.26,212.2,28,2025.0,252.8,265.0,258.5,258.5,204.8,27.4,29.0,28.9,9.45,9.33,9.27,28.3,9.12,249.7,66.29900016615508,NFL_HISTORY,28.3,18.0,AUTO_PRESEASON_USAGE,young_backup,177.0,52.6,110.0,141.4,176.9,212.7,245.2,92.9,ELITE,90.0,VERY HIGH,86.2,VERY HIGH,81.5,VERY HIGH,75.9,HIGH,69.7,SOLID,62.7,SOLID,55.2,LEAN,47.6,COIN FLIP,40.1,COIN FLIP,33.0,LOW,26.7,LOW,20.9,VERY LOW,15.9,VERY LOW,11.8,VERY LOW,8.5,VERY LOW,5.8,VERY LOW,3.9,VERY LOW,2.5,VERY LOW,1.6,VERY LOW,1.0,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.8,97.8,92.5,81.9,70.3,QB_3_SEASON_EMPIRICAL,1215,IND,home,2026_PRE_W1_IND_NE,,IND at NE
3,2026,PRE,1,Preseason Week 1,00-0041453,Luke Altmyer,DET,ACT,0,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eriopmdwcfjude1cptvi",TEAM_BLEND,30.5,7.32,224.1,0,,,,,,,,,,,,,30.5,7.32,224.1,73.82865275455694,TEAM_PRIOR_NO_NFL_HISTORY,30.5,20.0,AUTO_PRESEASON_USAGE,rookie,158.1,66.9,71.7,112.5,157.6,203.0,243.9,80.5,VERY HIGH,76.2,HIGH,71.2,HIGH,66.0,SOLID,60.4,SOLID,54.6,LEAN,48.6,COIN FLIP,42.7,COIN FLIP,37.1,LOW,31.6,LOW,26.4,LOW,21.7,VERY LOW,17.6,VERY LOW,14.1,VERY LOW,11.0,VERY LOW,8.5,VERY LOW,6.4,VERY LOW,4.8,VERY LOW,3.5,VERY LOW,2.5,VERY LOW,1.8,VERY LOW,1.3,VERY LOW,0.8,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.5,95.5,85.5,65.9,50.5,TEAM_LEAGUE_3_SEASON_EMPIRICAL,3000,CIN,away,2026_PRE_W1_DET_CIN,,DET at CIN
4,2026,PRE,1,Preseason Week 1,00-0041123,Behren Morton,NE,ACT,0,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/st5s1urflg14hwvx8uzl",TEAM_BLEND,29.5,7.26,212.2,0,,,,,,,,,,,,,29.5,7.26,212.2,65.03672819925738,TEAM_PRIOR_NO_NFL_HISTORY,29.5,20.0,AUTO_PRESEASON_USAGE,rookie,155.3,60.0,78.0,114.8,155.3,196.1,232.8,82.1,VERY HIGH,77.5,HIGH,72.1,HIGH,66.3,SOLID,60.0,SOLID,53.5,LEAN,47.0,COIN FLIP,40.3,COIN FLIP,34.1,LOW,28.2,LOW,23.0,VERY LOW,18.3,VERY LOW,14.1,VERY LOW,10.9,VERY LOW,8.0,VERY LOW,5.8,VERY LOW,4.0,VERY LOW,2.8,VERY LOW,1.9,VERY LOW,1.3,VERY LOW,0.8,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.3,96.2,85.2,74.2,53.9,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2827,IND,home,2026_PRE_W1_IND_NE,,IND at NE
5,2026,PRE,1,Preseason Week 1,00-0040942,Kyron Drones,GB,ACT,0,13.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qlvry48nzkxeiqlwv55z",TEAM_BLEND,28.0,7.26,201.2,0,,,,,,,,,,,,,28.0,7.26,201.2,72.53875558920684,TEAM_PRIOR_NO_NFL_HISTORY,28.0,20.0,AUTO_PRESEASON_USAGE,rookie,153.5,68.7,65.6,107.1,153.7,200.1,241.7,78.2,HIGH,73.7,HIGH,68.8,SOLID,63.6,SOLID,57.9,LEAN,52.2,LEAN,46.3,COIN FLIP,40.6,COIN FLIP,35.2,LOW,29.9,LOW,25.0,LOW,20.6,VERY LOW,16.8,VERY LOW,13.4,VERY LOW,10.5,VERY LOW,8.0,VERY LOW,6.0,VERY LOW,4.5,VERY LOW,3.3,VERY LOW,2.4,VERY LOW,1.7,VERY LOW,1.2,VERY LOW,0.8,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.6,95.9,86.7,73.0,57.8,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2665,PIT,away,2026_PRE_W1_GB_PIT,,GB at PIT
6,2026,PRE,1,Preseason Week 1,00-0040985,Diego Pavia,BAL,ACT,0,,,TEAM_BLEND,27.1,7.29,194.5,0,,,,,,,,,,,,,27.1,7.29,194.5,70.3512454731327,TEAM_PRIOR_NO_NFL_HISTORY,27.1,20.0,AUTO_PRESEASON_USAGE,rookie,153.1,67.7,66.8,107.4,153.2,198.6,239.7,78.6,HIGH,73.8,HIGH,68.8,SOLID,63.5,SOLID,57.7,LEAN,51.9,LEAN,46.0,COIN FLIP,40.2,COIN FLIP,34.6,LOW,29.2,LOW,24.4,VERY LOW,20.1,VERY LOW,16.2,VERY LOW,12.8,VERY LOW,9.9,VERY LOW,7.5,VERY LOW,5.6,VERY LOW,4.0,VERY LOW,2.9,VERY LOW,2.1,VERY LOW,1.4,VERY LOW,1.0,VERY LOW,0.7,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.5,95.6,83.2,68.2,51.8,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2437,PHI,home,2026_PRE_W1_PHI_BAL,,PHI at BAL
7,2026,PRE,1,Preseason Week 1,00-0040981,Joe Fagnano,BAL,ACT,0,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/p8uqfsnpx153mn3gjtd3",TEAM_BLEND,27.1,7.29,194.5,0,,,,,,,,,,,,,27.1,7.29,194.5,70.3512454731327,TEAM_PRIOR_NO_NFL_HISTORY,27.1,20.0,AUTO_PRESEASON_USAGE,rookie,153.1,67.7,66.4,107.5,153.2,198.5,239.8,78.4,HIGH,73.8,HIGH,68.7,SOLID,63.3,SOLID,57.6,LEAN,51.9,LEAN,45.9,COIN FLIP,40.1,COIN FLIP,34.6,LOW,29.3,LOW,24.3,VERY LOW,20.0,VERY LOW,16.1,VERY LOW,12.7,VERY LOW,9.9,VERY LOW,7.6,VERY LOW,5.6,VERY LOW,4.2,VERY LOW,3.0,VERY LOW,2.1,VERY LOW,1.5,VERY LOW,1.0,VERY LOW,0.7,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.5,95.7,83.4,68.3,51.9,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2437,PHI,home,2026_PRE_W1_PHI_BAL,,PHI at BAL
8,2026,PRE,1,Preseason Week 1,00-0041414,Matthew Caldwell,LAR,ACT,0,2.0,,TEAM_BLEND,30.9,7.06,220.0,0,,,,,,,,,,,,,30.9,7.06,220.0,73.7471664111962,TEAM_PRIOR_NO_NFL_HISTORY,30.9,20.0,AUTO_PRESEASON_USAGE,rookie,152.9,66.4,67.7,108.1,152.7,197.5,237.6,78.8,HIGH,74.0,HIGH,68.9,SOLID,63.3,SOLID,57.5,LEAN,51.7,LEAN,45.7,COIN FLIP,39.8,LOW,34.1,LOW,28.8,LOW,23.8,VERY LOW,19.4,VERY LOW,15.6,VERY LOW,12.2,VERY LOW,9.3,VERY LOW,7.2,VERY LOW,5.3,VERY LOW,3.9,VERY LOW,2.8,VERY LOW,1.9,VERY LOW,1.3,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.4,96.0,86.3,66.1,50.8,TEAM_LEAGUE_3_SEASON_EMPIRICAL,3000,KC,away,2026_PRE_W1_LAR_KC,,LAR at KC
9,2026,PRE,1,Preseason Week 1,00-0041568,Ty Simpson,LAR,RES,0,15.0,,TEAM_BLEND,30.9,7.06,220.0,0,,,,,,,,,,,,,30.9,7.06,220.0,73.7471664111962,TEAM_PRIOR_NO_NFL_HISTORY,30.9,20.0,AUTO_PRESEASON_USAGE,rookie,152.9,66.4,68.4,108.4,153.5,198.0,238.1,78.8,HIGH,74.3,HIGH,69.1,SOLID,63.7,SOLID,58.0,LEAN,52.1,LEAN,46.0,COIN FLIP,40.1,COIN FLIP,34.4,LOW,29.1,LOW,24.1,VERY LOW,19.6,VERY LOW,15.7,VERY LOW,12.3,VERY LOW,9.5,VERY LOW,7.2,VERY LOW,5.3,VERY LOW,3.8,VERY LOW,2.8,VERY LOW,1.9,VERY LOW,1.4,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.4,96.1,86.5,66.4,50.9,TEAM_LEAGUE_3_SEASON_EMPIRICAL,3000,KC,away,2026_PRE_W1_LAR_KC,,LAR at KC
10,2026,PRE,1,Preseason Week 1,00-0040891,Cole Payton,PHI,ACT,0,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qt8hajjwkvpynr8nwepz",TEAM_BLEND,28.3,7.09,198.5,0,,,,,,,,,,,,,28.3,7.09,198.5,68.46606606835736,TEAM_PRIOR_NO_NFL_HISTORY,28.3,20.0,AUTO_PRESEASON_USAGE,rookie,150.4,64.5,67.6,106.8,150.2,193.3,232.9,78.2,HIGH,73.4,HIGH,68.1,SOLID,62.4,SOLID,56.3,LEAN,50.1,LEAN,43.9,COIN FLIP,37.9,LOW,32.0,LOW,26.7,LOW,21.8,VERY LOW,17.6,VERY LOW,13.9,VERY LOW,10.8,VERY LOW,8.2,VERY LOW,6.1,VERY LOW,4.4,VERY LOW,3.2,VERY LOW,2.3,VERY LOW,1.5,VERY LOW,1.1,VERY LOW,0.7,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.5,95.3,81.7,64.5,52.3,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2715,BAL,away,2026_PRE_W1_PHI_BAL,,PHI at BAL
