rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,roster_status,years_exp,jersey_number,headshot_url,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,data_through_season,last_5_avg,last_10_avg,last_15_avg,season_avg,prior_season_avg,last_5_attempts,last_10_attempts,season_attempts,last_5_ypa,last_10_ypa,season_ypa,normal_attempts,projected_ypa,baseline_yards,player_std,projection_source,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,projected_passing_yards,model_std,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,prob_100_plus,grade_100_plus,prob_110_plus,grade_110_plus,prob_120_plus,grade_120_plus,prob_130_plus,grade_130_plus,prob_140_plus,grade_140_plus,prob_150_plus,grade_150_plus,prob_160_plus,grade_160_plus,prob_170_plus,grade_170_plus,prob_180_plus,grade_180_plus,prob_190_plus,grade_190_plus,prob_200_plus,grade_200_plus,prob_210_plus,grade_210_plus,prob_220_plus,grade_220_plus,prob_230_plus,grade_230_plus,prob_240_plus,grade_240_plus,prob_250_plus,grade_250_plus,prob_260_plus,grade_260_plus,prob_270_plus,grade_270_plus,prob_280_plus,grade_280_plus,prob_290_plus,grade_290_plus,prob_300_plus,grade_300_plus,prob_310_plus,grade_310_plus,prob_320_plus,grade_320_plus,prob_330_plus,grade_330_plus,prob_340_plus,grade_340_plus,prob_350_plus,grade_350_plus,prob_360_plus,grade_360_plus,prob_370_plus,grade_370_plus,prob_380_plus,grade_380_plus,prob_390_plus,grade_390_plus,prob_400_plus,grade_400_plus,opponent,home_away,game_id,game_date,game_name
1,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,ACT,4,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hsnetccy7bquili3gcqq",TEAM_BLEND,29.2,6.82,200.4,5,2025.0,173.8,173.8,173.8,204.5,153.3,15.6,15.6,16.0,10.9,10.9,12.36,17.0,10.5,176.9,81.21847759202528,NFL_HISTORY,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,187.2,82.4,83.1,132.3,187.6,242.9,293.1,85.7,VERY HIGH,82.9,VERY HIGH,79.6,HIGH,75.9,HIGH,71.8,HIGH,67.7,SOLID,63.1,SOLID,58.5,LEAN,53.6,LEAN,48.7,COIN FLIP,43.9,COIN FLIP,39.2,LOW,34.6,LOW,30.2,LOW,26.1,LOW,22.4,VERY LOW,18.9,VERY LOW,15.9,VERY LOW,13.1,VERY LOW,10.7,VERY LOW,8.5,VERY LOW,6.8,VERY LOW,5.4,VERY LOW,4.2,VERY LOW,3.2,VERY LOW,2.4,VERY LOW,1.8,VERY LOW,1.4,VERY LOW,1.0,VERY LOW,0.7,VERY LOW,0.5,VERY LOW,WAS,away,2026_PRE_W1_MIA_WAS,,MIA at WAS
2,2026,PRE,1,Preseason Week 1,00-0039851,Drake Maye,NE,ACT,2,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oyap81gtzcvnfmripis1",TEAM_BLEND,29.5,7.26,212.2,28,2025.0,252.8,265.0,258.5,258.5,204.8,27.4,29.0,28.9,9.45,9.33,9.27,28.3,9.12,249.7,66.29900016615508,NFL_HISTORY,28.3,18.0,AUTO_PRESEASON_USAGE,young_backup,177.0,52.6,109.5,141.3,177.0,212.3,244.5,92.8,ELITE,89.8,VERY HIGH,85.9,VERY HIGH,81.4,VERY HIGH,75.8,HIGH,69.4,SOLID,62.7,SOLID,55.2,LEAN,47.7,COIN FLIP,40.2,COIN FLIP,33.0,LOW,26.5,LOW,20.6,VERY LOW,15.8,VERY LOW,11.6,VERY LOW,8.3,VERY LOW,5.7,VERY LOW,3.8,VERY LOW,2.4,VERY LOW,1.5,VERY LOW,1.0,VERY LOW,0.6,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,IND,home,2026_PRE_W1_IND_NE,,IND at NE
3,2026,PRE,1,Preseason Week 1,00-0041453,Luke Altmyer,DET,ACT,0,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eriopmdwcfjude1cptvi",TEAM_BLEND,30.5,7.32,224.1,0,,,,,,,,,,,,,30.5,7.32,224.1,73.82865275455694,TEAM_PRIOR_NO_NFL_HISTORY,30.5,20.0,AUTO_PRESEASON_USAGE,rookie,158.1,66.9,72.1,112.5,157.9,203.1,243.7,80.6,VERY HIGH,76.2,HIGH,71.4,HIGH,66.1,SOLID,60.4,SOLID,54.6,LEAN,48.8,COIN FLIP,42.9,COIN FLIP,37.1,LOW,31.6,LOW,26.5,LOW,21.9,VERY LOW,17.8,VERY LOW,14.2,VERY LOW,11.1,VERY LOW,8.5,VERY LOW,6.5,VERY LOW,4.7,VERY LOW,3.4,VERY LOW,2.5,VERY LOW,1.7,VERY LOW,1.1,VERY LOW,0.8,VERY LOW,0.5,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,CIN,away,2026_PRE_W1_DET_CIN,,DET at CIN
4,2026,PRE,1,Preseason Week 1,00-0041123,Behren Morton,NE,ACT,0,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/st5s1urflg14hwvx8uzl",TEAM_BLEND,29.5,7.26,212.2,0,,,,,,,,,,,,,29.5,7.26,212.2,65.03672819925738,TEAM_PRIOR_NO_NFL_HISTORY,29.5,20.0,AUTO_PRESEASON_USAGE,rookie,155.3,60.0,78.1,114.6,154.9,195.5,231.2,82.1,VERY HIGH,77.4,HIGH,72.1,HIGH,66.2,SOLID,59.9,LEAN,53.2,LEAN,46.5,COIN FLIP,40.0,COIN FLIP,33.9,LOW,28.0,LOW,22.7,VERY LOW,18.0,VERY LOW,13.8,VERY LOW,10.4,VERY LOW,7.7,VERY LOW,5.6,VERY LOW,3.9,VERY LOW,2.7,VERY LOW,1.8,VERY LOW,1.2,VERY LOW,0.8,VERY LOW,0.5,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,IND,home,2026_PRE_W1_IND_NE,,IND at NE
5,2026,PRE,1,Preseason Week 1,00-0040942,Kyron Drones,GB,ACT,0,13.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qlvry48nzkxeiqlwv55z",TEAM_BLEND,28.0,7.26,201.2,0,,,,,,,,,,,,,28.0,7.26,201.2,72.53875558920684,TEAM_PRIOR_NO_NFL_HISTORY,28.0,20.0,AUTO_PRESEASON_USAGE,rookie,153.5,68.7,65.4,107.8,153.9,200.2,242.2,78.3,HIGH,74.0,HIGH,69.1,SOLID,63.7,SOLID,58.1,LEAN,52.3,LEAN,46.5,COIN FLIP,40.8,COIN FLIP,35.1,LOW,29.8,LOW,25.1,LOW,20.7,VERY LOW,16.8,VERY LOW,13.5,VERY LOW,10.6,VERY LOW,8.1,VERY LOW,6.2,VERY LOW,4.7,VERY LOW,3.4,VERY LOW,2.4,VERY LOW,1.7,VERY LOW,1.2,VERY LOW,0.8,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,PIT,away,2026_PRE_W1_GB_PIT,,GB at PIT
6,2026,PRE,1,Preseason Week 1,00-0040985,Diego Pavia,BAL,ACT,0,,,TEAM_BLEND,27.1,7.29,194.5,0,,,,,,,,,,,,,27.1,7.29,194.5,70.3512454731327,TEAM_PRIOR_NO_NFL_HISTORY,27.1,20.0,AUTO_PRESEASON_USAGE,rookie,153.1,67.7,66.1,107.5,152.9,198.7,239.5,78.3,HIGH,73.8,HIGH,68.8,SOLID,63.4,SOLID,57.6,LEAN,51.7,LEAN,45.8,COIN FLIP,40.2,COIN FLIP,34.7,LOW,29.3,LOW,24.4,VERY LOW,20.0,VERY LOW,16.0,VERY LOW,12.7,VERY LOW,9.9,VERY LOW,7.6,VERY LOW,5.6,VERY LOW,4.1,VERY LOW,3.0,VERY LOW,2.2,VERY LOW,1.5,VERY LOW,1.0,VERY LOW,0.7,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,PHI,home,2026_PRE_W1_PHI_BAL,,PHI at BAL
7,2026,PRE,1,Preseason Week 1,00-0040981,Joe Fagnano,BAL,ACT,0,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/p8uqfsnpx153mn3gjtd3",TEAM_BLEND,27.1,7.29,194.5,0,,,,,,,,,,,,,27.1,7.29,194.5,70.3512454731327,TEAM_PRIOR_NO_NFL_HISTORY,27.1,20.0,AUTO_PRESEASON_USAGE,rookie,153.1,67.7,66.4,107.2,153.0,198.6,239.3,78.2,HIGH,73.7,HIGH,68.7,SOLID,63.4,SOLID,57.6,LEAN,51.7,LEAN,45.9,COIN FLIP,40.0,LOW,34.4,LOW,29.1,LOW,24.3,VERY LOW,20.0,VERY LOW,16.1,VERY LOW,12.7,VERY LOW,9.8,VERY LOW,7.5,VERY LOW,5.6,VERY LOW,4.1,VERY LOW,2.9,VERY LOW,2.1,VERY LOW,1.4,VERY LOW,1.0,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,PHI,home,2026_PRE_W1_PHI_BAL,,PHI at BAL
8,2026,PRE,1,Preseason Week 1,00-0041414,Matthew Caldwell,LAR,ACT,0,2.0,,TEAM_BLEND,30.9,7.06,220.0,0,,,,,,,,,,,,,30.9,7.06,220.0,73.7471664111962,TEAM_PRIOR_NO_NFL_HISTORY,30.9,20.0,AUTO_PRESEASON_USAGE,rookie,152.9,66.4,68.2,108.0,152.7,197.7,238.1,78.7,HIGH,74.0,HIGH,68.9,SOLID,63.4,SOLID,57.6,LEAN,51.6,LEAN,45.6,COIN FLIP,39.8,LOW,34.3,LOW,28.8,LOW,23.9,VERY LOW,19.5,VERY LOW,15.6,VERY LOW,12.3,VERY LOW,9.5,VERY LOW,7.2,VERY LOW,5.3,VERY LOW,3.9,VERY LOW,2.8,VERY LOW,1.9,VERY LOW,1.3,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,KC,away,2026_PRE_W1_LAR_KC,,LAR at KC
9,2026,PRE,1,Preseason Week 1,00-0041568,Ty Simpson,LAR,RES,0,15.0,,TEAM_BLEND,30.9,7.06,220.0,0,,,,,,,,,,,,,30.9,7.06,220.0,73.7471664111962,TEAM_PRIOR_NO_NFL_HISTORY,30.9,20.0,AUTO_PRESEASON_USAGE,rookie,152.9,66.4,68.1,108.2,153.1,197.9,238.2,78.8,HIGH,74.1,HIGH,69.1,SOLID,63.6,SOLID,57.7,LEAN,51.8,LEAN,45.9,COIN FLIP,40.0,COIN FLIP,34.4,LOW,29.0,LOW,24.0,VERY LOW,19.6,VERY LOW,15.7,VERY LOW,12.4,VERY LOW,9.5,VERY LOW,7.2,VERY LOW,5.3,VERY LOW,3.8,VERY LOW,2.8,VERY LOW,1.9,VERY LOW,1.3,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,KC,away,2026_PRE_W1_LAR_KC,,LAR at KC
10,2026,PRE,1,Preseason Week 1,00-0040891,Cole Payton,PHI,ACT,0,,,TEAM_BLEND,28.3,7.09,198.5,0,,,,,,,,,,,,,28.3,7.09,198.5,68.46606606835736,TEAM_PRIOR_NO_NFL_HISTORY,28.3,20.0,AUTO_PRESEASON_USAGE,rookie,150.4,64.5,67.9,107.0,150.9,194.1,233.2,78.4,HIGH,73.5,HIGH,68.1,SOLID,62.5,SOLID,56.6,LEAN,50.6,LEAN,44.4,COIN FLIP,38.4,LOW,32.5,LOW,27.0,LOW,22.1,VERY LOW,17.9,VERY LOW,14.1,VERY LOW,10.9,VERY LOW,8.3,VERY LOW,6.1,VERY LOW,4.5,VERY LOW,3.2,VERY LOW,2.2,VERY LOW,1.5,VERY LOW,1.0,VERY LOW,0.7,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,BAL,away,2026_PRE_W1_PHI_BAL,,PHI at BAL
11,2026,PRE,1,Preseason Week 1,00-0041251,Jalon Daniels,TB,ACT,0,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hwhfl6i5drktwjvslfpn",TEAM_BLEND,30.3,6.93,211.4,0,,,,,,,,,,,,,30.3,6.93,211.4,76.75703374112926,TEAM_PRIOR_NO_NFL_HISTORY,30.3,20.0,AUTO_PRESEASON_USAGE,rookie,149.5,69.8,59.9,102.4,149.5,196.8,239.6,76.1,HIGH,71.4,HIGH,66.6,SOLID,61.1,SOLID,55.5,LEAN,49.7,COIN FLIP,44.0,COIN FLIP,38.4,LOW,33.0,LOW,28.1,LOW,23.6,VERY LOW,19.4,VERY LOW,15.8,VERY LOW,12.6,VERY LOW,9.9,VERY LOW,7.7,VERY LOW,5.8,VERY LOW,4.3,VERY LOW,3.1,VERY LOW,2.2,VERY LOW,1.6,VERY LOW,1.1,VERY LOW,0.7,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,NYJ,away,2026_PRE_W1_TB_NYJ,,TB at NYJ
12,2026,PRE,1,Preseason Week 1,00-0041561,Carson Beck,ARI,RES,0,19.0,,TEAM_BLEND,31.5,6.83,215.0,0,,,,,,,,,,,,,31.5,6.83,215.0,67.84229878654799,TEAM_PRIOR_NO_NFL_HISTORY,31.5,20.0,AUTO_PRESEASON_USAGE,rookie,148.3,60.5,70.4,107.6,148.3,189.0,226.3,78.7,HIGH,73.7,HIGH,68.1,SOLID,61.9,SOLID,55.4,LEAN,48.9,COIN FLIP,42.4,COIN FLIP,36.1,LOW,29.9,LOW,24.5,VERY LOW,19.8,VERY LOW,15.6,VERY LOW,11.9,VERY LOW,9.0,VERY LOW,6.6,VERY LOW,4.7,VERY LOW,3.3,VERY LOW,2.2,VERY LOW,1.5,VERY LOW,1.0,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,LV,away,2026_PRE_W1_ARI_LV,,ARI at LV
13,2026,PRE,1,Preseason Week 1,00-0041194,Jack Strand,ATL,ACT,0,18.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oadw9h9otuauaiv1vxvz",TEAM_BLEND,29.6,6.91,205.1,0,,,,,,,,,,,,,29.6,6.91,205.1,70.84972775572558,TEAM_PRIOR_NO_NFL_HISTORY,29.6,20.0,AUTO_PRESEASON_USAGE,rookie,148.2,65.2,64.7,104.6,148.2,192.0,232.1,77.2,HIGH,72.3,HIGH,66.7,SOLID,61.1,SOLID,55.1,LEAN,48.9,COIN FLIP,42.7,COIN FLIP,36.8,LOW,31.2,LOW,26.0,LOW,21.3,VERY LOW,17.2,VERY LOW,13.6,VERY LOW,10.6,VERY LOW,8.0,VERY LOW,5.9,VERY LOW,4.3,VERY LOW,3.0,VERY LOW,2.1,VERY LOW,1.4,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,DEN,home,2026_PRE_W1_DEN_ATL,,DEN at ATL
