rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,opponent,home_away,game_date,roster_status,years_exp,jersey_number,projection_source,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,projected_ypa,projected_passing_yards,model_std,last_5_avg,last_10_avg,last_15_avg,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,ladder_yards,probability_pct,grade
1,2026,PRE,0,2026 Hall of Fame Game,00-0041561,Carson Beck,ARI,CAR,home,2026-08-06T17:00:00-07:00,RES,0,19.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,31.5,6.83,215.0,0,31.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.83,136.7,57.4,,,,62.7,97.7,136.4,175.3,210.2,100,73.7,HIGH
1,2026,PRE,0,2026 Hall of Fame Game,00-0041561,Carson Beck,ARI,CAR,home,2026-08-06T17:00:00-07:00,RES,0,19.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,31.5,6.83,215.0,0,31.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.83,136.7,57.4,,,,62.7,97.7,136.4,175.3,210.2,110,67.8,SOLID
1,2026,PRE,0,2026 Hall of Fame Game,00-0041561,Carson Beck,ARI,CAR,home,2026-08-06T17:00:00-07:00,RES,0,19.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,31.5,6.83,215.0,0,31.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.83,136.7,57.4,,,,62.7,97.7,136.4,175.3,210.2,120,61.4,SOLID
1,2026,PRE,0,2026 Hall of Fame Game,00-0041561,Carson Beck,ARI,CAR,home,2026-08-06T17:00:00-07:00,RES,0,19.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,31.5,6.83,215.0,0,31.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.83,136.7,57.4,,,,62.7,97.7,136.4,175.3,210.2,130,54.5,LEAN
1,2026,PRE,0,2026 Hall of Fame Game,00-0041561,Carson Beck,ARI,CAR,home,2026-08-06T17:00:00-07:00,RES,0,19.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,31.5,6.83,215.0,0,31.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.83,136.7,57.4,,,,62.7,97.7,136.4,175.3,210.2,140,47.5,COIN FLIP
1,2026,PRE,0,2026 Hall of Fame Game,00-0041561,Carson Beck,ARI,CAR,home,2026-08-06T17:00:00-07:00,RES,0,19.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,31.5,6.83,215.0,0,31.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.83,136.7,57.4,,,,62.7,97.7,136.4,175.3,210.2,150,40.7,COIN FLIP
1,2026,PRE,0,2026 Hall of Fame Game,00-0041561,Carson Beck,ARI,CAR,home,2026-08-06T17:00:00-07:00,RES,0,19.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,31.5,6.83,215.0,0,31.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.83,136.7,57.4,,,,62.7,97.7,136.4,175.3,210.2,160,34.0,LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041561,Carson Beck,ARI,CAR,home,2026-08-06T17:00:00-07:00,RES,0,19.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,31.5,6.83,215.0,0,31.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.83,136.7,57.4,,,,62.7,97.7,136.4,175.3,210.2,170,27.9,LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041561,Carson Beck,ARI,CAR,home,2026-08-06T17:00:00-07:00,RES,0,19.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,31.5,6.83,215.0,0,31.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.83,136.7,57.4,,,,62.7,97.7,136.4,175.3,210.2,180,22.4,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041561,Carson Beck,ARI,CAR,home,2026-08-06T17:00:00-07:00,RES,0,19.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,31.5,6.83,215.0,0,31.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.83,136.7,57.4,,,,62.7,97.7,136.4,175.3,210.2,190,17.6,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041561,Carson Beck,ARI,CAR,home,2026-08-06T17:00:00-07:00,RES,0,19.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,31.5,6.83,215.0,0,31.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.83,136.7,57.4,,,,62.7,97.7,136.4,175.3,210.2,200,13.5,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041561,Carson Beck,ARI,CAR,home,2026-08-06T17:00:00-07:00,RES,0,19.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,31.5,6.83,215.0,0,31.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.83,136.7,57.4,,,,62.7,97.7,136.4,175.3,210.2,210,10.1,VERY LOW
