rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,roster_status,years_exp,jersey_number,headshot_url,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,data_through_season,last_5_avg,last_10_avg,last_15_avg,season_avg,prior_season_avg,last_5_attempts,last_10_attempts,season_attempts,last_5_ypa,last_10_ypa,season_ypa,normal_attempts,projected_ypa,baseline_yards,player_std,projection_source,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,preseason_game_plan_status,preseason_game_plan_note,projected_passing_yards,model_std,preseason_rotation_factor,expected_pressure_rate,pressure_adjusted_ypa,clean_pocket_ypa,under_pressure_ypa,depth_matchup_short_0_4,depth_matchup_short_5_9,depth_matchup_intermediate_10_14,depth_matchup_intermediate_15_19,depth_matchup_deep_20_24,depth_matchup_deep_25_29,depth_matchup_deep_30_plus,game_script_volume_factor,game_script_efficiency_factor,game_script_label,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,prob_100_plus,grade_100_plus,prob_110_plus,grade_110_plus,prob_120_plus,grade_120_plus,prob_130_plus,grade_130_plus,prob_140_plus,grade_140_plus,prob_150_plus,grade_150_plus,prob_160_plus,grade_160_plus,prob_170_plus,grade_170_plus,prob_180_plus,grade_180_plus,prob_190_plus,grade_190_plus,prob_200_plus,grade_200_plus,prob_210_plus,grade_210_plus,prob_220_plus,grade_220_plus,prob_230_plus,grade_230_plus,prob_240_plus,grade_240_plus,prob_250_plus,grade_250_plus,prob_260_plus,grade_260_plus,prob_270_plus,grade_270_plus,prob_280_plus,grade_280_plus,prob_290_plus,grade_290_plus,prob_300_plus,grade_300_plus,prob_310_plus,grade_310_plus,prob_320_plus,grade_320_plus,prob_330_plus,grade_330_plus,prob_340_plus,grade_340_plus,prob_350_plus,grade_350_plus,prob_360_plus,grade_360_plus,prob_370_plus,grade_370_plus,prob_380_plus,grade_380_plus,prob_390_plus,grade_390_plus,prob_400_plus,grade_400_plus,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,pass_depth_game_sample,pass_depth_avg_hist_attempts,pass_depth_avg_longest_completion,opponent,home_away,game_id,game_date,game_name
1,2026,PRE,3,Preseason Week 3,00-0038128,Malik Willis,MIA,ACT,4,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hsnetccy7bquili3gcqq",TEAM_BLEND,29.2,6.82,200.4,5,2025.0,173.8,173.8,173.8,204.5,153.3,15.6,15.6,16.0,10.9,10.9,12.36,17.0,10.5,176.9,81.21847759202528,NFL_HISTORY,17.0,21.0,AUTO_PRESEASON_USAGE,young_backup,,,220.5,82.4,1.0,0.0,10.5,10.5,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,114.7,164.6,220.4,275.9,326.4,92.7,ELITE,90.9,ELITE,88.8,VERY HIGH,86.2,VERY HIGH,83.4,VERY HIGH,80.4,VERY HIGH,76.7,HIGH,72.9,HIGH,68.8,SOLID,64.5,SOLID,60.0,LEAN,55.1,LEAN,50.2,LEAN,45.3,COIN FLIP,40.7,COIN FLIP,36.0,LOW,31.6,LOW,27.4,LOW,23.5,VERY LOW,19.9,VERY LOW,16.7,VERY LOW,13.9,VERY LOW,11.4,VERY LOW,9.2,VERY LOW,7.3,VERY LOW,5.8,VERY LOW,4.5,VERY LOW,3.4,VERY LOW,2.6,VERY LOW,2.0,VERY LOW,1.5,VERY LOW,75.0,59.9,59.9,59.9,59.9,59.9,QB_3_SEASON_GAME_BOOTSTRAP,110,11,10.0,30.5,ATL,home,2026_PRE_W3_ATL_MIA,,ATL at MIA
2,2026,PRE,3,Preseason Week 3,00-0034796,Lamar Jackson,BAL,ACT,8,8.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cruqs6qpbykh7a2whd7p",TEAM_BLEND,27.1,7.29,194.5,46,2025.0,190.8,182.7,195.6,196.1,245.4,21.4,22.7,23.2,9.95,8.64,8.91,22.6,9.06,198.9,52.86009001439921,NFL_HISTORY,22.6,18.0,AUTO_PRESEASON_USAGE,veteran_backup,,,163.0,51.0,1.0,0.0,9.058,9.058,6.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,97.8,128.8,163.1,197.8,228.4,89.3,VERY HIGH,85.2,VERY HIGH,80.2,VERY HIGH,74.2,HIGH,67.5,SOLID,60.2,SOLID,52.5,LEAN,44.7,COIN FLIP,37.1,LOW,30.0,LOW,23.6,VERY LOW,17.9,VERY LOW,13.2,VERY LOW,9.5,VERY LOW,6.6,VERY LOW,4.4,VERY LOW,2.9,VERY LOW,1.8,VERY LOW,1.1,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.5,82.3,80.8,70.4,57.3,45.8,QB_3_SEASON_GAME_BOOTSTRAP,1451,50,29.0,41.2,WAS,home,2026_PRE_W3_WAS_BAL,,WAS at BAL
3,2026,PRE,3,Preseason Week 3,00-0041453,Luke Altmyer,DET,ACT,0,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eriopmdwcfjude1cptvi",TEAM_BLEND,30.5,7.32,224.1,0,,,,,,,,,,,,,30.5,7.32,224.1,73.82865275455694,TEAM_PRIOR_NO_NFL_HISTORY,30.5,22.0,AUTO_PRESEASON_USAGE,rookie,,,161.1,70.2,1.0,0.0,7.323,7.323,4.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,71.0,113.7,161.3,208.8,251.9,80.7,VERY HIGH,76.7,HIGH,72.1,HIGH,67.1,SOLID,61.8,SOLID,56.3,LEAN,50.7,LEAN,45.1,COIN FLIP,39.6,LOW,34.2,LOW,29.1,LOW,24.4,VERY LOW,20.2,VERY LOW,16.5,VERY LOW,13.3,VERY LOW,10.5,VERY LOW,8.1,VERY LOW,6.1,VERY LOW,4.6,VERY LOW,3.4,VERY LOW,2.4,VERY LOW,1.7,VERY LOW,1.2,VERY LOW,0.8,VERY LOW,0.5,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,82.5,82.4,80.8,74.7,59.2,41.5,TEAM_3_SEASON_GAME_BOOTSTRAP,2011,55,36.6,38.9,IND,away,2026_PRE_W3_DET_IND,,DET at IND
4,2026,PRE,3,Preseason Week 3,00-0040985,Diego Pavia,BAL,ACT,0,,,TEAM_BLEND,27.1,7.29,194.5,0,,,,,,,,,,,,,27.1,7.29,194.5,70.3512454731327,TEAM_PRIOR_NO_NFL_HISTORY,27.1,22.0,AUTO_PRESEASON_USAGE,rookie,,,160.3,71.0,1.0,0.0,7.288,7.288,4.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,68.8,111.9,160.0,208.2,251.3,80.0,VERY HIGH,75.9,HIGH,71.3,HIGH,66.4,SOLID,61.1,SOLID,55.6,LEAN,50.0,LEAN,44.4,COIN FLIP,39.0,LOW,33.7,LOW,28.8,LOW,24.2,VERY LOW,20.0,VERY LOW,16.3,VERY LOW,13.0,VERY LOW,10.3,VERY LOW,8.0,VERY LOW,6.1,VERY LOW,4.5,VERY LOW,3.4,VERY LOW,2.5,VERY LOW,1.8,VERY LOW,1.2,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,82.5,82.4,79.7,71.4,60.8,49.1,TEAM_3_SEASON_GAME_BOOTSTRAP,1625,55,29.5,40.2,WAS,home,2026_PRE_W3_WAS_BAL,,WAS at BAL
5,2026,PRE,3,Preseason Week 3,00-0040981,Joe Fagnano,BAL,ACT,0,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/p8uqfsnpx153mn3gjtd3",TEAM_BLEND,27.1,7.29,194.5,0,,,,,,,,,,,,,27.1,7.29,194.5,70.3512454731327,TEAM_PRIOR_NO_NFL_HISTORY,27.1,22.0,AUTO_PRESEASON_USAGE,rookie,,,160.3,71.0,1.0,0.0,7.288,7.288,4.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,69.2,112.4,160.0,207.6,251.2,80.2,VERY HIGH,76.1,HIGH,71.5,HIGH,66.4,SOLID,61.0,SOLID,55.5,LEAN,50.0,COIN FLIP,44.4,COIN FLIP,38.8,LOW,33.6,LOW,28.6,LOW,24.0,VERY LOW,19.9,VERY LOW,16.2,VERY LOW,13.1,VERY LOW,10.3,VERY LOW,7.9,VERY LOW,6.0,VERY LOW,4.5,VERY LOW,3.3,VERY LOW,2.4,VERY LOW,1.7,VERY LOW,1.2,VERY LOW,0.8,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.5,82.4,79.7,71.3,60.5,48.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1625,55,29.5,40.2,WAS,home,2026_PRE_W3_WAS_BAL,,WAS at BAL
6,2026,PRE,3,Preseason Week 3,00-0041123,Behren Morton,NE,ACT,0,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/st5s1urflg14hwvx8uzl",TEAM_BLEND,29.5,7.26,212.2,0,,,,,,,,,,,,,29.5,7.26,212.2,65.03672819925738,TEAM_PRIOR_NO_NFL_HISTORY,29.5,22.0,GAME_PLAN_STARTER · Projected preseason starter,starter,STARTER,Projected preseason starter,159.7,62.9,1.0,0.0,7.261,7.261,4.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,79.1,117.6,160.0,202.4,240.5,83.1,VERY HIGH,78.7,HIGH,73.8,HIGH,68.3,SOLID,62.5,SOLID,56.5,LEAN,50.0,LEAN,43.7,COIN FLIP,37.4,LOW,31.6,LOW,26.2,LOW,21.3,VERY LOW,16.8,VERY LOW,13.2,VERY LOW,10.1,VERY LOW,7.6,VERY LOW,5.6,VERY LOW,4.0,VERY LOW,2.8,VERY LOW,1.9,VERY LOW,1.3,VERY LOW,0.8,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.5,82.2,77.7,67.8,54.8,43.3,TEAM_3_SEASON_GAME_BOOTSTRAP,1885,55,34.3,34.7,CLE,away,2026_PRE_W3_NE_CLE,,NE at CLE
7,2026,PRE,3,Preseason Week 3,00-0040942,Kyron Drones,GB,ACT,0,13.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qlvry48nzkxeiqlwv55z",TEAM_BLEND,28.0,7.26,201.2,0,,,,,,,,,,,,,28.0,7.26,201.2,72.53875558920684,TEAM_PRIOR_NO_NFL_HISTORY,28.0,22.0,AUTO_PRESEASON_USAGE,rookie,,,159.7,72.0,1.0,0.0,7.257,7.257,4.934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,67.0,111.2,159.6,208.2,252.4,79.6,HIGH,75.5,HIGH,70.9,HIGH,65.9,SOLID,60.7,SOLID,55.3,LEAN,49.8,COIN FLIP,44.3,COIN FLIP,38.8,LOW,33.7,LOW,28.8,LOW,24.2,VERY LOW,20.1,VERY LOW,16.5,VERY LOW,13.2,VERY LOW,10.6,VERY LOW,8.3,VERY LOW,6.4,VERY LOW,4.8,VERY LOW,3.6,VERY LOW,2.6,VERY LOW,1.9,VERY LOW,1.3,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,82.5,80.9,79.9,74.7,68.3,58.1,TEAM_3_SEASON_GAME_BOOTSTRAP,1777,55,32.3,41.4,ARI,home,2026_PRE_W3_ARI_GB,,ARI at GB
8,2026,PRE,3,Preseason Week 3,00-0039152,Will Levis,TEN,ACT,3,8.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n7usvaleeuqvwomo68kf",TEAM_BLEND,29.6,6.68,196.5,19,2024.0,184.4,193.9,200.1,187.8,224.0,24.4,26.5,27.0,8.05,7.54,7.22,26.0,7.57,194.5,69.37677437286725,NFL_HISTORY,26.0,21.0,AUTO_PRESEASON_USAGE,young_backup,,,159.0,62.2,1.0,0.0,7.57,7.57,5.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,79.1,117.1,159.5,201.1,239.1,82.8,VERY HIGH,78.5,HIGH,73.5,HIGH,68.1,SOLID,62.2,SOLID,56.1,LEAN,49.7,COIN FLIP,43.2,COIN FLIP,36.9,LOW,31.0,LOW,25.6,LOW,20.6,VERY LOW,16.4,VERY LOW,12.8,VERY LOW,9.7,VERY LOW,7.2,VERY LOW,5.3,VERY LOW,3.7,VERY LOW,2.6,VERY LOW,1.7,VERY LOW,1.1,VERY LOW,0.7,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.5,82.3,76.9,68.1,54.3,42.7,QB_3_SEASON_GAME_BOOTSTRAP,628,21,29.9,38.8,CHI,home,2026_PRE_W3_CHI_TEN,,CHI at TEN
9,2026,PRE,3,Preseason Week 3,00-0040891,Cole Payton,PHI,ACT,0,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qt8hajjwkvpynr8nwepz",TEAM_BLEND,28.3,7.09,198.5,0,,,,,,,,,,,,,28.3,7.09,198.5,68.46606606835736,TEAM_PRIOR_NO_NFL_HISTORY,28.3,22.0,AUTO_PRESEASON_USAGE,rookie,,,156.0,67.6,1.0,0.0,7.093,7.093,4.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,69.2,110.7,156.0,201.6,242.3,79.7,HIGH,75.3,HIGH,70.3,HIGH,65.0,SOLID,59.3,LEAN,53.5,LEAN,47.6,COIN FLIP,41.8,COIN FLIP,36.1,LOW,30.8,LOW,25.8,LOW,21.2,VERY LOW,17.2,VERY LOW,13.6,VERY LOW,10.7,VERY LOW,8.2,VERY LOW,6.2,VERY LOW,4.6,VERY LOW,3.3,VERY LOW,2.4,VERY LOW,1.7,VERY LOW,1.1,VERY LOW,0.8,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.5,82.1,80.4,69.4,58.6,45.9,TEAM_3_SEASON_GAME_BOOTSTRAP,1810,57,31.8,37.5,CIN,home,2026_PRE_W3_CIN_PHI,,CIN at PHI
10,2026,PRE,3,Preseason Week 3,00-0041414,Matthew Caldwell,LAR,ACT,0,2.0,,TEAM_BLEND,30.9,7.06,220.0,0,,,,,,,,,,,,,30.9,7.06,220.0,73.7471664111962,TEAM_PRIOR_NO_NFL_HISTORY,30.9,22.0,AUTO_PRESEASON_USAGE,rookie,,,155.2,69.7,1.0,0.0,7.056,7.056,4.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,66.3,108.7,155.5,202.2,244.1,78.8,HIGH,74.4,HIGH,69.6,SOLID,64.4,SOLID,58.9,LEAN,53.2,LEAN,47.5,COIN FLIP,41.8,COIN FLIP,36.2,LOW,30.9,LOW,26.0,LOW,21.5,VERY LOW,17.6,VERY LOW,14.0,VERY LOW,11.1,VERY LOW,8.6,VERY LOW,6.6,VERY LOW,5.0,VERY LOW,3.6,VERY LOW,2.6,VERY LOW,1.9,VERY LOW,1.3,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.5,82.4,81.3,75.7,61.9,50.2,TEAM_3_SEASON_GAME_BOOTSTRAP,2077,57,36.4,40.5,LAC,away,2026_PRE_W3_LAR_LAC,,LAR at LAC
