rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,roster_status,years_exp,jersey_number,headshot_url,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,data_through_season,last_5_avg,last_10_avg,last_15_avg,season_avg,prior_season_avg,last_5_attempts,last_10_attempts,season_attempts,last_5_ypa,last_10_ypa,season_ypa,normal_attempts,projected_ypa,baseline_yards,player_std,projection_source,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,projected_passing_yards,model_std,preseason_expected_to_play,preseason_game_plan_role,preseason_game_plan_source,preseason_game_plan_note,preseason_rotation_factor,preseason_game_plan_factor,preseason_attempt_share,expected_pressure_rate,pressure_adjusted_ypa,clean_pocket_ypa,under_pressure_ypa,depth_matchup_short_0_4,depth_matchup_short_5_9,depth_matchup_intermediate_10_14,depth_matchup_intermediate_15_19,depth_matchup_deep_20_24,depth_matchup_deep_25_29,depth_matchup_deep_30_plus,game_script_volume_factor,game_script_efficiency_factor,game_script_label,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,prob_100_plus,grade_100_plus,prob_110_plus,grade_110_plus,prob_120_plus,grade_120_plus,prob_130_plus,grade_130_plus,prob_140_plus,grade_140_plus,prob_150_plus,grade_150_plus,prob_160_plus,grade_160_plus,prob_170_plus,grade_170_plus,prob_180_plus,grade_180_plus,prob_190_plus,grade_190_plus,prob_200_plus,grade_200_plus,prob_210_plus,grade_210_plus,prob_220_plus,grade_220_plus,prob_230_plus,grade_230_plus,prob_240_plus,grade_240_plus,prob_250_plus,grade_250_plus,prob_260_plus,grade_260_plus,prob_270_plus,grade_270_plus,prob_280_plus,grade_280_plus,prob_290_plus,grade_290_plus,prob_300_plus,grade_300_plus,prob_310_plus,grade_310_plus,prob_320_plus,grade_320_plus,prob_330_plus,grade_330_plus,prob_340_plus,grade_340_plus,prob_350_plus,grade_350_plus,prob_360_plus,grade_360_plus,prob_370_plus,grade_370_plus,prob_380_plus,grade_380_plus,prob_390_plus,grade_390_plus,prob_400_plus,grade_400_plus,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,pass_depth_game_sample,pass_depth_avg_hist_attempts,pass_depth_avg_longest_completion,opponent,home_away,game_id,game_date,game_name
1,2026,REG,1,Regular Season Week 1,00-0033106,Jared Goff,DET,ACT,10,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kaicbot8qhzrvddilbtp",TEAM_BLEND,30.5,7.32,224.1,51,2025.0,307.8,293.3,267.0,268.5,272.3,40.0,37.5,34.0,7.75,7.95,8.07,37.3,7.82,287.6,57.85076309335684,NFL_HISTORY,37.3,37.3,FULL_GAME_WORKLOAD,regular,291.7,61.8,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,7.821,7.821,5.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,211.4,249.8,291.7,333.7,371.7,99.9,ELITE,99.8,ELITE,99.7,ELITE,99.5,ELITE,99.2,ELITE,98.9,ELITE,98.3,ELITE,97.4,ELITE,96.1,ELITE,94.8,ELITE,92.9,ELITE,90.4,ELITE,87.4,VERY HIGH,84.0,VERY HIGH,79.9,HIGH,74.9,HIGH,69.5,SOLID,63.7,SOLID,57.4,LEAN,50.9,LEAN,44.7,COIN FLIP,38.4,LOW,32.4,LOW,27.2,LOW,21.6,VERY LOW,17.3,VERY LOW,13.6,VERY LOW,10.5,VERY LOW,7.8,VERY LOW,5.7,VERY LOW,4.3,VERY LOW,82.5,82.5,82.4,81.6,71.9,54.9,QB_3_SEASON_GAME_BOOTSTRAP,1987,55,36.1,38.9,NO,home,401872923,2026-09-13T17:00Z,New Orleans Saints at Detroit Lions
2,2026,REG,1,Regular Season Week 1,00-0026498,Matthew Stafford,LAR,ACT,17,9.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jwpkjfrkzufdyh8u1mg7",TEAM_BLEND,30.9,7.06,220.0,48,2025.0,326.8,284.1,277.6,276.9,235.1,39.2,35.5,35.1,8.33,7.93,7.8,36.6,7.95,289.6,84.91829389759904,NFL_HISTORY,36.6,36.6,FULL_GAME_WORKLOAD,regular,291.4,82.1,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,7.954,7.954,5.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,185.5,237.2,294.0,349.0,397.9,99.1,ELITE,98.6,ELITE,98.1,ELITE,97.3,ELITE,96.4,ELITE,95.4,ELITE,94.3,ELITE,92.7,ELITE,91.0,ELITE,89.2,VERY HIGH,86.8,VERY HIGH,84.3,VERY HIGH,81.0,VERY HIGH,77.7,HIGH,73.9,HIGH,70.0,HIGH,65.7,SOLID,61.3,SOLID,56.5,LEAN,51.7,LEAN,47.3,COIN FLIP,42.5,COIN FLIP,37.8,LOW,33.1,LOW,28.6,LOW,24.6,VERY LOW,20.9,VERY LOW,17.4,VERY LOW,14.6,VERY LOW,11.7,VERY LOW,9.6,VERY LOW,82.5,82.5,82.5,81.4,75.0,65.3,QB_3_SEASON_GAME_BOOTSTRAP,1962,54,36.3,40.7,SF,home,401872657,2026-09-11T00:35Z,San Francisco 49ers at Los Angeles Rams
3,2026,REG,1,Regular Season Week 1,00-0031503,Jameis Winston,NYG,ACT,11,19.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/e5qyxnibbyawi0pvfpjl",TEAM_BLEND,29.3,6.62,196.3,12,2025.0,284.4,267.2,241.2,283.5,263.1,37.8,36.0,32.5,7.34,7.27,8.55,35.5,7.5,273.3,132.0960651382685,NFL_HISTORY,35.5,35.5,FULL_GAME_WORKLOAD,regular,266.3,118.4,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,7.499,7.499,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,118.7,189.3,268.2,347.8,418.3,92.5,ELITE,91.2,ELITE,89.8,VERY HIGH,88.1,VERY HIGH,86.4,VERY HIGH,84.5,VERY HIGH,82.3,VERY HIGH,80.1,VERY HIGH,77.7,HIGH,74.8,HIGH,72.0,HIGH,68.9,SOLID,65.8,SOLID,62.7,SOLID,59.4,LEAN,56.5,LEAN,52.9,LEAN,49.5,COIN FLIP,45.9,COIN FLIP,42.5,COIN FLIP,39.3,LOW,36.2,LOW,33.1,LOW,30.0,LOW,27.1,LOW,24.5,VERY LOW,21.9,VERY LOW,19.5,VERY LOW,17.2,VERY LOW,15.1,VERY LOW,13.2,VERY LOW,72.6,72.6,72.4,65.4,55.0,29.2,QB_3_SEASON_GAME_BOOTSTRAP,445,16,27.8,30.9,DAL,home,401872930,2026-09-14T00:20Z,Dallas Cowboys at New York Giants
4,2026,REG,1,Regular Season Week 1,00-0039851,Drake Maye,NE,ACT,2,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1nmoon2xnrc3bnyulv4",TEAM_BLEND,29.5,7.26,212.2,28,2025.0,252.8,265.0,258.5,258.5,204.8,27.4,29.0,28.9,9.45,9.33,9.27,28.3,9.12,249.7,66.29900016615508,NFL_HISTORY,28.3,28.3,FULL_GAME_WORKLOAD,regular,258.2,66.0,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,9.118,9.118,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,174.8,215.3,257.7,301.5,342.9,99.2,ELITE,98.9,ELITE,98.4,ELITE,97.6,ELITE,96.5,ELITE,95.1,ELITE,93.4,ELITE,91.2,ELITE,88.8,VERY HIGH,85.4,VERY HIGH,81.8,VERY HIGH,77.6,HIGH,72.4,HIGH,66.7,SOLID,61.3,SOLID,54.8,LEAN,48.5,COIN FLIP,42.4,COIN FLIP,36.5,LOW,31.0,LOW,25.8,LOW,21.4,VERY LOW,17.3,VERY LOW,13.8,VERY LOW,10.8,VERY LOW,8.4,VERY LOW,6.1,VERY LOW,4.5,VERY LOW,3.3,VERY LOW,2.3,VERY LOW,1.6,VERY LOW,80.3,80.3,77.1,73.2,65.8,52.6,QB_3_SEASON_GAME_BOOTSTRAP,1057,34,31.1,34.2,SEA,away,401872656,2026-09-10T00:20Z,New England Patriots at Seattle Seahawks
5,2026,REG,1,Regular Season Week 1,00-0033119,Jacoby Brissett,ARI,ACT,10,7.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qjswiunczrn5xmdiqhlz",TEAM_BLEND,31.5,6.83,215.0,20,2025.0,235.6,276.7,255.1,280.5,138.0,36.6,40.4,40.3,6.5,6.87,6.98,37.8,6.74,240.1,55.814564748011584,NFL_HISTORY,37.8,37.8,FULL_GAME_WORKLOAD,regular,254.8,58.8,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,6.742,6.742,4.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,179.0,215.0,253.7,293.6,329.2,99.5,ELITE,99.3,ELITE,98.8,ELITE,98.3,ELITE,97.3,ELITE,96.1,ELITE,94.5,ELITE,92.4,ELITE,89.7,VERY HIGH,86.7,VERY HIGH,82.3,VERY HIGH,77.5,HIGH,72.1,HIGH,65.6,SOLID,59.0,LEAN,52.4,LEAN,45.7,COIN FLIP,39.0,LOW,32.7,LOW,27.0,LOW,21.5,VERY LOW,17.1,VERY LOW,13.3,VERY LOW,9.7,VERY LOW,7.1,VERY LOW,4.9,VERY LOW,3.5,VERY LOW,2.5,VERY LOW,1.7,VERY LOW,1.2,VERY LOW,0.7,VERY LOW,75.5,75.5,75.4,70.6,57.8,45.6,QB_3_SEASON_GAME_BOOTSTRAP,734,22,33.4,30.5,LAC,away,401872926,2026-09-13T20:25Z,Arizona Cardinals at Los Angeles Chargers
6,2026,REG,1,Regular Season Week 1,00-0026158,Joe Flacco,CIN,ACT,18,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dre1d2f2d6dxqohzn5l2",TEAM_BLEND,31.9,6.81,219.1,22,2025.0,283.4,245.1,245.7,245.1,251.6,41.0,41.0,41.0,6.75,5.88,5.88,40.1,6.34,259.5,104.08212744389199,NFL_HISTORY,40.1,40.1,FULL_GAME_WORKLOAD,regular,254.1,97.5,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,6.339,6.339,4.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,130.3,190.8,255.9,321.9,379.6,94.4,ELITE,93.2,ELITE,91.7,ELITE,90.0,ELITE,88.1,VERY HIGH,85.9,VERY HIGH,83.5,VERY HIGH,81.1,VERY HIGH,78.5,HIGH,75.3,HIGH,72.2,HIGH,68.4,SOLID,64.6,SOLID,60.8,SOLID,56.7,LEAN,52.4,LEAN,48.4,COIN FLIP,44.2,COIN FLIP,40.1,COIN FLIP,36.1,LOW,32.2,LOW,28.9,LOW,25.7,LOW,22.1,VERY LOW,19.1,VERY LOW,16.7,VERY LOW,14.2,VERY LOW,12.0,VERY LOW,9.9,VERY LOW,8.3,VERY LOW,6.6,VERY LOW,79.1,79.1,75.7,65.5,57.8,44.0,QB_3_SEASON_GAME_BOOTSTRAP,966,25,38.6,35.0,TB,home,401872925,2026-09-13T17:00Z,Tampa Bay Buccaneers at Cincinnati Bengals
7,2026,REG,1,Regular Season Week 1,00-0033077,Dak Prescott,DAL,ACT,10,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yvscmqq1qki8zfsemmcd",TEAM_BLEND,30.7,6.8,210.8,42,2025.0,258.2,267.1,266.9,267.8,247.2,32.6,34.1,35.3,7.71,7.72,7.56,33.3,7.57,261.1,92.77721959812442,NFL_HISTORY,33.3,33.3,FULL_GAME_WORKLOAD,regular,252.0,88.7,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,7.568,7.568,5.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,137.1,190.6,252.4,312.1,365.2,95.3,ELITE,94.2,ELITE,92.8,ELITE,91.3,ELITE,89.4,VERY HIGH,87.2,VERY HIGH,84.7,VERY HIGH,81.9,VERY HIGH,78.9,HIGH,75.3,HIGH,71.5,HIGH,67.8,SOLID,63.6,SOLID,59.4,LEAN,55.3,LEAN,51.1,LEAN,46.8,COIN FLIP,42.4,COIN FLIP,37.7,LOW,33.8,LOW,29.8,LOW,25.7,LOW,22.0,VERY LOW,18.9,VERY LOW,16.1,VERY LOW,13.5,VERY LOW,11.0,VERY LOW,9.1,VERY LOW,7.2,VERY LOW,5.9,VERY LOW,4.7,VERY LOW,82.5,82.5,82.4,79.0,71.6,55.6,QB_3_SEASON_GAME_BOOTSTRAP,1638,43,38.1,40.2,NYG,away,401872930,2026-09-14T00:20Z,Dallas Cowboys at New York Giants
8,2026,REG,1,Regular Season Week 1,00-0036442,Joe Burrow,CIN,ACT,6,9.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gnnvcgui1cijybukk2w7",TEAM_BLEND,31.9,6.81,219.1,35,2025.0,271.8,249.8,270.3,226.1,289.3,35.4,35.4,32.4,7.84,7.01,6.95,34.5,7.3,260.7,73.34170801918566,NFL_HISTORY,34.5,34.5,FULL_GAME_WORKLOAD,regular,252.0,74.5,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,7.302,7.302,4.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,157.1,202.1,251.1,301.4,345.6,98.0,ELITE,97.3,ELITE,96.4,ELITE,95.1,ELITE,93.5,ELITE,91.6,ELITE,89.3,VERY HIGH,86.5,VERY HIGH,83.4,VERY HIGH,80.2,VERY HIGH,75.9,HIGH,71.2,HIGH,66.4,SOLID,61.0,SOLID,55.9,LEAN,50.4,LEAN,45.1,COIN FLIP,39.9,LOW,35.0,LOW,30.2,LOW,25.6,LOW,21.3,VERY LOW,17.4,VERY LOW,14.3,VERY LOW,11.4,VERY LOW,8.9,VERY LOW,7.0,VERY LOW,5.2,VERY LOW,4.0,VERY LOW,3.1,VERY LOW,2.1,VERY LOW,82.5,82.5,79.6,73.2,63.8,54.6,QB_3_SEASON_GAME_BOOTSTRAP,1369,35,39.1,37.9,TB,home,401872925,2026-09-13T17:00Z,Tampa Bay Buccaneers at Cincinnati Bengals
9,2026,REG,1,Regular Season Week 1,00-0040743,Tyler Shough,NO,ACT,1,6.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/toiafc7qighw86geo7jf",TEAM_BLEND,29.6,6.82,201.0,10,2025.0,263.2,238.4,238.4,238.4,,32.6,32.5,32.5,8.34,7.57,7.57,32.3,7.79,248.6,70.01199140775086,NFL_HISTORY,32.3,32.2,FULL_GAME_WORKLOAD,regular,251.1,69.5,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,7.787,7.787,5.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,164.5,204.3,250.7,297.8,339.7,98.6,ELITE,97.9,ELITE,97.1,ELITE,96.2,ELITE,94.8,ELITE,93.2,ELITE,91.0,ELITE,88.3,VERY HIGH,85.1,VERY HIGH,81.3,VERY HIGH,77.0,HIGH,72.1,HIGH,67.1,SOLID,61.7,SOLID,56.3,LEAN,50.5,LEAN,44.8,COIN FLIP,38.9,LOW,33.5,LOW,28.3,LOW,23.9,VERY LOW,19.3,VERY LOW,15.8,VERY LOW,12.6,VERY LOW,10.0,VERY LOW,7.8,VERY LOW,5.8,VERY LOW,4.4,VERY LOW,3.3,VERY LOW,2.4,VERY LOW,1.7,VERY LOW,75.3,75.3,75.0,38.0,35.5,20.2,QB_3_SEASON_GAME_BOOTSTRAP,359,11,32.6,26.7,DET,away,401872923,2026-09-13T17:00Z,New Orleans Saints at Detroit Lions
10,2026,REG,1,Regular Season Week 1,00-0036972,Mac Jones,SF,ACT,5,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mbdwfwiuhl0ib5ajtmzq",TEAM_BLEND,30.4,7.1,217.1,28,2025.0,249.2,255.0,245.6,268.9,185.1,32.0,34.3,36.1,7.75,7.47,7.48,33.2,7.54,244.3,73.71521822280535,NFL_HISTORY,33.2,33.2,FULL_GAME_WORKLOAD,regular,250.3,73.4,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,7.539,7.539,5.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,157.0,202.1,251.1,299.6,344.9,97.9,ELITE,97.2,ELITE,96.2,ELITE,95.1,ELITE,93.4,ELITE,91.4,ELITE,89.2,VERY HIGH,86.5,VERY HIGH,83.3,VERY HIGH,79.5,HIGH,75.7,HIGH,71.6,HIGH,66.6,SOLID,61.8,SOLID,56.4,LEAN,50.6,LEAN,45.0,COIN FLIP,39.7,LOW,34.4,LOW,29.1,LOW,24.8,VERY LOW,20.6,VERY LOW,16.9,VERY LOW,13.7,VERY LOW,11.3,VERY LOW,8.8,VERY LOW,6.7,VERY LOW,5.3,VERY LOW,3.8,VERY LOW,2.8,VERY LOW,2.1,VERY LOW,79.9,74.2,71.5,63.4,48.5,42.0,QB_3_SEASON_GAME_BOOTSTRAP,958,30,31.9,31.2,LAR,away,401872657,2026-09-11T00:35Z,San Francisco 49ers at Los Angeles Rams
