rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,roster_status,years_exp,jersey_number,headshot_url,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,data_through_season,last_5_avg,last_10_avg,last_15_avg,last_5_passing_yards,last_10_passing_yards,last_15_passing_yards,season_avg,prior_season_avg,last_5_attempts,last_10_attempts,season_attempts,last_5_ypa,last_10_ypa,season_ypa,normal_attempts,projected_ypa,baseline_yards,player_std,projection_source,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,projected_passing_yards,model_std,opponent_x,home_away_x,game_id_x,game_date_x,game_name_x,preseason_rotation_factor,expected_pressure_rate,pressure_adjusted_ypa,clean_pocket_ypa,under_pressure_ypa,depth_matchup_short_0_4,depth_matchup_short_5_9,depth_matchup_intermediate_10_14,depth_matchup_intermediate_15_19,depth_matchup_deep_20_24,depth_matchup_deep_25_29,depth_matchup_deep_30_plus,game_script_volume_factor,game_script_efficiency_factor,game_script_label,depth_role,expected_quarters,expected_drives,projected_dropbacks,scramble_rate_pct,projected_designed_rushes,projected_completions,projected_completion_pct,opp_pass_yards_allowed_pg,opp_completion_rate_allowed_pct,opp_ypa_allowed,opp_epa_per_dropback,opp_pressure_rate_pct,opp_sack_rate_pct,opp_explosive_pass_rate_pct,player_context_source,opponent_context_source,team_pass_attempts_pg,team_completion_rate_pct,team_ypa,team_epa_per_dropback,team_explosive_pass_rate_pct,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,prob_100_plus,grade_100_plus,prob_110_plus,grade_110_plus,prob_120_plus,grade_120_plus,prob_130_plus,grade_130_plus,prob_140_plus,grade_140_plus,prob_150_plus,grade_150_plus,prob_160_plus,grade_160_plus,prob_170_plus,grade_170_plus,prob_180_plus,grade_180_plus,prob_190_plus,grade_190_plus,prob_200_plus,grade_200_plus,prob_210_plus,grade_210_plus,prob_220_plus,grade_220_plus,prob_230_plus,grade_230_plus,prob_240_plus,grade_240_plus,prob_250_plus,grade_250_plus,prob_260_plus,grade_260_plus,prob_270_plus,grade_270_plus,prob_280_plus,grade_280_plus,prob_290_plus,grade_290_plus,prob_300_plus,grade_300_plus,prob_310_plus,grade_310_plus,prob_320_plus,grade_320_plus,prob_330_plus,grade_330_plus,prob_340_plus,grade_340_plus,prob_350_plus,grade_350_plus,prob_360_plus,grade_360_plus,prob_370_plus,grade_370_plus,prob_380_plus,grade_380_plus,prob_390_plus,grade_390_plus,prob_400_plus,grade_400_plus,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,pass_depth_game_sample,pass_depth_avg_hist_attempts,pass_depth_avg_longest_completion,opponent_y,home_away_y,game_id_y,game_date_y,game_name_y,season_games,season_passing_yards,season_weeks,season_history_source,season_hits_100_plus,season_hit_rate_100_plus,season_hits_110_plus,season_hit_rate_110_plus,season_hits_120_plus,season_hit_rate_120_plus,season_hits_130_plus,season_hit_rate_130_plus,season_hits_140_plus,season_hit_rate_140_plus,season_hits_150_plus,season_hit_rate_150_plus,season_hits_160_plus,season_hit_rate_160_plus,season_hits_170_plus,season_hit_rate_170_plus,season_hits_180_plus,season_hit_rate_180_plus,season_hits_190_plus,season_hit_rate_190_plus,season_hits_200_plus,season_hit_rate_200_plus,season_hits_210_plus,season_hit_rate_210_plus,season_hits_220_plus,season_hit_rate_220_plus,season_hits_230_plus,season_hit_rate_230_plus,season_hits_240_plus,season_hit_rate_240_plus,season_hits_250_plus,season_hit_rate_250_plus,season_hits_260_plus,season_hit_rate_260_plus,season_hits_270_plus,season_hit_rate_270_plus,season_hits_280_plus,season_hit_rate_280_plus,season_hits_290_plus,season_hit_rate_290_plus,season_hits_300_plus,season_hit_rate_300_plus,season_hits_310_plus,season_hit_rate_310_plus,season_hits_320_plus,season_hit_rate_320_plus,season_hits_330_plus,season_hit_rate_330_plus,season_hits_340_plus,season_hit_rate_340_plus,season_hits_350_plus,season_hit_rate_350_plus,season_hits_360_plus,season_hit_rate_360_plus,season_hits_370_plus,season_hit_rate_370_plus,season_hits_380_plus,season_hit_rate_380_plus,season_hits_390_plus,season_hit_rate_390_plus,season_hits_400_plus,season_hit_rate_400_plus
1,2026,REG,2,Regular Season Week 2,00-0040743,Tyler Shough,NO,ACT,1,6.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/toiafc7qighw86geo7jf",TEAM_BLEND,30.0,6.81,203.9,11,2026,316.4,266.6,254.0,272|308|333|259|410,176|282|243|239|144|272|308|333|259|410,128|176|282|243|239|144|272|308|333|259|410,410.0,238.4,39.8,35.1,56.0,8.37,7.88,7.32,40.5,7.69,307.2,70.18993838539302,NFL_HISTORY,40.5,40.5,FULL_GAME_WORKLOAD,regular,310.1,83.0,BAL,away,401872938,2026-09-20T17:00Z,New Orleans Saints at Baltimore Ravens,1.0,14.7,7.452,7.821,5.318,0.2685,0.1421,0.0575,0.0432,0.0221,0.0101,0.0106,1.0,1.0,NEUTRAL,QB1,4.0,8.3,44.3,,,27.2,67.2,245.0,58.1,6.2,-0.04,16.5,6.9,8.3,NFLVERSE_WEEKLY_PLUS_3YR_PBP_V6_8,NFLVERSE_3YR_PBP_V6_8,40.5,67.2,7.69,,,215.0,263.1,310.2,356.3,403.7,98.8,ELITE,98.6,ELITE,98.3,ELITE,98.0,ELITE,97.6,ELITE,97.2,ELITE,96.6,ELITE,96.0,ELITE,95.1,ELITE,94.0,ELITE,92.6,ELITE,91.0,ELITE,88.9,VERY HIGH,86.6,VERY HIGH,83.7,VERY HIGH,80.1,VERY HIGH,76.3,HIGH,71.9,HIGH,66.9,SOLID,61.7,SOLID,56.1,LEAN,50.1,LEAN,44.3,COIN FLIP,38.5,LOW,33.0,LOW,28.0,LOW,23.5,VERY LOW,19.3,VERY LOW,15.9,VERY LOW,13.0,VERY LOW,10.7,VERY LOW,97.5,84.0,81.8,39.2,36.7,21.4,QB_3_SEASON_GAME_BOOTSTRAP,359,11,32.6,26.7,BAL,away,401872938,2026-09-20T17:00Z,New Orleans Saints at Baltimore Ravens,1,410,1,NFLVERSE_WEEKLY,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0
2,2026,REG,2,Regular Season Week 2,00-0033106,Jared Goff,DET,ACT,10,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kaicbot8qhzrvddilbtp",TEAM_BLEND,30.7,7.23,222.3,52,2026,287.2,285.5,267.3,338|364|197|331|206,320|255|279|256|309|338|364|197|331|206,168|258|203|241|284|320|255|279|256|309|338|364|197|331|206,206.0,268.5,41.0,37.7,39.0,6.99,7.71,5.28,38.7,6.71,265.8,66.73554686532431,NFL_HISTORY,38.7,38.7,FULL_GAME_WORKLOAD,regular,261.5,80.9,BUF,away,401872932,2026-09-18T00:15Z,Detroit Lions at Buffalo Bills,1.0,16.7,6.468,6.832,4.646,0.2802,0.1447,0.0608,0.0481,0.0194,0.0118,0.0046,1.0,1.0,NEUTRAL,QB1,4.0,9.9,40.9,,,26.7,69.1,213.4,59.8,6.33,-0.039,16.9,7.0,7.6,NFLVERSE_WEEKLY_PLUS_3YR_PBP_V6_8,NFLVERSE_3YR_PBP_V6_8,38.7,69.1,6.71,,,168.3,216.0,261.3,306.7,354.5,97.4,ELITE,96.8,ELITE,96.2,ELITE,95.3,ELITE,94.4,ELITE,93.0,ELITE,91.6,ELITE,89.7,VERY HIGH,87.4,VERY HIGH,84.7,VERY HIGH,81.4,VERY HIGH,77.4,HIGH,73.2,HIGH,68.0,SOLID,62.7,SOLID,56.6,LEAN,50.7,LEAN,44.9,COIN FLIP,38.9,LOW,33.3,LOW,28.2,LOW,23.5,VERY LOW,19.5,VERY LOW,16.1,VERY LOW,13.2,VERY LOW,11.0,VERY LOW,8.9,VERY LOW,7.3,VERY LOW,6.0,VERY LOW,4.8,VERY LOW,3.9,VERY LOW,99.5,93.1,90.8,85.0,74.2,55.3,QB_3_SEASON_GAME_BOOTSTRAP,1987,55,36.1,38.9,BUF,away,401872932,2026-09-18T00:15Z,Detroit Lions at Buffalo Bills,1,206,1,NFLVERSE_WEEKLY,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,2026,REG,2,Regular Season Week 2,00-0036264,Jordan Love,GB,ACT,6,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/thz8stjkbjwddxqnozi5",TEAM_BLEND,28.1,7.28,202.7,48,2026,241.6,233.0,238.7,234|234|276|77|387,360|273|176|174|139|234|234|276|77|387,292|183|337|259|179|360|273|176|174|139|234|234|276|77|387,387.0,225.4,30.0,30.5,42.0,7.84,7.51,9.21,32.1,7.86,266.2,100.83100725300392,NFL_HISTORY,32.1,32.1,FULL_GAME_WORKLOAD,regular,256.4,111.3,NYJ,away,401872936,2026-09-20T17:00Z,Green Bay Packers at New York Jets,1.0,14.3,7.62,7.986,5.431,0.2891,0.1267,0.0583,0.041,0.0137,0.0065,0.0119,1.0,1.0,NEUTRAL,QB1,4.0,9.1,33.5,,,20.6,64.1,209.6,58.1,6.36,0.042,14.4,7.0,8.6,NFLVERSE_WEEKLY_PLUS_3YR_PBP_V6_8,NFLVERSE_3YR_PBP_V6_8,32.1,64.1,7.86,,,130.4,194.6,256.7,319.3,384.5,93.8,ELITE,92.7,ELITE,91.5,ELITE,90.1,ELITE,88.4,VERY HIGH,86.5,VERY HIGH,84.4,VERY HIGH,82.1,VERY HIGH,79.5,HIGH,76.5,HIGH,73.2,HIGH,69.6,SOLID,65.5,SOLID,61.6,SOLID,57.3,LEAN,53.0,LEAN,48.6,COIN FLIP,44.2,COIN FLIP,40.0,COIN FLIP,35.8,LOW,31.7,LOW,28.1,LOW,24.8,VERY LOW,21.7,VERY LOW,18.9,VERY LOW,16.6,VERY LOW,14.4,VERY LOW,12.4,VERY LOW,10.7,VERY LOW,9.3,VERY LOW,8.1,VERY LOW,99.5,92.7,89.6,80.7,74.5,65.8,QB_3_SEASON_GAME_BOOTSTRAP,1653,51,32.4,41.5,NYJ,away,401872936,2026-09-20T17:00Z,Green Bay Packers at New York Jets,1,387,1,NFLVERSE_WEEKLY,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,0,0.0,0,0.0
4,2026,REG,2,Regular Season Week 2,00-0033119,Jacoby Brissett,ARI,ACT,10,7.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qjswiunczrn5xmdiqhlz",TEAM_BLEND,31.6,6.83,215.5,21,2026,236.8,278.3,262.3,249|203|212|243|277,258|452|317|301|271|249|203|212|243|277,160|132|320|279|261|258|452|317|301|271|249|203|212|243|277,277.0,280.5,35.2,41.0,37.0,6.77,6.78,7.49,36.7,6.81,262.2,53.551760813942046,NFL_HISTORY,36.7,36.7,FULL_GAME_WORKLOAD,regular,253.8,70.8,SEA,home,401872943,2026-09-20T20:25Z,Seattle Seahawks at Arizona Cardinals,1.0,15.9,6.582,6.935,4.716,0.3043,0.1407,0.0515,0.0352,0.0223,0.0069,0.0089,1.0,1.0,NEUTRAL,QB1,4.0,8.2,40.1,,,23.7,64.6,235.5,59.6,6.3,-0.03,16.9,7.3,8.1,NFLVERSE_WEEKLY_PLUS_3YR_PBP_V6_8,NFLVERSE_3YR_PBP_V6_8,36.7,64.6,6.81,,,172.5,214.2,254.3,294.6,335.5,98.0,ELITE,97.5,ELITE,97.0,ELITE,96.2,ELITE,95.2,ELITE,93.9,ELITE,92.5,ELITE,90.6,ELITE,88.0,VERY HIGH,84.9,VERY HIGH,81.3,VERY HIGH,77.0,HIGH,72.0,HIGH,66.4,SOLID,60.0,LEAN,53.0,LEAN,46.1,COIN FLIP,39.3,LOW,33.0,LOW,27.4,LOW,22.2,VERY LOW,17.7,VERY LOW,14.2,VERY LOW,11.4,VERY LOW,9.0,VERY LOW,7.2,VERY LOW,5.5,VERY LOW,4.3,VERY LOW,3.3,VERY LOW,2.6,VERY LOW,2.1,VERY LOW,97.5,83.3,80.6,73.7,58.1,45.8,QB_3_SEASON_GAME_BOOTSTRAP,734,22,33.4,30.5,SEA,home,401872943,2026-09-20T20:25Z,Seattle Seahawks at Arizona Cardinals,1,277,1,NFLVERSE_WEEKLY,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5,2026,REG,2,Regular Season Week 2,00-0036971,Trevor Lawrence,JAX,ACT,5,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k9uzdernqkx7oquy7dkg",TEAM_BLEND,29.8,6.89,205.3,44,2026,274.4,241.2,238.7,330|279|263|255|245,158|153|256|229|244|330|279|263|255|245,174|221|258|296|220|158|153|256|229|244|330|279|263|255|245,245.0,235.7,31.6,29.0,23.0,8.86,8.33,10.65,29.2,8.72,252.5,43.63020298440994,NFL_HISTORY,29.2,29.2,FULL_GAME_WORKLOAD,regular,253.8,70.8,DEN,away,401872940,2026-09-20T20:05Z,Jacksonville Jaguars at Denver Broncos,1.0,16.3,8.416,8.88,6.038,0.2699,0.1381,0.0644,0.0371,0.022,0.0068,0.0078,1.0,1.0,NEUTRAL,QB1,4.0,9.8,31.1,,,18.4,63.0,235.9,57.2,6.22,-0.058,19.7,8.9,7.5,NFLVERSE_WEEKLY_PLUS_3YR_PBP_V6_8,NFLVERSE_3YR_PBP_V6_8,29.2,63.0,8.72,,,173.3,213.6,252.7,293.2,335.4,98.0,ELITE,97.5,ELITE,96.9,ELITE,96.1,ELITE,95.2,ELITE,94.1,ELITE,92.6,ELITE,90.7,ELITE,88.1,VERY HIGH,85.0,VERY HIGH,81.2,VERY HIGH,76.6,HIGH,71.5,HIGH,65.5,SOLID,58.7,LEAN,51.9,LEAN,45.0,COIN FLIP,38.4,LOW,32.5,LOW,26.7,LOW,21.8,VERY LOW,17.5,VERY LOW,14.1,VERY LOW,11.3,VERY LOW,8.9,VERY LOW,7.0,VERY LOW,5.5,VERY LOW,4.4,VERY LOW,3.5,VERY LOW,2.8,VERY LOW,2.2,VERY LOW,99.5,93.8,88.3,82.2,63.9,49.1,QB_3_SEASON_GAME_BOOTSTRAP,1542,44,35.0,38.2,DEN,away,401872940,2026-09-20T20:05Z,Jacksonville Jaguars at Denver Broncos,1,245,1,NFLVERSE_WEEKLY,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6,2026,REG,2,Regular Season Week 2,00-0034857,Josh Allen,BUF,ACT,8,17.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjwbioajzldkq1vzoz2d",TEAM_BLEND,29.2,7.11,209.4,50,2026,234.0,244.2,230.7,251|193|130|262|334,273|306|317|253|123|251|193|130|262|334,213|209|253|180|163|273|306|317|253|123|251|193|130|262|334,334.0,229.2,27.8,29.2,29.0,8.34,8.32,11.52,28.5,8.74,255.0,73.37720176525163,NFL_HISTORY,28.5,28.5,FULL_GAME_WORKLOAD,regular,251.1,87.2,DET,home,401872932,2026-09-18T00:15Z,Detroit Lions at Buffalo Bills,1.0,14.5,8.475,8.886,6.043,0.2446,0.1377,0.0672,0.0539,0.0186,0.0127,0.0176,1.0,1.0,NEUTRAL,QB1,4.0,9.0,30.0,,,19.0,66.5,260.9,57.8,7.04,0.001,17.0,6.6,10.4,NFLVERSE_WEEKLY_PLUS_3YR_PBP_V6_8,NFLVERSE_3YR_PBP_V6_8,28.5,66.5,8.74,,,151.0,201.3,250.1,300.0,350.1,96.2,ELITE,95.4,ELITE,94.4,ELITE,93.2,ELITE,91.9,ELITE,90.2,ELITE,88.3,VERY HIGH,85.9,VERY HIGH,82.9,VERY HIGH,79.5,HIGH,75.5,HIGH,71.1,HIGH,66.3,SOLID,61.1,SOLID,55.7,LEAN,50.1,LEAN,44.4,COIN FLIP,39.0,LOW,34.0,LOW,29.2,LOW,25.0,VERY LOW,21.1,VERY LOW,17.6,VERY LOW,14.6,VERY LOW,12.1,VERY LOW,10.0,VERY LOW,8.3,VERY LOW,6.8,VERY LOW,5.6,VERY LOW,4.7,VERY LOW,3.9,VERY LOW,99.5,94.3,91.7,79.2,71.5,60.2,QB_3_SEASON_GAME_BOOTSTRAP,1850,56,33.0,39.4,DET,home,401872932,2026-09-18T00:15Z,Detroit Lions at Buffalo Bills,1,334,1,NFLVERSE_WEEKLY,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
7,2026,REG,2,Regular Season Week 2,00-0026498,Matthew Stafford,LAR,ACT,17,9.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jwpkjfrkzufdyh8u1mg7",TEAM_BLEND,30.7,7.05,218.3,49,2026,301.6,271.5,274.9,368|457|269|259|155,280|130|273|243|281|368|457|269|259|155,375|389|181|182|281|280|130|273|243|281|368|457|269|259|155,155.0,276.9,38.0,34.8,25.0,7.75,7.67,6.2,34.1,7.19,259.9,102.63164031156359,NFL_HISTORY,34.1,34.1,FULL_GAME_WORKLOAD,regular,249.3,112.8,NYG,home,401872947,2026-09-22T00:15Z,New York Giants at Los Angeles Rams,1.0,14.7,6.963,7.306,4.968,0.2856,0.1593,0.0569,0.0398,0.0171,0.0131,0.0131,1.0,1.0,NEUTRAL,QB1,4.0,9.5,35.8,,,21.9,64.4,235.8,61.3,6.84,0.024,15.0,6.7,8.0,NFLVERSE_WEEKLY_PLUS_3YR_PBP_V6_8,NFLVERSE_3YR_PBP_V6_8,34.1,64.4,7.19,,,120.4,184.8,249.7,312.6,378.8,92.6,ELITE,91.4,ELITE,90.1,ELITE,88.6,VERY HIGH,86.6,VERY HIGH,84.6,VERY HIGH,82.2,VERY HIGH,79.4,HIGH,76.5,HIGH,73.3,HIGH,70.0,HIGH,66.4,SOLID,62.6,SOLID,58.6,LEAN,54.3,LEAN,49.9,COIN FLIP,45.2,COIN FLIP,41.1,COIN FLIP,36.8,LOW,32.9,LOW,29.4,LOW,25.9,LOW,22.7,VERY LOW,19.9,VERY LOW,17.4,VERY LOW,15.1,VERY LOW,13.2,VERY LOW,11.4,VERY LOW,9.8,VERY LOW,8.6,VERY LOW,7.3,VERY LOW,99.5,92.5,89.4,84.1,75.7,65.3,QB_3_SEASON_GAME_BOOTSTRAP,1962,54,36.3,40.7,NYG,home,401872947,2026-09-22T00:15Z,New York Giants at Los Angeles Rams,1,155,1,NFLVERSE_WEEKLY,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
8,2026,REG,2,Regular Season Week 2,00-0039918,Caleb Williams,CHI,ACT,2,18.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",TEAM_BLEND,30.5,6.74,205.9,35,2026,260.6,229.5,233.1,242|250|330|212|269,220|193|239|154|186|242|250|330|212|269,212|252|172|285|280|220|193|239|154|186|242|250|330|212|269,269.0,231.9,33.2,34.0,29.0,7.91,6.81,9.28,32.4,7.64,249.0,46.44842955125473,NFL_HISTORY,32.4,32.4,FULL_GAME_WORKLOAD,regular,248.0,70.8,MIN,home,401872937,2026-09-20T17:00Z,Minnesota Vikings at Chicago Bears,1.0,15.8,7.387,7.78,5.291,0.3012,0.1334,0.0589,0.0434,0.0236,0.0091,0.0096,1.0,1.0,NEUTRAL,QB1,4.0,10.0,34.8,,,19.6,60.6,232.5,61.0,6.48,-0.049,16.6,7.7,7.4,NFLVERSE_WEEKLY_PLUS_3YR_PBP_V6_8,NFLVERSE_3YR_PBP_V6_8,32.4,60.6,7.64,,,167.9,208.4,248.8,288.6,329.8,97.9,ELITE,97.4,ELITE,96.8,ELITE,96.0,ELITE,94.9,ELITE,93.6,ELITE,91.8,ELITE,89.5,VERY HIGH,86.5,VERY HIGH,83.1,VERY HIGH,78.9,HIGH,74.4,HIGH,68.7,SOLID,62.6,SOLID,56.0,LEAN,49.1,COIN FLIP,42.1,COIN FLIP,35.6,LOW,29.7,LOW,24.3,VERY LOW,19.7,VERY LOW,15.9,VERY LOW,12.6,VERY LOW,10.0,VERY LOW,7.8,VERY LOW,6.1,VERY LOW,4.8,VERY LOW,3.7,VERY LOW,3.0,VERY LOW,2.4,VERY LOW,1.9,VERY LOW,99.5,92.8,86.6,76.7,69.0,38.9,QB_3_SEASON_GAME_BOOTSTRAP,1328,36,36.9,33.5,MIN,home,401872937,2026-09-20T17:00Z,Minnesota Vikings at Chicago Bears,1,269,1,NFLVERSE_WEEKLY,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9,2026,REG,2,Regular Season Week 2,00-0036442,Joe Burrow,CIN,ACT,6,9.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gnnvcgui1cijybukk2w7",TEAM_BLEND,32.0,6.8,219.2,36,2026,265.8,234.0,263.5,225|309|305|236|254,277|113|76|261|284|225|309|305|236|254,309|369|271|252|412|277|113|76|261|284|225|309|305|236|254,254.0,226.1,35.2,34.0,35.0,7.71,6.89,7.26,34.5,7.15,250.9,62.45903943430332,NFL_HISTORY,34.5,34.5,FULL_GAME_WORKLOAD,regular,248.0,78.2,HOU,away,401872934,2026-09-20T17:00Z,Cincinnati Bengals at Houston Texans,1.0,16.8,6.894,7.287,4.955,0.2723,0.1139,0.0624,0.0436,0.0153,0.0084,0.0149,1.0,1.0,NEUTRAL,QB1,4.0,9.3,36.9,,,23.8,68.8,227.1,56.5,6.41,-0.102,17.2,8.2,8.3,NFLVERSE_WEEKLY_PLUS_3YR_PBP_V6_8,NFLVERSE_3YR_PBP_V6_8,34.5,68.8,7.15,,,160.2,203.9,248.0,292.8,338.2,97.2,ELITE,96.5,ELITE,95.7,ELITE,94.5,ELITE,93.4,ELITE,91.9,ELITE,90.0,ELITE,87.5,VERY HIGH,84.5,VERY HIGH,80.9,VERY HIGH,76.8,HIGH,72.1,HIGH,66.8,SOLID,61.0,SOLID,55.0,LEAN,48.7,COIN FLIP,42.7,COIN FLIP,36.7,LOW,31.3,LOW,26.3,LOW,21.8,VERY LOW,18.1,VERY LOW,14.7,VERY LOW,11.8,VERY LOW,9.6,VERY LOW,7.9,VERY LOW,6.4,VERY LOW,5.0,VERY LOW,4.0,VERY LOW,3.3,VERY LOW,2.7,VERY LOW,99.5,93.4,87.1,76.1,65.6,56.8,QB_3_SEASON_GAME_BOOTSTRAP,1369,35,39.1,37.9,HOU,away,401872934,2026-09-20T17:00Z,Cincinnati Bengals at Houston Texans,1,254,1,NFLVERSE_WEEKLY,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10,2026,REG,2,Regular Season Week 2,00-0039163,C.J. Stroud,HOU,ACT,3,7.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",TEAM_BLEND,29.8,6.77,202.3,46,2026,226.8,223.9,221.0,260|187|244|169|274,229|318|79|276|203|260|187|244|169|274,188|207|204|233|244|229|318|79|276|203|260|187|244|169|274,274.0,217.2,30.6,31.7,38.0,7.52,7.27,7.21,32.2,7.17,233.6,56.235169125987426,NFL_HISTORY,32.2,32.1,FULL_GAME_WORKLOAD,regular,231.4,70.8,CIN,home,401872934,2026-09-20T17:00Z,Cincinnati Bengals at Houston Texans,1.0,15.6,6.93,7.295,4.961,0.2842,0.1469,0.0684,0.0432,0.0163,0.0101,0.0135,1.0,1.0,NEUTRAL,QB1,4.0,9.9,34.7,,,20.5,63.8,250.3,60.8,7.16,0.08,16.1,6.4,9.7,NFLVERSE_WEEKLY_PLUS_3YR_PBP_V6_8,NFLVERSE_3YR_PBP_V6_8,32.2,63.8,7.17,,,150.0,192.0,232.0,272.4,313.3,96.8,ELITE,96.1,ELITE,95.0,ELITE,93.8,ELITE,92.2,ELITE,90.0,ELITE,87.4,VERY HIGH,84.3,VERY HIGH,80.4,VERY HIGH,75.9,HIGH,70.6,HIGH,64.8,SOLID,58.2,LEAN,51.4,LEAN,44.3,COIN FLIP,37.9,LOW,31.8,LOW,26.3,LOW,21.4,VERY LOW,17.3,VERY LOW,13.7,VERY LOW,10.9,VERY LOW,8.5,VERY LOW,6.7,VERY LOW,5.3,VERY LOW,4.1,VERY LOW,3.2,VERY LOW,2.6,VERY LOW,2.1,VERY LOW,1.7,VERY LOW,1.3,VERY LOW,99.5,94.5,88.1,80.1,71.5,57.3,QB_3_SEASON_GAME_BOOTSTRAP,1785,52,34.3,40.8,CIN,home,401872934,2026-09-20T17:00Z,Cincinnati Bengals at Houston Texans,1,274,1,NFLVERSE_WEEKLY,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
