rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,opponent,home_away,game_date,roster_status,years_exp,jersey_number,projection_source,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,preseason_game_plan_status,preseason_game_plan_note,projected_ypa,projected_passing_yards,model_std,last_5_avg,last_10_avg,last_15_avg,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,ladder_yards,probability_pct,grade
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,100,61.5,SOLID
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,110,55.3,LEAN
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,120,49.1,COIN FLIP
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,130,42.8,COIN FLIP
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,140,36.7,LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,150,30.9,LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,160,25.9,LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,170,21.0,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,180,16.8,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,190,13.2,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,200,10.2,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,210,7.6,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,220,5.6,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,230,4.0,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,240,2.8,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,250,2.0,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,260,1.3,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,270,0.9,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,280,0.5,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,290,0.4,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,300,0.2,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,310,0.1,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,320,0.1,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,330,0.0,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,340,0.0,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,350,0.0,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,360,0.0,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,370,0.0,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,380,0.0,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,390,0.0,VERY LOW
1,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,,,6.6,118.7,63.9,,,,36.7,75.6,118.4,161.7,200.7,82.5,78.9,69.8,58.2,39.8,27.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,400,0.0,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0039150,Bryce Young,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,3,9.0,NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,44,28.0,16.0,AUTO_PRESEASON_USAGE,young_backup,,,6.46,103.3,66.8,176.0,186.1,190.5,17.9,58.1,103.5,148.7,189.1,80.6,75.7,65.0,52.5,36.3,24.0,QB_3_SEASON_GAME_BOOTSTRAP,1554,100,52.1,LEAN
2,2026,PRE,0,2026 Hall of Fame Game,00-0039150,Bryce Young,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,3,9.0,NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,44,28.0,16.0,AUTO_PRESEASON_USAGE,young_backup,,,6.46,103.3,66.8,176.0,186.1,190.5,17.9,58.1,103.5,148.7,189.1,80.6,75.7,65.0,52.5,36.3,24.0,QB_3_SEASON_GAME_BOOTSTRAP,1554,110,46.1,COIN FLIP
2,2026,PRE,0,2026 Hall of Fame Game,00-0039150,Bryce Young,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,3,9.0,NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,44,28.0,16.0,AUTO_PRESEASON_USAGE,young_backup,,,6.46,103.3,66.8,176.0,186.1,190.5,17.9,58.1,103.5,148.7,189.1,80.6,75.7,65.0,52.5,36.3,24.0,QB_3_SEASON_GAME_BOOTSTRAP,1554,120,40.2,COIN FLIP
2,2026,PRE,0,2026 Hall of Fame Game,00-0039150,Bryce Young,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,3,9.0,NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,44,28.0,16.0,AUTO_PRESEASON_USAGE,young_backup,,,6.46,103.3,66.8,176.0,186.1,190.5,17.9,58.1,103.5,148.7,189.1,80.6,75.7,65.0,52.5,36.3,24.0,QB_3_SEASON_GAME_BOOTSTRAP,1554,130,34.5,LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0039150,Bryce Young,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,3,9.0,NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,44,28.0,16.0,AUTO_PRESEASON_USAGE,young_backup,,,6.46,103.3,66.8,176.0,186.1,190.5,17.9,58.1,103.5,148.7,189.1,80.6,75.7,65.0,52.5,36.3,24.0,QB_3_SEASON_GAME_BOOTSTRAP,1554,140,29.3,LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0039150,Bryce Young,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,3,9.0,NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,44,28.0,16.0,AUTO_PRESEASON_USAGE,young_backup,,,6.46,103.3,66.8,176.0,186.1,190.5,17.9,58.1,103.5,148.7,189.1,80.6,75.7,65.0,52.5,36.3,24.0,QB_3_SEASON_GAME_BOOTSTRAP,1554,150,24.4,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0039150,Bryce Young,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,3,9.0,NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,44,28.0,16.0,AUTO_PRESEASON_USAGE,young_backup,,,6.46,103.3,66.8,176.0,186.1,190.5,17.9,58.1,103.5,148.7,189.1,80.6,75.7,65.0,52.5,36.3,24.0,QB_3_SEASON_GAME_BOOTSTRAP,1554,160,19.9,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0039150,Bryce Young,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,3,9.0,NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,44,28.0,16.0,AUTO_PRESEASON_USAGE,young_backup,,,6.46,103.3,66.8,176.0,186.1,190.5,17.9,58.1,103.5,148.7,189.1,80.6,75.7,65.0,52.5,36.3,24.0,QB_3_SEASON_GAME_BOOTSTRAP,1554,170,16.1,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0039150,Bryce Young,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,3,9.0,NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,44,28.0,16.0,AUTO_PRESEASON_USAGE,young_backup,,,6.46,103.3,66.8,176.0,186.1,190.5,17.9,58.1,103.5,148.7,189.1,80.6,75.7,65.0,52.5,36.3,24.0,QB_3_SEASON_GAME_BOOTSTRAP,1554,180,12.7,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0039150,Bryce Young,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,3,9.0,NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,44,28.0,16.0,AUTO_PRESEASON_USAGE,young_backup,,,6.46,103.3,66.8,176.0,186.1,190.5,17.9,58.1,103.5,148.7,189.1,80.6,75.7,65.0,52.5,36.3,24.0,QB_3_SEASON_GAME_BOOTSTRAP,1554,190,9.8,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0039150,Bryce Young,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,3,9.0,NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,44,28.0,16.0,AUTO_PRESEASON_USAGE,young_backup,,,6.46,103.3,66.8,176.0,186.1,190.5,17.9,58.1,103.5,148.7,189.1,80.6,75.7,65.0,52.5,36.3,24.0,QB_3_SEASON_GAME_BOOTSTRAP,1554,200,7.4,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0039150,Bryce Young,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,3,9.0,NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,44,28.0,16.0,AUTO_PRESEASON_USAGE,young_backup,,,6.46,103.3,66.8,176.0,186.1,190.5,17.9,58.1,103.5,148.7,189.1,80.6,75.7,65.0,52.5,36.3,24.0,QB_3_SEASON_GAME_BOOTSTRAP,1554,210,5.5,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0039150,Bryce Young,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,3,9.0,NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,44,28.0,16.0,AUTO_PRESEASON_USAGE,young_backup,,,6.46,103.3,66.8,176.0,186.1,190.5,17.9,58.1,103.5,148.7,189.1,80.6,75.7,65.0,52.5,36.3,24.0,QB_3_SEASON_GAME_BOOTSTRAP,1554,220,4.0,VERY LOW
