rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,opponent,home_away,game_date,roster_status,years_exp,jersey_number,projection_source,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,preseason_expected_to_play,preseason_game_plan_role,preseason_game_plan_source,preseason_game_plan_note,preseason_game_plan_factor,projected_ypa,projected_passing_yards,model_std,last_5_avg,last_10_avg,last_15_avg,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,ladder_yards,probability_pct,grade
1,2026,PRE,1,Preseason Week 1,00-0041123,Behren Morton,NE,IND,home,,ACT,0,,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,7.26,212.2,0,29.5,28.6,AUTO_PRESEASON_USAGE,rookie,True,SECOND HALF,GAME DAY OVERRIDE,Preseason Week 1: projected to take over for the second half.,1.429,7.26,207.5,60.0,,,,130.5,167.0,207.6,248.4,284.9,82.5,82.5,79.9,73.7,62.5,50.9,TEAM_3_SEASON_GAME_BOOTSTRAP,1885,100,96.5,ELITE
1,2026,PRE,1,Preseason Week 1,00-0041123,Behren Morton,NE,IND,home,,ACT,0,,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,7.26,212.2,0,29.5,28.6,AUTO_PRESEASON_USAGE,rookie,True,SECOND HALF,GAME DAY OVERRIDE,Preseason Week 1: projected to take over for the second half.,1.429,7.26,207.5,60.0,,,,130.5,167.0,207.6,248.4,284.9,82.5,82.5,79.9,73.7,62.5,50.9,TEAM_3_SEASON_GAME_BOOTSTRAP,1885,110,94.8,ELITE
1,2026,PRE,1,Preseason Week 1,00-0041123,Behren Morton,NE,IND,home,,ACT,0,,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,7.26,212.2,0,29.5,28.6,AUTO_PRESEASON_USAGE,rookie,True,SECOND HALF,GAME DAY OVERRIDE,Preseason Week 1: projected to take over for the second half.,1.429,7.26,207.5,60.0,,,,130.5,167.0,207.6,248.4,284.9,82.5,82.5,79.9,73.7,62.5,50.9,TEAM_3_SEASON_GAME_BOOTSTRAP,1885,120,92.7,ELITE
1,2026,PRE,1,Preseason Week 1,00-0041123,Behren Morton,NE,IND,home,,ACT,0,,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,7.26,212.2,0,29.5,28.6,AUTO_PRESEASON_USAGE,rookie,True,SECOND HALF,GAME DAY OVERRIDE,Preseason Week 1: projected to take over for the second half.,1.429,7.26,207.5,60.0,,,,130.5,167.0,207.6,248.4,284.9,82.5,82.5,79.9,73.7,62.5,50.9,TEAM_3_SEASON_GAME_BOOTSTRAP,1885,130,90.1,ELITE
1,2026,PRE,1,Preseason Week 1,00-0041123,Behren Morton,NE,IND,home,,ACT,0,,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,7.26,212.2,0,29.5,28.6,AUTO_PRESEASON_USAGE,rookie,True,SECOND HALF,GAME DAY OVERRIDE,Preseason Week 1: projected to take over for the second half.,1.429,7.26,207.5,60.0,,,,130.5,167.0,207.6,248.4,284.9,82.5,82.5,79.9,73.7,62.5,50.9,TEAM_3_SEASON_GAME_BOOTSTRAP,1885,140,86.9,VERY HIGH
1,2026,PRE,1,Preseason Week 1,00-0041123,Behren Morton,NE,IND,home,,ACT,0,,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,7.26,212.2,0,29.5,28.6,AUTO_PRESEASON_USAGE,rookie,True,SECOND HALF,GAME DAY OVERRIDE,Preseason Week 1: projected to take over for the second half.,1.429,7.26,207.5,60.0,,,,130.5,167.0,207.6,248.4,284.9,82.5,82.5,79.9,73.7,62.5,50.9,TEAM_3_SEASON_GAME_BOOTSTRAP,1885,150,83.0,VERY HIGH
1,2026,PRE,1,Preseason Week 1,00-0041123,Behren Morton,NE,IND,home,,ACT,0,,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,7.26,212.2,0,29.5,28.6,AUTO_PRESEASON_USAGE,rookie,True,SECOND HALF,GAME DAY OVERRIDE,Preseason Week 1: projected to take over for the second half.,1.429,7.26,207.5,60.0,,,,130.5,167.0,207.6,248.4,284.9,82.5,82.5,79.9,73.7,62.5,50.9,TEAM_3_SEASON_GAME_BOOTSTRAP,1885,160,78.5,HIGH
1,2026,PRE,1,Preseason Week 1,00-0041123,Behren Morton,NE,IND,home,,ACT,0,,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,7.26,212.2,0,29.5,28.6,AUTO_PRESEASON_USAGE,rookie,True,SECOND HALF,GAME DAY OVERRIDE,Preseason Week 1: projected to take over for the second half.,1.429,7.26,207.5,60.0,,,,130.5,167.0,207.6,248.4,284.9,82.5,82.5,79.9,73.7,62.5,50.9,TEAM_3_SEASON_GAME_BOOTSTRAP,1885,170,73.5,HIGH
1,2026,PRE,1,Preseason Week 1,00-0041123,Behren Morton,NE,IND,home,,ACT,0,,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,7.26,212.2,0,29.5,28.6,AUTO_PRESEASON_USAGE,rookie,True,SECOND HALF,GAME DAY OVERRIDE,Preseason Week 1: projected to take over for the second half.,1.429,7.26,207.5,60.0,,,,130.5,167.0,207.6,248.4,284.9,82.5,82.5,79.9,73.7,62.5,50.9,TEAM_3_SEASON_GAME_BOOTSTRAP,1885,180,67.7,SOLID
1,2026,PRE,1,Preseason Week 1,00-0041123,Behren Morton,NE,IND,home,,ACT,0,,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,7.26,212.2,0,29.5,28.6,AUTO_PRESEASON_USAGE,rookie,True,SECOND HALF,GAME DAY OVERRIDE,Preseason Week 1: projected to take over for the second half.,1.429,7.26,207.5,60.0,,,,130.5,167.0,207.6,248.4,284.9,82.5,82.5,79.9,73.7,62.5,50.9,TEAM_3_SEASON_GAME_BOOTSTRAP,1885,190,61.6,SOLID
1,2026,PRE,1,Preseason Week 1,00-0041123,Behren Morton,NE,IND,home,,ACT,0,,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,7.26,212.2,0,29.5,28.6,AUTO_PRESEASON_USAGE,rookie,True,SECOND HALF,GAME DAY OVERRIDE,Preseason Week 1: projected to take over for the second half.,1.429,7.26,207.5,60.0,,,,130.5,167.0,207.6,248.4,284.9,82.5,82.5,79.9,73.7,62.5,50.9,TEAM_3_SEASON_GAME_BOOTSTRAP,1885,200,55.1,LEAN
1,2026,PRE,1,Preseason Week 1,00-0041123,Behren Morton,NE,IND,home,,ACT,0,,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,7.26,212.2,0,29.5,28.6,AUTO_PRESEASON_USAGE,rookie,True,SECOND HALF,GAME DAY OVERRIDE,Preseason Week 1: projected to take over for the second half.,1.429,7.26,207.5,60.0,,,,130.5,167.0,207.6,248.4,284.9,82.5,82.5,79.9,73.7,62.5,50.9,TEAM_3_SEASON_GAME_BOOTSTRAP,1885,210,48.4,COIN FLIP
1,2026,PRE,1,Preseason Week 1,00-0041123,Behren Morton,NE,IND,home,,ACT,0,,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,7.26,212.2,0,29.5,28.6,AUTO_PRESEASON_USAGE,rookie,True,SECOND HALF,GAME DAY OVERRIDE,Preseason Week 1: projected to take over for the second half.,1.429,7.26,207.5,60.0,,,,130.5,167.0,207.6,248.4,284.9,82.5,82.5,79.9,73.7,62.5,50.9,TEAM_3_SEASON_GAME_BOOTSTRAP,1885,220,41.9,COIN FLIP
1,2026,PRE,1,Preseason Week 1,00-0041123,Behren Morton,NE,IND,home,,ACT,0,,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,7.26,212.2,0,29.5,28.6,AUTO_PRESEASON_USAGE,rookie,True,SECOND HALF,GAME DAY OVERRIDE,Preseason Week 1: projected to take over for the second half.,1.429,7.26,207.5,60.0,,,,130.5,167.0,207.6,248.4,284.9,82.5,82.5,79.9,73.7,62.5,50.9,TEAM_3_SEASON_GAME_BOOTSTRAP,1885,230,35.6,LOW
