rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,opponent,home_away,game_date,roster_status,years_exp,jersey_number,projection_source,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,preseason_expected_to_play,preseason_game_plan_role,preseason_game_plan_source,preseason_game_plan_note,preseason_game_plan_factor,preseason_attempt_share,projected_ypa,projected_passing_yards,model_std,last_5_avg,last_10_avg,last_15_avg,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,ladder_yards,probability_pct,grade
1,2026,REG,1,Regular Season Week 1,00-0033106,Jared Goff,DET,NO,home,2026-09-13T17:00Z,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,37.3,FULL_GAME_WORKLOAD,regular,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,291.7,61.8,307.8,293.3,267.0,211.4,249.8,291.7,333.7,371.7,82.5,82.5,82.4,81.6,71.9,54.9,QB_3_SEASON_GAME_BOOTSTRAP,1987,100,99.9,ELITE
1,2026,REG,1,Regular Season Week 1,00-0033106,Jared Goff,DET,NO,home,2026-09-13T17:00Z,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,37.3,FULL_GAME_WORKLOAD,regular,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,291.7,61.8,307.8,293.3,267.0,211.4,249.8,291.7,333.7,371.7,82.5,82.5,82.4,81.6,71.9,54.9,QB_3_SEASON_GAME_BOOTSTRAP,1987,110,99.8,ELITE
1,2026,REG,1,Regular Season Week 1,00-0033106,Jared Goff,DET,NO,home,2026-09-13T17:00Z,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,37.3,FULL_GAME_WORKLOAD,regular,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,291.7,61.8,307.8,293.3,267.0,211.4,249.8,291.7,333.7,371.7,82.5,82.5,82.4,81.6,71.9,54.9,QB_3_SEASON_GAME_BOOTSTRAP,1987,120,99.7,ELITE
1,2026,REG,1,Regular Season Week 1,00-0033106,Jared Goff,DET,NO,home,2026-09-13T17:00Z,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,37.3,FULL_GAME_WORKLOAD,regular,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,291.7,61.8,307.8,293.3,267.0,211.4,249.8,291.7,333.7,371.7,82.5,82.5,82.4,81.6,71.9,54.9,QB_3_SEASON_GAME_BOOTSTRAP,1987,130,99.5,ELITE
1,2026,REG,1,Regular Season Week 1,00-0033106,Jared Goff,DET,NO,home,2026-09-13T17:00Z,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,37.3,FULL_GAME_WORKLOAD,regular,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,291.7,61.8,307.8,293.3,267.0,211.4,249.8,291.7,333.7,371.7,82.5,82.5,82.4,81.6,71.9,54.9,QB_3_SEASON_GAME_BOOTSTRAP,1987,140,99.2,ELITE
1,2026,REG,1,Regular Season Week 1,00-0033106,Jared Goff,DET,NO,home,2026-09-13T17:00Z,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,37.3,FULL_GAME_WORKLOAD,regular,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,291.7,61.8,307.8,293.3,267.0,211.4,249.8,291.7,333.7,371.7,82.5,82.5,82.4,81.6,71.9,54.9,QB_3_SEASON_GAME_BOOTSTRAP,1987,150,98.9,ELITE
1,2026,REG,1,Regular Season Week 1,00-0033106,Jared Goff,DET,NO,home,2026-09-13T17:00Z,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,37.3,FULL_GAME_WORKLOAD,regular,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,291.7,61.8,307.8,293.3,267.0,211.4,249.8,291.7,333.7,371.7,82.5,82.5,82.4,81.6,71.9,54.9,QB_3_SEASON_GAME_BOOTSTRAP,1987,160,98.3,ELITE
1,2026,REG,1,Regular Season Week 1,00-0033106,Jared Goff,DET,NO,home,2026-09-13T17:00Z,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,37.3,FULL_GAME_WORKLOAD,regular,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,291.7,61.8,307.8,293.3,267.0,211.4,249.8,291.7,333.7,371.7,82.5,82.5,82.4,81.6,71.9,54.9,QB_3_SEASON_GAME_BOOTSTRAP,1987,170,97.4,ELITE
1,2026,REG,1,Regular Season Week 1,00-0033106,Jared Goff,DET,NO,home,2026-09-13T17:00Z,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,37.3,FULL_GAME_WORKLOAD,regular,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,291.7,61.8,307.8,293.3,267.0,211.4,249.8,291.7,333.7,371.7,82.5,82.5,82.4,81.6,71.9,54.9,QB_3_SEASON_GAME_BOOTSTRAP,1987,180,96.1,ELITE
1,2026,REG,1,Regular Season Week 1,00-0033106,Jared Goff,DET,NO,home,2026-09-13T17:00Z,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,37.3,FULL_GAME_WORKLOAD,regular,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,291.7,61.8,307.8,293.3,267.0,211.4,249.8,291.7,333.7,371.7,82.5,82.5,82.4,81.6,71.9,54.9,QB_3_SEASON_GAME_BOOTSTRAP,1987,190,94.8,ELITE
