rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,opponent,home_away,game_date,roster_status,years_exp,jersey_number,projection_source,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,normal_projected_attempts,projected_attempts,depth_role,expected_quarters,expected_drives,projected_dropbacks,scramble_rate_pct,projected_designed_rushes,opp_pass_yards_allowed_pg,opp_epa_per_dropback,opp_pressure_rate_pct,opp_explosive_pass_rate_pct,player_context_source,opponent_context_source,preseason_usage_source,preseason_usage_bucket,projected_ypa,projected_passing_yards,model_std,last_5_avg,last_10_avg,last_15_avg,season_games,season_passing_yards,season_weeks,season_history_source,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,ladder_yards,probability_pct,grade,season_hits,season_hit_rate
1,2026,REG,2,Regular Season Week 2,00-0040743,Tyler Shough,NO,,,,ACT,1,6.0,NFL_HISTORY,TEAM_BLEND,30.0,6.81,203.9,11,40.5,40.5,QB1,4.0,,40.5,,0.0,245.0,-0.04,16.5,8.3,NFLVERSE_3YR_PBP_PLUS_WEEKLY,NFLVERSE_3YR_PBP,FULL_GAME_WORKLOAD,regular,7.69,310.1,83.0,316.4,266.6,254.0,1,410,1,NFLVERSE_WEEKLY,215.3,263.8,309.6,356.1,404.6,97.7,84.2,82.0,39.0,36.5,21.3,QB_3_SEASON_GAME_BOOTSTRAP,359,100,98.9,ELITE,1,100.0
1,2026,REG,2,Regular Season Week 2,00-0040743,Tyler Shough,NO,,,,ACT,1,6.0,NFL_HISTORY,TEAM_BLEND,30.0,6.81,203.9,11,40.5,40.5,QB1,4.0,,40.5,,0.0,245.0,-0.04,16.5,8.3,NFLVERSE_3YR_PBP_PLUS_WEEKLY,NFLVERSE_3YR_PBP,FULL_GAME_WORKLOAD,regular,7.69,310.1,83.0,316.4,266.6,254.0,1,410,1,NFLVERSE_WEEKLY,215.3,263.8,309.6,356.1,404.6,97.7,84.2,82.0,39.0,36.5,21.3,QB_3_SEASON_GAME_BOOTSTRAP,359,110,98.7,ELITE,1,100.0
1,2026,REG,2,Regular Season Week 2,00-0040743,Tyler Shough,NO,,,,ACT,1,6.0,NFL_HISTORY,TEAM_BLEND,30.0,6.81,203.9,11,40.5,40.5,QB1,4.0,,40.5,,0.0,245.0,-0.04,16.5,8.3,NFLVERSE_3YR_PBP_PLUS_WEEKLY,NFLVERSE_3YR_PBP,FULL_GAME_WORKLOAD,regular,7.69,310.1,83.0,316.4,266.6,254.0,1,410,1,NFLVERSE_WEEKLY,215.3,263.8,309.6,356.1,404.6,97.7,84.2,82.0,39.0,36.5,21.3,QB_3_SEASON_GAME_BOOTSTRAP,359,120,98.5,ELITE,1,100.0
1,2026,REG,2,Regular Season Week 2,00-0040743,Tyler Shough,NO,,,,ACT,1,6.0,NFL_HISTORY,TEAM_BLEND,30.0,6.81,203.9,11,40.5,40.5,QB1,4.0,,40.5,,0.0,245.0,-0.04,16.5,8.3,NFLVERSE_3YR_PBP_PLUS_WEEKLY,NFLVERSE_3YR_PBP,FULL_GAME_WORKLOAD,regular,7.69,310.1,83.0,316.4,266.6,254.0,1,410,1,NFLVERSE_WEEKLY,215.3,263.8,309.6,356.1,404.6,97.7,84.2,82.0,39.0,36.5,21.3,QB_3_SEASON_GAME_BOOTSTRAP,359,130,98.2,ELITE,1,100.0
1,2026,REG,2,Regular Season Week 2,00-0040743,Tyler Shough,NO,,,,ACT,1,6.0,NFL_HISTORY,TEAM_BLEND,30.0,6.81,203.9,11,40.5,40.5,QB1,4.0,,40.5,,0.0,245.0,-0.04,16.5,8.3,NFLVERSE_3YR_PBP_PLUS_WEEKLY,NFLVERSE_3YR_PBP,FULL_GAME_WORKLOAD,regular,7.69,310.1,83.0,316.4,266.6,254.0,1,410,1,NFLVERSE_WEEKLY,215.3,263.8,309.6,356.1,404.6,97.7,84.2,82.0,39.0,36.5,21.3,QB_3_SEASON_GAME_BOOTSTRAP,359,140,97.7,ELITE,1,100.0
1,2026,REG,2,Regular Season Week 2,00-0040743,Tyler Shough,NO,,,,ACT,1,6.0,NFL_HISTORY,TEAM_BLEND,30.0,6.81,203.9,11,40.5,40.5,QB1,4.0,,40.5,,0.0,245.0,-0.04,16.5,8.3,NFLVERSE_3YR_PBP_PLUS_WEEKLY,NFLVERSE_3YR_PBP,FULL_GAME_WORKLOAD,regular,7.69,310.1,83.0,316.4,266.6,254.0,1,410,1,NFLVERSE_WEEKLY,215.3,263.8,309.6,356.1,404.6,97.7,84.2,82.0,39.0,36.5,21.3,QB_3_SEASON_GAME_BOOTSTRAP,359,150,97.2,ELITE,1,100.0
1,2026,REG,2,Regular Season Week 2,00-0040743,Tyler Shough,NO,,,,ACT,1,6.0,NFL_HISTORY,TEAM_BLEND,30.0,6.81,203.9,11,40.5,40.5,QB1,4.0,,40.5,,0.0,245.0,-0.04,16.5,8.3,NFLVERSE_3YR_PBP_PLUS_WEEKLY,NFLVERSE_3YR_PBP,FULL_GAME_WORKLOAD,regular,7.69,310.1,83.0,316.4,266.6,254.0,1,410,1,NFLVERSE_WEEKLY,215.3,263.8,309.6,356.1,404.6,97.7,84.2,82.0,39.0,36.5,21.3,QB_3_SEASON_GAME_BOOTSTRAP,359,160,96.6,ELITE,1,100.0
1,2026,REG,2,Regular Season Week 2,00-0040743,Tyler Shough,NO,,,,ACT,1,6.0,NFL_HISTORY,TEAM_BLEND,30.0,6.81,203.9,11,40.5,40.5,QB1,4.0,,40.5,,0.0,245.0,-0.04,16.5,8.3,NFLVERSE_3YR_PBP_PLUS_WEEKLY,NFLVERSE_3YR_PBP,FULL_GAME_WORKLOAD,regular,7.69,310.1,83.0,316.4,266.6,254.0,1,410,1,NFLVERSE_WEEKLY,215.3,263.8,309.6,356.1,404.6,97.7,84.2,82.0,39.0,36.5,21.3,QB_3_SEASON_GAME_BOOTSTRAP,359,170,95.9,ELITE,1,100.0
1,2026,REG,2,Regular Season Week 2,00-0040743,Tyler Shough,NO,,,,ACT,1,6.0,NFL_HISTORY,TEAM_BLEND,30.0,6.81,203.9,11,40.5,40.5,QB1,4.0,,40.5,,0.0,245.0,-0.04,16.5,8.3,NFLVERSE_3YR_PBP_PLUS_WEEKLY,NFLVERSE_3YR_PBP,FULL_GAME_WORKLOAD,regular,7.69,310.1,83.0,316.4,266.6,254.0,1,410,1,NFLVERSE_WEEKLY,215.3,263.8,309.6,356.1,404.6,97.7,84.2,82.0,39.0,36.5,21.3,QB_3_SEASON_GAME_BOOTSTRAP,359,180,95.0,ELITE,1,100.0
1,2026,REG,2,Regular Season Week 2,00-0040743,Tyler Shough,NO,,,,ACT,1,6.0,NFL_HISTORY,TEAM_BLEND,30.0,6.81,203.9,11,40.5,40.5,QB1,4.0,,40.5,,0.0,245.0,-0.04,16.5,8.3,NFLVERSE_3YR_PBP_PLUS_WEEKLY,NFLVERSE_3YR_PBP,FULL_GAME_WORKLOAD,regular,7.69,310.1,83.0,316.4,266.6,254.0,1,410,1,NFLVERSE_WEEKLY,215.3,263.8,309.6,356.1,404.6,97.7,84.2,82.0,39.0,36.5,21.3,QB_3_SEASON_GAME_BOOTSTRAP,359,190,94.1,ELITE,1,100.0
