player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,game_id,game_date,home_away,season,season_type,week,projected_role
00-0029892,Kyle Juszczyk,SF,LAC,RB,FB,ACT,13.0,2026_PRE_W2_SF_LAC,,away,2026,PRE,2,FB
00-0030506,Travis Kelce,KC,TB,TE,TE,ACT,13.0,2026_PRE_W2_KC_TB,,away,2026,PRE,2,TE
00-0031235,Odell Beckham Jr.,NYG,MIA,WR,WR,ACT,12.0,2026_PRE_W2_NYG_MIA,,away,2026,PRE,2,WR
00-0031381,Davante Adams,LAR,NO,WR,WR,ACT,12.0,2026_PRE_W2_NO_LAR,,home,2026,PRE,2,WR
00-0031408,Mike Evans,SF,LAC,WR,WR,ACT,12.0,2026_PRE_W2_SF_LAC,,away,2026,PRE,2,WR
00-0031484,Chris Manhertz,NYG,MIA,TE,TE,ACT,11.0,2026_PRE_W2_NYG_MIA,,away,2026,PRE,2,TE
00-0031595,Michael Burton,CLE,BUF,RB,FB,ACT,11.0,2026_PRE_W2_BUF_CLE,,home,2026,PRE,2,FB
00-0032104,Ameer Abdullah,JAX,CAR,RB,RB,ACT,11.0,2026_PRE_W2_CAR_JAX,,home,2026,PRE,2,RB
00-0032208,Phillip Dorsett,LV,HOU,WR,WR,ACT,11.0,2026_PRE_W2_LV_HOU,,away,2026,PRE,2,WR
00-0032392,Austin Hooper,ATL,IND,TE,TE,ACT,10.0,2026_PRE_W2_ATL_IND,,away,2026,PRE,2,TE
00-0032464,Kalif Raymond,CHI,CIN,WR,WR,ACT,10.0,2026_PRE_W2_CHI_CIN,,away,2026,PRE,2,WR
00-0032764,Derrick Henry,BAL,MIN,RB,RB,ACT,10.0,2026_PRE_W2_BAL_MIN,,away,2026,PRE,2,RB
00-0032775,Demarcus Robinson,SF,LAC,WR,WR,ACT,10.0,2026_PRE_W2_SF_LAC,,away,2026,PRE,2,WR
00-0032951,Laquon Treadwell,IND,ATL,WR,WR,ACT,10.0,2026_PRE_W2_ATL_IND,,home,2026,PRE,2,WR
00-0033090,Hunter Henry,NE,PHI,TE,TE,ACT,10.0,2026_PRE_W2_PHI_NE,,home,2026,PRE,2,TE
00-0033110,Tyler Higbee,LAR,NO,TE,TE,ACT,10.0,2026_PRE_W2_NO_LAR,,home,2026,PRE,2,TE
