player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,game_id,game_date,home_away,season,season_type,week,projected_role
00-0033293,Aaron Jones,MIN,CHI,RB,RB,ACT,9.0,401872937,2026-09-20T17:00Z,away,2026,REG,2,RB
00-0036422,Adam Trautman,DEN,JAX,TE,TE,ACT,6.0,401872940,2026-09-20T20:05Z,home,2026,REG,2,TE
00-0039890,Adonai Mitchell,NYJ,GB,WR,WR,ACT,2.0,401872936,2026-09-20T17:00Z,home,2026,REG,2,WR
00-0039793,AJ Barner,SEA,ARI,TE,TE,ACT,2.0,401872943,2026-09-20T20:25Z,away,2026,REG,2,TE
00-0036265,AJ Dillon,CAR,ATL,RB,RB,ACT,6.0,401872933,2026-09-20T17:00Z,away,2026,REG,2,RB
00-0035125,Alec Ingold,LAC,LV,RB,FB,ACT,7.0,401872941,2026-09-20T20:05Z,home,2026,REG,2,FB
00-0037664,Alec Pierce,IND,KC,WR,WR,ACT,4.0,401872945,2026-09-21T00:20Z,away,2026,REG,2,WR
00-0033906,Alvin Kamara,NO,BAL,RB,RB,ACT,9.0,401872938,2026-09-20T17:00Z,away,2026,REG,2,RB
00-0032104,Ameer Abdullah,JAX,DEN,RB,RB,ACT,11.0,401872940,2026-09-20T20:05Z,away,2026,REG,2,RB
00-0036963,Amon-Ra St. Brown,DET,BUF,WR,WR,ACT,5.0,401872932,2026-09-18T00:15Z,away,2026,REG,2,WR
00-0038619,Andrei Iosivas,CIN,HOU,WR,WR,ACT,3.0,401872934,2026-09-20T17:00Z,away,2026,REG,2,WR
00-0034959,Andrew Beck,NYJ,GB,RB,FB,ACT,7.0,401872936,2026-09-20T17:00Z,home,2026,REG,2,FB
00-0037292,Andrew Ogletree,IND,KC,TE,TE,ACT,4.0,401872945,2026-09-21T00:20Z,away,2026,REG,2,TE
00-0041040,Antonio Williams,WAS,DAL,WR,WR,ACT,0.0,401872944,2026-09-20T20:25Z,away,2026,REG,2,WR
00-0040582,Arian Smith,NYJ,GB,WR,WR,ACT,1.0,401872936,2026-09-20T17:00Z,home,2026,REG,2,WR
00-0035021,Ashton Dulin,IND,KC,WR,WR,ACT,7.0,401872945,2026-09-21T00:20Z,away,2026,REG,2,WR
00-0040122,Ashton Jeanty,LV,LAC,RB,RB,ACT,1.0,401872941,2026-09-20T20:05Z,away,2026,REG,2,RB
00-0032392,Austin Hooper,ATL,CAR,TE,TE,ACT,10.0,401872933,2026-09-20T17:00Z,home,2026,REG,2,TE
00-0037157,Bam Knight,ARI,SEA,RB,RB,ACT,4.0,401872943,2026-09-20T20:25Z,home,2026,REG,2,RB
00-0041099,Barion Brown,NO,BAL,WR,WR,ACT,0.0,401872938,2026-09-20T17:00Z,away,2026,REG,2,WR
00-0041094,Bauer Sharp,TB,CLE,TE,TE,ACT,0.0,401872935,2026-09-20T17:00Z,home,2026,REG,2,TE
00-0039912,Ben Sinnott,WAS,DAL,TE,TE,ACT,2.0,401872944,2026-09-20T20:25Z,away,2026,REG,2,TE
00-0036862,Ben Skowronek,PIT,NE,WR,WR,ACT,5.0,401872946,2026-09-20T17:00Z,away,2026,REG,2,WR
00-0038489,Ben VanSumeren,KC,IND,RB,FB,ACT,3.0,401872945,2026-09-21T00:20Z,home,2026,REG,2,FB
00-0040719,Bhayshul Tuten,JAX,DEN,RB,RB,ACT,1.0,401872940,2026-09-20T20:05Z,away,2026,REG,2,RB
00-0038542,Bijan Robinson,ATL,CAR,RB,RB,ACT,3.0,401872933,2026-09-20T17:00Z,home,2026,REG,2,RB
00-0039738,Blake Corum,LAR,NYG,RB,RB,ACT,2.0,401872947,2026-09-22T00:15Z,home,2026,REG,2,RB
00-0038710,Blake Whiteheart,CLE,TB,TE,TE,ACT,3.0,401872935,2026-09-20T17:00Z,away,2026,REG,2,TE
00-0037091,Bo Melton,GB,NYJ,WR,WR,ACT,4.0,401872936,2026-09-20T17:00Z,away,2026,REG,2,WR
