player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_receiving_yards,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,prob_0_plus,prob_5_plus,prob_10_plus,prob_15_plus,prob_20_plus,prob_25_plus,prob_30_plus,prob_35_plus,prob_40_plus,prob_45_plus,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,prob_75_plus,prob_80_plus,prob_85_plus,prob_90_plus,prob_95_plus,prob_100_plus,prob_105_plus,prob_110_plus,prob_115_plus,prob_120_plus,prob_125_plus,prob_130_plus,prob_135_plus,prob_140_plus,prob_145_plus,prob_150_plus,prob_155_plus,prob_160_plus,prob_165_plus,prob_170_plus,prob_175_plus,prob_180_plus,prob_185_plus,prob_190_plus,prob_195_plus,prob_200_plus
00-0040124,Tetairoa McMillan,CAR,ARI,WR,WR,ACT,1.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,39.549,39.549,36.146,0.0,84.535,32.456,17,46.2,60.1,56.4,59.647,5.2,0.68,0.984,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,79.38,75.46,71.13,66.51,61.59,56.46,51.2,45.92,40.76,35.69,30.91,26.32,22.21,18.45,15.15,12.33,9.78,7.65,5.97,4.58,3.44,2.59,1.92,1.39,0.96,0.67,0.46,0.31,0.21,0.14,0.09,0.06,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0
00-0039491,Jalen Coker,CAR,ARI,WR,WR,ACT,2.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,31.752,31.752,28.376,0.0,69.877,27.191,22,48.8,39.4,40.6,35.818,4.8,0.68,0.984,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,76.48,71.43,66.0,60.11,54.1,47.96,41.81,36.03,30.53,25.31,20.66,16.47,12.94,9.94,7.44,5.45,3.93,2.8,1.94,1.33,0.89,0.59,0.38,0.22,0.13,0.08,0.04,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039342,Xavier Legette,CAR,ARI,WR,WR,ACT,2.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,20.876,20.876,14.833,0.0,53.353,22.402,30,15.4,22.1,24.2,24.2,2.6,0.68,0.984,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,100.0,62.73,56.31,49.78,43.24,36.74,30.76,25.22,20.18,15.85,12.16,9.14,6.72,4.82,3.37,2.35,1.59,1.07,0.67,0.4,0.25,0.15,0.09,0.04,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041152,Kobe Prentice,CAR,ARI,WR,WR,ACT,0.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,19.707,19.707,18.699,0.0,39.644,14.608,0,,,,,,0.68,0.984,TEAM_LEAGUE_PRIOR,100000,NFL_RECEIVING_YARDS_V1,100.0,79.84,70.21,58.88,46.83,34.89,24.33,15.88,9.62,5.42,2.79,1.33,0.58,0.23,0.08,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040394,Anthony Tyus III,CAR,ARI,RB,RB,ACT,1.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,19.697,19.697,18.678,0.0,39.672,14.647,0,,,,,,0.68,0.984,TEAM_LEAGUE_PRIOR,100000,NFL_RECEIVING_YARDS_V1,100.0,79.68,70.13,58.89,46.7,34.87,24.48,16.01,9.69,5.42,2.79,1.34,0.62,0.25,0.08,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040265,Ja'Seem Reed,CAR,ARI,WR,WR,ACT,1.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,19.697,19.697,18.631,0.0,39.605,14.605,0,,,,,,0.68,0.984,TEAM_LEAGUE_PRIOR,100000,NFL_RECEIVING_YARDS_V1,100.0,79.78,70.3,58.8,46.62,34.91,24.39,15.84,9.58,5.39,2.83,1.32,0.59,0.23,0.09,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041485,Miles Davis,CAR,ARI,RB,RB,ACT,0.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,19.693,19.693,18.727,0.0,39.732,14.653,0,,,,,,0.68,0.984,TEAM_LEAGUE_PRIOR,100000,NFL_RECEIVING_YARDS_V1,100.0,79.59,70.03,58.82,46.89,35.02,24.41,15.98,9.7,5.41,2.81,1.34,0.59,0.24,0.1,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041047,Chris Brazzell,CAR,ARI,WR,WR,ACT,0.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,19.681,19.681,18.653,0.0,39.551,14.629,0,,,,,,0.68,0.984,TEAM_LEAGUE_PRIOR,100000,NFL_RECEIVING_YARDS_V1,100.0,79.73,70.1,58.97,46.65,34.86,24.28,15.85,9.55,5.41,2.89,1.4,0.59,0.25,0.1,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040292,Bryce Pierre,CAR,ARI,TE,TE,RES,1.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,19.661,19.661,18.609,0.0,39.677,14.606,0,,,,,,0.68,0.984,TEAM_LEAGUE_PRIOR,100000,NFL_RECEIVING_YARDS_V1,100.0,79.61,69.98,58.72,46.7,34.84,24.32,15.8,9.65,5.43,2.76,1.29,0.56,0.2,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041542,Malick Meiga,CAR,ARI,WR,WR,ACT,0.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,19.553,19.553,18.482,0.0,39.566,14.613,0,,,,,,0.68,0.984,TEAM_LEAGUE_PRIOR,100000,NFL_RECEIVING_YARDS_V1,100.0,79.34,69.77,58.53,46.25,34.54,24.2,15.75,9.53,5.3,2.71,1.3,0.58,0.23,0.08,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039747,Ainias Smith,CAR,ARI,WR,WR,ACT,2.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,18.324,18.324,15.145,0.0,43.347,17.515,3,13.667,13.667,13.667,13.667,3.0,0.68,0.984,PLAYER_PRIOR_BLEND,100000,NFL_RECEIVING_YARDS_V1,100.0,67.49,59.12,50.28,41.19,32.73,25.06,18.4,12.94,8.8,5.66,3.51,2.02,1.12,0.61,0.32,0.16,0.08,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
