player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_receiving_yards,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,projected_targets,projected_receptions,target_share,catch_rate,yards_per_target,yards_per_reception,last5_targets,target_trend_pct,targets,target_share_pct,projected_target_share,projected_rec,catch_rate_pct,receiving_yards_per_target,receiving_yards_per_reception,prob_10_plus,prob_20_plus,prob_30_plus,prob_40_plus,prob_50_plus,prob_60_plus,prob_70_plus,prob_80_plus,prob_90_plus,prob_100_plus,team_targets_pg,team_pass_attempts_pg,team_catch_rate,team_yards_per_target,team_yards_per_reception,team_explosive_rec_rate,team_epa_per_target,pace_plays_per_game,opp_rec_def_rating,opp_secondary_rating,opp_rec_yards_allowed_pg,opp_targets_allowed_pg,opp_receptions_allowed_pg,opp_catch_rate_allowed,opp_yards_per_target_allowed,opp_explosive_rec_rate_allowed,opp_epa_per_target_allowed,opp_pressure_rate,stadium_name,stadium_type,temperature_f,wind_mph,precipitation_pct,weather_condition,receiving_weather_rating,spread,game_total,team_implied_points,opp_implied_points,odds_details,receiving_matchup_score
00-0039075,Puka Nacua,LAR,NO,WR,WR,ACT,3.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NO_LAR,,home,63.037,63.037,57.899,0.0,133.8,51.841,44,139.2,109.9,105.667,107.188,11.8,0.5,0.974,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,5.789,4.067,32.11,70.25,9.772,13.91,12.6,8.62,5.789,32.11,32.11,4.067,70.25,9.772,13.91,78.07,73.33,67.94,61.52,55.05,48.53,42.0,35.36,29.57,24.0,36.43859649122807,36.43859649122807,0.0,7.240731824747232,,10.44776119402985,,36.43859649122807,50.09139705177316,50.09139705177316,225.41176470588235,34.666666666666664,0.0,0.0,6.502262443438914,8.3710407239819,,0.0,Arrowhead Stadium,OUTDOOR,,,,,100.0,,,,,,100.5
00-0036963,Amon-Ra St. Brown,DET,WAS,WR,WR,ACT,5.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_WAS_DET,,home,53.427,53.427,50.088,0.0,109.378,40.967,50,103.4,86.3,82.733,82.412,12.8,0.5,1.124,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,6.271,4.208,32.94,67.1,8.006,11.933,12.8,36.17,6.271,32.94,32.94,4.208,67.1,8.006,11.933,80.63,74.24,66.56,58.42,50.07,41.68,33.51,26.2,19.38,14.2,36.56363636363636,36.56363636363636,0.0,7.545997016409746,,10.59174540029836,,36.56363636363636,47.82956927731748,47.82956927731748,247.83333333333334,34.51851851851852,0.0,0.0,7.179721030042918,9.2274678111588,,0.0,Paycor Stadium,OUTDOOR,,,,,100.0,,,,,,100.3
00-0039337,Malik Nabers,NYG,MIA,WR,WR,ACT,2.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NYG_MIA,,away,50.26,50.26,45.59,0.0,108.399,41.924,19,67.0,80.4,72.6,67.75,8.6,0.68,0.906,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,6.263,3.766,30.43,60.13,7.118,11.837,8.6,-27.12,6.263,30.43,30.43,3.766,60.13,7.118,11.837,76.15,69.43,62.3,54.63,46.58,38.7,31.16,24.38,18.39,13.36,35.84313725490196,35.84313725490196,0.0,5.836980306345733,,7.11159737417943,,35.84313725490196,49.682533954612566,49.682533954612566,235.21153846153845,35.23076923076923,0.0,0.0,6.676310043668122,8.460698689956333,,0.0,MetLife Stadium,OUTDOOR,,,,,100.0,,,,,,97.6
00-0036900,Ja'Marr Chase,CIN,CHI,WR,WR,ACT,5.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_CHI_CIN,,home,49.968,49.968,45.38,0.0,107.642,41.01,49,88.2,94.4,92.4,88.25,10.8,0.5,1.003,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,5.973,4.082,31.55,68.33,7.7,11.268,10.8,-27.03,5.973,31.55,31.55,4.082,68.33,7.7,11.268,77.37,70.62,62.61,54.63,46.32,37.96,30.52,23.12,17.76,12.98,40.15686274509804,40.15686274509804,0.0,6.59619140625,,6.93359375,,40.15686274509804,47.9467408390679,47.9467408390679,243.79245283018867,35.15094339622642,0.0,0.0,6.935587761674718,9.447128287707999,,0.0,Paycor Stadium,OUTDOOR,,,,,100.0,,,,,,98.5
00-0038543,Jaxon Smith-Njigba,SEA,TEN,WR,WR,ACT,3.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_SEA_TEN,,away,49.781,49.781,45.063,0.0,106.966,41.043,51,91.4,97.4,104.4,105.471,10.4,0.5,0.967,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,4.5,3.144,32.0,69.86,9.986,14.294,9.2,0.0,4.5,32.0,32.0,3.144,69.86,9.986,14.294,77.01,70.44,62.78,54.52,46.07,37.69,30.4,23.27,17.49,12.97,34.68518518518518,34.68518518518518,0.0,7.134009610250934,,9.022957821676455,,34.68518518518518,48.45874796798387,48.45874796798387,229.6078431372549,33.0,0.0,0.0,6.957813428401663,9.031491384432561,,0.0,Lumen Field,OUTDOOR,,,,,100.0,,,,,,99.7
00-0037240,Jameson Williams,DET,WAS,WR,WR,ACT,4.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_WAS_DET,,home,48.7,48.7,42.082,0.0,111.478,44.108,44,82.2,82.8,65.733,65.706,7.8,0.5,1.124,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,3.978,2.524,19.64,63.44,10.602,16.712,7.8,18.18,3.978,19.64,19.64,2.524,63.44,10.602,16.712,72.21,65.92,59.04,51.7,44.14,36.78,29.74,24.08,18.49,14.09,36.56363636363636,36.56363636363636,0.0,7.545997016409746,,10.59174540029836,,36.56363636363636,47.82956927731748,47.82956927731748,247.83333333333334,34.51851851851852,0.0,0.0,7.179721030042918,9.2274678111588,,0.0,Paycor Stadium,OUTDOOR,,,,,100.0,,,,,,100.3
00-0037238,Drake London,ATL,IND,WR,WR,ACT,4.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_ATL_IND,,away,47.775,47.775,41.412,0.0,108.269,42.649,45,66.4,81.5,84.733,76.583,7.0,0.5,1.094,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,4.843,2.886,27.47,59.6,8.417,14.122,7.0,-39.66,4.843,27.47,27.47,2.886,59.6,8.417,14.122,72.7,66.15,59.12,51.02,43.52,36.36,29.41,23.03,17.68,13.06,34.11764705882353,34.11764705882353,0.0,6.822413793103448,,8.448275862068966,,34.11764705882353,49.3790088579595,49.3790088579595,252.33333333333334,36.705882352941174,0.0,0.0,6.874465811965812,8.44017094017094,,0.0,Mercedes-Benz Stadium,INDOOR,,,,,100.0,,,,,,99.4
00-0039067,Rashee Rice,KC,TB,WR,WR,ACT,3.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_KC_TB,,away,46.967,46.967,45.122,0.0,93.663,34.67,27,71.2,75.6,80.4,71.375,10.4,0.5,1.15,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,5.512,4.055,28.4,73.57,8.007,10.883,10.4,13.04,5.512,28.4,28.4,4.055,73.57,8.007,10.883,80.92,73.4,64.64,54.98,45.34,34.76,25.77,17.68,11.69,7.44,37.793103448275865,37.793103448275865,0.0,6.499087591240876,,7.846715328467154,,37.793103448275865,48.81234705806075,48.81234705806075,264.1296296296296,38.31481481481482,0.0,0.0,6.893668438859352,8.844852585790237,,0.0,Arrowhead Stadium,OUTDOOR,,,,,100.0,,,,,,98.6
00-0037239,Chris Olave,NO,LAR,WR,WR,ACT,4.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NO_LAR,,away,46.704,46.704,42.403,0.0,100.96,39.141,40,85.8,82.1,73.933,72.688,9.6,0.5,1.108,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,5.42,3.525,28.25,65.03,7.755,11.925,9.6,9.09,5.42,28.25,28.25,3.525,65.03,7.755,11.925,75.91,68.65,60.34,51.93,43.42,35.21,27.23,20.44,14.9,10.29,36.78431372549019,36.78431372549019,0.0,6.437633262260128,,7.036247334754798,,36.78431372549019,49.50302024533259,49.50302024533259,243.24561403508773,36.89473684210526,0.0,0.0,6.592962434617213,8.7018544935806,,0.0,Caesars Superdome,INDOOR,,,,,100.0,,,,,,98.7
00-0037247,George Pickens,DAL,ARI,WR,WR,ACT,4.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_DAL_ARI,,away,44.258,44.258,35.806,0.0,105.585,43.26,47,57.4,82.2,88.733,84.059,6.4,0.5,0.984,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,3.293,2.257,21.62,68.55,10.734,15.659,6.4,-37.25,3.293,21.62,21.62,2.257,68.55,10.734,15.659,67.67,61.3,54.23,46.97,39.9,33.22,27.01,21.23,15.84,11.97,39.55769230769231,39.55769230769231,0.0,6.794846864365581,,8.264462809917356,,39.55769230769231,49.169154099880984,49.169154099880984,234.58823529411765,33.8235294117647,0.0,0.0,6.935652173913043,8.521739130434783,,0.0,Lumen Field,OUTDOOR,,,,,100.0,,,,,,99.3
