player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_receiving_yards,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,projected_targets,projected_receptions,target_share,catch_rate,yards_per_target,yards_per_reception,last5_targets,target_trend_pct,targets,target_share_pct,projected_target_share,projected_rec,catch_rate_pct,receiving_yards_per_target,receiving_yards_per_reception,prob_10_plus,prob_20_plus,prob_30_plus,prob_40_plus,prob_50_plus,prob_60_plus,prob_70_plus,prob_80_plus,prob_90_plus,prob_100_plus,team_targets_pg,team_pass_attempts_pg,team_catch_rate,team_yards_per_target,team_yards_per_reception,team_explosive_rec_rate,team_epa_per_target,pace_plays_per_game,opp_rec_def_rating,opp_secondary_rating,opp_rec_yards_allowed_pg,opp_targets_allowed_pg,opp_receptions_allowed_pg,opp_catch_rate_allowed,opp_yards_per_target_allowed,opp_explosive_rec_rate_allowed,opp_epa_per_target_allowed,opp_pressure_rate,stadium_name,stadium_city,stadium_state,stadium_type,roof_type,projected_roof_status,field_surface,stadium_elevation_ft,weather_source_consensus,game_weather_window,kickoff_local,temperature_f,temperature_game_min_f,temperature_game_max_f,temperature_game_range_f,dew_point_f,humidity_pct,pressure_hpa,cloud_cover_pct,visibility_miles,wind_mph,wind_gust_mph,wind_gust_excess_mph,wind_direction_deg,precipitation_pct,precipitation_in,weather_condition,weather_uncertainty_score,weather_confidence_pct,receiving_weather_rating,receiving_weather_multiplier,receiving_weather_short_multiplier,receiving_weather_deep_multiplier,receiving_weather_risk,spread,game_total,team_implied_points,opp_implied_points,odds_details,receiving_matchup_score,projected_receiving_yards_pre_weather,weather_adjustment_yards
00-0039075,Puka Nacua,LAR,LAC,WR,WR,ACT,3.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_LAR_LAC,,away,60.07,59.496,53.571,0.0,129.472,50.902,44,139.2,109.9,105.667,107.188,11.8,0.5,0.899,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,5.346,3.756,32.11,70.25,9.772,13.91,12.6,8.62,5.346,32.11,32.11,3.756,70.25,9.772,13.91,75.99,71.02,65.52,58.8,52.18,45.69,38.9,32.73,27.08,21.7,36.43859649122807,36.43859649122807,0.0,7.240731824747232,,10.44776119402985,,36.43859649122807,50.38477255818596,50.38477255818596,231.67924528301887,35.528301886792455,0.0,0.0,6.520977164099841,8.12533191715348,,0.0,SoFi Stadium,Inglewood,CA,OUTDOOR,CANOPY,OUTDOOR,TURF,131.0,Open-Meteo,Kickoff through +3h,2026-08-22T13:00:00-07:00,85.4,84.4,87.2,,69.3,59.0,1008.1,4.5,58.7,8.2,9.1,0.9,268.0,0.0,0.0,,0.0,100.0,93.4,1.0097,1.0089,1.0096,FAVORABLE,,,,,,100.6,59.5,0.58
00-0036963,Amon-Ra St. Brown,DET,IND,WR,WR,ACT,5.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_DET_IND,,away,52.27,52.274,48.74,0.0,108.03,40.715,50,103.4,86.3,82.733,82.412,12.8,0.5,1.094,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,6.103,4.095,32.94,67.1,8.006,11.933,12.8,36.17,6.103,32.94,32.94,4.095,67.1,8.006,11.933,79.84,73.25,65.44,57.25,49.04,40.6,32.41,25.2,18.71,13.54,36.56363636363636,36.56363636363636,0.0,7.545997016409746,,10.59174540029836,,36.56363636363636,49.3790088579595,49.3790088579595,252.33333333333334,36.705882352941174,0.0,0.0,6.874465811965812,8.44017094017094,,0.0,Ford Field,Detroit,MI,INDOOR,DOME,INDOOR,TURF,600.0,Open-Meteo,Kickoff through +3h,2026-08-22T12:00:00-04:00,72.5,69.9,76.6,,66.4,81.2,989.1,99.2,34.2,6.8,10.2,3.3,208.0,38.5,0.0,,0.0,100.0,100.0,1.0,1.0,1.0,INDOOR / CONTROLLED,,,,,,100.9,52.27,0.0
00-0039337,Malik Nabers,NYG,NYJ,WR,WR,ACT,2.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_NYG_NYJ,,away,51.18,50.45,45.822,0.0,108.631,41.975,19,67.0,80.4,72.6,67.75,8.6,0.68,0.91,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,6.296,3.786,30.43,60.13,7.118,11.837,8.6,-27.12,6.296,30.43,30.43,3.786,60.13,7.118,11.837,76.25,69.63,62.43,54.75,46.82,38.87,31.4,24.49,18.47,13.45,35.84313725490196,35.84313725490196,0.0,5.836980306345733,,7.11159737417943,,35.84313725490196,49.991360108124404,49.991360108124404,209.64705882352942,32.96078431372549,0.0,0.0,6.360499702558001,8.625817965496728,,0.0,Hard Rock Stadium,Miami Gardens,FL,OUTDOOR,OUTDOOR,OUTDOOR,—,7.0,Open-Meteo,Kickoff through +3h,2026-08-22T16:00:00-04:00,84.6,81.9,88.7,,75.9,75.5,1015.4,68.8,40.1,4.9,8.7,3.9,163.0,20.2,0.0,,0.0,100.0,96.0,1.0144,1.012,1.0167,FAVORABLE,,,,,,97.7,50.45,0.73
00-0038543,Jaxon Smith-Njigba,SEA,KC,WR,WR,ACT,3.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_SEA_KC,,away,48.56,47.87,42.74,0.0,104.643,40.551,51,91.4,97.4,104.4,105.471,10.4,0.5,0.917,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,4.268,2.982,32.0,69.86,9.986,14.294,9.2,0.0,4.268,32.0,32.0,2.982,69.86,9.986,14.294,75.63,68.72,60.64,52.4,44.04,35.94,28.67,21.59,16.41,11.95,34.68518518518518,34.68518518518518,0.0,7.134009610250934,,9.022957821676455,,34.68518518518518,51.479258984985385,51.479258984985385,216.63793103448276,34.93103448275862,0.0,0.0,6.20187561697927,7.699901283316881,,0.0,Nissan Stadium,Nashville,TN,OUTDOOR,OUTDOOR,OUTDOOR,—,558.0,Open-Meteo,Kickoff through +3h,2026-08-23T19:00:00-05:00,75.8,71.9,81.3,,61.8,62.2,997.0,39.2,58.7,2.4,5.0,2.6,226.0,0.0,0.0,,0.0,100.0,96.0,1.0144,1.012,1.0168,FAVORABLE,,,,,,100.8,47.87,0.69
00-0037240,Jameson Williams,DET,IND,WR,WR,ACT,4.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_DET_IND,,away,47.82,47.819,40.949,0.0,110.346,43.832,44,82.2,82.8,65.733,65.706,7.8,0.5,1.094,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,3.871,2.456,19.64,63.44,10.602,16.712,7.8,18.18,3.871,19.64,19.64,2.456,63.44,10.602,16.712,71.46,65.07,58.09,50.8,43.28,36.02,29.03,23.45,18.03,13.69,36.56363636363636,36.56363636363636,0.0,7.545997016409746,,10.59174540029836,,36.56363636363636,49.3790088579595,49.3790088579595,252.33333333333334,36.705882352941174,0.0,0.0,6.874465811965812,8.44017094017094,,0.0,Ford Field,Detroit,MI,INDOOR,DOME,INDOOR,TURF,600.0,Open-Meteo,Kickoff through +3h,2026-08-22T12:00:00-04:00,72.5,69.9,76.6,,66.4,81.2,989.1,99.2,34.2,6.8,10.2,3.3,208.0,38.5,0.0,,0.0,100.0,100.0,1.0,1.0,1.0,INDOOR / CONTROLLED,,,,,,100.9,47.82,0.0
00-0039064,Zay Flowers,BAL,WAS,WR,WR,ACT,3.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_WAS_BAL,,home,46.91,46.906,42.319,0.0,100.4,39.082,50,88.8,72.5,66.2,71.235,6.8,0.5,1.124,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,4.203,3.088,30.27,73.47,10.133,13.792,6.8,17.24,4.203,30.27,30.27,3.088,73.47,10.133,13.792,76.75,68.96,60.84,52.37,43.27,34.38,27.23,20.69,14.61,10.25,29.545454545454547,29.545454545454547,0.0,7.558769230769231,,10.03076923076923,,29.545454545454547,47.82956927731748,47.82956927731748,247.83333333333334,34.51851851851852,0.0,0.0,7.179721030042918,9.2274678111588,,0.0,U.S. Bank Stadium,Minneapolis,MN,INDOOR,DOME,INDOOR,TURF,830.0,Open-Meteo,Kickoff through +3h,2026-08-22T12:00:00-05:00,76.6,75.3,77.8,,56.5,50.0,989.5,22.0,78.6,14.5,22.1,7.6,323.0,0.0,0.0,,0.0,100.0,100.0,1.0,1.0,1.0,INDOOR / CONTROLLED,,,,,,100.4,46.91,0.0
00-0037239,Chris Olave,NO,DAL,WR,WR,ACT,4.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_NO_DAL,,away,46.77,46.324,41.938,0.0,100.495,39.039,40,85.8,82.1,73.933,72.688,9.6,0.5,1.096,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,5.36,3.486,28.25,65.03,7.755,11.925,9.6,9.09,5.36,28.25,28.25,3.486,65.03,7.755,11.925,75.53,68.41,59.99,51.49,43.05,34.88,26.89,20.26,14.67,10.18,36.78431372549019,36.78431372549019,0.0,6.437633262260128,,7.036247334754798,,36.78431372549019,48.1254523676242,48.1254523676242,238.48076923076923,33.48076923076923,0.0,0.0,7.122917863296956,9.075244112578977,,0.0,SoFi Stadium,Inglewood,CA,OUTDOOR,CANOPY,OUTDOOR,TURF,131.0,Open-Meteo,Kickoff through +3h,2026-08-22T13:00:00-07:00,85.4,84.4,87.2,,69.3,59.0,1008.1,4.5,58.7,8.2,9.1,0.9,268.0,0.0,0.0,,0.0,100.0,93.4,1.0097,1.0089,1.0096,FAVORABLE,,,,,,98.2,46.32,0.45
00-0039893,Brian Thomas Jr.,JAX,TB,WR,WR,ACT,2.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_TB_JAX,,home,46.71,46.05,43.43,0.0,92.883,34.171,31,51.8,54.3,54.0,50.5,5.6,0.68,1.15,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,5.575,2.997,17.24,53.76,7.828,14.56,4.8,-22.58,5.575,17.24,17.24,2.997,53.76,7.828,14.56,81.14,72.79,63.73,53.49,43.1,33.51,24.42,17.1,11.42,6.91,36.28846153846154,36.28846153846154,0.0,6.5659777424483305,,8.691043985161633,,36.28846153846154,48.81234705806075,48.81234705806075,264.1296296296296,38.31481481481482,0.0,0.0,6.893668438859352,8.844852585790237,,0.0,EverBank Stadium,Jacksonville,FL,OUTDOOR,OUTDOOR,OUTDOOR,—,16.0,Open-Meteo,Kickoff through +3h,2026-08-21T19:30:00-04:00,82.7,80.9,84.3,,75.8,79.5,1015.0,33.2,39.6,6.6,13.1,6.5,161.0,12.2,0.0,,0.0,100.0,96.0,1.0144,1.012,1.0168,FAVORABLE,,,,,,98.7,46.05,0.66
00-0036900,Ja'Marr Chase,CIN,PHI,WR,WR,ACT,5.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_CIN_PHI,,away,44.15,44.272,38.364,0.0,100.626,39.469,49,88.2,94.4,92.4,88.25,10.8,0.5,0.85,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,5.062,3.459,31.55,68.33,7.7,11.268,10.8,-27.03,5.062,31.55,31.55,3.459,68.33,7.7,11.268,72.89,64.94,57.0,48.59,40.62,32.59,25.12,19.34,14.14,10.19,40.15686274509804,40.15686274509804,0.0,6.59619140625,,6.93359375,,40.15686274509804,51.68342049711748,51.68342049711748,229.5438596491228,37.333333333333336,0.0,0.0,6.148496240601504,7.612781954887218,,0.0,Paycor Stadium,Cincinnati,OH,OUTDOOR,OUTDOOR,OUTDOOR,—,627.0,Open-Meteo,Kickoff through +3h,2026-08-22T19:00:00-04:00,75.7,70.1,78.9,,58.5,55.8,982.3,1.8,67.9,9.3,19.1,9.8,309.0,1.5,0.0,,0.0,100.0,86.5,0.9972,1.0005,0.9901,NEUTRAL,,,,,,99.8,44.27,-0.12
00-0037247,George Pickens,DAL,NO,WR,WR,ACT,4.0,2026,PRE,3,2026 PRE W3,2026_PRE_W3_NO_DAL,,home,43.99,43.991,35.443,0.0,105.222,43.162,47,57.4,82.2,88.733,84.059,6.4,0.5,0.974,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,3.259,2.234,21.62,68.55,10.734,15.659,6.4,-37.25,3.259,21.62,21.62,2.234,68.55,10.734,15.659,67.43,61.04,54.03,46.63,39.62,32.94,26.83,20.96,15.65,11.87,39.55769230769231,39.55769230769231,0.0,6.794846864365581,,8.264462809917356,,39.55769230769231,50.09139705177316,50.09139705177316,225.41176470588235,34.666666666666664,0.0,0.0,6.502262443438914,8.3710407239819,,0.0,State Farm Stadium,Glendale,AZ,INDOOR,RETRACTABLE,INDOOR,GRASS,1152.0,Open-Meteo,Kickoff through +3h,2026-08-22T19:00:00-07:00,105.1,101.2,107.8,,43.0,12.8,969.3,39.0,180.1,6.8,17.5,10.7,175.0,1.0,0.0,,0.0,100.0,100.0,1.0,1.0,1.0,INDOOR / CONTROLLED,,,,,,99.6,43.99,0.0
