player_id,player_name,team,opponent,position,depth_chart_position,rushing_depth_role,receiving_depth_role,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_receiving_yards,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,prob_5_plus,prob_10_plus,prob_15_plus,prob_20_plus,prob_25_plus,prob_30_plus,prob_35_plus,prob_40_plus,prob_45_plus,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,prob_75_plus,prob_80_plus,prob_85_plus,prob_90_plus,prob_95_plus,prob_100_plus,prob_105_plus,prob_110_plus,prob_115_plus,prob_120_plus,prob_125_plus,prob_130_plus,prob_135_plus,prob_140_plus,prob_145_plus,prob_150_plus,projected_targets,target_share,projected_receptions,catch_rate,yards_per_target,yards_per_reception,team_target_budget,team_receiving_yard_budget,receiving_allocation_source,target_projection_mean,target_projection_median,target_projection_floor,target_projection_ceiling,target_model_std,target_model_source,target_prob_1_plus,target_prob_2_plus,target_prob_3_plus,target_prob_4_plus,target_prob_5_plus,target_prob_6_plus,target_prob_7_plus,target_prob_8_plus,target_prob_9_plus,target_prob_10_plus
00-0039075,Puka Nacua,LAR,NYG,WR,WR,,WR1,ACT,3.0,2026,REG,2,2026 REG W2,401872947,2026-09-22T00:15Z,home,105.136,105.396,105.103,42.316,167.77,48.337,45,120.6,107.8,104.533,74.0,11.4,1.0,0.933,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,97.96,97.43,96.71,95.89,94.96,93.86,92.47,90.84,89.01,86.96,84.68,82.06,79.3,76.16,72.84,69.44,65.77,61.96,58.1,54.11,50.09,46.07,41.96,38.0,34.29,30.7,27.25,23.9,20.88,18.05,11.728,33.3,8.021,68.39,9.89,13.108,32.41,249.24,PRIMARY_ROTATION_TEAM_CONSTRAINED,11.72,12.0,7.0,16.0,3.452,PLAYER_HISTORY_BLEND,99.94,99.84,99.63,99.15,98.24,96.5,93.53,88.99,82.45,74.01
00-0041523,Caleb Douglas,MIA,SF,WR,WR,,WR1,ACT,0.0,2026,REG,2,2026 REG W2,401872942,2026-09-20T20:25Z,away,91.476,91.629,91.737,55.152,128.095,28.474,1,94.0,94.0,94.0,94.0,7.0,1.0,1.011,PLAYER_PRIOR_BLEND,100000,NFL_RECEIVING_YARDS_V1,99.86,99.77,99.61,99.38,98.98,98.45,97.63,96.49,94.9,92.8,90.09,86.59,82.45,77.55,71.86,65.81,59.27,52.4,45.38,38.61,32.13,26.19,20.67,15.96,12.03,8.87,6.37,4.41,3.0,1.95,7.707,29.03,5.505,71.43,13.429,16.616,24.42,187.25,PRIMARY_ROTATION_TEAM_CONSTRAINED,7.716,8.0,4.0,11.0,2.788,COUNT_PRIOR,99.53,98.72,96.93,93.42,87.64,78.78,66.88,53.16,38.91,26.08
00-0038543,Jaxon Smith-Njigba,SEA,ARI,WR,WR,,WR1,ACT,3.0,2026,REG,2,2026 REG W2,401872943,2026-09-20T20:25Z,away,85.744,86.019,85.821,33.146,138.269,40.296,52,97.4,96.7,106.133,122.0,10.6,1.0,1.005,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,97.6,96.84,95.8,94.57,93.07,91.31,89.23,86.72,84.02,80.91,77.41,73.48,69.4,64.92,60.47,55.7,50.8,46.0,41.02,36.26,31.82,27.61,23.67,20.07,16.84,14.01,11.52,9.32,7.42,5.84,9.142,32.56,6.475,70.83,9.847,13.242,25.83,199.61,PRIMARY_ROTATION_TEAM_CONSTRAINED,9.141,9.0,5.0,13.0,2.995,PLAYER_HISTORY_BLEND,99.81,99.44,98.63,97.05,94.03,88.98,81.31,70.92,58.34,45.18
00-0037239,Chris Olave,NO,BAL,WR,WR,,WR1,ACT,4.0,2026,REG,2,2026 REG W2,401872938,2026-09-20T17:00Z,away,83.878,84.387,83.937,26.406,141.171,43.629,41,112.8,90.5,82.467,182.0,10.8,1.0,1.063,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,96.11,95.1,93.82,92.34,90.53,88.5,86.15,83.6,80.69,77.57,74.06,70.3,66.28,62.17,57.85,53.49,49.06,44.54,40.12,35.76,31.8,27.93,24.23,20.84,17.75,15.05,12.61,10.46,8.58,7.03,10.692,30.26,7.103,66.44,8.473,11.808,32.5,254.56,PRIMARY_ROTATION_TEAM_CONSTRAINED,10.691,11.0,6.0,15.0,3.465,PLAYER_HISTORY_BLEND,99.83,99.61,99.1,98.15,96.34,93.33,88.75,82.27,73.61,63.34
00-0036900,Ja'Marr Chase,CIN,HOU,WR,WR,,WR1,ACT,5.0,2026,REG,2,2026 REG W2,401872934,2026-09-20T17:00Z,away,81.082,81.333,80.874,27.471,134.554,40.779,50,81.8,79.5,82.2,12.0,10.0,1.0,1.006,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,96.58,95.58,94.34,92.83,91.05,88.88,86.42,83.61,80.48,76.94,73.14,69.12,64.82,60.33,55.57,50.86,46.06,41.34,36.78,32.39,28.23,24.34,20.74,17.51,14.65,12.12,9.83,7.85,6.25,4.86,10.983,30.79,7.257,66.07,7.339,11.173,32.82,242.67,PRIMARY_ROTATION_TEAM_CONSTRAINED,11.008,11.0,5.0,17.0,4.471,PLAYER_HISTORY_BLEND,99.02,98.27,97.07,95.21,92.52,89.02,84.26,78.25,71.25,62.98
00-0036963,Amon-Ra St. Brown,DET,BUF,WR,WR,,WR1,ACT,5.0,2026,REG,2,2026 REG W2,401872932,2026-09-18T00:15Z,away,79.307,79.586,79.043,27.24,131.393,39.784,52,94.0,91.7,86.867,104.5,12.8,1.0,0.95,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,96.65,95.59,94.3,92.8,90.91,88.74,86.19,83.22,79.91,76.22,72.31,68.11,63.54,58.9,54.05,49.1,44.21,39.38,34.82,30.49,26.29,22.44,18.99,15.83,13.06,10.58,8.51,6.71,5.27,4.07,11.219,30.92,7.322,65.27,7.802,10.831,33.38,253.79,PRIMARY_ROTATION_TEAM_CONSTRAINED,11.21,11.0,6.0,16.0,3.753,PLAYER_HISTORY_BLEND,99.79,99.56,99.01,97.96,96.23,93.54,89.53,83.92,76.66,67.51
00-0039064,Zay Flowers,BAL,NO,WR,WR,,WR1,ACT,3.0,2026,REG,2,2026 REG W2,401872938,2026-09-20T17:00Z,home,76.981,77.558,76.88,23.428,130.852,40.595,51,94.0,81.1,75.333,150.0,5.8,1.0,0.97,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,95.76,94.52,93.16,91.4,89.3,86.94,84.34,81.4,77.95,74.19,70.16,65.89,61.34,56.6,51.81,46.96,42.2,37.64,33.24,29.07,25.07,21.52,18.16,15.18,12.6,10.34,8.33,6.65,5.26,4.05,7.047,29.36,5.233,74.26,11.188,14.711,22.08,181.47,PRIMARY_ROTATION_TEAM_CONSTRAINED,7.052,7.0,4.0,10.0,2.181,PLAYER_HISTORY_BLEND,99.86,99.45,98.23,94.91,88.13,76.32,60.26,41.79,25.15,12.9
00-0038606,Parker Washington,JAX,DEN,WR,WR,,WR1,ACT,3.0,2026,REG,2,2026 REG W2,401872940,2026-09-20T20:05Z,away,76.954,77.138,77.0,30.629,123.193,35.551,34,96.6,72.3,56.933,83.0,7.6,1.0,0.914,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,97.71,96.83,95.69,94.27,92.47,90.32,87.73,84.65,81.21,77.19,72.79,68.09,62.99,57.58,52.08,46.67,41.25,35.87,30.76,26.02,21.77,17.96,14.58,11.68,9.17,7.12,5.38,4.03,2.93,2.11,8.234,26.83,5.178,62.89,9.557,14.861,28.23,222.27,PRIMARY_ROTATION_TEAM_CONSTRAINED,8.237,8.0,4.0,12.0,3.172,PLAYER_HISTORY_BLEND,99.26,98.35,96.47,93.24,87.98,80.53,70.66,59.16,46.5,34.47
00-0036358,CeeDee Lamb,DAL,WAS,WR,WR,,WR1,ACT,6.0,2026,REG,2,2026 REG W2,401872944,2026-09-20T20:25Z,home,76.803,76.904,76.818,36.005,117.845,31.712,46,51.2,71.5,81.733,44.0,7.2,1.0,1.143,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,98.72,98.12,97.27,96.19,94.7,92.83,90.5,87.52,84.03,80.01,75.37,70.16,64.54,58.47,52.29,45.99,39.92,34.03,28.47,23.39,18.86,14.94,11.59,8.89,6.64,4.83,3.45,2.4,1.61,1.06,9.113,27.3,5.961,65.41,9.218,12.883,30.72,230.61,PRIMARY_ROTATION_TEAM_CONSTRAINED,9.122,9.0,5.0,13.0,2.889,PLAYER_HISTORY_BLEND,99.86,99.58,98.92,97.43,94.62,89.6,81.84,71.39,58.61,44.78
00-0036554,Nico Collins,HOU,CIN,WR,WR,,WR1,ACT,5.0,2026,REG,2,2026 REG W2,401872934,2026-09-20T17:00Z,home,75.615,75.688,75.529,35.517,115.684,30.994,43,79.4,85.3,77.8,75.0,7.0,1.0,1.032,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,98.83,98.26,97.38,96.29,94.77,92.79,90.27,87.3,83.67,79.46,74.62,69.23,63.4,57.22,50.7,44.27,38.08,32.15,26.52,21.6,17.22,13.46,10.38,7.78,5.76,4.15,2.93,2.03,1.34,0.86,9.26,28.01,5.646,60.98,9.236,13.391,30.42,212.68,PRIMARY_ROTATION_TEAM_CONSTRAINED,9.273,9.0,5.0,13.0,3.234,PLAYER_HISTORY_BLEND,99.68,99.23,98.24,96.3,93.05,87.84,80.38,70.86,59.53,47.14
