player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_receiving_yards,model_version
00-0029892,Kyle Juszczyk,SF,LAC,RB,2026,PRE,2,10.0,40.53,ELITE,9.732,NFL_RECEIVING_YARDS_V1
00-0029892,Kyle Juszczyk,SF,LAC,RB,2026,PRE,2,20.0,18.16,ELITE,9.732,NFL_RECEIVING_YARDS_V1
00-0029892,Kyle Juszczyk,SF,LAC,RB,2026,PRE,2,30.0,5.71,ELITE,9.732,NFL_RECEIVING_YARDS_V1
00-0029892,Kyle Juszczyk,SF,LAC,RB,2026,PRE,2,40.0,1.22,ELITE,9.732,NFL_RECEIVING_YARDS_V1
00-0029892,Kyle Juszczyk,SF,LAC,RB,2026,PRE,2,50.0,0.14,VERY LOW,9.732,NFL_RECEIVING_YARDS_V1
00-0029892,Kyle Juszczyk,SF,LAC,RB,2026,PRE,2,60.0,0.01,VERY LOW,9.732,NFL_RECEIVING_YARDS_V1
00-0029892,Kyle Juszczyk,SF,LAC,RB,2026,PRE,2,70.0,0.0,VERY LOW,9.732,NFL_RECEIVING_YARDS_V1
00-0029892,Kyle Juszczyk,SF,LAC,RB,2026,PRE,2,80.0,0.0,VERY LOW,9.732,NFL_RECEIVING_YARDS_V1
00-0029892,Kyle Juszczyk,SF,LAC,RB,2026,PRE,2,90.0,0.0,VERY LOW,9.732,NFL_RECEIVING_YARDS_V1
00-0029892,Kyle Juszczyk,SF,LAC,RB,2026,PRE,2,100.0,0.0,VERY LOW,9.732,NFL_RECEIVING_YARDS_V1
00-0030506,Travis Kelce,KC,TB,TE,2026,PRE,2,10.0,67.11,ELITE,28.126,NFL_RECEIVING_YARDS_V1
00-0030506,Travis Kelce,KC,TB,TE,2026,PRE,2,20.0,54.87,ELITE,28.126,NFL_RECEIVING_YARDS_V1
00-0030506,Travis Kelce,KC,TB,TE,2026,PRE,2,30.0,42.18,ELITE,28.126,NFL_RECEIVING_YARDS_V1
00-0030506,Travis Kelce,KC,TB,TE,2026,PRE,2,40.0,31.0,ELITE,28.126,NFL_RECEIVING_YARDS_V1
00-0030506,Travis Kelce,KC,TB,TE,2026,PRE,2,50.0,20.82,ELITE,28.126,NFL_RECEIVING_YARDS_V1
00-0030506,Travis Kelce,KC,TB,TE,2026,PRE,2,60.0,13.03,ELITE,28.126,NFL_RECEIVING_YARDS_V1
00-0030506,Travis Kelce,KC,TB,TE,2026,PRE,2,70.0,7.38,ELITE,28.126,NFL_RECEIVING_YARDS_V1
00-0030506,Travis Kelce,KC,TB,TE,2026,PRE,2,80.0,3.76,ELITE,28.126,NFL_RECEIVING_YARDS_V1
00-0030506,Travis Kelce,KC,TB,TE,2026,PRE,2,90.0,1.89,ELITE,28.126,NFL_RECEIVING_YARDS_V1
00-0030506,Travis Kelce,KC,TB,TE,2026,PRE,2,100.0,0.86,VERY HIGH,28.126,NFL_RECEIVING_YARDS_V1
00-0031235,Odell Beckham Jr.,NYG,MIA,WR,2026,PRE,2,10.0,47.35,ELITE,18.746,NFL_RECEIVING_YARDS_V1
00-0031235,Odell Beckham Jr.,NYG,MIA,WR,2026,PRE,2,20.0,36.86,ELITE,18.746,NFL_RECEIVING_YARDS_V1
00-0031235,Odell Beckham Jr.,NYG,MIA,WR,2026,PRE,2,30.0,26.98,ELITE,18.746,NFL_RECEIVING_YARDS_V1
00-0031235,Odell Beckham Jr.,NYG,MIA,WR,2026,PRE,2,40.0,18.84,ELITE,18.746,NFL_RECEIVING_YARDS_V1
00-0031235,Odell Beckham Jr.,NYG,MIA,WR,2026,PRE,2,50.0,12.48,ELITE,18.746,NFL_RECEIVING_YARDS_V1
00-0031235,Odell Beckham Jr.,NYG,MIA,WR,2026,PRE,2,60.0,7.79,ELITE,18.746,NFL_RECEIVING_YARDS_V1
00-0031235,Odell Beckham Jr.,NYG,MIA,WR,2026,PRE,2,70.0,4.55,ELITE,18.746,NFL_RECEIVING_YARDS_V1
00-0031235,Odell Beckham Jr.,NYG,MIA,WR,2026,PRE,2,80.0,2.64,ELITE,18.746,NFL_RECEIVING_YARDS_V1
00-0031235,Odell Beckham Jr.,NYG,MIA,WR,2026,PRE,2,90.0,1.26,ELITE,18.746,NFL_RECEIVING_YARDS_V1
00-0031235,Odell Beckham Jr.,NYG,MIA,WR,2026,PRE,2,100.0,0.54,LEAN,18.746,NFL_RECEIVING_YARDS_V1
00-0031381,Davante Adams,LAR,NO,WR,2026,PRE,2,10.0,64.24,ELITE,34.819,NFL_RECEIVING_YARDS_V1
00-0031381,Davante Adams,LAR,NO,WR,2026,PRE,2,20.0,55.95,ELITE,34.819,NFL_RECEIVING_YARDS_V1
00-0031381,Davante Adams,LAR,NO,WR,2026,PRE,2,30.0,47.05,ELITE,34.819,NFL_RECEIVING_YARDS_V1
00-0031381,Davante Adams,LAR,NO,WR,2026,PRE,2,40.0,38.52,ELITE,34.819,NFL_RECEIVING_YARDS_V1
00-0031381,Davante Adams,LAR,NO,WR,2026,PRE,2,50.0,30.46,ELITE,34.819,NFL_RECEIVING_YARDS_V1
00-0031381,Davante Adams,LAR,NO,WR,2026,PRE,2,60.0,23.22,ELITE,34.819,NFL_RECEIVING_YARDS_V1
00-0031381,Davante Adams,LAR,NO,WR,2026,PRE,2,70.0,17.37,ELITE,34.819,NFL_RECEIVING_YARDS_V1
00-0031381,Davante Adams,LAR,NO,WR,2026,PRE,2,80.0,12.54,ELITE,34.819,NFL_RECEIVING_YARDS_V1
00-0031381,Davante Adams,LAR,NO,WR,2026,PRE,2,90.0,8.75,ELITE,34.819,NFL_RECEIVING_YARDS_V1
00-0031381,Davante Adams,LAR,NO,WR,2026,PRE,2,100.0,5.89,ELITE,34.819,NFL_RECEIVING_YARDS_V1
00-0031408,Mike Evans,SF,LAC,WR,2026,PRE,2,10.0,61.22,ELITE,33.447,NFL_RECEIVING_YARDS_V1
00-0031408,Mike Evans,SF,LAC,WR,2026,PRE,2,20.0,53.06,ELITE,33.447,NFL_RECEIVING_YARDS_V1
00-0031408,Mike Evans,SF,LAC,WR,2026,PRE,2,30.0,44.63,ELITE,33.447,NFL_RECEIVING_YARDS_V1
00-0031408,Mike Evans,SF,LAC,WR,2026,PRE,2,40.0,36.83,ELITE,33.447,NFL_RECEIVING_YARDS_V1
00-0031408,Mike Evans,SF,LAC,WR,2026,PRE,2,50.0,29.51,ELITE,33.447,NFL_RECEIVING_YARDS_V1
00-0031408,Mike Evans,SF,LAC,WR,2026,PRE,2,60.0,23.15,ELITE,33.447,NFL_RECEIVING_YARDS_V1
00-0031408,Mike Evans,SF,LAC,WR,2026,PRE,2,70.0,17.13,ELITE,33.447,NFL_RECEIVING_YARDS_V1
00-0031408,Mike Evans,SF,LAC,WR,2026,PRE,2,80.0,12.25,ELITE,33.447,NFL_RECEIVING_YARDS_V1
00-0031408,Mike Evans,SF,LAC,WR,2026,PRE,2,90.0,8.59,ELITE,33.447,NFL_RECEIVING_YARDS_V1
00-0031408,Mike Evans,SF,LAC,WR,2026,PRE,2,100.0,5.68,ELITE,33.447,NFL_RECEIVING_YARDS_V1
00-0031484,Chris Manhertz,NYG,MIA,TE,2026,PRE,2,10.0,21.4,ELITE,5.691,NFL_RECEIVING_YARDS_V1
00-0031484,Chris Manhertz,NYG,MIA,TE,2026,PRE,2,20.0,1.02,ELITE,5.691,NFL_RECEIVING_YARDS_V1
00-0031484,Chris Manhertz,NYG,MIA,TE,2026,PRE,2,30.0,0.01,VERY LOW,5.691,NFL_RECEIVING_YARDS_V1
00-0031484,Chris Manhertz,NYG,MIA,TE,2026,PRE,2,40.0,0.0,VERY LOW,5.691,NFL_RECEIVING_YARDS_V1
00-0031484,Chris Manhertz,NYG,MIA,TE,2026,PRE,2,50.0,0.0,VERY LOW,5.691,NFL_RECEIVING_YARDS_V1
00-0031484,Chris Manhertz,NYG,MIA,TE,2026,PRE,2,60.0,0.0,VERY LOW,5.691,NFL_RECEIVING_YARDS_V1
00-0031484,Chris Manhertz,NYG,MIA,TE,2026,PRE,2,70.0,0.0,VERY LOW,5.691,NFL_RECEIVING_YARDS_V1
00-0031484,Chris Manhertz,NYG,MIA,TE,2026,PRE,2,80.0,0.0,VERY LOW,5.691,NFL_RECEIVING_YARDS_V1
