player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_receiving_yards,model_version
00-0029892,Kyle Juszczyk,SF,LAR,RB,2026,REG,1,10.0,68.88,ELITE,16.707,NFL_RECEIVING_YARDS_V1
00-0029892,Kyle Juszczyk,SF,LAR,RB,2026,REG,1,20.0,37.7,ELITE,16.707,NFL_RECEIVING_YARDS_V1
00-0029892,Kyle Juszczyk,SF,LAR,RB,2026,REG,1,30.0,13.39,ELITE,16.707,NFL_RECEIVING_YARDS_V1
00-0029892,Kyle Juszczyk,SF,LAR,RB,2026,REG,1,40.0,2.84,ELITE,16.707,NFL_RECEIVING_YARDS_V1
00-0029892,Kyle Juszczyk,SF,LAR,RB,2026,REG,1,50.0,0.36,LOW,16.707,NFL_RECEIVING_YARDS_V1
00-0029892,Kyle Juszczyk,SF,LAR,RB,2026,REG,1,60.0,0.01,VERY LOW,16.707,NFL_RECEIVING_YARDS_V1
00-0029892,Kyle Juszczyk,SF,LAR,RB,2026,REG,1,70.0,0.0,VERY LOW,16.707,NFL_RECEIVING_YARDS_V1
00-0029892,Kyle Juszczyk,SF,LAR,RB,2026,REG,1,80.0,0.0,VERY LOW,16.707,NFL_RECEIVING_YARDS_V1
00-0029892,Kyle Juszczyk,SF,LAR,RB,2026,REG,1,90.0,0.0,VERY LOW,16.707,NFL_RECEIVING_YARDS_V1
00-0029892,Kyle Juszczyk,SF,LAR,RB,2026,REG,1,100.0,0.0,VERY LOW,16.707,NFL_RECEIVING_YARDS_V1
00-0030279,Keenan Allen,IND,BAL,WR,2026,REG,1,10.0,83.06,ELITE,41.97,NFL_RECEIVING_YARDS_V1
00-0030279,Keenan Allen,IND,BAL,WR,2026,REG,1,20.0,73.74,ELITE,41.97,NFL_RECEIVING_YARDS_V1
00-0030279,Keenan Allen,IND,BAL,WR,2026,REG,1,30.0,62.93,ELITE,41.97,NFL_RECEIVING_YARDS_V1
00-0030279,Keenan Allen,IND,BAL,WR,2026,REG,1,40.0,50.4,ELITE,41.97,NFL_RECEIVING_YARDS_V1
00-0030279,Keenan Allen,IND,BAL,WR,2026,REG,1,50.0,38.12,ELITE,41.97,NFL_RECEIVING_YARDS_V1
00-0030279,Keenan Allen,IND,BAL,WR,2026,REG,1,60.0,27.13,ELITE,41.97,NFL_RECEIVING_YARDS_V1
00-0030279,Keenan Allen,IND,BAL,WR,2026,REG,1,70.0,17.74,ELITE,41.97,NFL_RECEIVING_YARDS_V1
00-0030279,Keenan Allen,IND,BAL,WR,2026,REG,1,80.0,10.72,ELITE,41.97,NFL_RECEIVING_YARDS_V1
00-0030279,Keenan Allen,IND,BAL,WR,2026,REG,1,90.0,5.8,ELITE,41.97,NFL_RECEIVING_YARDS_V1
00-0030279,Keenan Allen,IND,BAL,WR,2026,REG,1,100.0,3.07,ELITE,41.97,NFL_RECEIVING_YARDS_V1
00-0030506,Travis Kelce,KC,DEN,TE,2026,REG,1,10.0,86.69,ELITE,40.723,NFL_RECEIVING_YARDS_V1
00-0030506,Travis Kelce,KC,DEN,TE,2026,REG,1,20.0,77.12,ELITE,40.723,NFL_RECEIVING_YARDS_V1
00-0030506,Travis Kelce,KC,DEN,TE,2026,REG,1,30.0,64.38,ELITE,40.723,NFL_RECEIVING_YARDS_V1
00-0030506,Travis Kelce,KC,DEN,TE,2026,REG,1,40.0,50.34,ELITE,40.723,NFL_RECEIVING_YARDS_V1
00-0030506,Travis Kelce,KC,DEN,TE,2026,REG,1,50.0,35.59,ELITE,40.723,NFL_RECEIVING_YARDS_V1
00-0030506,Travis Kelce,KC,DEN,TE,2026,REG,1,60.0,22.57,ELITE,40.723,NFL_RECEIVING_YARDS_V1
00-0030506,Travis Kelce,KC,DEN,TE,2026,REG,1,70.0,12.94,ELITE,40.723,NFL_RECEIVING_YARDS_V1
00-0030506,Travis Kelce,KC,DEN,TE,2026,REG,1,80.0,6.63,ELITE,40.723,NFL_RECEIVING_YARDS_V1
00-0030506,Travis Kelce,KC,DEN,TE,2026,REG,1,90.0,3.1,ELITE,40.723,NFL_RECEIVING_YARDS_V1
00-0030506,Travis Kelce,KC,DEN,TE,2026,REG,1,100.0,1.2,ELITE,40.723,NFL_RECEIVING_YARDS_V1
00-0031235,Odell Beckham Jr.,NYG,DAL,WR,2026,REG,1,10.0,58.19,ELITE,22.507,NFL_RECEIVING_YARDS_V1
00-0031235,Odell Beckham Jr.,NYG,DAL,WR,2026,REG,1,20.0,45.46,ELITE,22.507,NFL_RECEIVING_YARDS_V1
00-0031235,Odell Beckham Jr.,NYG,DAL,WR,2026,REG,1,30.0,32.94,ELITE,22.507,NFL_RECEIVING_YARDS_V1
00-0031235,Odell Beckham Jr.,NYG,DAL,WR,2026,REG,1,40.0,22.4,ELITE,22.507,NFL_RECEIVING_YARDS_V1
00-0031235,Odell Beckham Jr.,NYG,DAL,WR,2026,REG,1,50.0,14.26,ELITE,22.507,NFL_RECEIVING_YARDS_V1
00-0031235,Odell Beckham Jr.,NYG,DAL,WR,2026,REG,1,60.0,8.52,ELITE,22.507,NFL_RECEIVING_YARDS_V1
00-0031235,Odell Beckham Jr.,NYG,DAL,WR,2026,REG,1,70.0,4.86,ELITE,22.507,NFL_RECEIVING_YARDS_V1
