player_key,player_id,player_name,team,opponent,position,depth_chart_position,roster_status,years_exp,game_id,game_date,game_name
a j brown__NE,00-0035676,A.J. Brown,NE,CLE,WR,WR,ACT,7.0,2026_PRE_W3_NE_CLE,,NE at CLE
a j henning__MIA,00-0040302,A.J. Henning,MIA,ATL,WR,WR,ACT,1.0,2026_PRE_W3_ATL_MIA,,ATL at MIA
a t perry__PIT,00-0038612,A.T. Perry,PIT,BUF,WR,WR,ACT,3.0,2026_PRE_W3_PIT_BUF,,PIT at BUF
aaron anderson__CLE,00-0041491,Aaron Anderson,CLE,NE,WR,WR,ACT,0.0,2026_PRE_W3_NE_CLE,,NE at CLE
aaron jones__MIN,00-0033293,Aaron Jones,MIN,DEN,RB,RB,ACT,9.0,2026_PRE_W3_MIN_DEN,,MIN at DEN
aaron rodgers__PIT,00-0023459,Aaron Rodgers,PIT,BUF,QB,QB,ACT,21.0,2026_PRE_W3_PIT_BUF,,PIT at BUF
adam prentice__DEN,00-0036727,Adam Prentice,DEN,MIN,RB,FB,ACT,5.0,2026_PRE_W3_MIN_DEN,,MIN at DEN
adam randall__BAL,00-0040888,Adam Randall,BAL,WAS,RB,RB,ACT,0.0,2026_PRE_W3_WAS_BAL,,WAS at BAL
adonai mitchell__NYJ,00-0039890,Adonai Mitchell,NYJ,NYG,WR,WR,ACT,2.0,2026_PRE_W3_NYG_NYJ,,NYG at NYJ
adrian martinez__SF,00-0038658,Adrian Martinez,SF,LV,QB,QB,ACT,3.0,2026_PRE_W3_SF_LV,,SF at LV
ahmani marshall__CLE,00-0040260,Ahmani Marshall,CLE,NE,RB,RB,ACT,1.0,2026_PRE_W3_NE_CLE,,NE at CLE
aidan o connell__LV,00-0038579,Aidan O'Connell,LV,SF,QB,QB,ACT,3.0,2026_PRE_W3_SF_LV,,SF at LV
ainias smith__CAR,00-0039747,Ainias Smith,CAR,HOU,WR,WR,ACT,2.0,2026_PRE_W3_HOU_CAR,,HOU at CAR
aj dillon__CAR,00-0036265,AJ Dillon,CAR,HOU,RB,RB,ACT,6.0,2026_PRE_W3_HOU_CAR,,HOU at CAR
alec ingold__LAC,00-0035125,Alec Ingold,LAC,LAR,RB,FB,ACT,7.0,2026_PRE_W3_LAR_LAC,,LAR at LAC
alec pierce__IND,00-0037664,Alec Pierce,IND,DET,WR,WR,ACT,4.0,2026_PRE_W3_DET_IND,,DET at IND
alvin kamara__NO,00-0033906,Alvin Kamara,NO,DAL,RB,RB,ACT,9.0,2026_PRE_W3_NO_DAL,,NO at DAL
amar johnson__LAC,00-0040039,Amar Johnson,LAC,LAR,RB,RB,ACT,1.0,2026_PRE_W3_LAR_LAC,,LAR at LAC
ameer abdullah__JAX,00-0032104,Ameer Abdullah,JAX,TB,RB,RB,ACT,11.0,2026_PRE_W3_TB_JAX,,TB at JAX
amon ra st brown__DET,00-0036963,Amon-Ra St. Brown,DET,IND,WR,WR,ACT,5.0,2026_PRE_W3_DET_IND,,DET at IND
anderson castle__IND,00-0041486,Anderson Castle,IND,DET,RB,RB,ACT,0.0,2026_PRE_W3_DET_IND,,DET at IND
andrei iosivas__CIN,00-0038619,Andrei Iosivas,CIN,PHI,WR,WR,ACT,3.0,2026_PRE_W3_CIN_PHI,,CIN at PHI
andrew armstrong__KC,00-0040298,Andrew Armstrong,KC,SEA,WR,WR,ACT,1.0,2026_PRE_W3_SEA_KC,,SEA at KC
andrew beck__NYJ,00-0034959,Andrew Beck,NYJ,NYG,RB,FB,ACT,7.0,2026_PRE_W3_NYG_NYJ,,NYG at NYJ
andy dalton__PHI,00-0027973,Andy Dalton,PHI,CIN,QB,QB,ACT,15.0,2026_PRE_W3_CIN_PHI,,CIN at PHI
