player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,game_id,game_date,home_away,season,season_type,week,projected_role
00-0033293,Aaron Jones,MIN,CHI,RB,RB,ACT,9.0,401872937,2026-09-20T17:00Z,away,2026,REG,2,RB
00-0023459,Aaron Rodgers,PIT,NE,QB,QB,ACT,21.0,401872946,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0038579,Aidan O'Connell,LV,LAC,QB,QB,ACT,3.0,401872941,2026-09-20T20:05Z,away,2026,REG,2,QB
00-0036265,AJ Dillon,CAR,ATL,RB,RB,ACT,6.0,401872933,2026-09-20T17:00Z,away,2026,REG,2,RB
00-0035125,Alec Ingold,LAC,LV,RB,FB,ACT,7.0,401872941,2026-09-20T20:05Z,home,2026,REG,2,FB
00-0033906,Alvin Kamara,NO,BAL,RB,RB,ACT,9.0,401872938,2026-09-20T17:00Z,away,2026,REG,2,RB
00-0032104,Ameer Abdullah,JAX,DEN,RB,RB,ACT,11.0,401872940,2026-09-20T20:05Z,away,2026,REG,2,RB
00-0034959,Andrew Beck,NYJ,GB,RB,FB,ACT,7.0,401872936,2026-09-20T17:00Z,home,2026,REG,2,FB
00-0027973,Andy Dalton,PHI,TEN,QB,QB,ACT,15.0,401872939,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0039164,Anthony Richardson,IND,KC,QB,QB,ACT,3.0,401872945,2026-09-21T00:20Z,away,2026,REG,2,QB
00-0040122,Ashton Jeanty,LV,LAC,RB,RB,ACT,1.0,401872941,2026-09-20T20:05Z,away,2026,REG,2,RB
00-0041117,Athan Kaliakmanis,WAS,DAL,QB,QB,ACT,0.0,401872944,2026-09-20T20:25Z,away,2026,REG,2,QB
00-0034855,Baker Mayfield,TB,CLE,QB,QB,ACT,8.0,401872935,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0037157,Bam Knight,ARI,SEA,RB,RB,ACT,4.0,401872943,2026-09-20T20:25Z,home,2026,REG,2,RB
00-0041123,Behren Morton,NE,PIT,QB,QB,ACT,0.0,401872946,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0038489,Ben VanSumeren,KC,IND,RB,FB,ACT,3.0,401872945,2026-09-21T00:20Z,home,2026,REG,2,FB
00-0040719,Bhayshul Tuten,JAX,DEN,RB,RB,ACT,1.0,401872940,2026-09-20T20:05Z,away,2026,REG,2,RB
00-0038542,Bijan Robinson,ATL,CAR,RB,RB,ACT,3.0,401872933,2026-09-20T17:00Z,home,2026,REG,2,RB
00-0039738,Blake Corum,LAR,NYG,RB,RB,ACT,2.0,401872947,2026-09-22T00:15Z,home,2026,REG,2,RB
00-0039732,Bo Nix,DEN,JAX,QB,QB,ACT,2.0,401872940,2026-09-20T20:05Z,home,2026,REG,2,QB
00-0040398,Brady Cook,MIA,SF,QB,QB,ACT,1.0,401872942,2026-09-20T20:25Z,away,2026,REG,2,QB
00-0038488,Brady Russell,SEA,ARI,RB,FB,ACT,3.0,401872943,2026-09-20T20:25Z,away,2026,REG,2,FB
00-0039794,Braelon Allen,NYJ,GB,RB,RB,ACT,2.0,401872936,2026-09-20T17:00Z,home,2026,REG,2,RB
00-0040078,Brashard Smith,KC,IND,RB,RB,ACT,1.0,401872945,2026-09-21T00:20Z,home,2026,REG,2,RB
00-0038120,Breece Hall,NYJ,GB,RB,RB,ACT,4.0,401872936,2026-09-20T17:00Z,home,2026,REG,2,RB
00-0037746,Brian Robinson,ATL,CAR,RB,RB,ACT,4.0,401872933,2026-09-20T17:00Z,home,2026,REG,2,RB
00-0039603,British Brooks,HOU,CIN,RB,RB,ACT,2.0,401872934,2026-09-20T17:00Z,home,2026,REG,2,RB
00-0037834,Brock Purdy,SF,MIA,QB,QB,ACT,4.0,401872942,2026-09-20T20:25Z,home,2026,REG,2,QB
00-0039150,Bryce Young,CAR,ATL,QB,QB,ACT,3.0,401872933,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0039361,Bucky Irving,TB,CLE,RB,RB,ACT,2.0,401872935,2026-09-20T17:00Z,home,2026,REG,2,RB
00-0039163,C.J. Stroud,HOU,CIN,QB,QB,ACT,3.0,401872934,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0041056,Cade Klubnik,NYJ,GB,QB,QB,ACT,0.0,401872936,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0039918,Caleb Williams,CHI,MIN,QB,QB,ACT,2.0,401872937,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0040715,Cam Skattebo,NYG,LAR,RB,RB,ACT,1.0,401872947,2026-09-22T00:15Z,away,2026,REG,2,RB
00-0040676,Cam Ward,TEN,PHI,QB,QB,ACT,1.0,401872939,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0041561,Carson Beck,ARI,SEA,QB,QB,ACT,0.0,401872943,2026-09-20T20:25Z,home,2026,REG,2,QB
00-0032950,Carson Wentz,MIN,CHI,QB,QB,ACT,10.0,401872937,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0028986,Case Keenum,CHI,MIN,QB,QB,ACT,14.0,401872937,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0038597,Chase Brown,CIN,HOU,RB,RB,ACT,3.0,401872934,2026-09-20T17:00Z,away,2026,REG,2,RB
00-0038685,Chris Brooks,GB,NYJ,RB,RB,ACT,3.0,401872936,2026-09-20T17:00Z,away,2026,REG,2,RB
00-0038611,Chris Rodriguez Jr.,JAX,DEN,RB,RB,ACT,3.0,401872940,2026-09-20T20:05Z,away,2026,REG,2,RB
00-0033280,Christian McCaffrey,SF,MIA,RB,RB,ACT,9.0,401872942,2026-09-20T20:25Z,home,2026,REG,2,RB
00-0036555,Chuba Hubbard,CAR,ATL,RB,RB,ACT,5.0,401872933,2026-09-20T17:00Z,away,2026,REG,2,RB
00-0040891,Cole Payton,PHI,TEN,QB,QB,ACT,0.0,401872939,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0037304,Connor Heyward,LV,LAC,RB,FB,ACT,4.0,401872941,2026-09-20T20:05Z,away,2026,REG,2,FB
00-0033662,Cooper Rush,ATL,CAR,QB,QB,ACT,9.0,401872933,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0040556,Corey Kiner,NE,PIT,RB,RB,ACT,1.0,401872946,2026-09-20T17:00Z,home,2026,REG,2,RB
00-0036275,D'Andre Swift,CHI,MIN,RB,RB,ACT,6.0,401872937,2026-09-20T17:00Z,home,2026,REG,2,RB
00-0033077,Dak Prescott,DAL,WAS,QB,QB,ACT,10.0,401872944,2026-09-20T20:25Z,home,2026,REG,2,QB
00-0035710,Daniel Jones,IND,KC,QB,QB,ACT,7.0,401872945,2026-09-21T00:20Z,away,2026,REG,2,QB
00-0035685,David Montgomery,HOU,CIN,RB,RB,ACT,7.0,401872934,2026-09-20T17:00Z,home,2026,REG,2,RB
00-0036898,Davis Mills,HOU,CIN,QB,QB,ACT,5.0,401872934,2026-09-20T17:00Z,home,2026,REG,2,QB
00-0039040,De'Von Achane,MIA,SF,RB,RB,ACT,3.0,401872942,2026-09-20T20:25Z,away,2026,REG,2,RB
00-0036425,DeeJay Dallas,MIN,CHI,RB,RB,ACT,6.0,401872937,2026-09-20T17:00Z,away,2026,REG,2,RB
00-0041104,Demond Claiborne,MIN,CHI,RB,RB,ACT,0.0,401872937,2026-09-20T17:00Z,away,2026,REG,2,RB
00-0032764,Derrick Henry,BAL,NO,RB,RB,ACT,10.0,401872938,2026-09-20T17:00Z,home,2026,REG,2,RB
00-0033537,Deshaun Watson,CLE,TB,QB,QB,ACT,9.0,401872935,2026-09-20T17:00Z,away,2026,REG,2,QB
00-0035250,Devin Singletary,NYG,LAR,RB,RB,ACT,7.0,401872947,2026-09-22T00:15Z,away,2026,REG,2,RB
00-0040179,DJ Giddens,IND,KC,RB,RB,ACT,1.0,401872945,2026-09-21T00:20Z,away,2026,REG,2,RB
