player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_rushing_yards,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,projected_rush_attempts,projected_ypc,carry_share,red_zone_rush_share,goal_line_share,prob_0_plus,prob_5_plus,prob_10_plus,prob_15_plus,prob_20_plus,prob_25_plus,prob_30_plus,prob_35_plus,prob_40_plus,prob_45_plus,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,prob_75_plus,prob_80_plus,prob_85_plus,prob_90_plus,prob_95_plus,prob_100_plus,prob_105_plus,prob_110_plus,prob_115_plus,prob_120_plus,prob_125_plus,prob_130_plus,prob_135_plus,prob_140_plus,prob_145_plus,prob_150_plus,prob_155_plus,prob_160_plus,prob_165_plus,prob_170_plus,prob_175_plus,prob_180_plus,prob_185_plus,prob_190_plus,prob_195_plus,prob_200_plus
00-0032764,Derrick Henry,BAL,MIN,RB,RB,ACT,10.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_BAL_MIN,,away,56.247,56.247,49.728,0.0,126.155,49.584,51,132.8,108.5,93.533,93.824,22.0,0.5,0.867,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,10.065,4.879,60.23,61.91,84.22,100.0,76.98,74.32,71.56,68.69,65.77,62.76,59.59,56.35,53.11,49.83,46.37,42.93,39.77,36.58,33.42,30.56,27.56,24.81,22.19,19.86,17.57,15.5,13.64,11.91,10.35,8.88,7.58,6.43,5.44,4.57,3.82,3.18,2.63,2.18,1.81,1.47,1.19,0.94,0.74,0.59
00-0036223,Jonathan Taylor,IND,ATL,RB,RB,ACT,6.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_ATL_IND,,home,50.34,50.34,37.298,0.0,126.567,52.484,41,60.6,88.8,89.933,93.235,19.4,0.5,0.911,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,9.619,3.882,76.24,59.06,56.88,100.0,68.05,65.38,62.69,59.97,57.17,54.32,51.4,48.4,45.5,42.66,39.85,37.06,34.44,31.87,29.29,26.86,24.54,22.41,20.34,18.44,16.58,14.79,13.23,11.77,10.39,9.16,8.1,7.05,6.11,5.32,4.59,3.96,3.4,2.91,2.45,2.04,1.69,1.43,1.17,0.97
00-0039040,De'Von Achane,MIA,NYG,RB,RB,ACT,3.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NYG_MIA,,home,50.173,50.173,45.433,0.0,107.721,41.54,44,90.0,96.0,86.333,84.375,14.8,0.5,1.083,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,7.362,6.192,55.68,44.78,41.74,100.0,79.9,76.89,73.56,70.11,66.5,62.65,58.71,54.52,50.38,46.29,42.23,38.36,34.64,30.85,27.3,23.98,20.9,18.04,15.42,13.07,10.98,9.23,7.64,6.28,5.12,4.11,3.3,2.65,2.1,1.65,1.27,0.99,0.72,0.54,0.42,0.31,0.23,0.17,0.12,0.09
00-0038542,Bijan Robinson,ATL,IND,RB,RB,ACT,3.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_ATL_IND,,away,48.866,48.866,40.286,0.0,115.379,46.657,51,96.6,92.9,87.4,86.941,18.4,0.5,0.882,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,8.786,4.587,62.97,52.21,48.26,100.0,72.6,69.69,66.67,63.6,60.35,57.01,53.64,50.21,46.85,43.53,40.16,36.83,33.63,30.53,27.54,24.81,22.23,19.81,17.5,15.5,13.54,11.73,10.11,8.77,7.47,6.35,5.34,4.49,3.72,3.05,2.49,2.01,1.65,1.34,1.08,0.89,0.7,0.55,0.43,0.33
00-0040734,TreVeyon Henderson,NE,PHI,RB,RB,ACT,1.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_PHI_NE,,home,46.118,46.118,40.13,0.0,104.653,41.456,17,70.6,75.8,58.267,53.588,12.4,0.68,0.878,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,6.718,5.897,33.89,37.37,26.67,100.0,75.47,72.21,68.87,65.24,61.61,57.88,54.06,50.1,46.04,42.13,38.3,34.64,31.07,27.63,24.41,21.42,18.63,16.06,13.83,11.78,9.91,8.29,6.89,5.6,4.6,3.72,2.95,2.36,1.85,1.44,1.11,0.84,0.65,0.51,0.38,0.26,0.18,0.14,0.11,0.08
00-0034844,Saquon Barkley,PHI,NE,RB,RB,ACT,8.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_PHI_NE,,away,44.468,44.468,37.674,0.0,103.097,41.244,46,91.2,81.5,72.0,71.25,19.0,0.5,0.85,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,10.002,3.759,64.54,51.12,54.47,100.0,73.83,70.59,67.12,63.54,59.74,56.02,52.1,48.17,44.2,40.44,36.69,33.05,29.65,26.31,23.19,20.28,17.61,15.18,12.98,11.09,9.37,7.86,6.5,5.33,4.33,3.49,2.76,2.19,1.76,1.36,1.07,0.85,0.66,0.52,0.38,0.29,0.22,0.15,0.1,0.08
00-0037248,James Cook,BUF,CLE,RB,RB,ACT,4.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_BUF_CLE,,away,44.324,44.324,35.554,0.0,106.662,43.433,50,78.6,86.8,96.333,95.353,15.6,0.5,0.85,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,8.266,4.269,52.69,45.67,36.08,100.0,71.02,67.8,64.52,61.03,57.49,53.98,50.37,46.77,43.22,39.76,36.4,33.11,29.87,26.77,23.89,21.16,18.63,16.32,14.19,12.28,10.54,8.95,7.62,6.42,5.36,4.43,3.66,2.98,2.42,1.94,1.54,1.24,0.99,0.74,0.57,0.45,0.34,0.26,0.19,0.15
00-0039139,Jahmyr Gibbs,DET,WAS,RB,RB,ACT,3.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_WAS_DET,,home,44.001,44.001,31.989,0.0,111.924,46.531,49,40.8,69.7,74.0,71.941,13.6,0.5,1.027,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,6.922,4.632,57.6,50.71,37.14,100.0,66.79,63.82,60.73,57.54,54.37,51.31,48.08,44.95,41.68,38.6,35.54,32.46,29.68,27.02,24.47,22.0,19.75,17.57,15.58,13.72,12.07,10.59,9.13,7.88,6.76,5.8,4.87,4.09,3.45,2.86,2.38,1.97,1.61,1.31,1.04,0.85,0.69,0.54,0.43,0.34
00-0040236,Kyle Monangai,CHI,CIN,RB,RB,ACT,1.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_CHI_CIN,,away,41.907,41.907,33.244,0.0,101.553,41.492,16,38.4,59.7,50.333,48.938,9.6,0.68,1.02,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,6.961,4.713,34.73,37.84,40.62,100.0,70.17,66.85,63.39,59.75,56.09,52.41,48.78,44.96,41.28,37.75,34.24,30.88,27.6,24.55,21.8,19.08,16.6,14.46,12.43,10.56,8.9,7.44,6.14,5.12,4.22,3.46,2.79,2.25,1.78,1.41,1.07,0.85,0.68,0.52,0.39,0.3,0.23,0.17,0.13,0.09
00-0035261,Tony Pollard,TEN,SEA,RB,RB,ACT,7.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_SEA_TEN,,home,40.042,40.042,35.696,0.0,87.984,34.294,50,100.0,70.2,62.0,63.647,18.4,0.5,0.919,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,8.008,4.482,63.04,49.8,45.68,100.0,77.5,73.67,69.5,65.1,60.56,55.71,50.74,45.84,40.98,36.38,31.77,27.59,23.6,20.04,16.73,13.89,11.32,9.18,7.29,5.76,4.49,3.46,2.63,1.96,1.46,1.08,0.77,0.54,0.38,0.27,0.18,0.12,0.08,0.05,0.04,0.02,0.01,0.01,0.01,0.01
00-0040122,Ashton Jeanty,LV,HOU,RB,RB,ACT,1.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_LV_HOU,,away,39.881,39.881,35.346,0.0,88.25,34.578,17,68.0,53.0,59.6,57.353,17.0,0.68,0.85,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,10.992,3.206,76.2,74.47,84.62,100.0,76.9,73.05,68.86,64.53,59.91,55.08,50.33,45.44,40.77,36.17,31.71,27.58,23.65,20.18,16.99,14.05,11.51,9.27,7.44,5.91,4.59,3.6,2.72,2.03,1.52,1.1,0.8,0.57,0.41,0.29,0.2,0.14,0.09,0.06,0.03,0.02,0.02,0.01,0.01,0.01
00-0036139,Rico Dowdle,PIT,NYJ,RB,RB,ACT,6.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NYJ_PIT,,home,39.855,39.855,25.047,0.0,106.62,45.383,49,41.0,52.5,70.333,63.294,12.4,0.5,0.909,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,5.869,4.232,46.78,40.78,41.69,100.0,62.3,59.39,56.25,53.13,50.03,46.95,43.74,40.73,37.67,34.78,31.83,29.02,26.4,23.86,21.53,19.39,17.3,15.41,13.61,11.9,10.44,9.08,7.9,6.79,5.83,5.01,4.28,3.64,3.0,2.52,2.09,1.71,1.39,1.12,0.92,0.75,0.61,0.51,0.39,0.3
00-0039361,Bucky Irving,TB,KC,RB,RB,ACT,2.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_KC_TB,,home,39.428,39.428,34.991,0.0,87.16,34.245,27,58.0,58.8,65.2,58.8,17.0,0.68,0.85,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,11.261,3.092,56.71,35.47,17.28,100.0,76.68,72.79,68.65,64.23,59.6,54.84,49.99,45.17,40.47,35.71,31.3,27.08,23.11,19.55,16.41,13.5,10.95,8.88,7.06,5.59,4.36,3.38,2.61,1.92,1.4,1.01,0.71,0.52,0.37,0.26,0.18,0.13,0.1,0.06,0.04,0.03,0.02,0.01,0.01,0.01
00-0036997,Javonte Williams,DAL,ARI,RB,RB,ACT,5.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_DAL_ARI,,away,38.716,38.716,33.748,0.0,87.353,34.542,48,61.0,72.5,76.467,75.062,14.2,0.5,1.067,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,7.28,4.64,52.94,53.06,54.8,100.0,75.28,71.37,67.12,62.76,58.14,53.5,48.88,44.07,39.44,34.93,30.69,26.66,22.92,19.56,16.35,13.48,10.98,8.89,7.11,5.62,4.41,3.37,2.6,1.94,1.48,1.09,0.79,0.56,0.38,0.26,0.18,0.12,0.08,0.06,0.04,0.02,0.01,0.01,0.01,0.01
00-0037840,Kyren Williams,LAR,NO,RB,RB,ACT,4.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NO_LAR,,home,38.031,38.031,37.342,5.19,69.193,23.516,45,76.8,78.0,74.667,73.647,15.2,0.5,0.97,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,7.432,5.014,55.58,66.49,63.05,100.0,90.12,86.21,81.39,75.54,68.96,61.56,53.78,45.71,37.9,30.5,23.91,18.12,13.27,9.46,6.5,4.32,2.82,1.73,1.02,0.6,0.33,0.18,0.09,0.04,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
