player_id,player_name,team,opponent,position,depth_chart_position,rushing_depth_role,rushing_qb_qualified,rushing_qb_starter_source,rushing_qb_weighted_carries,rushing_qb_weighted_yards,rushing_qb_last5_carries,rushing_qb_last5_yards,rushing_rb_current_games,rushing_rb_current_games_with_carry,rushing_rb_current_carries,rushing_rb_current_yards,rushing_rb_current_carries_pg,rushing_rb_last_game_carries,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_rushing_yards,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,projected_rush_attempts,projected_ypc,carry_share,red_zone_rush_share,goal_line_share,prob_0_plus,prob_5_plus,prob_10_plus,prob_15_plus,prob_20_plus,prob_25_plus,prob_30_plus,prob_35_plus,prob_40_plus,prob_45_plus,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,prob_75_plus,prob_80_plus,prob_85_plus,prob_90_plus,prob_95_plus,prob_100_plus,prob_105_plus,prob_110_plus,prob_115_plus,prob_120_plus,prob_125_plus,prob_130_plus,prob_135_plus,prob_140_plus,prob_145_plus,prob_150_plus,prob_155_plus,prob_160_plus,prob_165_plus,prob_170_plus,prob_175_plus,prob_180_plus,prob_185_plus,prob_190_plus,prob_195_plus,prob_200_plus
00-0032764,Derrick Henry,BAL,NO,RB,RB,RB1,True,nan,,,,,1.0,1.0,24.0,144.0,24.0,24.0,ACT,10.0,2026,REG,2,2026 REG W2,401872938,2026-09-20T17:00Z,home,129.274,129.274,129.449,65.628,192.741,49.332,52,142.8,111.0,99.8,144.0,21.8,1.0,1.031,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,20.317,6.345,60.54,61.91,84.22,100.0,99.38,99.17,98.9,98.58,98.17,97.72,97.09,96.32,95.47,94.45,93.23,91.82,90.23,88.39,86.38,83.95,81.33,78.54,75.49,72.25,68.73,65.15,61.42,57.57,53.56,49.57,45.45,41.46,37.6,33.77,30.15,26.69,23.47,20.56,17.8,15.28,13.02,11.01,9.2,7.65
00-0038542,Bijan Robinson,ATL,CAR,RB,RB,RB1,True,nan,,,,,1.0,1.0,21.0,83.0,21.0,21.0,ACT,3.0,2026,REG,2,2026 REG W2,401872933,2026-09-20T17:00Z,home,99.922,99.922,99.829,35.462,163.531,48.889,52,96.0,96.6,88.133,83.0,18.6,1.0,1.087,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,17.977,5.524,63.21,52.21,48.26,100.0,97.08,96.35,95.46,94.41,93.18,91.75,90.14,88.31,86.21,83.91,81.29,78.52,75.48,72.15,68.72,65.19,61.53,57.69,53.81,49.87,45.72,41.73,37.86,34.08,30.61,27.03,23.8,20.82,18.06,15.54,13.34,11.29,9.45,7.84,6.44,5.28,4.28,3.43,2.74,2.19
00-0038134,Kenneth Walker III,KC,IND,RB,RB,RB1,True,nan,,,,,1.0,1.0,23.0,173.0,23.0,23.0,ACT,4.0,2026,REG,2,2026 REG W2,401872945,2026-09-21T00:20Z,home,87.838,87.838,87.502,40.845,134.916,36.433,44,87.6,72.8,69.133,173.0,14.8,1.0,0.916,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,17.578,4.99,57.16,44.22,40.67,100.0,98.81,98.31,97.62,96.78,95.58,94.21,92.55,90.37,87.86,84.87,81.49,77.6,73.25,68.57,63.49,58.3,52.84,47.32,42.03,36.83,31.91,27.2,22.81,18.87,15.5,12.52,9.96,7.78,6.0,4.49,3.36,2.49,1.82,1.3,0.91,0.62,0.41,0.27,0.17,0.11
00-0034844,Saquon Barkley,PHI,TEN,RB,RB,RB1,True,nan,,,,,1.0,1.0,15.0,83.0,15.0,15.0,ACT,8.0,2026,REG,2,2026 REG W2,401872939,2026-09-20T17:00Z,away,80.268,80.268,79.875,25.465,133.935,41.227,47,96.6,85.4,71.667,83.0,19.4,1.0,0.932,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,19.582,4.062,63.31,51.12,54.47,100.0,96.22,95.03,93.69,92.09,90.2,88.01,85.41,82.53,79.31,75.75,72.02,68.0,63.69,59.21,54.57,49.88,45.19,40.46,35.97,31.74,27.68,23.84,20.29,16.98,14.21,11.75,9.58,7.75,6.18,4.91,3.81,2.93,2.2,1.64,1.19,0.87,0.62,0.44,0.31,0.22
00-0037248,James Cook,BUF,DET,RB,RB,RB1,True,nan,,,,,2.0,2.0,34.0,192.0,17.0,21.0,ACT,4.0,2026,REG,2,2026 REG W2,401872932,2026-09-18T00:15Z,home,78.172,78.172,77.303,15.547,138.354,45.622,52,79.6,89.3,94.133,96.0,14.4,1.0,0.869,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,16.427,4.689,52.59,45.67,36.08,100.0,93.3,91.9,90.22,88.26,86.17,83.82,81.07,78.03,74.84,71.31,67.67,63.97,60.08,56.01,51.91,47.77,43.6,39.55,35.45,31.57,27.88,24.58,21.4,18.54,15.86,13.4,11.27,9.41,7.75,6.38,5.17,4.13,3.26,2.56,2.01,1.55,1.19,0.88,0.67,0.49
00-0039139,Jahmyr Gibbs,DET,BUF,RB,RB,RB1,True,nan,,,,,2.0,2.0,45.0,208.0,22.5,16.0,ACT,3.0,2026,REG,2,2026 REG W2,401872932,2026-09-18T00:15Z,away,77.398,77.398,75.26,5.081,145.252,50.655,51,66.2,73.8,77.333,104.0,17.6,1.0,0.971,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,16.115,4.653,64.24,50.71,37.14,100.0,90.02,88.39,86.61,84.54,82.21,79.71,77.05,74.09,71.02,67.84,64.5,61.04,57.44,53.78,50.19,46.6,43.03,39.49,35.97,32.52,29.32,26.23,23.36,20.65,18.21,15.83,13.74,11.82,10.08,8.54,7.2,6.02,4.99,4.12,3.35,2.73,2.23,1.79,1.39,1.1
00-0038120,Breece Hall,NYJ,GB,RB,RB,RB1,True,nan,,,,,1.0,1.0,22.0,102.0,22.0,22.0,ACT,4.0,2026,REG,2,2026 REG W2,401872936,2026-09-20T17:00Z,home,75.613,75.613,75.518,33.841,117.174,32.269,50,66.6,71.9,68.733,102.0,15.6,1.0,1.005,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,15.538,4.85,59.9,48.23,51.54,100.0,98.49,97.76,96.85,95.59,93.94,91.88,89.32,86.28,82.57,78.33,73.5,68.31,62.72,56.75,50.67,44.4,38.43,32.81,27.41,22.49,18.21,14.43,11.23,8.59,6.45,4.76,3.45,2.44,1.68,1.13,0.73,0.47,0.29,0.18,0.12,0.07,0.03,0.02,0.01,0.0
00-0036275,D'Andre Swift,CHI,MIN,RB,RB,RB1,True,nan,,,,,1.0,1.0,18.0,124.0,18.0,18.0,ACT,6.0,2026,REG,2,2026 REG W2,401872937,2026-09-20T17:00Z,home,72.297,72.297,72.263,28.446,115.458,33.393,50,74.8,74.7,73.0,124.0,13.6,1.0,0.867,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,14.052,5.149,47.69,44.85,46.93,100.0,97.6,96.62,95.33,93.75,91.74,89.19,86.23,82.74,78.84,74.23,69.23,63.99,58.43,52.65,46.76,40.88,35.24,29.92,25.11,20.61,16.59,13.13,10.26,7.81,5.85,4.33,3.14,2.24,1.59,1.07,0.7,0.47,0.27,0.16,0.1,0.07,0.04,0.02,0.01,0.0
00-0036223,Jonathan Taylor,IND,KC,RB,RB,RB1,True,nan,,,,,1.0,1.0,19.0,98.0,19.0,19.0,ACT,6.0,2026,REG,2,2026 REG W2,401872945,2026-09-21T00:20Z,away,72.087,72.087,69.941,2.241,137.431,48.511,42,65.4,83.3,89.667,98.0,19.0,1.0,0.85,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,19.271,3.621,78.54,59.06,56.88,100.0,89.03,87.17,85.09,82.68,80.19,77.41,74.47,71.36,68.11,64.71,61.19,57.53,53.75,49.95,46.12,42.33,38.67,35.03,31.66,28.3,25.23,22.33,19.58,17.02,14.81,12.71,10.84,9.2,7.7,6.44,5.32,4.34,3.5,2.85,2.28,1.77,1.39,1.07,0.83,0.64
00-0040122,Ashton Jeanty,LV,LAC,RB,RB,RB1,True,nan,,,,,1.0,1.0,23.0,102.0,23.0,23.0,ACT,1.0,2026,REG,2,2026 REG W2,401872941,2026-09-20T20:05Z,away,70.039,70.039,69.775,24.093,115.157,34.692,18,82.4,59.0,62.2,102.0,19.6,1.0,0.919,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,17.596,3.962,74.27,74.47,84.62,100.0,96.56,95.31,93.8,91.9,89.53,86.91,83.67,80.01,75.78,71.12,66.14,60.86,55.44,49.72,44.04,38.59,33.31,28.42,23.75,19.64,15.86,12.72,10.09,7.83,5.98,4.43,3.21,2.3,1.67,1.14,0.83,0.58,0.38,0.26,0.16,0.1,0.06,0.04,0.02,0.01
