player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_rushing_yards,model_version
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,0.0,100.0,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,5.0,81.34,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,10.0,79.01,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,15.0,76.4,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,20.0,73.77,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,25.0,70.87,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,30.0,67.96,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,35.0,64.94,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,40.0,61.7,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,45.0,58.47,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,50.0,55.18,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,55.0,51.92,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,60.0,48.59,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,65.0,45.27,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,70.0,41.99,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,75.0,38.77,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,80.0,35.61,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,85.0,32.51,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,90.0,29.63,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,95.0,26.79,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,100.0,24.14,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,105.0,21.58,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,110.0,19.17,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,115.0,16.9,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,120.0,14.91,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,125.0,13.11,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,130.0,11.37,ELITE,63.19,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,WAS,RB,2026,PRE,3,135.0,9.82,ELITE,63.19,NFL_RUSHING_YARDS_V1
