player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_rushing_yards,model_version
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,0.0,100.0,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,5.0,99.38,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,10.0,99.17,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,15.0,98.9,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,20.0,98.58,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,25.0,98.17,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,30.0,97.72,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,35.0,97.09,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,40.0,96.32,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,45.0,95.47,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,50.0,94.45,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,55.0,93.23,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,60.0,91.82,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,65.0,90.23,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,70.0,88.39,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,75.0,86.38,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,80.0,83.95,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,85.0,81.33,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,90.0,78.54,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,95.0,75.49,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,100.0,72.25,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,105.0,68.73,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,110.0,65.15,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,115.0,61.42,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,120.0,57.57,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,125.0,53.56,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,130.0,49.57,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,135.0,45.45,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,140.0,41.46,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,145.0,37.6,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,150.0,33.77,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,155.0,30.15,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,160.0,26.69,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,165.0,23.47,ELITE,129.274,NFL_RUSHING_YARDS_V1
00-0032764,Derrick Henry,BAL,NO,RB,2026,REG,2,170.0,20.56,ELITE,129.274,NFL_RUSHING_YARDS_V1
