player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,game_id,game_date,home_away,season,season_type,week,projected_role
00-0023459,Aaron Rodgers,PIT,BUF,QB,QB,ACT,21.0,2026_PRE_W3_PIT_BUF,,away,2026,PRE,3,QB
00-0026158,Joe Flacco,CIN,PHI,QB,QB,ACT,18.0,2026_PRE_W3_CIN_PHI,,away,2026,PRE,3,QB
00-0026300,Josh Johnson,CIN,PHI,QB,QB,ACT,18.0,2026_PRE_W3_CIN_PHI,,away,2026,PRE,3,QB
00-0026498,Matthew Stafford,LAR,LAC,QB,QB,ACT,17.0,2026_PRE_W3_LAR_LAC,,away,2026,PRE,3,QB
00-0027973,Andy Dalton,PHI,CIN,QB,QB,ACT,15.0,2026_PRE_W3_CIN_PHI,,home,2026,PRE,3,QB
00-0028118,Tyrod Taylor,GB,ARI,QB,QB,ACT,15.0,2026_PRE_W3_ARI_GB,,home,2026,PRE,3,QB
00-0028986,Case Keenum,CHI,TEN,QB,QB,ACT,14.0,2026_PRE_W3_CHI_TEN,,away,2026,PRE,3,QB
00-0029604,Kirk Cousins,LV,SF,QB,QB,ACT,14.0,2026_PRE_W3_SF_LV,,home,2026,PRE,3,QB
00-0029892,Kyle Juszczyk,SF,LV,RB,FB,ACT,13.0,2026_PRE_W3_SF_LV,,away,2026,PRE,3,FB
00-0030506,Travis Kelce,KC,SEA,TE,TE,ACT,13.0,2026_PRE_W3_SEA_KC,,home,2026,PRE,3,TE
00-0030565,Geno Smith,NYJ,NYG,QB,QB,ACT,13.0,2026_PRE_W3_NYG_NYJ,,home,2026,PRE,3,QB
00-0031235,Odell Beckham Jr.,NYG,NYJ,WR,WR,ACT,12.0,2026_PRE_W3_NYG_NYJ,,away,2026,PRE,3,WR
00-0031237,Teddy Bridgewater,DET,IND,QB,QB,ACT,12.0,2026_PRE_W3_DET_IND,,away,2026,PRE,3,QB
00-0031381,Davante Adams,LAR,LAC,WR,WR,ACT,12.0,2026_PRE_W3_LAR_LAC,,away,2026,PRE,3,WR
00-0031408,Mike Evans,SF,LV,WR,WR,ACT,12.0,2026_PRE_W3_SF_LV,,away,2026,PRE,3,WR
00-0031484,Chris Manhertz,NYG,NYJ,TE,TE,ACT,11.0,2026_PRE_W3_NYG_NYJ,,away,2026,PRE,3,TE
00-0031503,Jameis Winston,NYG,NYJ,QB,QB,ACT,11.0,2026_PRE_W3_NYG_NYJ,,away,2026,PRE,3,QB
00-0031595,Michael Burton,CLE,NE,RB,FB,ACT,11.0,2026_PRE_W3_NE_CLE,,home,2026,PRE,3,FB
00-0032104,Ameer Abdullah,JAX,TB,RB,RB,ACT,11.0,2026_PRE_W3_TB_JAX,,home,2026,PRE,3,RB
00-0032156,Trevor Siemian,ATL,MIA,QB,QB,ACT,11.0,2026_PRE_W3_ATL_MIA,,away,2026,PRE,3,QB
00-0032208,Phillip Dorsett,LV,SF,WR,WR,ACT,11.0,2026_PRE_W3_SF_LV,,home,2026,PRE,3,WR
00-0032268,Marcus Mariota,WAS,BAL,QB,QB,ACT,11.0,2026_PRE_W3_WAS_BAL,,away,2026,PRE,3,QB
00-0032392,Austin Hooper,ATL,MIA,TE,TE,ACT,10.0,2026_PRE_W3_ATL_MIA,,away,2026,PRE,3,TE
00-0032434,Brandon Allen,NYG,NYJ,QB,QB,ACT,10.0,2026_PRE_W3_NYG_NYJ,,away,2026,PRE,3,QB
00-0032464,Kalif Raymond,CHI,TEN,WR,WR,ACT,10.0,2026_PRE_W3_CHI_TEN,,away,2026,PRE,3,WR
00-0032764,Derrick Henry,BAL,WAS,RB,RB,ACT,10.0,2026_PRE_W3_WAS_BAL,,home,2026,PRE,3,RB
00-0032775,Demarcus Robinson,SF,LV,WR,WR,ACT,10.0,2026_PRE_W3_SF_LV,,away,2026,PRE,3,WR
00-0032950,Carson Wentz,MIN,DEN,QB,QB,ACT,10.0,2026_PRE_W3_MIN_DEN,,away,2026,PRE,3,QB
