Date,GamePk,Pitcher,PitcherID,Opponent,Pitcher Team,Venue,Pitcher Hand,Starter Sample,Limited Starter Sample,Season Data Fallback,Games Started,Games Played,Starter Ratio,Season BF,K,ERA,Pitcher K9,Base Model K%,Lineup Model K%,Final Model K%,Skill Workload Anchor K,Projection Sanity Ratio,Lineup Source,Lineup Reliability,Pitch-Type Matchup Score,Shape Matchup Score,Sequence Advantage Score,Avg Zone Contact%,Avg Chase Contact%,Avg 2Strike Foul%,Avg 2Strike Contact%,Expected BF,Expected Pitches,Hook Aggression,Manager Factor,Bullpen Factor,Park Factor,Weather Factor,Workload Context Factor,Proj K,Sim Mean K,Fair Line,Line,LineSource,Edge,Recommendation,Recommendation Tier,MORE Probability,LESS Probability,Best Side %,Best MORE Line,Best MORE Probability,Best MORE Tier,Best MORE Qualified,Over %,Under %,Raw Over %,Raw Under %,MORE 2.5 %,LESS 2.5 %,MORE 3.0 %,LESS 3.0 %,PUSH 3.0 %,MORE 3.5 %,LESS 3.5 %,MORE 4.0 %,LESS 4.0 %,PUSH 4.0 %,MORE 4.5 %,LESS 4.5 %,MORE 5.0 %,LESS 5.0 %,PUSH 5.0 %,MORE 5.5 %,LESS 5.5 %,MORE 6.0 %,LESS 6.0 %,PUSH 6.0 %,MORE 6.5 %,LESS 6.5 %,MORE 7.0 %,LESS 7.0 %,PUSH 7.0 %,MORE 7.5 %,LESS 7.5 %,MORE 8.0 %,LESS 8.0 %,PUSH 8.0 %,MORE 8.5 %,LESS 8.5 %,MORE 9.0 %,LESS 9.0 %,PUSH 9.0 %,MORE 9.5 %,LESS 9.5 %,MORE 10.0 %,LESS 10.0 %,PUSH 10.0 %,MORE 10.5 %,LESS 10.5 %,MORE 11.0 %,LESS 11.0 %,PUSH 11.0 %,Ladder 3+,Ladder 4+,Ladder 5+,Ladder 6+,Ladder 7+,Ladder 8+,Ladder 9+,Ladder 10+,Ladder 11+,Ladder 12+,Ladder 13+,K State Floor%,K State Median%,K State Strong%,K State Dominant%,K State Peak%,P Floor State,P Median State,P Strong State,P Dominant State,P Peak State,K Ceiling Score,Elite K Index,Peak K Index,Historical K Volatility,Historical K Volatility Starts,Historical P90 K%,Recent Peak Skill Score,Recent Peak Whiff%,Recent Peak CSW%,Recent Peak 2Strike Whiff%,Recent Peak PutAway%,K State Expected%,Whiff%,Chase%,CSW%,FirstStrike%,2Strike Whiff%,PutAway Proxy%,Stuff Score,Pitcher K Talent Score,Today K Environment Score,Workload Opportunity Score,K Opportunity Score,Velo Change,Whiff Change,Arsenal Change Score,Umpire,Catcher,Official Combined Factor,Sim SD,Model Confidence,Probability Calibration,Projection Calibration N,Actual K,Projection Error,Absolute Error,Side Result,ModelVersion,Actionable
2026-09-19,822921,Freddy Peralta,642547,Boston Red Sox,Tampa Bay Rays,Tropicana Field,R,Established Starter Sample,False,False,30,30,1.0,685.0,-,4.67,8.32,19.01,17.22,18.15,4.28,0.925,Confirmed,1.0,-0.694,-0.421,0.0,87.9,62.5,21.6,78.6,22.44,86.1,0.585,1.0,1.0,1.0,1.0,1.0,3.96,3.96,4.5,3.5,Model fallback,0.46,PASS,PASS,53.8,46.2,53.8,2.5,71.2,ELITE MORE,True,53.7725,46.2275,53.8,46.2,71.2,28.8,53.8,28.8,17.4,53.8,46.2,36.7,46.2,17.1,36.7,63.3,23.3,63.3,13.4,23.3,76.7,13.7,76.7,9.5,13.7,86.3,7.6,86.3,6.1,7.6,92.4,3.8,92.4,3.9,3.8,96.2,1.8,96.2,2.0,1.8,98.2,0.8,98.2,1.0,0.8,99.2,0.3,99.2,0.5,71.2,53.8,36.7,23.3,13.7,7.6,3.8,1.8,0.8,0.3,0.1,13.3,18.1,22.6,26.8,31.1,18.1,50.6,22.0,8.8,0.4,36.2,-0.425,-0.394,0.0641,18,26.8,0.133,28.4,25.0,25.7,24.3,19.09,21.59,35.32,23.29,55.71,19.16,11.99,44.4,33.6,27.1,45.9,33.5,0.2,-2.41,-0.207,Jeremie Rehak,Nick Fortes,1.0,2.29,96.0,OFF,0,,,,,V4.8 Full Starter Coverage + GitHub Auto-Publish,0
2026-09-19,824545,Jackson Jobe,695549,Chicago White Sox,Detroit Tigers,Rate Field,R,Established Starter Sample,False,False,7,7,1.0,148.0,-,3.89,8.83,19.98,21.85,20.87,4.89,1.015,Confirmed,1.0,-0.348,0.307,0.0,82.5,53.6,22.3,71.9,22.48,87.3,0.651,1.0,1.0,1.0,1.0,1.0,4.97,4.97,5.5,4.5,Model fallback,0.47,PASS,PASS,53.7,46.3,53.7,3.5,69.3,ELITE MORE,True,53.6525,46.347500000000004,53.7,46.3,83.3,16.7,69.3,16.7,14.0,69.3,30.7,53.7,30.7,15.6,53.7,46.3,38.3,46.3,15.3,38.3,61.7,25.8,61.7,12.5,25.8,74.2,16.1,74.2,9.7,16.1,83.9,9.3,83.9,6.9,9.3,90.7,4.9,90.7,4.4,4.9,95.1,2.4,95.1,2.5,2.4,97.6,1.1,97.6,1.3,83.3,69.3,53.7,38.3,25.8,16.1,9.3,4.9,2.4,1.1,0.5,17.2,20.9,24.3,27.4,34.9,17.2,49.6,22.9,9.5,0.8,38.2,-0.353,-0.405,0.0556,7,33.9,-0.152,20.9,24.4,28.1,27.8,21.76,18.51,31.4,22.75,56.38,20.39,12.96,44.4,33.6,43.5,43.9,39.6,-0.89,1.35,0.174,Mark Wegner,Dillon Dingler,1.0,2.54,79.1,OFF,0,,,,,V4.8 Full Starter Coverage + GitHub Auto-Publish,0
2026-09-19,824137,Hayden Wesneski,669713,Atlanta Braves,Houston Astros,Daikin Park,R,Established Starter Sample,False,False,9,9,1.0,198.0,-,3.7,7.03,18.08,17.57,17.93,4.08,0.974,Projected roster,0.62,-0.447,-0.185,0.0,85.7,63.8,27.7,79.1,21.72,83.6,0.54,1.0,1.0,1.0,1.0,1.0,3.97,3.97,4.5,3.5,Model fallback,0.47,PASS,PASS,53.7,46.3,53.7,2.5,71.4,ELITE MORE,True,53.72749999999999,46.2725,53.7,46.3,71.4,28.6,53.7,28.6,17.7,53.7,46.3,37.3,46.3,16.5,37.3,62.7,23.6,62.7,13.7,23.6,76.4,13.9,76.4,9.7,13.9,86.1,7.6,86.1,6.3,7.6,92.4,4.0,92.4,3.7,4.0,96.0,1.8,96.0,2.2,1.8,98.2,0.7,98.2,1.1,0.7,99.3,0.3,99.3,0.4,71.4,53.7,37.3,23.6,13.9,7.6,4.0,1.8,0.7,0.3,0.1,14.2,17.9,21.4,24.8,31.0,17.6,50.0,22.5,9.2,0.7,43.2,-0.22,-0.186,0.0546,9,30.0,0.301,26.0,27.2,34.5,20.7,18.78,21.82,35.11,26.42,67.17,24.41,13.08,48.6,33.5,30.5,43.6,34.3,-0.96,-9.73,-0.845,-,Yainer Diaz,1.0,2.3,73.5,OFF,0,,,,,V4.8 Full Starter Coverage + GitHub Auto-Publish,0
2026-09-19,823571,Christian Scott,681035,Philadelphia Phillies,New York Mets,Citi Field,R,Established Starter Sample,False,False,22,22,1.0,453.0,-,3.76,10.85,25.66,24.48,25.31,6.12,0.962,Projected roster,0.62,-0.181,-0.473,0.0,88.7,64.7,25.7,81.2,22.9,89.8,0.57,1.0,1.0,1.0,1.0,1.0,5.89,5.89,6.5,5.5,Model fallback,0.39,PASS,PASS,52.4,47.6,52.4,4.5,66.5,ELITE MORE,True,52.3675,47.6325,52.4,47.6,90.0,10.0,79.6,10.0,10.4,79.6,20.4,66.5,20.4,13.1,66.5,33.5,52.4,33.5,14.1,52.4,47.6,38.4,47.6,13.9,38.4,61.6,26.8,61.6,11.7,26.8,73.2,17.3,73.2,9.5,17.3,82.7,10.5,82.7,6.8,10.5,89.5,5.9,89.5,4.6,5.9,94.1,3.1,94.1,2.9,90.0,79.6,66.5,52.4,38.4,26.8,17.3,10.5,5.9,3.1,1.5,19.6,25.3,30.6,35.8,41.3,17.3,49.2,22.9,9.6,1.0,50.8,-0.006,0.007,0.0759,18,37.2,0.764,31.7,30.1,24.5,32.8,26.72,24.63,30.92,26.89,64.0,22.7,14.23,51.9,48.6,37.5,47.1,43.9,0.02,-5.01,-0.408,-,Francisco Alvarez,1.0,2.76,86.8,OFF,0,,,,,V4.8 Full Starter Coverage + GitHub Auto-Publish,0
2026-09-19,824788,Robert Gasser,688107,Baltimore Orioles,Milwaukee Brewers,Oriole Park at Camden Yards,L,Established Starter Sample,False,False,18,19,0.947,417.0,-,4.3,8.6,20.37,22.02,20.86,4.76,1.022,Projected roster,0.62,-0.43,0.273,0.0,83.1,55.3,25.0,74.0,21.92,85.1,0.595,1.0,1.0,1.0,1.0,1.0,4.86,4.86,5.5,4.5,Model fallback,0.36,PASS,PASS,52.0,48.0,52.0,3.5,68.1,ELITE MORE,True,51.980000000000004,48.02,52.0,48.0,82.7,17.3,68.1,17.3,14.6,68.1,31.9,52.0,31.9,16.2,52.0,48.0,36.7,48.0,15.3,36.7,63.3,24.1,63.3,12.6,24.1,75.9,14.6,75.9,9.5,14.6,85.4,8.3,85.4,6.3,8.3,91.7,4.3,91.7,3.9,4.3,95.7,2.2,95.7,2.2,2.2,97.8,1.0,97.8,1.2,82.7,68.1,52.0,36.7,24.1,14.6,8.3,4.3,2.2,1.0,0.4,17.2,20.9,24.3,27.5,30.7,17.3,49.7,22.8,9.5,0.8,39.1,-0.315,-0.372,0.0494,18,28.2,-0.194,20.5,29.2,21.5,23.7,21.72,19.61,27.95,26.85,62.63,20.31,11.02,42.2,36.3,42.0,43.7,40.1,0.67,2.92,0.398,-,Gary Sánchez,1.0,2.49,84.4,OFF,0,,,,,V4.8 Full Starter Coverage + GitHub Auto-Publish,0
2026-09-19,823330,Noah Cameron,702070,Pittsburgh Pirates,Kansas City Royals,PNC Park,L,Established Starter Sample,False,False,28,29,0.966,692.0,-,3.84,8.06,21.98,21.97,21.98,5.98,0.981,Projected roster,0.62,-0.213,-0.107,0.009,86.5,59.6,23.9,79.5,24.34,94.9,0.475,1.0,1.0,1.0,1.0,1.0,5.87,5.87,6.5,5.5,Model fallback,0.37,PASS,PASS,51.1,48.9,51.1,4.5,64.5,STRONG MORE,True,51.129999999999995,48.870000000000005,51.1,48.9,87.5,12.5,77.0,12.5,10.5,77.0,23.0,64.5,23.0,12.6,64.5,35.5,51.1,35.5,13.3,51.1,48.9,38.2,48.9,13.0,38.2,61.8,27.4,61.8,10.8,27.4,72.6,18.7,72.6,8.7,18.7,81.3,12.2,81.3,6.5,12.2,87.8,7.5,87.8,4.7,7.5,92.5,4.4,92.5,3.1,87.5,77.0,64.5,51.1,38.2,27.4,18.7,12.2,7.5,4.4,2.5,14.9,22.0,28.8,35.5,42.6,15.8,46.0,24.3,11.2,2.7,60.2,0.159,0.271,0.095,18,32.5,1.356,31.8,31.0,44.8,30.8,24.59,26.75,32.23,27.42,61.73,27.17,16.32,47.8,44.6,39.1,56.0,44.7,-0.15,-0.86,-0.174,-,Luke Maile,1.0,3.0,86.6,OFF,0,,,,,V4.8 Full Starter Coverage + GitHub Auto-Publish,0
2026-09-19,824137,Grant Holmes,656550,Houston Astros,Atlanta Braves,Daikin Park,R,Established Starter Sample,False,False,28,29,0.966,601.0,-,3.49,6.99,18.18,18.43,18.26,3.87,0.983,Projected roster,0.62,-0.248,-0.132,0.067,85.7,61.7,26.3,76.0,19.74,76.1,0.6,1.0,1.0,1.0,1.0,1.0,3.81,3.81,4.5,3.5,Model fallback,0.31,PASS,PASS,51.0,49.0,51.0,2.5,68.7,ELITE MORE,True,50.9775,49.0225,51.0,49.0,68.7,31.3,51.0,31.3,17.7,51.0,49.0,34.1,49.0,16.9,34.1,65.9,21.3,65.9,12.8,21.3,78.7,12.0,78.7,9.3,12.0,88.0,6.4,88.0,5.6,6.4,93.6,3.2,93.6,3.3,3.2,96.8,1.6,96.8,1.6,1.6,98.5,0.7,98.5,0.8,0.7,99.3,0.3,99.3,0.4,68.7,51.0,34.1,21.3,12.0,6.4,3.2,1.6,0.7,0.3,0.1,12.9,18.3,23.3,28.2,33.2,17.1,49.3,22.9,9.7,0.9,53.2,0.047,0.142,0.0719,18,25.7,0.534,26.9,28.4,38.3,21.2,19.61,26.26,30.98,26.29,60.7,26.13,16.57,47.7,38.3,32.7,34.5,35.3,0.54,0.42,0.29,-,Sean Murphy,1.0,2.25,88.7,OFF,0,,,,,V4.8 Full Starter Coverage + GitHub Auto-Publish,0
2026-09-19,823003,Michael McGreevy,700241,Washington Nationals,St. Louis Cardinals,Busch Stadium,R,Established Starter Sample,False,False,29,29,1.0,658.0,-,3.83,6.3,16.28,15.34,16.0,4.07,0.947,Projected roster,0.62,-0.606,-0.147,0.0,87.9,60.4,23.7,78.3,23.8,91.1,0.56,1.0,1.0,1.0,1.0,1.0,3.85,3.85,4.5,3.5,Model fallback,0.35,PASS,PASS,50.9,49.1,50.9,2.5,68.3,ELITE MORE,True,50.9475,49.0525,50.9,49.1,68.3,31.7,50.9,31.7,17.3,50.9,49.1,35.0,49.1,15.9,35.0,65.0,22.4,65.0,12.6,22.4,77.6,13.4,77.6,9.0,13.4,86.6,7.5,86.6,5.9,7.5,92.5,4.1,92.5,3.4,4.1,95.9,2.0,95.9,2.1,2.0,98.0,0.9,98.0,1.0,0.9,99.1,0.4,99.1,0.5,68.3,50.9,35.0,22.4,13.4,7.5,4.1,2.0,0.9,0.4,0.1,11.1,16.0,20.6,24.8,29.1,17.7,49.6,22.7,9.3,0.7,39.0,-0.415,-0.367,0.0652,18,25.3,0.014,28.2,27.7,20.2,19.7,17.08,20.25,28.57,24.67,56.71,21.32,12.29,41.8,29.6,27.7,53.6,33.6,0.4,5.76,0.493,-,Leo Bernal,1.0,2.35,89.3,OFF,0,,,,,V4.8 Full Starter Coverage + GitHub Auto-Publish,0
2026-09-19,825029,Cam Schlittler,693645,Arizona Diamondbacks,New York Yankees,Chase Field,R,Established Starter Sample,False,False,31,31,1.0,722.0,-,1.95,11.11,34.59,32.53,33.98,9.27,0.939,Projected roster,0.62,-0.364,-0.647,0.0,87.2,68.6,27.1,82.5,24.68,99.0,0.435,1.0,1.0,1.0,1.0,1.0,8.7,8.7,9.5,8.5,Model fallback,0.2,PASS,PASS,50.2,49.8,50.2,7.5,61.6,STRONG MORE,True,50.195,49.805,50.2,49.8,98.0,2.0,94.9,2.0,3.1,94.9,5.1,89.6,5.1,5.3,89.6,10.4,82.2,10.4,7.4,82.2,17.8,72.7,17.8,9.5,72.7,27.3,61.6,27.3,11.1,61.6,38.4,50.2,38.4,11.4,50.2,49.8,39.1,49.8,11.1,39.1,60.9,29.1,60.9,9.9,29.1,70.9,20.4,70.9,8.7,98.0,94.9,89.6,82.2,72.7,61.6,50.2,39.1,29.1,20.4,13.7,26.9,34.0,41.5,48.6,56.1,15.3,43.4,24.2,12.6,4.6,82.9,0.9,0.842,0.095,18,45.9,1.403,33.3,31.3,35.2,40.3,37.55,31.2,32.79,31.52,56.22,33.51,22.15,61.3,72.2,46.1,57.5,58.8,-0.12,2.49,0.194,-,Austin Wells,1.0,3.38,84.9,OFF,0,,,,,V4.8 Full Starter Coverage + GitHub Auto-Publish,0
2026-09-19,823249,Eury Pérez,691587,San Diego Padres,Miami Marlins,Petco Park,R,Established Starter Sample,False,False,27,27,1.0,602.0,-,3.99,9.67,23.45,22.62,23.2,6.01,0.957,Projected roster,0.62,-0.29,-0.206,0.002,87.9,56.0,25.4,79.9,23.95,93.5,0.58,1.0,1.0,1.0,1.0,1.0,5.75,5.75,5.5,5.5,Model fallback,0.25,PASS,PASS,49.8,50.2,49.8,4.5,63.3,STRONG MORE,True,49.835,50.165000000000006,49.8,50.2,87.4,12.6,76.4,12.6,11.1,76.4,23.6,63.3,23.6,13.1,63.3,36.7,49.8,36.7,13.5,49.8,50.2,36.8,50.2,13.0,36.8,63.2,25.8,63.2,11.0,25.8,74.2,17.1,74.2,8.7,17.1,82.9,10.9,82.9,6.2,10.9,89.1,6.5,89.1,4.4,6.5,93.5,3.6,93.5,2.9,87.4,76.4,63.3,49.8,36.8,25.8,17.1,10.9,6.5,3.6,2.0,16.1,23.2,29.8,36.3,43.0,16.9,48.5,23.3,10.0,1.3,52.8,-0.004,0.075,0.095,18,38.9,0.848,30.1,25.0,40.7,32.5,25.11,26.2,30.8,24.9,58.01,21.3,11.69,56.4,45.2,36.7,52.0,43.2,-0.65,-0.66,-0.257,-,Joe Mack,1.0,2.91,87.0,OFF,0,,,,,V4.8 Full Starter Coverage + GitHub Auto-Publish,0
