date,game_pk,game_time_pt,game_status,abstract_game_state,team,opponent,home_away,player_id,player_name,position,batting_order,plate_appearances,at_bats,hits,singles,doubles,triples,home_runs,runs,rbi,walks,hit_by_pitch,stolen_bases,fantasy_score,last_updated_pt
2026-07-17,822789,4:15 PM,Final,Final,Chicago White Sox,Toronto Blue Jays,away,803011,Sam Antonacci,LF,1,5,5,2,1,0,0,1,2,2,0,0,0,21,2026-07-19 08:30:57 PM
2026-07-17,822789,4:15 PM,Final,Final,Chicago White Sox,Toronto Blue Jays,away,808959,Munetaka Murakami,1B,2,5,4,1,1,0,0,0,1,0,1,0,0,7,2026-07-19 08:30:57 PM
2026-07-17,822789,4:15 PM,Final,Final,Chicago White Sox,Toronto Blue Jays,away,695657,Colson Montgomery,3B,4,5,4,2,1,1,0,0,2,3,1,0,0,20,2026-07-19 08:30:57 PM
2026-07-17,822789,4:15 PM,Final,Final,Chicago White Sox,Toronto Blue Jays,away,545341,Randal Grichuk,DH,5,3,2,0,0,0,0,0,1,0,1,0,0,4,2026-07-19 08:30:57 PM
2026-07-17,822789,4:15 PM,Final,Final,Chicago White Sox,Toronto Blue Jays,away,691019,Kyle Teel,C,6,5,5,1,0,1,0,0,0,1,0,0,0,7,2026-07-19 08:30:57 PM
2026-07-17,822789,4:15 PM,Final,Final,Chicago White Sox,Toronto Blue Jays,away,695731,Braden Montgomery,RF,7,5,5,1,0,0,1,0,2,4,0,0,1,25,2026-07-19 08:30:57 PM
2026-07-17,822789,4:15 PM,Final,Final,Chicago White Sox,Toronto Blue Jays,away,671976,Tristan Peters,CF,8,5,4,1,1,0,0,0,0,1,0,0,0,5,2026-07-19 08:30:57 PM
2026-07-17,822789,4:15 PM,Final,Final,Chicago White Sox,Toronto Blue Jays,away,805367,Chase Meidroth,2B,9,4,4,2,2,0,0,0,2,1,0,0,0,12,2026-07-19 08:30:57 PM
2026-07-17,822789,4:15 PM,Final,Final,Chicago White Sox,Toronto Blue Jays,away,643217,Andrew Benintendi,DH,,2,2,1,1,0,0,0,1,0,0,0,0,5,2026-07-19 08:30:57 PM
2026-07-17,822789,4:15 PM,Final,Final,Chicago White Sox,Toronto Blue Jays,away,678246,Miguel Vargas,3B,,5,4,1,1,0,0,0,1,0,0,1,0,7,2026-07-19 08:30:57 PM
2026-07-17,822789,4:15 PM,Final,Final,Toronto Blue Jays,Chicago White Sox,home,676391,Ernie Clement,SS,1,5,4,2,2,0,0,0,1,0,0,1,0,10,2026-07-19 08:30:57 PM
2026-07-17,822789,4:15 PM,Final,Final,Toronto Blue Jays,Chicago White Sox,home,815873,Sean Keys,1B,2,1,0,0,0,0,0,0,0,0,1,0,0,2,2026-07-19 08:30:57 PM
2026-07-17,822789,4:15 PM,Final,Final,Toronto Blue Jays,Chicago White Sox,home,672960,Kazuma Okamoto,3B,3,5,3,0,0,0,0,0,0,0,1,1,0,4,2026-07-19 08:30:57 PM
2026-07-17,822789,4:15 PM,Final,Final,Toronto Blue Jays,Chicago White Sox,home,682729,Jonatan Clase,LF,4,1,1,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:30:57 PM
2026-07-17,822789,4:15 PM,Final,Final,Toronto Blue Jays,Chicago White Sox,home,672386,Alejandro Kirk,C,5,4,2,1,1,0,0,0,0,0,2,0,0,7,2026-07-19 08:30:57 PM
2026-07-17,822789,4:15 PM,Final,Final,Toronto Blue Jays,Chicago White Sox,home,662139,Daulton Varsho,CF,6,4,4,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:30:57 PM
2026-07-17,822789,4:15 PM,Final,Final,Toronto Blue Jays,Chicago White Sox,home,678218,Brandon Valenzuela,DH,7,4,4,1,0,0,0,1,1,1,0,0,0,14,2026-07-19 08:30:57 PM
2026-07-17,822789,4:15 PM,Final,Final,Toronto Blue Jays,Chicago White Sox,home,649966,Luis Urías,2B,8,4,4,1,0,0,0,1,1,1,0,0,0,14,2026-07-19 08:30:57 PM
2026-07-17,822789,4:15 PM,Final,Final,Toronto Blue Jays,Chicago White Sox,home,664702,Myles Straw,RF,9,4,4,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:30:57 PM
2026-07-17,822789,4:15 PM,Final,Final,Toronto Blue Jays,Chicago White Sox,home,543807,George Springer,LF,,4,4,1,0,0,0,1,1,2,0,0,0,16,2026-07-19 08:30:57 PM
2026-07-17,822789,4:15 PM,Final,Final,Toronto Blue Jays,Chicago White Sox,home,665489,Vladimir Guerrero Jr.,1B,,4,4,1,1,0,0,0,0,0,0,0,0,3,2026-07-19 08:30:57 PM
2026-07-17,823115,7:10 PM,Final,Final,San Francisco Giants,Seattle Mariners,away,650333,Luis Arraez,2B,1,5,5,1,1,0,0,0,0,0,0,0,0,3,2026-07-19 08:30:57 PM
2026-07-17,823115,7:10 PM,Final,Final,San Francisco Giants,Seattle Mariners,away,805811,Bryce Eldridge,DH,2,5,5,1,0,0,0,1,1,2,0,0,0,16,2026-07-19 08:30:57 PM
2026-07-17,823115,7:10 PM,Final,Final,San Francisco Giants,Seattle Mariners,away,669477,Casey Schmitt,3B,3,5,5,2,2,0,0,0,1,0,0,0,1,13,2026-07-19 08:30:57 PM
2026-07-17,823115,7:10 PM,Final,Final,San Francisco Giants,Seattle Mariners,away,646240,Rafael Devers,1B,4,5,5,0,0,0,0,0,0,0,0,0,0,0,2026-07-19 08:30:57 PM
