date,game_pk,game_time_pt,game_status,abstract_game_state,team,opponent,home_away,player_id,player_name,position,batting_order,plate_appearances,at_bats,hits,singles,doubles,triples,home_runs,runs,rbi,walks,hit_by_pitch,stolen_bases,fantasy_score,data_source,last_updated_pt
2026-07-24,822707,3:45 PM,Scheduled,Preview,Arizona Diamondbacks,Washington Nationals,away,518876,Merrill Kelly,P,,0,0,0,0,0,0,0,0,0,0,0,0,0,boxscore_fallback,2026-07-23 07:09:02 PM
2026-07-24,822707,3:45 PM,Scheduled,Preview,Arizona Diamondbacks,Washington Nationals,away,543510,James McCann,C,,0,0,0,0,0,0,0,0,0,0,0,0,0,boxscore_fallback,2026-07-23 07:09:02 PM
2026-07-24,822707,3:45 PM,Scheduled,Preview,Arizona Diamondbacks,Washington Nationals,away,545121,Ildemaro Vargas,1B,,0,0,0,0,0,0,0,0,0,0,0,0,0,boxscore_fallback,2026-07-23 07:09:02 PM
2026-07-24,822707,3:45 PM,Scheduled,Preview,Arizona Diamondbacks,Washington Nationals,away,571448,Nolan Arenado,3B,,0,0,0,0,0,0,0,0,0,0,0,0,0,boxscore_fallback,2026-07-23 07:09:02 PM
2026-07-24,822707,3:45 PM,Scheduled,Preview,Washington Nationals,Arizona Diamondbacks,home,571945,Miles Mikolas,P,,0,0,0,0,0,0,0,0,0,0,0,0,0,boxscore_fallback,2026-07-23 07:09:02 PM
2026-07-24,822707,3:45 PM,Scheduled,Preview,Arizona Diamondbacks,Washington Nationals,away,593958,Eduardo Rodriguez,P,,0,0,0,0,0,0,0,0,0,0,0,0,0,boxscore_fallback,2026-07-23 07:09:02 PM
2026-07-24,822707,3:45 PM,Scheduled,Preview,Arizona Diamondbacks,Washington Nationals,away,596146,Max Kepler,LF,,0,0,0,0,0,0,0,0,0,0,0,0,0,boxscore_fallback,2026-07-23 07:09:02 PM
2026-07-24,822707,3:45 PM,Scheduled,Preview,Arizona Diamondbacks,Washington Nationals,away,606466,Ketel Marte,2B,,0,0,0,0,0,0,0,0,0,0,0,0,0,boxscore_fallback,2026-07-23 07:09:02 PM
2026-07-24,822707,3:45 PM,Scheduled,Preview,Arizona Diamondbacks,Washington Nationals,away,623149,Paul Sewald,P,,0,0,0,0,0,0,0,0,0,0,0,0,0,boxscore_fallback,2026-07-23 07:09:02 PM
2026-07-24,822707,3:45 PM,Scheduled,Preview,Washington Nationals,Arizona Diamondbacks,home,640454,Matt Krook,P,,0,0,0,0,0,0,0,0,0,0,0,0,0,boxscore_fallback,2026-07-23 07:09:02 PM
