rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,top_pitch_usage_pct,top_pitch_batter_whiff_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,velo_band_whiff_raw_pct,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,bvp_st_pitches,bvp_st_whiff,bvp_st_csw,bvp_st_k_pa,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,bvp_cu_pitches,bvp_cu_whiff,bvp_cu_csw,bvp_cu_k_pa,bvp_fs_pitches,bvp_fs_whiff,bvp_fs_csw,bvp_fs_k_pa,bvp_sv_pitches,bvp_sv_whiff,bvp_sv_csw,bvp_sv_k_pa
1,2026-08-31,822932,2026-08-31T22:40:00Z,Final,TB,NYM,689414,Liam Hicks,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,1,0.1429,4.0,4.0,4.0,6.0,0.1314,476594,Robert Stock,R,1.15,0.7778,0.3,1.5,LESS,0.9751,-3919,78,89,0.2342,0.3,0.0,0.7249,0.2502,0.0249,0.0,0.0,0.2751,0.0249,0.0,0.2751,0.7249,0.0249,0.9751,0.0,1.0,0.0,1.0,373,37,0.0992,1359,549,59,0.1075,0.2487,0.279,0.8925,0.9712,0.1212,5,2,16,0.4,0.125,0.4,0.0,10,3,33,0.3,0.0909,0.3,0.0,15,6,54,0.4,0.1111,0.3333,0.0667,290,22,0.0759,0.1005,0.2366,0.2656,0.8995,2,0,0.0,0.2154,10,0.0,0.1113,0.2,0.2785,0.0,1.0,1.0,0.0,29.0,0.0,0.0,105,21,0.2,0.2383,0.2716,0.2,90.678,0.0791,0.2444,0.0671,0.0942,1.0,Cutter,0.316,0.087,93.3792,1.5,247,102,4,0.0392,0.0555,VELO_BAND_1.5,0.0572,0.1389,0.1246,0.0881,0.2122,0.1321,0.1433,0.1917,0.1539,0.2342,0.2053,0.1428,Cutter,0.316,91.0977,0.1897,0.3047,4-Seam,0.2642,95.7626,0.2812,0.2617,Sinker,0.2025,93.8305,0.1471,0.2439,Sweeper,0.1136,80.7348,0.2,0.3043,Changeup,0.0938,81.1079,0.45,0.2368,97.5,72.5,25.0,2.5,0.0,0.0,27.5,2.5,0.0,27.5,72.5,2.5,97.5,0.0,100.0,0.0,100.0,9.9,10.7,24.9,27.9,89.3,97.1,12.1,12.5,9.1,11.1,40.0,30.0,33.3,0.0,0.0,6.7,7.6,10.0,23.7,26.6,90.0,0.0,21.5,0.0,11.1,20.0,27.8,0.0,100.0,100.0,0.0,20.0,23.8,27.2,20.0,7.9,24.4,6.7,9.4,100.0,31.6,8.7,13.9,12.5,8.8,21.2,13.2,14.3,19.2,15.4,23.4,20.5,14.3,23.4,14.3,3.9,3.0,0.0,0.0,0.225,,,,,4.0,0.0,0.25,0.0,,,,,0.0,0.0,2.0,0.0,0.0,0.225,1.0,0.115,1.0,0.225,Knuckle Curve,0.0074,78.9333,0.0,0.0,,,,,,,,,,,,
2,2026-08-31,824635,2026-08-31T23:40:00Z,Final,CHC,MIL,663538,Nico Hoerner,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,5,0.7143,6.0,5.8,6.0,1.0,0.7257,690986,Kyle Harrison,L,1.15,0.7593,0.3197,1.5,LESS,0.9719,-3461,80,89,0.2593,0.3197,0.0,0.7085,0.2634,0.028,0.0001,0.0,0.2915,0.0281,0.0001,0.2915,0.7085,0.0281,0.9719,0.0001,0.9999,0.0,1.0,442,38,0.086,1558,752,90,0.1197,0.2413,0.3268,0.8803,0.9501,0.0949,5,3,22,0.6,0.1364,0.6,0.0,10,6,42,0.6,0.1429,0.6,0.0,15,6,63,0.4,0.0952,0.4,0.0,100,8,0.08,0.1379,0.2455,0.3602,0.8621,5,0,0.0,0.2025,22,0.2222,0.1225,0.4091,0.3042,0.2727,0.7778,0.8333,0.0,65.0,0.0,0.0,304,92,0.3026,0.2667,0.3141,0.2305,90.0066,0.0961,0.2308,0.0882,0.1237,1.0,4-Seam,0.5746,0.0669,94.8844,1.5,351,172,7,0.0407,0.0511,VELO_BAND_1.5,0.1245,0.1292,0.1344,0.1003,0.2834,0.1547,0.1404,0.1791,0.1534,0.2593,0.2255,0.1531,4-Seam,0.5746,94.9025,0.2701,0.3297,SV,0.3323,82.1257,0.2931,0.3207,Changeup,0.0695,85.75,0.1795,0.1705,Sinker,0.0229,94.431,0.0769,0.2759,,,,,,97.2,70.8,26.3,2.8,0.0,0.0,29.2,2.8,0.0,29.2,70.8,2.8,97.2,0.0,100.0,0.0,100.0,8.6,12.0,24.1,32.7,88.0,95.0,9.5,13.6,14.3,9.5,60.0,60.0,40.0,0.0,0.0,0.0,8.0,13.8,24.6,36.0,86.2,0.0,20.2,22.2,12.2,40.9,30.4,27.3,77.8,83.3,0.0,30.3,26.7,31.4,23.0,9.6,23.1,8.8,12.4,100.0,57.5,6.7,12.9,13.4,10.0,28.3,15.5,14.0,17.9,15.3,25.9,22.5,15.3,25.9,71.4,4.1,,,,,,,,,13.0,0.2,0.3846,0.0,,,,,0.0,0.0,2.0,0.115,0.5,0.225,,,,,,,,,,,,,,,,,,7.0,0.25,0.4286,0.0
3,2026-08-31,822932,2026-08-31T22:40:00Z,Final,TB,NYM,663743,Nick Fortes,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,1,0.1429,7.0,7.0,7.0,7.0,0.12,476594,Robert Stock,R,1.15,0.7778,0.3676,1.5,LESS,0.9657,-2814,67,86,0.2342,0.3676,0.0,0.6667,0.299,0.0343,0.0,0.0,0.3333,0.0343,0.0,0.3333,0.6667,0.0343,0.9657,0.0,1.0,0.0,1.0,199,24,0.1206,674,356,55,0.1545,0.2404,0.3829,0.8455,0.8914,0.1371,5,2,17,0.4,0.1176,0.4,0.0,10,4,33,0.4,0.1212,0.4,0.0,15,5,46,0.3333,0.1087,0.3333,0.0,99,14,0.1414,0.1824,0.2755,0.4186,0.8176,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,105,21,0.2,0.2383,0.2716,0.2,90.678,0.1083,0.2608,0.1196,0.151,0.9926,Cutter,0.316,0.1143,93.3792,1.5,135,79,8,0.1013,0.1049,VELO_BAND_1.5,0.0,0.1702,0.1497,0.1533,0.2122,0.1802,0.1702,0.2511,0.1944,0.2342,0.2516,0.1787,Cutter,0.316,91.0977,0.1897,0.3047,4-Seam,0.2642,95.7626,0.2812,0.2617,Sinker,0.2025,93.8305,0.1471,0.2439,Sweeper,0.1136,80.7348,0.2,0.3043,Changeup,0.0938,81.1079,0.45,0.2368,96.6,66.7,29.9,3.4,0.0,0.0,33.3,3.4,0.0,33.3,66.7,3.4,96.6,0.0,100.0,0.0,100.0,12.1,15.4,24.0,38.3,84.6,89.1,13.7,11.8,12.1,10.9,40.0,40.0,33.3,0.0,0.0,0.0,14.1,18.2,27.6,41.9,81.8,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,20.0,23.8,27.2,20.0,10.8,26.1,12.0,15.1,99.3,31.6,11.4,17.0,15.0,15.3,21.2,18.0,17.0,25.1,19.4,23.4,25.2,17.9,23.4,14.3,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Knuckle Curve,0.0074,78.9333,0.0,0.0,,,,,,,,,,,,
4,2026-08-31,823663,2026-08-31T23:40:00Z,Final,DET,MIN,805808,Kevin McGonigle,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,7,1.0,3.0,2.8571,3.0,1.0,1.0,671737,Taj Bradley,R,1.15,0.78,0.3594,1.5,LESS,0.9656,-2807,86,91,0.2157,0.3594,0.0,0.6752,0.2904,0.0342,0.0002,0.0,0.3248,0.0344,0.0002,0.3248,0.6752,0.0344,0.9656,0.0002,0.9998,0.0,1.0,450,63,0.14,1773,769,110,0.143,0.2183,0.1921,0.857,0.913,0.1298,5,3,21,0.6,0.1429,0.6,0.0,10,5,43,0.5,0.1163,0.5,0.0,15,9,66,0.6,0.1364,0.5333,0.0667,311,35,0.1125,0.1222,0.2037,0.1921,0.8778,3,0,0.0,0.2109,11,0.0,0.1122,0.1818,0.2763,0.0,1.0,1.0,0.115,83.0,0.0,0.0,453,125,0.2759,0.2356,0.2702,0.2255,93.2499,0.1056,0.2127,0.0955,0.1229,1.0,4-Seam,0.4707,0.0996,94.7702,1.5,394,202,15,0.0743,0.0792,VELO_BAND_1.5,0.0724,0.1703,0.1495,0.1231,0.2667,0.157,0.1735,0.2204,0.1592,0.2157,0.1779,0.1727,4-Seam,0.4707,97.3592,0.1429,0.2441,Cutter,0.2541,89.975,0.3512,0.3413,Splitter,0.1901,91.9189,0.2883,0.2355,Curve,0.0845,83.2052,0.2708,0.281,,,,,,96.6,67.5,29.0,3.4,0.0,0.0,32.5,3.4,0.0,32.5,67.5,3.4,96.6,0.0,100.0,0.0,100.0,14.0,14.3,21.8,19.2,85.7,91.3,13.0,14.3,11.6,13.6,60.0,50.0,53.3,0.0,0.0,6.7,11.3,12.2,20.4,19.2,87.8,0.0,21.1,0.0,11.2,18.2,27.6,0.0,100.0,100.0,11.5,27.6,23.6,27.0,22.6,10.6,21.3,9.5,12.3,100.0,47.1,10.0,17.0,15.0,12.3,26.7,15.7,17.3,22.0,15.9,21.6,17.8,17.3,21.6,100.0,7.4,,,,,,,,,8.0,0.0,0.25,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,3.0,0.115,0.0,0.225,,,,
5,2026-08-31,822689,2026-08-31T22:45:00Z,Final,WSH,MIA,678391,Jorbit Vivas,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,6,0.8571,7.0,7.0,6.0,1.0,0.8686,687473,Ryan Gusto,R,1.15,0.537,0.3702,1.5,LESS,0.9647,-2734,76,88,0.2195,0.3702,0.0,0.6651,0.2996,0.0352,0.0,0.0,0.3349,0.0353,0.0,0.3349,0.6651,0.0353,0.9647,0.0,1.0,0.0,1.0,230,31,0.1348,819,401,66,0.1646,0.2002,0.2748,0.8354,0.9283,0.16,5,1,20,0.2,0.05,0.2,0.0,10,3,36,0.3,0.0833,0.3,0.0,15,6,54,0.4,0.1111,0.4,0.0,201,28,0.1393,0.1652,0.2011,0.2682,0.8348,4,2,0.5,0.2474,17,0.25,0.1234,0.2941,0.2861,0.2222,0.75,0.8333,0.5,10.0,1.0,0.0,277,52,0.1877,0.1835,0.2768,0.1574,88.7039,0.1415,0.2302,0.1289,0.167,1.0,4-Seam,0.2768,0.0763,92.8869,1.5,156,69,4,0.058,0.0744,VELO_BAND_1.5,0.1006,0.178,0.132,0.1493,0.1976,0.2029,0.1844,0.2826,0.1632,0.2195,0.2101,0.1788,4-Seam,0.2768,94.5257,0.1908,0.3007,Changeup,0.1494,87.2859,0.2029,0.2349,Cutter,0.1314,89.2649,0.2353,0.2824,Sweeper,0.1314,81.787,0.1515,0.2595,Sinker,0.1264,93.0627,0.1636,0.3413,96.5,66.5,30.0,3.5,0.0,0.0,33.5,3.5,0.0,33.5,66.5,3.5,96.5,0.0,100.0,0.0,100.0,13.5,16.5,20.0,27.5,83.5,92.8,16.0,5.0,8.3,11.1,20.0,30.0,40.0,0.0,0.0,0.0,13.9,16.5,20.1,26.8,83.5,50.0,24.7,25.0,12.3,29.4,28.6,22.2,75.0,83.3,50.0,18.8,18.3,27.7,15.7,14.1,23.0,12.9,16.7,100.0,27.7,7.6,17.8,13.2,14.9,19.8,20.3,18.4,28.3,16.3,21.9,21.0,17.9,21.9,85.7,5.8,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.115,0.5,0.225,1.0,0.115,1.0,0.225,100.0,0.0,6.0,0.6667,0.5,1.0,,,,,Slider,0.1083,85.3139,0.1791,0.2407,1.0,0.0,0.0,0.225,,,,,,,,
6,2026-08-31,823663,2026-08-31T23:40:00Z,Final,MIN,DET,807712,Luke Keaschall,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,7,1.0,1.0,1.0,1.0,1.0,1.0,695549,Jackson Jobe,R,1.15,0.7407,0.3828,1.5,LESS,0.9613,-2483,76,88,0.2174,0.3828,0.0,0.6559,0.3054,0.0387,0.0,0.0,0.3441,0.0387,0.0,0.3441,0.6559,0.0387,0.9613,0.0,1.0,0.0,1.0,373,55,0.1475,1370,576,98,0.1701,0.2533,0.2174,0.8299,0.8988,0.2105,5,3,22,0.6,0.1364,0.6,0.0,10,6,46,0.6,0.1304,0.6,0.0,15,11,67,0.7333,0.1642,0.6667,0.0667,262,35,0.1336,0.1641,0.2442,0.2197,0.8359,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,80,15,0.1875,0.1667,0.2145,0.1455,92.6215,0.1772,0.2754,0.22,0.1801,1.0,4-Seam,0.3628,0.1152,97.3129,1.5,183,80,14,0.175,0.1594,VELO_BAND_1.5,0.0,0.1808,0.1573,0.1436,0.2083,0.2375,0.1808,0.3488,0.2734,0.2174,0.1882,0.1939,4-Seam,0.3628,97.9122,0.1094,0.2087,Slider,0.2397,89.875,0.1622,0.2105,Sinker,0.1735,96.06,0.2,0.2364,Curve,0.1136,82.8,0.1,0.1944,Changeup,0.1104,85.9,0.4286,0.2286,96.1,65.6,30.5,3.9,0.0,0.0,34.4,3.9,0.0,34.4,65.6,3.9,96.1,0.0,100.0,0.0,100.0,14.7,17.0,25.3,21.7,83.0,89.9,21.1,13.6,13.0,16.4,60.0,60.0,66.7,0.0,0.0,6.7,13.4,16.4,24.4,22.0,83.6,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,18.8,16.7,21.5,14.5,17.7,27.5,22.0,18.0,100.0,36.3,11.5,18.1,15.7,14.4,20.8,23.8,18.1,34.9,27.3,21.7,18.8,19.4,21.7,100.0,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-08-31,824635,2026-08-31T23:40:00Z,Final,MIL,CHC,661388,William Contreras,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,6,0.8571,3.5,3.6667,4.0,2.0,0.8229,605280,Clay Holmes,R,1.15,0.78,0.3749,1.5,LESS,0.961,-2464,79,89,0.2068,0.3749,0.0,0.6642,0.2968,0.0389,0.0001,0.0,0.3358,0.039,0.0001,0.3358,0.6642,0.039,0.961,0.0001,0.9999,0.0,1.0,412,60,0.1456,1488,705,137,0.1943,0.2507,0.2844,0.8057,0.8802,0.1767,5,4,24,0.8,0.1667,0.6,0.2,10,6,48,0.6,0.125,0.4,0.2,15,8,70,0.5333,0.1143,0.3333,0.2,294,43,0.1463,0.1813,0.249,0.2832,0.8187,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,161,30,0.1863,0.1701,0.2492,0.1863,88.8487,0.1486,0.2523,0.1313,0.1416,1.0,Sinker,0.5256,0.0909,92.0455,1.5,198,104,16,0.1538,0.1456,VELO_BAND_1.5,0.0,0.1787,0.1598,0.1525,0.2011,0.1979,0.1787,0.3013,0.2602,0.2068,0.2177,0.1866,Sinker,0.5256,93.1979,0.1083,0.2371,Sweeper,0.1837,81.4991,0.1778,0.3043,Changeup,0.115,87.7833,0.2424,0.1806,Cutter,0.0927,85.381,0.4444,0.3448,Curve,0.0735,81.5783,0.1739,0.2174,96.1,66.4,29.7,3.9,0.0,0.0,33.6,3.9,0.0,33.6,66.4,3.9,96.1,0.0,100.0,0.0,100.0,14.6,19.4,25.1,28.4,80.6,88.0,17.7,16.7,12.5,11.4,60.0,40.0,33.3,20.0,20.0,20.0,14.6,18.1,24.9,28.3,81.9,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,18.6,17.0,24.9,18.6,14.9,25.2,13.1,14.2,100.0,52.6,9.1,17.9,16.0,15.2,20.1,19.8,17.9,30.1,26.0,20.7,21.8,18.7,20.7,85.7,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,4-Seam,0.0096,93.2833,0.0,0.0,,,,,,,,,,,,
8,2026-08-31,822932,2026-08-31T22:40:00Z,Final,NYM,TB,665742,Juan Soto,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,2,0.2857,2.0,2.0,2.0,1.0,0.3429,693855,Ian Seymour,L,1.15,0.6667,0.3903,1.5,LESS,0.9601,-2408,75,88,0.2226,0.3903,0.0,0.6496,0.3105,0.0398,0.0,0.0,0.3504,0.0399,0.0,0.3504,0.6496,0.0399,0.9601,0.0,1.0,0.0,1.0,290,38,0.131,1196,447,84,0.1879,0.2433,0.1915,0.8121,0.8677,0.1697,5,4,19,0.8,0.2105,0.6,0.2,10,7,41,0.7,0.1707,0.5,0.2,15,11,64,0.7333,0.1719,0.6,0.1333,92,10,0.1087,0.2148,0.2632,0.2059,0.7852,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,384,111,0.2891,0.2546,0.2957,0.2656,86.0858,0.1733,0.2474,0.1407,0.1556,1.0,Changeup,0.2904,0.1228,90.948,1.5,129,47,7,0.1489,0.1363,VELO_BAND_1.5,0.0,0.1728,0.1788,0.1364,0.2758,0.2185,0.1728,0.3036,0.2368,0.2226,0.1833,0.196,Changeup,0.2904,83.4524,0.3609,0.292,4-Seam,0.285,91.4059,0.2179,0.2553,Sweeper,0.2236,81.6018,0.257,0.3284,Sinker,0.1335,89.9705,0.0541,0.35,Slider,0.0507,83.275,0.2093,0.3026,96.0,65.0,31.0,4.0,0.0,0.0,35.0,4.0,0.0,35.0,65.0,4.0,96.0,0.0,100.0,0.0,100.0,13.1,18.8,24.3,19.2,81.2,86.8,17.0,21.1,17.1,17.2,60.0,50.0,60.0,20.0,20.0,13.3,10.9,21.5,26.3,20.6,78.5,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,28.9,25.5,29.6,26.6,17.3,24.7,14.1,15.6,100.0,29.0,12.3,17.3,17.9,13.6,27.6,21.9,17.3,30.4,23.7,22.3,18.3,19.6,22.3,28.6,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Curve,0.0093,72.7071,0.5,0.2857,,,,,,,,,,,,
9,2026-08-31,823663,2026-08-31T23:40:00Z,Final,MIN,DET,680777,Ryan Jeffers,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,6,0.8571,3.5,3.835,4.0,1.0,0.8914,695549,Jackson Jobe,R,1.15,0.7407,0.3861,1.5,LESS,0.96,-2398,67,86,0.2174,0.3861,0.0,0.654,0.3059,0.0399,0.0001,0.0,0.346,0.04,0.0001,0.346,0.654,0.04,0.96,0.0001,0.9999,0.0,1.0,187,29,0.1551,780,308,39,0.1266,0.2654,0.25,0.8734,0.9231,0.0882,5,5,18,1.0,0.2778,0.6,0.4,10,6,37,0.6,0.1622,0.4,0.2,15,10,57,0.6667,0.1754,0.5333,0.1333,125,20,0.16,0.1382,0.2686,0.2885,0.8618,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,80,15,0.1875,0.1667,0.2145,0.1455,92.6215,0.1062,0.2657,0.077,0.18,1.0,4-Seam,0.3628,0.049,97.3129,1.5,115,48,3,0.0625,0.0818,VELO_BAND_1.5,0.0,0.1867,0.1951,0.1696,0.2083,0.1943,0.1867,0.1617,0.1692,0.2174,0.1959,0.1892,4-Seam,0.3628,97.9122,0.1094,0.2087,Slider,0.2397,89.875,0.1622,0.2105,Sinker,0.1735,96.06,0.2,0.2364,Curve,0.1136,82.8,0.1,0.1944,Changeup,0.1104,85.9,0.4286,0.2286,96.0,65.4,30.6,4.0,0.0,0.0,34.6,4.0,0.0,34.6,65.4,4.0,96.0,0.0,100.0,0.0,100.0,15.5,12.7,26.5,25.0,87.3,92.3,8.8,27.8,16.2,17.5,60.0,40.0,53.3,40.0,20.0,13.3,16.0,13.8,26.9,28.8,86.2,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,18.8,16.7,21.5,14.5,10.6,26.6,7.7,18.0,100.0,36.3,4.9,18.7,19.5,17.0,20.8,19.4,18.7,16.2,16.9,21.7,19.6,18.9,21.7,85.7,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-08-31,824314,2026-09-01T00:40:00Z,Delayed,COL,BAL,664954,Brett Sullivan,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,2,0.2857,7.5,7.5,8.0,1.0,0.2857,700249,Cade Povich,L,1.15,0.642,0.4088,1.5,LESS,0.9584,-2304,62,84,0.2081,0.4088,0.0,0.6328,0.3256,0.0416,0.0,0.0,0.3672,0.0416,0.0,0.3672,0.6328,0.0416,0.9584,0.0,1.0,0.0,1.0,152,26,0.1711,545,279,42,0.1505,0.222,0.3309,0.8495,0.9153,0.1649,5,4,19,0.8,0.2105,0.6,0.2,10,5,36,0.5,0.1389,0.4,0.1,15,9,52,0.6,0.1731,0.4667,0.1333,35,4,0.1143,0.2034,0.2692,0.2241,0.7966,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,52,10,0.1923,0.1494,0.2396,0.1818,87.649,0.1238,0.2457,0.146,0.2152,1.0,4-Seam,0.5417,0.0968,91.5496,1.5,98,50,5,0.1,0.1054,VELO_BAND_1.5,0.0,0.2016,0.1864,0.1725,0.2138,0.219,0.2016,0.3042,0.2045,0.2081,0.2306,0.2051,4-Seam,0.5417,91.6,0.1333,0.2596,Curve,0.1719,76.4485,0.3571,0.2727,Changeup,0.1406,85.1963,0.1538,0.1852,Slider,0.0781,86.28,0.0,0.2,Sinker,0.0677,91.1462,0.0,0.1538,95.8,63.3,32.6,4.2,0.0,0.0,36.7,4.2,0.0,36.7,63.3,4.2,95.8,0.0,100.0,0.0,100.0,17.1,15.1,22.2,33.1,84.9,91.5,16.5,21.1,13.9,17.3,60.0,40.0,46.7,20.0,10.0,13.3,11.4,20.3,26.9,22.4,79.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,19.2,14.9,24.0,18.2,12.4,24.6,14.6,21.5,100.0,54.2,9.7,20.2,18.6,17.3,21.4,21.9,20.2,30.4,20.4,20.8,23.1,20.5,20.8,28.6,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
