rank,date,game_pk,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_starts,last7_start_rate_pct,last7_most_recent_order,starter_id,starter,starter_hand,expected_pa,starter_pa_share,bullpen_k_pa_pct,proj_k,line,play,true_probability_pct,fair_odds,confidence,ai_score,l5_k_per_game,l10_k_per_game,l15_k_per_game,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,bvp_pa,bvp_k,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_pitches,bvp_whiff_pct,bvp_csw_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,bvp_reliability,split_pa,split_k_rate_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,top_pitch,top_pitch_usage_pct,top_pitch_batter_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw_pct,velo_band_source,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct
1,2026-08-31,822932,TB,NYM,689414,Liam Hicks,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,1,14.3,4.0,476594,Robert Stock,R,1.15,0.7778,23.4,0.3,1.5,LESS,97.5,-3919,78,89,0.4,0.3,0.4,40.0,30.0,33.3,0.0,0.0,6.7,2,0,0.0,21.5,10,0.0,20.0,0.0,100.0,100.0,0.0,0.0572,290,7.6,20.0,23.8,27.2,Cutter,31.6,8.7,7.9,24.4,93.3792,1.5,247,102,4,3.9,VELO_BAND_1.5,27.5,72.5,2.5,97.5,0.0,100.0,0.0,100.0,72.5,25.0,2.5,0.0,0.0
2,2026-08-31,824635,CHC,MIL,663538,Nico Hoerner,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,5,71.4,6.0,690986,Kyle Harrison,L,1.15,0.7593,25.9,0.3197,1.5,LESS,97.2,-3461,80,89,0.6,0.6,0.4,60.0,60.0,40.0,0.0,0.0,0.0,5,0,0.0,20.2,22,22.2,40.9,27.3,77.8,83.3,0.0,0.1245,100,8.0,30.3,26.7,31.4,4-Seam,57.5,6.7,9.6,23.1,94.8844,1.5,351,172,7,4.1,VELO_BAND_1.5,29.2,70.8,2.8,97.2,0.0,100.0,0.0,100.0,70.8,26.3,2.8,0.0,0.0
3,2026-08-31,822932,TB,NYM,663743,Nick Fortes,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,1,14.3,7.0,476594,Robert Stock,R,1.15,0.7778,23.4,0.3676,1.5,LESS,96.6,-2814,67,86,0.4,0.4,0.3333,40.0,40.0,33.3,0.0,0.0,0.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,99,14.1,20.0,23.8,27.2,Cutter,31.6,11.4,10.8,26.1,93.3792,1.5,135,79,8,10.1,VELO_BAND_1.5,33.3,66.7,3.4,96.6,0.0,100.0,0.0,100.0,66.7,29.9,3.4,0.0,0.0
4,2026-08-31,823663,DET,MIN,805808,Kevin McGonigle,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,100.0,3.0,671737,Taj Bradley,R,1.15,0.78,21.6,0.3594,1.5,LESS,96.6,-2807,86,91,0.6,0.5,0.6,60.0,50.0,53.3,0.0,0.0,6.7,3,0,0.0,21.1,11,0.0,18.2,0.0,100.0,100.0,11.5,0.0724,311,11.3,27.6,23.6,27.0,4-Seam,47.1,10.0,10.6,21.3,94.7702,1.5,394,202,15,7.4,VELO_BAND_1.5,32.5,67.5,3.4,96.6,0.0,100.0,0.0,100.0,67.5,29.0,3.4,0.0,0.0
5,2026-08-31,822689,WSH,MIA,678391,Jorbit Vivas,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,6,85.7,6.0,687473,Ryan Gusto,R,1.15,0.537,21.9,0.3702,1.5,LESS,96.5,-2734,76,88,0.2,0.3,0.4,20.0,30.0,40.0,0.0,0.0,0.0,4,2,50.0,24.7,17,25.0,29.4,22.2,75.0,83.3,50.0,0.1006,201,13.9,18.8,18.3,27.7,4-Seam,27.7,7.6,14.1,23.0,92.8869,1.5,156,69,4,5.8,VELO_BAND_1.5,33.5,66.5,3.5,96.5,0.0,100.0,0.0,100.0,66.5,30.0,3.5,0.0,0.0
6,2026-08-31,823663,MIN,DET,807712,Luke Keaschall,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,100.0,1.0,695549,Jackson Jobe,R,1.15,0.7407,21.7,0.3828,1.5,LESS,96.1,-2483,76,88,0.6,0.6,0.7333,60.0,60.0,66.7,0.0,0.0,6.7,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,262,13.4,18.8,16.7,21.5,4-Seam,36.3,11.5,17.7,27.5,97.3129,1.5,183,80,14,17.5,VELO_BAND_1.5,34.4,65.6,3.9,96.1,0.0,100.0,0.0,100.0,65.6,30.5,3.9,0.0,0.0
7,2026-08-31,824635,MIL,CHC,661388,William Contreras,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,6,85.7,4.0,605280,Clay Holmes,R,1.15,0.78,20.7,0.3749,1.5,LESS,96.1,-2464,79,89,0.8,0.6,0.5333,60.0,40.0,33.3,20.0,20.0,20.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,294,14.6,18.6,17.0,24.9,Sinker,52.6,9.1,14.9,25.2,92.0455,1.5,198,104,16,15.4,VELO_BAND_1.5,33.6,66.4,3.9,96.1,0.0,100.0,0.0,100.0,66.4,29.7,3.9,0.0,0.0
8,2026-08-31,822932,NYM,TB,665742,Juan Soto,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,2,28.6,2.0,693855,Ian Seymour,L,1.15,0.6667,22.3,0.3903,1.5,LESS,96.0,-2408,75,88,0.8,0.7,0.7333,60.0,50.0,60.0,20.0,20.0,13.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,92,10.9,28.9,25.5,29.6,Changeup,29.0,12.3,17.3,24.7,90.948,1.5,129,47,7,14.9,VELO_BAND_1.5,35.0,65.0,4.0,96.0,0.0,100.0,0.0,100.0,65.0,31.0,4.0,0.0,0.0
9,2026-08-31,823663,MIN,DET,680777,Ryan Jeffers,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,6,85.7,4.0,695549,Jackson Jobe,R,1.15,0.7407,21.7,0.3861,1.5,LESS,96.0,-2398,67,86,1.0,0.6,0.6667,60.0,40.0,53.3,40.0,20.0,13.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,125,16.0,18.8,16.7,21.5,4-Seam,36.3,4.9,10.6,26.6,97.3129,1.5,115,48,3,6.2,VELO_BAND_1.5,34.6,65.4,4.0,96.0,0.0,100.0,0.0,100.0,65.4,30.6,4.0,0.0,0.0
10,2026-08-31,824314,COL,BAL,664954,Brett Sullivan,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,2,28.6,8.0,700249,Cade Povich,L,1.15,0.642,20.8,0.4088,1.5,LESS,95.8,-2304,62,84,0.8,0.5,0.6,60.0,40.0,46.7,20.0,10.0,13.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,35,11.4,19.2,14.9,24.0,4-Seam,54.2,9.7,12.4,24.6,91.5496,1.5,98,50,5,10.0,VELO_BAND_1.5,36.7,63.3,4.2,95.8,0.0,100.0,0.0,100.0,63.3,32.6,4.2,0.0,0.0
