rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,top_pitch_usage_pct,top_pitch_batter_whiff_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,velo_band_whiff_raw_pct,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,bvp_st_pitches,bvp_st_whiff,bvp_st_csw,bvp_st_k_pa,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,bvp_cu_pitches,bvp_cu_whiff,bvp_cu_csw,bvp_cu_k_pa,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,bvp_kc_pitches,bvp_kc_whiff,bvp_kc_csw,bvp_kc_k_pa,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds
1,2026-09-01,824633,2026-09-01T23:40:00Z,Scheduled,MIL,CHC,686217,Sal Frelick,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,7.0,5.75,7.0,1.0,0.5714,571510,Matthew Boyd,L,1.15,0.78,0.3114,1.5,LESS,0.9743,-3794,70,87,0.2068,0.3114,0.0,0.7144,0.2599,0.0256,0.0001,0.0,0.2856,0.0257,0.0001,0.2856,0.7144,0.0257,0.9743,0.0001,0.9999,0.0,1.0,209,21,0.1005,780,341,29,0.085,0.2436,0.2561,0.915,0.9582,0.0769,5,3,18,0.6,0.1667,0.4,0.2,10,6,35,0.6,0.1714,0.5,0.1,15,9,49,0.6,0.1837,0.4667,0.1333,51,5,0.098,0.12,0.262,0.2088,0.88,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,301,45,0.1495,0.1775,0.2535,0.1784,84.6065,0.1058,0.2596,0.0954,0.1409,1.0,4-Seam,0.4265,0.0984,92.8783,1.5,191,65,4,0.0615,0.0776,VELO_BAND_1.5,0.0,0.1464,0.1562,0.126,0.1683,0.1735,0.1464,0.1686,0.1548,0.2068,0.1939,0.1559,4-Seam,0.4265,92.8983,0.0833,0.2299,Changeup,0.2507,78.3616,0.2147,0.2177,Slider,0.1665,82.6856,0.359,0.2833,Curve,0.1489,73.1696,0.25,0.3416,97.4,71.4,26.0,2.6,0.0,0.0,28.6,2.6,0.0,28.6,71.4,2.6,97.4,0.0,100.0,0.0,100.0,10.0,8.5,24.4,25.6,91.5,95.8,7.7,16.7,17.1,18.4,40.0,50.0,46.7,20.0,10.0,13.3,9.8,12.0,26.2,20.9,88.0,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,15.0,17.7,25.3,17.8,10.6,26.0,9.5,14.1,100.0,42.6,9.8,14.6,15.6,12.6,16.8,17.4,14.6,16.9,15.5,20.7,19.4,15.6,20.7,57.1,6.2,Sinker,0.0074,91.725,0.0,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-09-01,822929,2026-09-01T22:40:00Z,Scheduled,TB,NYM,689414,Liam Hicks,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,4.0,4.0,4.0,7.0,0.12,640455,Sean Manaea,L,1.15,0.6204,0.3179,1.5,LESS,0.9733,-3643,78,89,0.2342,0.3179,0.0,0.7089,0.2644,0.0266,0.0001,0.0,0.2911,0.0267,0.0001,0.2911,0.7089,0.0267,0.9733,0.0001,0.9999,0.0,1.0,373,37,0.0992,1359,549,59,0.1075,0.2487,0.279,0.8925,0.9712,0.1212,5,2,16,0.4,0.125,0.4,0.0,10,3,33,0.3,0.0909,0.3,0.0,15,6,54,0.4,0.1111,0.3333,0.0667,83,15,0.1807,0.1322,0.2919,0.3311,0.8678,2,1,0.5,0.2367,6,0.5,0.1213,0.6667,0.3032,0.5,0.5,1.0,1.0,101.0,1.0,0.0,432,97,0.2245,0.21,0.2675,0.2209,86.0008,0.0714,0.2526,0.0691,0.1014,1.0,4-Seam,0.3735,0.023,90.3844,1.5,117,52,1,0.0192,0.0528,VELO_BAND_1.5,0.045,0.1389,0.1246,0.1616,0.2246,0.1325,0.1433,0.1917,0.1512,0.2342,0.2053,0.1534,4-Seam,0.3735,91.6753,0.2119,0.2903,Sweeper,0.297,76.2142,0.3142,0.2596,Sinker,0.2145,90.5919,0.0726,0.2528,Cutter,0.088,84.3966,0.2468,0.2877,97.3,70.9,26.4,2.7,0.0,0.0,29.1,2.7,0.0,29.1,70.9,2.7,97.3,0.0,100.0,0.0,100.0,9.9,10.7,24.9,27.9,89.3,97.1,12.1,12.5,9.1,11.1,40.0,30.0,33.3,0.0,0.0,6.7,18.1,13.2,29.2,33.1,86.8,50.0,23.7,50.0,12.1,66.7,30.3,50.0,50.0,100.0,100.0,22.5,21.0,26.7,22.1,7.1,25.3,6.9,10.1,100.0,37.3,2.3,13.9,12.5,16.2,22.5,13.2,14.3,19.2,15.1,23.4,20.5,15.3,23.4,14.3,1.9,Changeup,0.0271,83.9222,0.1154,0.0889,,,,,,,,,,5.0,0.5,0.6,0.5,,,,,100.0,0.0,1.0,0.115,1.0,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-09-01,823908,2026-09-02T02:10:00Z,Scheduled,LAD,STL,500743,Miguel Rojas,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,700241,Michael McGreevy,R,1.15,0.78,0.3262,1.5,LESS,0.9704,-3283,70,87,0.2063,0.3262,0.0,0.7035,0.267,0.0295,0.0001,0.0,0.2965,0.0296,0.0001,0.2965,0.7035,0.0296,0.9704,0.0001,0.9999,0.0,1.0,151,13,0.0861,545,267,33,0.1236,0.2055,0.3028,0.8764,0.9503,0.0964,5,0,10,0.0,0.0,0.0,0.0,10,2,22,0.2,0.0909,0.1,0.1,15,5,35,0.3333,0.1429,0.2,0.1333,48,3,0.0625,0.1375,0.1939,0.314,0.8625,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,439,74,0.1686,0.1754,0.2426,0.1942,87.217,0.1179,0.2375,0.0778,0.1352,1.0,4-Seam,0.2432,0.0658,90.7478,1.5,61,33,5,0.1515,0.1348,VELO_BAND_1.5,0.0,0.1519,0.1219,0.1155,0.179,0.1743,0.1519,0.1704,0.2082,0.2063,0.2164,0.1542,4-Seam,0.2432,91.967,0.1329,0.2694,Changeup,0.1889,87.0481,0.2628,0.2,Sinker,0.17,90.9316,0.0993,0.2812,Curve,0.1287,78.7005,0.1978,0.2936,97.0,70.3,26.7,2.9,0.0,0.0,29.7,3.0,0.0,29.7,70.3,3.0,97.0,0.0,100.0,0.0,100.0,8.6,12.4,20.6,30.3,87.6,95.0,9.6,0.0,9.1,14.3,0.0,10.0,20.0,0.0,10.0,13.3,6.2,13.8,19.4,31.4,86.2,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,16.9,17.5,24.3,19.4,11.8,23.7,7.8,13.5,100.0,24.3,6.6,15.2,12.2,11.6,17.9,17.4,15.2,17.0,20.8,20.6,21.6,15.4,20.6,0.0,15.2,Cutter,0.1157,87.9148,0.1556,0.2245,Sweeper,0.1068,81.8895,0.1923,0.1823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-09-01,822929,2026-09-01T22:40:00Z,Scheduled,TB,NYM,663743,Nick Fortes,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,7.0,7.0,7.0,8.0,0.1086,640455,Sean Manaea,L,1.15,0.6204,0.37,1.5,LESS,0.9632,-2617,72,87,0.2342,0.37,0.0,0.6669,0.2963,0.0367,0.0001,0.0,0.3331,0.0368,0.0001,0.3331,0.6669,0.0368,0.9632,0.0001,0.9999,0.0,1.0,196,24,0.1224,665,352,55,0.1562,0.2391,0.3822,0.8438,0.8899,0.1382,5,2,17,0.4,0.1176,0.4,0.0,10,4,33,0.4,0.1212,0.4,0.0,15,5,46,0.3333,0.1087,0.3333,0.0,100,10,0.1,0.129,0.208,0.3483,0.871,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,432,97,0.2245,0.21,0.2675,0.2209,86.0008,0.104,0.2629,0.1095,0.1554,1.0,4-Seam,0.3735,0.1188,90.3844,1.5,63,31,2,0.0645,0.0885,VELO_BAND_1.5,0.0,0.1718,0.1506,0.1296,0.2246,0.1803,0.1718,0.2423,0.1725,0.2342,0.2515,0.1768,4-Seam,0.3735,91.6753,0.2119,0.2903,Sweeper,0.297,76.2142,0.3142,0.2596,Sinker,0.2145,90.5919,0.0726,0.2528,Cutter,0.088,84.3966,0.2468,0.2877,96.3,66.7,29.6,3.7,0.0,0.0,33.3,3.7,0.0,33.3,66.7,3.7,96.3,0.0,100.0,0.0,100.0,12.2,15.6,23.9,38.2,84.4,89.0,13.8,11.8,12.1,10.9,40.0,40.0,33.3,0.0,0.0,0.0,10.0,12.9,20.8,34.8,87.1,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,22.5,21.0,26.7,22.1,10.4,26.3,10.9,15.5,100.0,37.3,11.9,17.2,15.1,13.0,22.5,18.0,17.2,24.2,17.2,23.4,25.2,17.7,23.4,14.3,6.5,Changeup,0.0271,83.9222,0.1154,0.0889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-09-01,824716,2026-09-01T22:45:00Z,Scheduled,BOS,SEA,681508,Mickey Gasper,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,2.0,2.67,2.0,1.0,0.4514,693433,Bryan Woo,R,1.15,0.78,0.3745,1.5,LESS,0.9618,-2515,72,87,0.2273,0.3745,0.0,0.6638,0.298,0.0382,0.0,0.0,0.3362,0.0382,0.0,0.3362,0.6638,0.0382,0.9618,0.0,1.0,0.0,1.0,156,22,0.141,572,228,36,0.1579,0.25,0.2145,0.8421,0.9571,0.1562,5,0,16,0.0,0.0,0.0,0.0,10,1,32,0.1,0.0312,0.1,0.0,15,2,49,0.1333,0.0408,0.1333,0.0,135,15,0.1111,0.1406,0.2311,0.1992,0.8594,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,416,113,0.2716,0.2234,0.2546,0.2515,92.8337,0.1194,0.2502,0.1261,0.1472,1.0,4-Seam,0.4693,0.0735,96.1197,1.5,106,41,2,0.0488,0.0757,VELO_BAND_1.5,0.0,0.1863,0.1195,0.1368,0.2626,0.1832,0.1863,0.2762,0.1679,0.2273,0.1855,0.1812,4-Seam,0.4693,96.1795,0.2178,0.251,Sinker,0.1785,95.9625,0.1096,0.268,Slider,0.1718,87.2707,0.3289,0.2786,Sweeper,0.0933,84.8197,0.2976,0.2697,96.2,66.4,29.8,3.8,0.0,0.0,33.6,3.8,0.0,33.6,66.4,3.8,96.2,0.0,100.0,0.0,100.0,14.1,15.8,25.0,21.5,84.2,95.7,15.6,0.0,3.1,4.1,0.0,10.0,13.3,0.0,0.0,0.0,11.1,14.1,23.1,19.9,85.9,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,27.2,22.3,25.5,25.1,11.9,25.0,12.6,14.7,100.0,46.9,7.4,18.6,12.0,13.7,26.3,18.3,18.6,27.6,16.8,22.7,18.6,18.1,22.7,42.9,4.9,Changeup,0.0626,89.5853,0.1455,0.1863,Curve,0.0227,83.027,0.3333,0.1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-09-01,822929,2026-09-01T22:40:00Z,Scheduled,NYM,TB,665742,Juan Soto,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,2.0,2.0,2.0,2.0,0.32,642547,Freddy Peralta,R,1.15,0.78,0.3788,1.5,LESS,0.9615,-2496,78,89,0.2226,0.3788,0.0,0.6598,0.3017,0.0385,0.0,0.0,0.3402,0.0385,0.0,0.3402,0.6598,0.0385,0.9615,0.0,1.0,0.0,1.0,285,36,0.1263,1178,440,82,0.1864,0.2419,0.1898,0.8136,0.866,0.1646,5,4,19,0.8,0.2105,0.6,0.2,10,7,41,0.7,0.1707,0.5,0.2,15,11,64,0.7333,0.1719,0.6,0.1333,195,27,0.1385,0.1769,0.2354,0.187,0.8231,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,457,91,0.1991,0.2262,0.2351,0.197,89.2315,0.1777,0.2476,0.1434,0.1532,0.9952,4-Seam,0.5254,0.2017,94.2433,1.5,214,94,16,0.1702,0.1575,VELO_BAND_1.5,0.0,0.17,0.1773,0.1468,0.2038,0.22,0.17,0.3014,0.2745,0.2226,0.1831,0.1891,4-Seam,0.5254,94.2433,0.1783,0.2365,Changeup,0.2271,87.1134,0.2571,0.2075,Curve,0.1248,79.0056,0.3153,0.2833,Sweeper,0.0771,81.9833,0.2222,0.2153,96.1,66.0,30.2,3.9,0.0,0.0,34.0,3.9,0.0,34.0,66.0,3.9,96.1,0.0,100.0,0.0,100.0,12.6,18.6,24.2,19.0,81.4,86.6,16.5,21.1,17.1,17.2,60.0,50.0,60.0,20.0,20.0,13.3,13.8,17.7,23.5,18.7,82.3,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,19.9,22.6,23.5,19.7,17.8,24.8,14.3,15.3,99.5,52.5,20.2,17.0,17.7,14.7,20.4,22.0,17.0,30.1,27.4,22.3,18.3,18.9,22.3,28.6,17.0,Slider,0.0402,83.1573,0.4,0.2533,CS,0.0048,74.0556,0.5,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-09-01,825038,2026-09-02T01:40:00Z,Scheduled,AZ,PHI,606466,Ketel Marte,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,4.0,4.0,4.0,0.0,0.1771,666200,Jesús Luzardo,L,1.15,0.78,0.3903,1.5,LESS,0.9611,-2469,78,89,0.2596,0.3903,0.0,0.6487,0.3124,0.0388,0.0001,0.0,0.3513,0.0389,0.0001,0.3513,0.6487,0.0389,0.9611,0.0001,0.9999,0.0,1.0,383,50,0.1305,1376,652,115,0.1764,0.242,0.3019,0.8236,0.9124,0.165,5,1,19,0.2,0.0526,0.2,0.0,10,6,40,0.6,0.15,0.5,0.1,15,11,62,0.7333,0.1774,0.5333,0.2,90,8,0.0889,0.1838,0.2284,0.3176,0.8162,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,500,152,0.304,0.2909,0.3152,0.2983,90.4609,0.1758,0.2732,0.1526,0.1801,1.0,Sweeper,0.3889,0.3269,96.2952,1.5,225,109,10,0.0917,0.0965,VELO_BAND_1.5,0.0,0.1691,0.1436,0.124,0.2908,0.2364,0.1691,0.3107,0.1847,0.2596,0.2223,0.1916,Sweeper,0.3889,85.9895,0.4481,0.3519,4-Seam,0.2561,96.7777,0.1417,0.2387,Sinker,0.1828,95.6193,0.1197,0.3343,Changeup,0.1722,85.6894,0.3427,0.3255,96.1,64.9,31.2,3.9,0.0,0.0,35.1,3.9,0.0,35.1,64.9,3.9,96.1,0.0,100.0,0.0,100.0,13.1,17.6,24.2,30.2,82.4,91.2,16.5,5.3,15.0,17.7,20.0,50.0,53.3,0.0,10.0,20.0,8.9,18.4,22.8,31.8,81.6,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,30.4,29.1,31.5,29.8,17.6,27.3,15.3,18.0,100.0,38.9,32.7,16.9,14.4,12.4,29.1,23.6,16.9,31.1,18.5,26.0,22.2,19.2,26.0,14.3,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-09-01,822687,2026-09-01T22:45:00Z,Scheduled,WSH,ATL,696285,Jacob Young,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,8.0,8.0,7.0,1.0,0.5714,700363,AJ Smith-Shawver,R,1.15,0.78,0.3936,1.5,LESS,0.9586,-2315,72,87,0.2269,0.3936,0.0,0.6479,0.3107,0.0413,0.0001,0.0,0.3521,0.0414,0.0001,0.3521,0.6479,0.0414,0.9586,0.0001,0.9999,0.0,1.0,296,45,0.152,1079,465,88,0.1892,0.2984,0.2719,0.8108,0.8987,0.1923,5,1,16,0.2,0.0625,0.2,0.0,10,5,36,0.5,0.1389,0.5,0.0,15,8,55,0.5333,0.1455,0.5333,0.0,197,31,0.1574,0.1842,0.3094,0.2768,0.8158,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,64,10,0.1562,0.1944,0.2436,0.1944,89.0397,0.1396,0.3109,0.1247,0.1963,1.0,4-Seam,0.4444,0.1171,95.95,1.5,200,81,7,0.0864,0.0938,VELO_BAND_1.5,0.0,0.1861,0.1534,0.1649,0.1982,0.2291,0.1861,0.2964,0.1841,0.2269,0.2121,0.1923,4-Seam,0.4444,96.1519,0.1064,0.2212,Splitter,0.3504,82.7549,0.3409,0.2927,Curve,0.0726,75.0294,0.0,0.1176,Slider,0.0726,85.4,0.0,0.1765,95.9,64.8,31.1,4.1,0.0,0.0,35.2,4.1,0.0,35.2,64.8,4.1,95.9,0.0,100.0,0.0,100.0,15.2,18.9,29.8,27.2,81.1,89.9,19.2,6.2,13.9,14.5,20.0,50.0,53.3,0.0,0.0,0.0,15.7,18.4,30.9,27.7,81.6,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,15.6,19.4,24.4,19.4,14.0,31.1,12.5,19.6,100.0,44.4,11.7,18.6,15.3,16.5,19.8,22.9,18.6,29.6,18.4,22.7,21.2,19.2,22.7,57.1,8.6,Sinker,0.0598,94.45,0.1667,0.3571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-09-01,822854,2026-09-02T00:05:00Z,Scheduled,TEX,ATH,670032,Nicky Lopez,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,2.01,3.3467,2.01,0.0,0.4171,669620,Brady Basso,L,1.15,0.42,0.4056,1.5,LESS,0.9578,-2272,67,86,0.2127,0.4056,0.0,0.6366,0.3213,0.0421,0.0,0.0,0.3634,0.0422,0.0,0.3634,0.6366,0.0422,0.9578,0.0,1.0,0.0,1.0,223,36,0.1614,833,430,67,0.1558,0.2401,0.3277,0.8442,0.8949,0.1576,5,1,7,0.2,0.1429,0.2,0.0,10,5,22,0.5,0.2273,0.4,0.1,15,7,33,0.4667,0.2121,0.4,0.0667,54,7,0.1296,0.0952,0.2167,0.3402,0.9048,1,0,0.0,0.2201,2,0.0,0.114,0.0,0.2803,0.0,1.0,1.0,0.115,16.0,0.0,0.0,109,21,0.1927,0.1782,0.2513,0.1739,87.6283,0.1601,0.2706,0.1502,0.1977,1.0,4-Seam,0.4456,0.1519,92.4468,1.5,176,93,11,0.1183,0.1175,VELO_BAND_1.5,0.0189,0.1931,0.1938,0.1655,0.2081,0.2355,0.1936,0.3011,0.2206,0.2127,0.23,0.2045,4-Seam,0.4456,92.7802,0.1386,0.2616,Slider,0.2098,84.1741,0.2115,0.2222,Curve,0.1943,77.4707,0.3478,0.32,Sinker,0.0674,92.8231,0.0769,0.1154,95.8,63.7,32.1,4.2,0.0,0.0,36.3,4.2,0.0,36.3,63.7,4.2,95.8,0.0,100.0,0.0,100.0,16.1,15.6,24.0,32.8,84.4,89.5,15.8,14.3,22.7,21.2,20.0,40.0,40.0,0.0,10.0,6.7,13.0,9.5,21.7,34.0,90.5,0.0,22.0,0.0,11.4,0.0,28.0,0.0,100.0,100.0,11.5,19.3,17.8,25.1,17.4,16.0,27.1,15.0,19.8,100.0,44.6,15.2,19.3,19.4,16.5,20.8,23.6,19.4,30.1,22.1,21.3,23.0,20.5,21.3,42.9,11.8,Cutter,0.057,89.3955,0.0909,0.2273,Changeup,0.0078,87.2667,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,1.0,0.115,0.0,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-09-01,824313,2026-09-02T00:40:00Z,Scheduled,COL,BAL,664954,Brett Sullivan,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,8.0,8.0,8.0,2.0,0.1657,680694,Kyle Bradish,R,1.15,0.78,0.4046,1.5,LESS,0.9576,-2261,71,87,0.2083,0.4046,0.0,0.6378,0.3198,0.0423,0.0,0.0,0.3622,0.0424,0.0,0.3622,0.6378,0.0424,0.9576,0.0,1.0,0.0,1.0,147,25,0.1701,531,272,40,0.1471,0.2222,0.3282,0.8529,0.914,0.1596,5,4,19,0.8,0.2105,0.6,0.2,10,5,36,0.5,0.1389,0.4,0.1,15,9,52,0.6,0.1731,0.4667,0.1333,113,21,0.1858,0.1308,0.2065,0.3578,0.8692,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,453,98,0.2163,0.227,0.2729,0.2286,90.8248,0.1331,0.253,0.1153,0.1698,1.0,Sinker,0.3766,0.1724,94.5293,1.5,79,38,4,0.1053,0.1094,VELO_BAND_1.5,0.0,0.2009,0.186,0.1916,0.2179,0.203,0.2009,0.2689,0.2084,0.2083,0.2292,0.2039,Sinker,0.3766,94.6989,0.0996,0.2844,Slider,0.2256,87.6707,0.3614,0.2854,Curve,0.2222,84.9726,0.3506,0.2641,4-Seam,0.1675,94.148,0.1324,0.2449,95.8,63.8,32.0,4.2,0.0,0.0,36.2,4.2,0.0,36.2,63.8,4.2,95.8,0.0,100.0,0.0,100.0,17.0,14.7,22.2,32.8,85.3,91.4,16.0,21.1,13.9,17.3,60.0,40.0,46.7,20.0,10.0,13.3,18.6,13.1,20.6,35.8,86.9,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,21.6,22.7,27.3,22.9,13.3,25.3,11.5,17.0,100.0,37.7,17.2,20.1,18.6,19.2,21.8,20.3,20.1,26.9,20.8,20.8,22.9,20.4,20.8,14.3,10.5,Changeup,0.008,90.3643,0.115,0.2143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
