rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,top_pitch_usage_pct,top_pitch_batter_whiff_pct,velo_band_whiff_raw_pct,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,bvp_st_pitches,bvp_st_whiff,bvp_st_csw,bvp_st_k_pa,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,bvp_cu_pitches,bvp_cu_whiff,bvp_cu_csw,bvp_cu_k_pa,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,bvp_fs_pitches,bvp_fs_whiff,bvp_fs_csw,bvp_fs_k_pa,bvp_kc_pitches,bvp_kc_whiff,bvp_kc_csw,bvp_kc_k_pa,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds
1,2026-09-02,822686,2026-09-02T17:05:00Z,Final,WSH,ATL,660688,Keibert Ruiz,S,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,3,0.4286,6.0,5.3333,4.0,2.0,0.4286,656550,Grant Holmes,R,1.15,0.7778,0.3133,1.5,LESS,0.975,-3900,77,89,0.2271,0.3133,0.0,0.7117,0.2633,0.025,0.0,0.0,0.2883,0.025,0.0,0.2883,0.7117,0.025,0.975,0.0,1.0,0.0,1.0,250,26,0.104,782,413,49,0.1186,0.2161,0.3734,0.8814,0.9588,0.1575,5,2,20,0.4,0.1,0.4,0.0,10,3,38,0.3,0.0789,0.3,0.0,15,4,58,0.2667,0.069,0.2667,0.0,187,14,0.0749,0.1083,0.1951,0.3737,0.8917,4,0,0.0,0.2066,9,0.0,0.1095,0.2222,0.2806,0.5,1.0,1.0,0.0,34.0,0.0,0.0,392,74,0.1888,0.2472,0.2655,0.2602,89.2888,0.1109,0.2368,0.1232,0.1322,1.0,Slider,0.3466,0.1406,93.2497,1.5,172,93,7,0.0753,0.0845,VELO_BAND_1.5,0.0755,0.1504,0.1224,0.0954,0.1961,0.1686,0.155,0.2746,0.1614,0.2271,0.2438,0.1551,97.5,71.2,26.3,2.5,0.0,0.0,28.8,2.5,0.0,28.8,71.2,2.5,97.5,0.0,100.0,0.0,100.0,10.4,11.9,21.6,37.3,88.1,95.9,15.7,10.0,7.9,6.9,40.0,30.0,26.7,0.0,0.0,0.0,7.5,10.8,19.5,37.4,89.2,0.0,20.7,0.0,11.0,22.2,28.1,50.0,100.0,100.0,0.0,18.9,24.7,26.6,26.0,11.1,23.7,12.3,13.2,100.0,15.0,12.2,9.5,19.6,16.9,15.5,27.5,16.1,22.7,24.4,15.5,22.7,42.9,Slider,0.3466,85.3901,0.3444,0.308,4-Seam,0.2622,93.9106,0.1304,0.2345,Sinker,0.1385,92.8693,0.1556,0.2537,Curve,0.0885,82.826,0.3768,0.2595,Cutter,0.0885,91.8878,0.1695,0.313,34.7,14.1,7.5,3.0,0.0,0.3333,0.0,4.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,Changeup,0.075,89.1,0.2292,0.1532,1.0,0.0,0.0,0.0,,,,,1.0,0.115,1.0,0.225,,,,,,,,,,,,,,,,,,,,,
2,2026-09-02,824390,2026-09-02T22:40:00Z,In Progress,CLE,TOR,680757,Steven Kwan,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,5,0.7143,1.0,1.0,1.0,1.0,0.68,656302,Dylan Cease,R,1.15,0.78,0.3059,1.5,LESS,0.9737,-3705,83,90,0.2312,0.3059,0.0,0.7204,0.2533,0.0262,0.0,0.0,0.2796,0.0263,0.0,0.2796,0.7204,0.0263,0.9737,0.0,1.0,0.0,1.0,387,36,0.093,1604,569,38,0.0668,0.2668,0.1867,0.9332,0.9693,0.0602,5,3,21,0.6,0.1429,0.6,0.0,10,4,48,0.4,0.0833,0.4,0.0,15,6,70,0.4,0.0857,0.3333,0.0667,275,22,0.08,0.0535,0.2672,0.1896,0.9465,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,438,161,0.3676,0.3009,0.3033,0.3174,90.4013,0.0823,0.2665,0.0732,0.1316,1.0,4-Seam,0.3668,0.03,96.6644,1.5,278,110,2,0.0182,0.0378,VELO_BAND_1.5,0.0,0.1289,0.1174,0.0899,0.3411,0.1562,0.1289,0.1463,0.1524,0.2312,0.1698,0.1504,97.4,72.0,25.3,2.6,0.0,0.0,28.0,2.6,0.0,28.0,72.0,2.6,97.4,0.0,100.0,0.0,100.0,9.3,6.7,26.7,18.7,93.3,96.9,6.0,14.3,8.3,8.6,60.0,40.0,33.3,0.0,0.0,6.7,8.0,5.4,26.7,19.0,94.6,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,36.8,30.1,30.3,31.7,8.2,26.6,7.3,13.2,100.0,12.9,11.7,9.0,34.1,15.6,12.9,14.6,15.2,23.1,17.0,15.0,23.1,71.4,4-Seam,0.3668,96.8286,0.2175,0.2663,Slider,0.2968,88.6656,0.4,0.3437,Changeup,0.1215,80.8853,0.4457,0.3036,Knuckle Curve,0.1063,81.7311,0.3023,0.3469,Sinker,0.0808,95.9195,0.1159,0.2752,36.7,3.0,1.8,,,,,,,,,,,,,,,,,,,Sweeper,0.0271,82.668,0.1429,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-09-02,822686,2026-09-02T17:05:00Z,Final,ATL,WSH,643289,Mauricio Dubón,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,7,1.0,4.0,4.5714,5.0,1.0,1.0,695418,Brad Lord,R,1.15,0.42,0.3317,1.5,LESS,0.9723,-3508,79,89,0.2015,0.3317,0.0,0.696,0.2763,0.0277,0.0,0.0,0.304,0.0277,0.0,0.304,0.696,0.0277,0.9723,0.0,1.0,0.0,1.0,397,42,0.1058,1447,799,107,0.1339,0.199,0.3809,0.8661,0.92,0.1032,5,2,20,0.4,0.1,0.4,0.0,10,2,40,0.2,0.05,0.2,0.0,15,4,57,0.2667,0.0702,0.2667,0.0,259,31,0.1197,0.1516,0.2182,0.405,0.8484,1,0,0.0,0.2201,6,0.0,0.1131,0.3333,0.2873,0.0,1.0,1.0,0.0,102.0,0.0,0.0,195,48,0.2462,0.1691,0.2521,0.1429,90.5256,0.1399,0.2243,0.1176,0.1465,1.0,4-Seam,0.3758,0.1185,94.5849,1.5,319,190,29,0.1526,0.1478,VELO_BAND_1.5,0.0322,0.1466,0.1114,0.1254,0.239,0.1908,0.1491,0.2161,0.2666,0.2015,0.2484,0.1639,97.2,69.6,27.6,2.8,0.0,0.0,30.4,2.8,0.0,30.4,69.6,2.8,97.2,0.0,100.0,0.0,100.0,10.6,13.4,19.9,38.1,86.6,92.0,10.3,10.0,5.0,7.0,40.0,20.0,26.7,0.0,0.0,0.0,12.0,15.2,21.8,40.5,84.8,0.0,22.0,0.0,11.3,33.3,28.7,0.0,100.0,100.0,0.0,24.6,16.9,25.2,14.3,14.0,22.4,11.8,14.7,100.0,14.7,11.1,12.5,23.9,19.1,14.9,21.6,26.7,20.1,24.8,16.4,20.1,100.0,4-Seam,0.3758,94.654,0.2,0.262,Sinker,0.2221,94.4681,0.0693,0.2811,Sweeper,0.1861,83.4452,0.2083,0.2839,Slider,0.1777,85.0453,0.2459,0.1959,Changeup,0.0336,86.4893,0.0,0.1071,37.6,11.9,15.3,2.0,0.0,0.5,0.225,,,,,2.0,0.115,0.0,0.225,2.0,0.0,0.5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-09-02,824634,2026-09-02T23:40:00Z,In Progress,MIL,CHC,686217,Sal Frelick,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,5,0.7143,7.0,5.602,5.01,1.0,0.7029,656849,David Peterson,L,1.15,0.7639,0.342,1.5,LESS,0.9672,-2945,72,87,0.2059,0.342,0.0,0.6908,0.2763,0.0328,0.0,0.0,0.3092,0.0328,0.0,0.3092,0.6908,0.0328,0.9672,0.0,1.0,0.0,1.0,211,23,0.109,792,349,30,0.086,0.2449,0.2639,0.914,0.9587,0.0815,5,5,18,1.0,0.2778,0.6,0.4,10,8,36,0.8,0.2222,0.6,0.2,15,10,48,0.6667,0.2083,0.4667,0.2,53,5,0.0943,0.1125,0.2539,0.2065,0.8875,2,0,0.0,0.2154,2,0.0,0.1131,0.0,0.2803,0.285,1.0,1.0,0.115,67.0,0.0,0.0,398,74,0.1859,0.2023,0.2579,0.2155,89.0361,0.097,0.265,0.0904,0.1579,1.0,Sinker,0.2924,0.0312,92.4519,1.5,188,71,4,0.0563,0.0729,VELO_BAND_1.5,0.0264,0.1514,0.1908,0.1268,0.1938,0.1777,0.1532,0.1681,0.156,0.2059,0.1971,0.1662,96.7,69.1,27.6,3.3,0.0,0.0,30.9,3.3,0.0,30.9,69.1,3.3,96.7,0.0,100.0,0.0,100.0,10.9,8.6,24.5,26.4,91.4,95.9,8.1,27.8,22.2,20.8,60.0,60.0,46.7,40.0,20.0,20.0,9.4,11.2,25.4,20.7,88.8,0.0,21.5,0.0,11.3,0.0,28.0,28.5,100.0,100.0,11.5,18.6,20.2,25.8,21.6,9.7,26.5,9.0,15.8,100.0,15.1,19.1,12.7,19.4,17.8,15.3,16.8,15.6,20.6,19.7,16.6,20.6,71.4,Sinker,0.2924,92.3494,0.1717,0.2979,4-Seam,0.2465,92.5734,0.1677,0.1863,Slider,0.2289,86.4268,0.25,0.2861,Changeup,0.1404,85.6947,0.2079,0.2308,Curve,0.0905,80.4821,0.2667,0.2985,29.2,3.1,5.6,2.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-09-02,825037,2026-09-02T19:40:00Z,Final,PHI,AZ,665561,Rafael Marchán,S,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,0,0,0.0,,,,,0.0,664199,Taylor Clarke,R,1.15,0.42,0.3662,1.5,LESS,0.9664,-2873,62,84,0.1818,0.3662,0.0,0.6676,0.2988,0.0335,0.0001,0.0,0.3324,0.0336,0.0001,0.3324,0.6676,0.0336,0.9664,0.0001,0.9999,0.0,1.0,38,3,0.0789,158,82,12,0.1463,0.2342,0.3333,0.8537,0.9074,0.0571,5,0,14,0.0,0.0,0.0,0.0,10,1,28,0.1,0.0357,0.1,0.0,14,3,38,0.2143,0.0789,0.2143,0.0,26,1,0.0385,0.1475,0.2087,0.3167,0.8525,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,175,29,0.1657,0.1994,0.2336,0.16,91.5565,0.135,0.2755,0.1047,0.2085,0.9985,Changeup,0.3069,0.1818,94.9484,1.5,35,16,1,0.0625,0.0959,VELO_BAND_1.5,0.0,0.1914,0.129,0.15,0.1873,0.227,0.1914,0.1756,0.19,0.1818,0.2311,0.1811,96.6,66.8,29.9,3.4,0.0,0.0,33.2,3.4,0.0,33.2,66.8,3.4,96.6,0.0,100.0,0.0,100.0,7.9,14.6,23.4,33.3,85.4,90.7,5.7,0.0,3.6,7.9,0.0,10.0,21.4,0.0,0.0,0.0,3.8,14.8,20.9,31.7,85.2,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,16.6,19.9,23.4,16.0,13.5,27.6,10.5,20.9,99.8,19.1,12.9,15.0,18.7,22.7,19.1,17.6,19.0,18.2,23.1,18.1,18.2,0.0,Changeup,0.3069,90.2249,0.2072,0.2139,Slider,0.3069,88.6289,0.3696,0.2836,Sinker,0.2061,95.3415,0.0857,0.2741,Cutter,0.174,94.4658,0.0385,0.1404,4-Seam,0.0046,95.6,0.0,0.0,30.7,18.2,6.2,,,,,,,,,,,,,,,,,,,PO,0.0015,92.9,0.115,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-09-02,822686,2026-09-02T17:05:00Z,Final,WSH,ATL,678391,Jorbit Vivas,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,4,0.5714,7.0,7.0,6.0,3.0,0.5486,656550,Grant Holmes,R,1.15,0.7778,0.3567,1.5,LESS,0.9662,-2862,77,89,0.2271,0.3567,0.0,0.6772,0.2891,0.0336,0.0001,0.0,0.3228,0.0338,0.0001,0.3228,0.6772,0.0338,0.9662,0.0001,0.9999,0.0,1.0,233,31,0.133,829,403,68,0.1687,0.2051,0.2756,0.8313,0.9247,0.1587,5,0,18,0.0,0.0,0.0,0.0,10,2,36,0.2,0.0556,0.2,0.0,15,4,52,0.2667,0.0769,0.2667,0.0,204,28,0.1373,0.17,0.2054,0.2718,0.83,4,0,0.0,0.2066,12,0.0,0.1095,0.0833,0.2667,0.375,1.0,1.0,0.0,34.0,0.0,0.0,392,74,0.1888,0.2472,0.2655,0.2602,89.2888,0.1377,0.2331,0.122,0.1654,1.0,Slider,0.3466,0.2,93.2497,1.5,161,75,2,0.0267,0.0507,VELO_BAND_1.5,0.0861,0.1771,0.1159,0.1474,0.1961,0.2004,0.1799,0.2746,0.1628,0.2271,0.211,0.1746,96.6,67.7,28.9,3.4,0.0,0.0,32.3,3.4,0.0,32.3,67.7,3.4,96.6,0.0,100.0,0.0,100.0,13.3,16.9,20.5,27.6,83.1,92.5,15.9,0.0,5.6,7.7,0.0,20.0,26.7,0.0,0.0,0.0,13.7,17.0,20.5,27.2,83.0,0.0,20.7,0.0,11.0,8.3,26.7,37.5,100.0,100.0,0.0,18.9,24.7,26.6,26.0,13.8,23.3,12.2,16.5,100.0,17.7,11.6,14.7,19.6,20.0,18.0,27.5,16.3,22.7,21.1,17.5,22.7,57.1,Slider,0.3466,85.3901,0.3444,0.308,4-Seam,0.2622,93.9106,0.1304,0.2345,Sinker,0.1385,92.8693,0.1556,0.2537,Curve,0.0885,82.826,0.3768,0.2595,Cutter,0.0885,91.8878,0.1695,0.313,34.7,20.0,2.7,8.0,0.0,0.0,0.0,4.0,0.0,0.25,0.225,,,,,,,,,0.0,0.0,Changeup,0.075,89.1,0.2292,0.1532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-09-02,824390,2026-09-02T22:40:00Z,In Progress,TOR,CLE,665489,Vladimir Guerrero Jr.,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,6,0.8571,3.0,2.6667,3.0,1.0,0.8686,676282,Joey Cantillo,L,1.15,0.6759,0.3748,1.5,LESS,0.9656,-2804,78,89,0.2488,0.3748,0.0,0.6597,0.3059,0.0344,0.0001,0.0,0.3403,0.0344,0.0001,0.3403,0.6597,0.0344,0.9656,0.0001,0.9999,0.0,1.0,376,48,0.1277,1346,628,104,0.1656,0.2266,0.3,0.8344,0.8966,0.1641,5,1,21,0.2,0.0476,0.2,0.0,10,1,41,0.1,0.0244,0.1,0.0,15,4,63,0.2667,0.0635,0.2667,0.0,99,16,0.1616,0.1461,0.2139,0.2586,0.8539,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,447,109,0.2438,0.2977,0.3106,0.2457,84.6082,0.1754,0.2426,0.1502,0.1516,1.0,Curve,0.349,0.2593,91.1072,1.5,164,68,6,0.0882,0.096,VELO_BAND_1.5,0.0,0.1672,0.1055,0.1639,0.2404,0.217,0.1672,0.3074,0.1824,0.2488,0.2202,0.1805,96.6,66.0,30.6,3.4,0.0,0.0,34.0,3.4,0.0,34.0,66.0,3.4,96.6,0.0,100.0,0.0,100.0,12.8,16.6,22.7,30.0,83.4,89.7,16.4,4.8,2.4,6.3,20.0,10.0,26.7,0.0,0.0,0.0,16.2,14.6,21.4,25.9,85.4,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,24.4,29.8,31.1,24.6,17.5,24.3,15.0,15.2,100.0,16.7,10.5,16.4,24.0,21.7,16.7,30.7,18.2,24.9,22.0,18.0,24.9,85.7,Curve,0.349,80.1207,0.3542,0.3236,4-Seam,0.2891,92.4145,0.1633,0.3047,Changeup,0.2484,81.0725,0.3756,0.3114,Cutter,0.0926,87.0262,0.2414,0.3049,Slider,0.0186,82.6576,0.25,0.2121,34.9,25.9,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-09-02,823983,2026-09-03T01:38:00Z,Pre-Game,LAA,NYY,623168,Tyler Heineman,S,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,4,0.5714,9.0,7.505,9.0,0.0,0.6171,693645,Cam Schlittler,R,1.15,0.78,0.3618,1.5,LESS,0.9648,-2741,70,87,0.241,0.3618,0.0,0.6735,0.2913,0.0351,0.0001,0.0,0.3265,0.0352,0.0001,0.3265,0.6735,0.0352,0.9648,0.0001,0.9999,0.0,1.0,115,11,0.0957,399,216,31,0.1435,0.2306,0.3971,0.8565,0.9407,0.1081,5,1,16,0.2,0.0625,0.2,0.0,10,2,31,0.2,0.0645,0.2,0.0,15,2,43,0.1333,0.0465,0.1333,0.0,89,8,0.0899,0.1479,0.2211,0.3961,0.8521,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,470,148,0.3149,0.2592,0.2849,0.2801,96.0971,0.1041,0.2591,0.0959,0.1634,0.9995,4-Seam,0.4429,0.1077,97.1604,1.5,66,38,1,0.0263,0.0639,VELO_BAND_1.5,0.0,0.167,0.1265,0.1238,0.2991,0.1837,0.167,0.1995,0.162,0.241,0.251,0.1763,96.5,67.3,29.1,3.5,0.0,0.0,32.7,3.5,0.0,32.7,67.3,3.5,96.5,0.0,100.0,0.0,100.0,9.6,14.4,23.1,39.7,85.6,94.1,10.8,6.2,6.5,4.7,20.0,20.0,13.3,0.0,0.0,0.0,9.0,14.8,22.1,39.6,85.2,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,31.5,25.9,28.5,28.0,10.4,25.9,9.6,16.3,99.9,16.7,12.6,12.4,29.9,18.4,16.7,20.0,16.2,24.1,25.1,17.6,24.1,57.1,4-Seam,0.4429,98.055,0.3026,0.3055,Cutter,0.2569,94.977,0.2162,0.2551,Sinker,0.1956,98.0022,0.131,0.2676,Curve,0.0983,86.7548,0.4493,0.3172,Slider,0.0058,90.2818,0.0,0.0909,44.3,10.8,2.6,,,,,,,,,,,,,,,,,,,PO,0.0005,96.5,0.115,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-09-02,825037,2026-09-02T19:40:00Z,Final,AZ,PHI,606466,Ketel Marte,S,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,2,0.2857,4.0,4.0,4.0,0.0,0.3429,691725,Andrew Painter,R,1.15,0.78,0.3666,1.5,LESS,0.9631,-2609,82,90,0.2596,0.3666,0.0,0.6704,0.2927,0.0368,0.0001,0.0,0.3296,0.0369,0.0001,0.3296,0.6704,0.0369,0.9631,0.0001,0.9999,0.0,1.0,391,50,0.1279,1403,664,115,0.1732,0.2388,0.3,0.8268,0.914,0.1635,5,1,18,0.2,0.0556,0.2,0.0,10,4,40,0.4,0.1,0.3,0.1,15,9,62,0.6,0.1452,0.4667,0.1333,297,42,0.1414,0.1721,0.2428,0.2969,0.8279,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,300,57,0.19,0.2378,0.2691,0.2163,89.9767,0.1696,0.2614,0.1609,0.1692,1.0,4-Seam,0.2929,0.0769,96.2652,1.5,229,111,10,0.0901,0.0951,VELO_BAND_1.5,0.0,0.1671,0.1289,0.1463,0.1988,0.2254,0.1671,0.3173,0.1821,0.2596,0.2212,0.18,96.3,67.0,29.3,3.7,0.0,0.0,33.0,3.7,0.0,33.0,67.0,3.7,96.3,0.0,100.0,0.0,100.0,12.8,17.3,23.9,30.0,82.7,91.4,16.3,5.6,10.0,14.5,20.0,30.0,46.7,0.0,10.0,13.3,14.1,17.2,24.3,29.7,82.8,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,19.0,23.8,26.9,21.6,17.0,26.1,16.1,16.9,100.0,16.7,12.9,14.6,19.9,22.5,16.7,31.7,18.2,26.0,22.1,18.0,26.0,28.6,4-Seam,0.2929,96.5462,0.1572,0.2102,Slider,0.1988,87.904,0.3402,0.323,Sweeper,0.1891,82.6944,0.2551,0.3302,Changeup,0.1047,90.5252,0.3056,0.2605,Splitter,0.0915,87.6087,0.3396,0.2788,29.3,7.7,9.0,,,,,,,,,,,,,,,,,,,Sinker,0.0783,95.2135,0.04,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-09-02,825037,2026-09-02T19:40:00Z,Final,PHI,AZ,664761,Alec Bohm,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,7,1.0,5.0,4.8571,5.0,0.0,1.0,664199,Taylor Clarke,R,1.15,0.42,0.3644,1.5,LESS,0.9631,-2609,80,89,0.1818,0.3644,0.0,0.6727,0.2904,0.0368,0.0002,0.0,0.3273,0.0369,0.0002,0.3273,0.6727,0.0369,0.9631,0.0002,0.9998,0.0,1.0,410,55,0.1341,1509,721,109,0.1512,0.2266,0.2709,0.8488,0.9072,0.1553,5,3,22,0.6,0.1364,0.4,0.2,10,8,43,0.8,0.186,0.5,0.2,15,9,65,0.6,0.1385,0.4,0.1333,290,41,0.1414,0.1657,0.2324,0.2649,0.8343,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,175,29,0.1657,0.1994,0.2336,0.16,91.5565,0.1751,0.2569,0.1946,0.1794,0.9985,Changeup,0.3069,0.3333,94.9484,1.5,339,176,18,0.1023,0.104,VELO_BAND_1.5,0.0,0.1684,0.1678,0.1466,0.1873,0.233,0.1684,0.3263,0.1982,0.1818,0.207,0.1853,96.3,67.3,29.0,3.7,0.0,0.0,32.7,3.7,0.0,32.7,67.3,3.7,96.3,0.0,100.0,0.0,100.0,13.4,15.1,22.7,27.1,84.9,90.7,15.5,13.6,18.6,13.8,40.0,50.0,40.0,20.0,20.0,13.3,14.1,16.6,23.2,26.5,83.4,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,16.6,19.9,23.4,16.0,17.5,25.7,19.5,17.9,99.8,16.8,16.8,14.7,18.7,23.3,16.8,32.6,19.8,18.2,20.7,18.5,18.2,100.0,Changeup,0.3069,90.2249,0.2072,0.2139,Slider,0.3069,88.6289,0.3696,0.2836,Sinker,0.2061,95.3415,0.0857,0.2741,Cutter,0.174,94.4658,0.0385,0.1404,4-Seam,0.0046,95.6,0.0,0.0,30.7,33.3,10.2,,,,,,,,,,,,,,,,,,,PO,0.0015,92.9,0.115,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
