rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,top_pitch_usage_pct,top_pitch_batter_whiff_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,velo_band_whiff_raw_pct,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,bvp_fs_pitches,bvp_fs_whiff,bvp_fs_csw,bvp_fs_k_pa,bvp_st_pitches,bvp_st_whiff,bvp_st_csw,bvp_st_k_pa,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,bvp_cu_pitches,bvp_cu_whiff,bvp_cu_csw,bvp_cu_k_pa,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,bvp_kc_pitches,bvp_kc_whiff,bvp_kc_csw,bvp_kc_k_pa,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds
1,2026-09-03,824388,2026-09-03T17:10:00Z,Scheduled,CLE,TOR,680757,Steven Kwan,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,1.0,1.0,1.0,2.0,0.5257,667755,José Soriano,R,1.15,0.78,0.2947,1.5,LESS,0.9758,-4025,83,90,0.2314,0.2947,0.0,0.7295,0.2462,0.0242,0.0,0.0,0.2705,0.0242,0.0,0.2705,0.7295,0.0242,0.9758,0.0,1.0,0.0,1.0,383,36,0.094,1590,563,38,0.0675,0.2667,0.1845,0.9325,0.969,0.0607,5,3,21,0.6,0.1429,0.6,0.0,10,4,48,0.4,0.0833,0.4,0.0,15,6,70,0.4,0.0857,0.3333,0.0667,272,22,0.0809,0.0541,0.2669,0.1876,0.9459,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,444,95,0.214,0.2594,0.2784,0.2389,92.2843,0.0819,0.2691,0.0879,0.146,1.0,Sinker,0.2852,0.0213,96.282,1.5,326,130,2,0.0154,0.035,VELO_BAND_1.5,0.0,0.1298,0.1179,0.0909,0.216,0.1636,0.1298,0.1591,0.1532,0.2314,0.1698,0.1423,Sinker,0.2852,95.959,0.1488,0.253,Knuckle Curve,0.2608,85.1715,0.3971,0.3725,4-Seam,0.2153,96.7098,0.1878,0.285,Splitter,0.1943,92.0558,0.3067,0.2047,Slider,0.0438,89.9584,0.3667,0.1818,,,,,,97.6,73.0,24.6,2.4,0.0,0.0,27.0,2.4,0.0,27.0,73.0,2.4,97.6,0.0,100.0,0.0,100.0,9.4,6.7,26.7,18.5,93.3,96.9,6.1,14.3,8.3,8.6,60.0,40.0,33.3,0.0,0.0,6.7,8.1,5.4,26.7,18.8,94.6,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,21.4,25.9,27.8,23.9,8.2,26.9,8.8,14.6,100.0,28.5,2.1,13.0,11.8,9.1,21.6,16.4,13.0,15.9,15.3,23.1,17.0,14.2,23.1,57.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-09-03,822853,2026-09-04T00:05:00Z,Scheduled,TB,TEX,689414,Liam Hicks,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,4.0,4.0,4.0,1.0,0.1771,615698,Cal Quantrill,R,1.15,0.4861,0.3108,1.5,LESS,0.9729,-3587,82,90,0.225,0.3108,0.0,0.7163,0.2566,0.0271,0.0,0.0,0.2837,0.0271,0.0,0.2837,0.7163,0.0271,0.9729,0.0,1.0,0.0,1.0,368,35,0.0951,1333,542,57,0.1052,0.2476,0.2845,0.8948,0.9765,0.1173,5,2,16,0.4,0.125,0.4,0.0,10,3,33,0.3,0.0909,0.3,0.0,15,6,53,0.4,0.1132,0.3333,0.0667,285,20,0.0702,0.0976,0.2355,0.2705,0.9024,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,328,59,0.1799,0.1605,0.24,0.194,89.7701,0.1014,0.2467,0.0842,0.1159,1.0,Sinker,0.2547,0.0341,92.308,1.5,213,92,3,0.0326,0.0518,VELO_BAND_1.5,0.0,0.136,0.1229,0.0831,0.1904,0.1564,0.136,0.1972,0.1528,0.225,0.2072,0.1424,Sinker,0.2547,93.9837,0.1279,0.2468,Splitter,0.2269,84.6745,0.25,0.205,4-Seam,0.2229,93.8128,0.2069,0.2821,Cutter,0.2155,88.7716,0.0909,0.2348,Curve,0.0482,79.2475,0.0435,0.2542,Slider,0.0286,86.42,0.0,0.1714,97.3,71.6,25.7,2.7,0.0,0.0,28.4,2.7,0.0,28.4,71.6,2.7,97.3,0.0,100.0,0.0,100.0,9.5,10.5,24.8,28.5,89.5,97.6,11.7,12.5,9.1,11.3,40.0,30.0,33.3,0.0,0.0,6.7,7.0,9.8,23.6,27.0,90.2,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,18.0,16.0,24.0,19.4,10.1,24.7,8.4,11.6,100.0,25.5,3.4,13.6,12.3,8.3,19.0,15.6,13.6,19.7,15.3,22.5,20.7,14.2,22.5,14.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-09-03,823907,2026-09-04T02:10:00Z,Scheduled,LAD,STL,500743,Miguel Rojas,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,687273,Quinn Mathews,L,1.15,0.78,0.3238,1.5,LESS,0.969,-3130,65,85,0.2057,0.3238,0.0,0.7072,0.2619,0.0309,0.0,0.0,0.2928,0.031,0.0,0.2928,0.7072,0.031,0.969,0.0,1.0,0.0,1.0,147,13,0.0884,522,254,32,0.126,0.2088,0.2967,0.874,0.948,0.1067,5,0,10,0.0,0.0,0.0,0.0,10,2,22,0.2,0.0909,0.1,0.1,15,5,35,0.3333,0.1429,0.2,0.1333,102,10,0.098,0.1196,0.2112,0.2974,0.8804,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,89,20,0.2247,0.235,0.2748,0.1977,87.6613,0.1126,0.2233,0.0964,0.1434,1.0,4-Seam,0.4275,0.0563,93.7098,1.5,120,64,1,0.0156,0.0459,VELO_BAND_1.5,0.0,0.1542,0.1235,0.1209,0.2249,0.1731,0.1542,0.1986,0.1564,0.2057,0.2143,0.1606,4-Seam,0.4275,93.7417,0.1667,0.2917,Slider,0.2366,85.3839,0.2979,0.2903,Changeup,0.1628,83.1984,0.3529,0.25,Curve,0.1349,76.1623,0.1304,0.2075,Sinker,0.0382,93.3533,0.2857,0.3333,,,,,,96.9,70.7,26.2,3.1,0.0,0.0,29.3,3.1,0.0,29.3,70.7,3.1,96.9,0.0,100.0,0.0,100.0,8.8,12.6,20.9,29.7,87.4,94.8,10.7,0.0,9.1,14.3,0.0,10.0,20.0,0.0,10.0,13.3,9.8,12.0,21.1,29.7,88.0,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,22.5,23.5,27.5,19.8,11.3,22.3,9.6,14.3,100.0,42.7,5.6,15.4,12.3,12.1,22.5,17.3,15.4,19.9,15.6,20.6,21.4,16.1,20.6,0.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-09-03,824069,2026-09-03T23:40:00Z,Scheduled,KC,MIA,686681,Michael Massey,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,7.0,7.0,7.0,1.0,0.1771,645261,Sandy Alcantara,R,1.15,0.78,0.3657,1.5,LESS,0.9659,-2834,79,89,0.2185,0.3657,0.0,0.6685,0.2974,0.034,0.0001,0.0,0.3315,0.0341,0.0001,0.3315,0.6685,0.0341,0.9659,0.0001,0.9999,0.0,1.0,296,44,0.1486,1058,561,92,0.164,0.2401,0.3934,0.836,0.9072,0.1709,5,0,18,0.0,0.0,0.0,0.0,10,3,34,0.3,0.0882,0.3,0.0,15,9,54,0.6,0.1667,0.3333,0.1333,224,28,0.125,0.1469,0.2255,0.3986,0.8531,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,568,104,0.1831,0.1718,0.2439,0.1701,92.5672,0.1352,0.2501,0.1371,0.1623,1.0,Sinker,0.2865,0.0357,95.4607,1.5,256,128,14,0.1094,0.1104,VELO_BAND_1.5,0.0,0.1835,0.1301,0.1389,0.1894,0.2,0.1835,0.3013,0.2098,0.2185,0.2535,0.18,Sinker,0.2865,97.3152,0.0882,0.2642,Changeup,0.1907,90.9211,0.2159,0.1859,4-Seam,0.1768,97.5125,0.1803,0.2412,Cutter,0.1648,90.036,0.2011,0.2878,Sweeper,0.0915,84.3288,0.2169,0.2304,Slider,0.0465,85.1948,0.2941,0.3093,96.6,66.9,29.7,3.4,0.0,0.0,33.1,3.4,0.0,33.1,66.9,3.4,96.6,0.0,100.0,0.0,100.0,14.9,16.4,24.0,39.3,83.6,90.7,17.1,0.0,8.8,16.7,0.0,30.0,33.3,0.0,0.0,13.3,12.5,14.7,22.6,39.9,85.3,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,18.3,17.2,24.4,17.0,13.5,25.0,13.7,16.2,100.0,28.7,3.6,18.3,13.0,13.9,18.9,20.0,18.3,30.1,21.0,21.9,25.3,18.0,21.9,14.3,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-09-03,822853,2026-09-04T00:05:00Z,Scheduled,TB,TEX,663743,Nick Fortes,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,7.0,7.0,7.0,2.0,0.1657,615698,Cal Quantrill,R,1.15,0.4861,0.372,1.5,LESS,0.9636,-2644,72,87,0.225,0.372,0.0,0.6645,0.299,0.0364,0.0,0.0,0.3355,0.0364,0.0,0.3355,0.6645,0.0364,0.9636,0.0,1.0,0.0,1.0,197,24,0.1218,671,354,56,0.1582,0.2385,0.3814,0.8418,0.8899,0.1382,5,3,19,0.6,0.1579,0.6,0.0,10,5,34,0.5,0.1471,0.5,0.0,15,6,48,0.4,0.125,0.4,0.0,95,14,0.1474,0.189,0.2742,0.4201,0.811,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,328,59,0.1799,0.1605,0.24,0.194,89.7701,0.1253,0.2597,0.1251,0.1818,1.0,Sinker,0.2547,0.0506,92.308,1.5,102,46,4,0.087,0.0976,VELO_BAND_1.5,0.0,0.1717,0.1632,0.1577,0.1904,0.2054,0.1717,0.2575,0.1838,0.225,0.2514,0.1829,Sinker,0.2547,93.9837,0.1279,0.2468,Splitter,0.2269,84.6745,0.25,0.205,4-Seam,0.2229,93.8128,0.2069,0.2821,Cutter,0.2155,88.7716,0.0909,0.2348,Curve,0.0482,79.2475,0.0435,0.2542,Slider,0.0286,86.42,0.0,0.1714,96.4,66.5,29.9,3.6,0.0,0.0,33.5,3.6,0.0,33.5,66.5,3.6,96.4,0.0,100.0,0.0,100.0,12.2,15.8,23.8,38.1,84.2,89.0,13.8,15.8,14.7,12.5,60.0,50.0,40.0,0.0,0.0,0.0,14.7,18.9,27.4,42.0,81.1,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,18.0,16.0,24.0,19.4,12.5,26.0,12.5,18.2,100.0,25.5,5.1,17.2,16.3,15.8,19.0,20.5,17.2,25.8,18.4,22.5,25.1,18.3,22.5,14.3,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-09-03,824796,2026-09-03T23:15:00Z,Scheduled,BOS,BAL,681508,Mickey Gasper,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,2.0,1.67,2.0,1.0,0.4629,687064,Brandon Young,R,1.15,0.78,0.3778,1.5,LESS,0.9628,-2585,73,87,0.2094,0.3778,0.0,0.6595,0.3033,0.0372,0.0,0.0,0.3405,0.0372,0.0,0.3405,0.6595,0.0372,0.9628,0.0,1.0,0.0,1.0,165,24,0.1455,609,240,38,0.1583,0.2496,0.2081,0.8417,0.9595,0.1642,5,2,17,0.4,0.1176,0.4,0.0,10,2,34,0.2,0.0588,0.2,0.0,15,4,51,0.2667,0.0784,0.2667,0.0,143,17,0.1189,0.1429,0.2327,0.1957,0.8571,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,490,94,0.1918,0.2171,0.2564,0.2232,88.5193,0.1296,0.2483,0.128,0.1584,1.0,4-Seam,0.4097,0.0685,94.2382,1.5,109,44,6,0.1364,0.1281,VELO_BAND_1.5,0.0,0.1879,0.1437,0.1416,0.1975,0.1945,0.1879,0.2858,0.2283,0.2094,0.1831,0.1828,4-Seam,0.4097,94.3644,0.1739,0.2543,Splitter,0.1817,83.9883,0.239,0.1772,Slider,0.1468,84.748,0.4403,0.3457,Sinker,0.1326,93.8481,0.0833,0.2099,Curve,0.1293,75.1806,0.2466,0.3207,,,,,,96.3,65.9,30.3,3.7,0.0,0.0,34.1,3.7,0.0,34.1,65.9,3.7,96.3,0.0,100.0,0.0,100.0,14.5,15.8,25.0,20.8,84.2,96.0,16.4,11.8,5.9,7.8,40.0,20.0,26.7,0.0,0.0,0.0,11.9,14.3,23.3,19.6,85.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,19.2,21.7,25.6,22.3,13.0,24.8,12.8,15.8,100.0,41.0,6.8,18.8,14.4,14.2,19.7,19.4,18.8,28.6,22.8,20.9,18.3,18.3,20.9,42.9,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-09-03,824796,2026-09-03T23:15:00Z,Scheduled,BOS,BAL,643396,Isiah Kiner-Falefa,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,5.01,5.01,5.01,2.0,0.1657,687064,Brandon Young,R,1.15,0.78,0.373,1.5,LESS,0.9624,-2557,67,86,0.2094,0.373,0.0,0.6646,0.2977,0.0376,0.0,0.0,0.3354,0.0376,0.0,0.3354,0.6646,0.0376,0.9624,0.0,1.0,0.0,1.0,93,11,0.1183,338,165,28,0.1697,0.2308,0.3094,0.8303,0.9174,0.1667,5,2,17,0.4,0.1176,0.2,0.2,10,3,35,0.3,0.0857,0.2,0.1,15,5,51,0.3333,0.098,0.2667,0.0667,70,8,0.1143,0.1518,0.2338,0.3115,0.8482,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,490,94,0.1918,0.2171,0.2564,0.2232,88.5193,0.1251,0.2529,0.1229,0.1768,0.8183,4-Seam,0.4097,0.119,94.2382,1.5,73,37,3,0.0811,0.0957,VELO_BAND_1.5,0.0,0.1862,0.1489,0.1502,0.1975,0.2017,0.1862,0.2832,0.1867,0.2094,0.2244,0.1851,4-Seam,0.4097,94.3644,0.1739,0.2543,Splitter,0.1817,83.9883,0.239,0.1772,Slider,0.1468,84.748,0.4403,0.3457,Sinker,0.1326,93.8481,0.0833,0.2099,Curve,0.1293,75.1806,0.2466,0.3207,,,,,,96.2,66.5,29.8,3.8,0.0,0.0,33.5,3.8,0.0,33.5,66.5,3.8,96.2,0.0,100.0,0.0,100.0,11.8,17.0,23.1,30.9,83.0,91.7,16.7,11.8,8.6,9.8,20.0,20.0,26.7,20.0,10.0,6.7,11.4,15.2,23.4,31.1,84.8,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,19.2,21.7,25.6,22.3,12.5,25.3,12.3,17.7,81.8,41.0,11.9,18.6,14.9,15.0,19.7,20.2,18.6,28.3,18.7,20.9,22.4,18.5,20.9,14.3,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-09-03,824632,2026-09-03T23:15:00Z,Scheduled,MIL,CHC,683734,Andrew Vaughn,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,4.0,5.0067,3.01,3.0,0.4057,592332,Kevin Gausman,R,1.15,0.78,0.3908,1.5,LESS,0.9586,-2315,77,89,0.206,0.3908,0.0,0.6507,0.3079,0.0414,0.0,0.0,0.3493,0.0414,0.0,0.3493,0.6507,0.0414,0.9586,0.0,1.0,0.0,1.0,288,44,0.1528,1182,452,79,0.1748,0.2851,0.2319,0.8252,0.8961,0.135,5,1,12,0.2,0.0833,0.2,0.0,10,5,30,0.5,0.1667,0.4,0.1,15,7,47,0.4667,0.1489,0.4,0.0667,179,31,0.1732,0.1877,0.2985,0.254,0.8123,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,472,113,0.2394,0.247,0.281,0.2032,89.0944,0.1583,0.2687,0.1436,0.1927,1.0,4-Seam,0.4987,0.0902,93.9823,1.5,248,102,8,0.0784,0.0863,VELO_BAND_1.5,0.0,0.1869,0.1669,0.177,0.2369,0.2317,0.1869,0.2726,0.1724,0.206,0.1945,0.1993,4-Seam,0.4987,93.9823,0.1052,0.3136,Splitter,0.3793,84.2769,0.4011,0.2535,Slider,0.1067,84.0802,0.3671,0.2327,Changeup,0.0143,83.8222,0.2308,0.2593,,,,,,,,,,,95.9,65.1,30.8,4.1,0.0,0.0,34.9,4.1,0.0,34.9,65.1,4.1,95.9,0.0,100.0,0.0,100.0,15.3,17.5,28.5,23.2,82.5,89.6,13.5,8.3,16.7,14.9,20.0,40.0,40.0,0.0,10.0,6.7,17.3,18.8,29.9,25.4,81.2,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,23.9,24.7,28.1,20.3,15.8,26.9,14.4,19.3,100.0,49.9,9.0,18.7,16.7,17.7,23.7,23.2,18.7,27.3,17.2,20.6,19.4,19.9,20.6,42.9,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-09-03,823095,2026-09-04T01:40:00Z,Scheduled,SEA,ATH,645302,Victor Robles,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,3.51,3.51,1.01,2.0,0.32,678022,Jack Perkins,R,1.15,0.4815,0.3992,1.5,LESS,0.9574,-2247,71,87,0.2133,0.3992,0.0,0.6435,0.3139,0.0426,0.0,0.0,0.3565,0.0426,0.0,0.3565,0.6435,0.0426,0.9574,0.0,1.0,0.0,1.0,134,19,0.1418,461,252,50,0.1984,0.2299,0.3629,0.8016,0.9198,0.15,5,0,11,0.0,0.0,0.0,0.0,10,3,30,0.3,0.1,0.3,0.0,15,5,48,0.3333,0.1042,0.3333,0.0,96,12,0.125,0.1833,0.2156,0.3684,0.8167,1,0,0.0,0.2201,5,0.0,0.1131,0.2,0.2816,0.3333,1.0,1.0,0.0,100.0,0.0,0.0,378,92,0.2434,0.2496,0.2849,0.2341,90.9261,0.1796,0.2622,0.1458,0.1905,1.0,4-Seam,0.2992,0.1356,94.6735,1.5,106,58,7,0.1207,0.1188,VELO_BAND_1.5,0.0295,0.1905,0.1411,0.1526,0.2395,0.2421,0.1914,0.2894,0.2173,0.2133,0.2492,0.1979,4-Seam,0.2992,95.7544,0.132,0.2449,Sweeper,0.2877,86.1868,0.3561,0.3915,Changeup,0.1764,89.4092,0.376,0.2769,Cutter,0.1357,92.327,0.1489,0.225,Sinker,0.0393,94.5466,0.1212,0.1552,Slider,0.0319,86.3383,0.2857,0.2553,95.7,64.3,31.4,4.3,0.0,0.0,35.7,4.3,0.0,35.7,64.3,4.3,95.7,0.0,100.0,0.0,100.0,14.2,19.8,23.0,36.3,80.2,92.0,15.0,0.0,10.0,10.4,0.0,30.0,33.3,0.0,0.0,0.0,12.5,18.3,21.6,36.8,81.7,0.0,22.0,0.0,11.3,20.0,28.2,33.3,100.0,100.0,0.0,24.3,25.0,28.5,23.4,18.0,26.2,14.6,19.1,100.0,29.9,13.6,19.0,14.1,15.3,24.0,24.2,19.1,28.9,21.7,21.3,24.9,19.8,21.3,28.6,12.1,3.0,0.0,0.0,0.0,,,,,1.0,0.115,1.0,0.225,0.0,0.0,,,,,,,,,,,,,1.0,0.115,0.0,0.225,,,,,,,,,,,,,,,,,,,,,
10,2026-09-03,824796,2026-09-03T23:15:00Z,Scheduled,BOS,BAL,668939,Adley Rutschman,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,5.0,5.3333,5.0,4.0,0.3714,687064,Brandon Young,R,1.15,0.78,0.3986,1.5,LESS,0.957,-2226,77,89,0.2094,0.3986,0.0,0.6445,0.3125,0.0428,0.0002,0.0,0.3555,0.043,0.0002,0.3555,0.6445,0.043,0.957,0.0002,0.9998,0.0,1.0,261,44,0.1686,1111,433,66,0.1524,0.2682,0.2483,0.8476,0.9011,0.1243,5,4,18,0.8,0.2222,0.6,0.2,10,6,37,0.6,0.1622,0.5,0.1,15,15,59,1.0,0.2542,0.6667,0.2667,177,34,0.1921,0.1617,0.2679,0.2624,0.8383,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,490,94,0.1918,0.2171,0.2564,0.2232,88.5193,0.1326,0.2697,0.1166,0.1777,1.0,4-Seam,0.4097,0.0909,94.2382,1.5,215,86,8,0.093,0.0984,VELO_BAND_1.5,0.0,0.1955,0.1909,0.1931,0.1975,0.2092,0.1955,0.2357,0.1932,0.2094,0.1982,0.199,4-Seam,0.4097,94.3644,0.1739,0.2543,Splitter,0.1817,83.9883,0.239,0.1772,Slider,0.1468,84.748,0.4403,0.3457,Sinker,0.1326,93.8481,0.0833,0.2099,Curve,0.1293,75.1806,0.2466,0.3207,,,,,,95.7,64.5,31.2,4.3,0.0,0.0,35.5,4.3,0.0,35.5,64.5,4.3,95.7,0.0,100.0,0.0,100.0,16.9,15.2,26.8,24.8,84.8,90.1,12.4,22.2,16.2,25.4,60.0,50.0,66.7,20.0,10.0,26.7,19.2,16.2,26.8,26.2,83.8,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,19.2,21.7,25.6,22.3,13.3,27.0,11.7,17.8,100.0,41.0,9.1,19.6,19.1,19.3,19.7,20.9,19.6,23.6,19.3,20.9,19.8,19.9,20.9,42.9,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
