rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,top_pitch_usage_pct,top_pitch_batter_whiff_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,velo_band_whiff_raw_pct,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,bvp_kc_pitches,bvp_kc_whiff,bvp_kc_csw,bvp_kc_k_pa,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,bvp_st_pitches,bvp_st_whiff,bvp_st_csw,bvp_st_k_pa,bvp_fs_pitches,bvp_fs_whiff,bvp_fs_csw,bvp_fs_k_pa,bvp_cu_pitches,bvp_cu_whiff,bvp_cu_csw,bvp_cu_k_pa,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds
1,2026-09-04,822852,2026-09-05T00:05:00Z,Scheduled,TB,TEX,689414,Liam Hicks,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,4.0,4.0,4.0,2.0,0.1657,592866,Trevor Williams,R,1.15,0.42,0.3243,1.5,LESS,0.9723,-3508,76,88,0.2247,0.3243,0.0,0.7035,0.2688,0.0277,0.0,0.0,0.2965,0.0277,0.0,0.2965,0.7035,0.0277,0.9723,0.0,1.0,0.0,1.0,368,37,0.1005,1330,542,59,0.1089,0.2504,0.2833,0.8911,0.9766,0.1289,5,3,16,0.6,0.1875,0.4,0.2,10,5,33,0.5,0.1515,0.4,0.1,15,8,52,0.5333,0.1538,0.4,0.1333,286,22,0.0769,0.1033,0.2382,0.273,0.8967,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,81,23,0.284,0.2209,0.2486,0.2192,85.2921,0.0836,0.2549,0.0946,0.1134,1.0,4-Seam,0.3898,0.0233,89.3911,1.5,79,33,1,0.0303,0.0692,VELO_BAND_1.5,0.0,0.1402,0.1504,0.0894,0.2514,0.146,0.1402,0.2186,0.15,0.2247,0.2071,0.154,4-Seam,0.3898,89.8551,0.2051,0.2971,Sweeper,0.2599,78.312,0.36,0.3043,Sinker,0.1836,88.4062,0.0385,0.1538,Changeup,0.0989,81.66,0.2143,0.1143,Slider,0.0678,82.675,0.0,0.2083,97.2,70.3,26.9,2.8,0.0,0.0,29.7,2.8,0.0,29.7,70.3,2.8,97.2,0.0,100.0,0.0,100.0,10.1,10.9,25.0,28.3,89.1,97.7,12.9,18.8,15.2,15.4,40.0,40.0,40.0,20.0,10.0,13.3,7.7,10.3,23.8,27.3,89.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,28.4,22.1,24.9,21.9,8.4,25.5,9.5,11.3,100.0,39.0,2.3,14.0,15.0,8.9,25.1,14.6,14.0,21.9,15.0,22.5,20.7,15.4,22.5,14.3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-09-04,823905,2026-09-05T02:10:00Z,Scheduled,LAD,WSH,500743,Miguel Rojas,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,800600,Jackson Kent,L,1.15,0.78,0.329,1.5,LESS,0.9717,-3431,65,85,0.2015,0.329,0.0,0.6993,0.2724,0.0283,0.0,0.0,0.3007,0.0283,0.0,0.3007,0.6993,0.0283,0.9717,0.0,1.0,0.0,1.0,149,14,0.094,529,258,32,0.124,0.2079,0.3022,0.876,0.9483,0.1053,5,1,12,0.2,0.0833,0.2,0.0,10,3,22,0.3,0.1364,0.2,0.1,15,5,35,0.3333,0.1429,0.2,0.1333,103,10,0.0971,0.1189,0.2128,0.2974,0.8811,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,88,17,0.1932,0.1824,0.2263,0.1967,88.4494,0.1154,0.2247,0.0863,0.1409,1.0,4-Seam,0.352,0.0548,93.0237,1.5,116,58,2,0.0345,0.0607,VELO_BAND_1.5,0.0,0.1565,0.1438,0.1211,0.2101,0.1737,0.1565,0.1874,0.1572,0.2015,0.2162,0.1629,4-Seam,0.352,93.0992,0.0862,0.1984,Changeup,0.2123,85.6803,0.3243,0.1974,Slider,0.1788,86.7938,0.2121,0.2344,Curve,0.1369,79.1306,0.2143,0.2653,Sinker,0.1201,92.8023,0.1176,0.3023,97.2,69.9,27.2,2.8,0.0,0.0,30.1,2.8,0.0,30.1,69.9,2.8,97.2,0.0,100.0,0.0,100.0,9.4,12.4,20.8,30.2,87.6,94.8,10.5,8.3,13.6,14.3,20.0,20.0,20.0,0.0,10.0,13.3,9.7,11.9,21.3,29.7,88.1,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,19.3,18.2,22.6,19.7,11.5,22.5,8.6,14.1,100.0,35.2,5.5,15.7,14.4,12.1,21.0,17.4,15.7,18.7,15.7,20.1,21.6,16.3,20.1,0.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-09-04,823905,2026-09-05T02:10:00Z,Scheduled,WSH,LAD,660688,Keibert Ruiz,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,6.0,5.3333,4.0,4.0,0.3943,605483,Blake Snell,L,1.15,0.78,0.3362,1.5,LESS,0.9689,-3113,67,86,0.2485,0.3362,0.0,0.695,0.2739,0.0311,0.0,0.0,0.305,0.0311,0.0,0.305,0.695,0.0311,0.9689,0.0,1.0,0.0,1.0,247,24,0.0972,776,411,49,0.1192,0.2101,0.3715,0.8808,0.9585,0.152,5,2,16,0.4,0.125,0.4,0.0,10,2,36,0.2,0.0556,0.2,0.0,15,4,55,0.2667,0.0727,0.2667,0.0,63,12,0.1905,0.1515,0.274,0.3727,0.8485,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,109,36,0.3303,0.3348,0.3131,0.3176,89.7658,0.1091,0.2192,0.1048,0.1182,1.0,4-Seam,0.4932,0.0709,96.011,1.5,135,68,5,0.0735,0.0856,VELO_BAND_1.5,0.0,0.1465,0.1188,0.1673,0.2799,0.1578,0.1465,0.2513,0.1611,0.2485,0.2431,0.1687,4-Seam,0.4932,96.011,0.1887,0.2785,Curve,0.2095,80.0677,0.5,0.3548,Changeup,0.1779,84.5684,0.3922,0.3165,Slider,0.1194,88.7245,0.5556,0.3774,,,,,,96.9,69.5,27.4,3.1,0.0,0.0,30.5,3.1,0.0,30.5,69.5,3.1,96.9,0.0,100.0,0.0,100.0,9.7,11.9,21.0,37.2,88.1,95.8,15.2,12.5,5.6,7.3,40.0,20.0,26.7,0.0,0.0,0.0,19.0,15.2,27.4,37.3,84.8,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,33.0,33.5,31.3,31.8,10.9,21.9,10.5,11.8,100.0,49.3,7.1,14.6,11.9,16.7,28.0,15.8,14.6,25.1,16.1,24.9,24.3,16.9,24.9,42.9,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-09-04,823905,2026-09-05T02:10:00Z,Scheduled,WSH,LAD,678391,Jorbit Vivas,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,7.0,7.0,6.0,5.0,0.5029,605483,Blake Snell,L,1.15,0.78,0.376,1.5,LESS,0.9629,-2597,66,85,0.2485,0.376,0.0,0.6612,0.3017,0.0369,0.0002,0.0,0.3388,0.0371,0.0002,0.3388,0.6612,0.0371,0.9629,0.0002,0.9998,0.0,1.0,229,29,0.1266,809,390,64,0.1641,0.2027,0.2711,0.8359,0.9262,0.1597,5,0,18,0.0,0.0,0.0,0.0,10,2,36,0.2,0.0556,0.2,0.0,15,4,52,0.2667,0.0769,0.2667,0.0,28,3,0.1071,0.1591,0.2118,0.2955,0.8409,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,109,36,0.3303,0.3348,0.3131,0.3176,89.7658,0.156,0.2297,0.1254,0.159,1.0,4-Seam,0.4932,0.0783,96.011,1.5,140,65,3,0.0462,0.0669,VELO_BAND_1.5,0.0,0.173,0.1136,0.1542,0.2799,0.2074,0.173,0.2789,0.1622,0.2485,0.2086,0.184,4-Seam,0.4932,96.011,0.1887,0.2785,Curve,0.2095,80.0677,0.5,0.3548,Changeup,0.1779,84.5684,0.3922,0.3165,Slider,0.1194,88.7245,0.5556,0.3774,,,,,,96.3,66.1,30.2,3.7,0.0,0.0,33.9,3.7,0.0,33.9,66.1,3.7,96.3,0.0,100.0,0.0,100.0,12.7,16.4,20.3,27.1,83.6,92.6,16.0,0.0,5.6,7.7,0.0,20.0,26.7,0.0,0.0,0.0,10.7,15.9,21.2,29.5,84.1,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,33.0,33.5,31.3,31.8,15.6,23.0,12.5,15.9,100.0,49.3,7.8,17.3,11.4,15.4,28.0,20.7,17.3,27.9,16.2,24.9,20.9,18.4,24.9,57.1,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-09-04,824146,2026-09-05T00:10:00Z,Scheduled,AZ,HOU,606466,Ketel Marte,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,4.0,4.0,4.0,2.0,0.32,664299,Cristian Javier,R,1.15,0.6204,0.374,1.5,LESS,0.9623,-2551,78,89,0.2284,0.374,0.0,0.6638,0.2985,0.0377,0.0,0.0,0.3362,0.0377,0.0,0.3362,0.6638,0.0377,0.9623,0.0,1.0,0.0,1.0,382,50,0.1309,1372,647,115,0.1777,0.242,0.2988,0.8223,0.9118,0.1692,5,1,18,0.2,0.0556,0.2,0.0,10,4,40,0.4,0.1,0.3,0.1,15,9,62,0.6,0.1452,0.4667,0.1333,289,42,0.1453,0.1775,0.2465,0.296,0.8225,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,156,38,0.2436,0.2775,0.2817,0.2044,88.6322,0.1562,0.2568,0.149,0.1677,0.9984,4-Seam,0.4907,0.0785,92.7701,1.5,211,108,3,0.0278,0.0457,VELO_BAND_1.5,0.0,0.1694,0.1302,0.15,0.2363,0.2161,0.1694,0.3112,0.1601,0.2284,0.2212,0.1831,4-Seam,0.4907,93.2937,0.2655,0.2555,Sweeper,0.257,81.5476,0.3896,0.3614,Changeup,0.1579,86.2343,0.2727,0.2647,Cutter,0.0728,89.2383,0.129,0.2553,Knuckle Curve,0.0108,78.5571,0.0,0.1429,96.2,66.4,29.9,3.8,0.0,0.0,33.6,3.8,0.0,33.6,66.4,3.8,96.2,0.0,100.0,0.0,100.0,13.1,17.8,24.2,29.9,82.2,91.2,16.9,5.6,10.0,14.5,20.0,30.0,46.7,0.0,10.0,13.3,14.5,17.8,24.7,29.6,82.2,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,24.4,27.7,28.2,20.4,15.6,25.7,14.9,16.8,99.8,49.1,7.9,16.9,13.0,15.0,23.6,21.6,16.9,31.1,16.0,22.8,22.1,18.3,22.8,28.6,2.8,,,,,,,,,,,,,Slider,0.0077,84.72,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-09-04,822852,2026-09-05T00:05:00Z,Scheduled,TB,TEX,663743,Nick Fortes,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,7.0,7.0,7.0,3.0,0.1543,592866,Trevor Williams,R,1.15,0.42,0.3799,1.5,LESS,0.9622,-2548,66,85,0.2247,0.3799,0.0,0.6579,0.3044,0.0377,0.0,0.0,0.3421,0.0378,0.0,0.3421,0.6579,0.0378,0.9622,0.0,1.0,0.0,1.0,194,24,0.1237,664,350,55,0.1571,0.2395,0.3811,0.8429,0.8889,0.1382,5,3,19,0.6,0.1579,0.6,0.0,10,5,34,0.5,0.1471,0.5,0.0,15,6,48,0.4,0.125,0.4,0.0,94,14,0.1489,0.1852,0.2745,0.4217,0.8148,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,81,23,0.284,0.2209,0.2486,0.2192,85.2921,0.1178,0.2614,0.1142,0.1581,1.0,4-Seam,0.3898,0.12,89.3911,1.5,43,24,1,0.0417,0.0812,VELO_BAND_1.5,0.0,0.1729,0.1639,0.1592,0.2514,0.1894,0.1729,0.2469,0.167,0.2247,0.2512,0.1873,4-Seam,0.3898,89.8551,0.2051,0.2971,Sweeper,0.2599,78.312,0.36,0.3043,Sinker,0.1836,88.4062,0.0385,0.1538,Changeup,0.0989,81.66,0.2143,0.1143,Slider,0.0678,82.675,0.0,0.2083,96.2,65.8,30.4,3.8,0.0,0.0,34.2,3.8,0.0,34.2,65.8,3.8,96.2,0.0,100.0,0.0,100.0,12.4,15.7,23.9,38.1,84.3,88.9,13.8,15.8,14.7,12.5,60.0,50.0,40.0,0.0,0.0,0.0,14.9,18.5,27.5,42.2,81.5,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,28.4,22.1,24.9,21.9,11.8,26.1,11.4,15.8,100.0,39.0,12.0,17.3,16.4,15.9,25.1,18.9,17.3,24.7,16.7,22.5,25.1,18.7,22.5,14.3,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-09-04,824067,2026-09-05T00:10:00Z,Scheduled,KC,TOR,686681,Michael Massey,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,6.5,6.5,6.0,1.0,0.3429,592791,Jameson Taillon,R,1.15,0.7407,0.376,1.5,LESS,0.9622,-2543,75,88,0.2307,0.376,0.0,0.6619,0.3002,0.0378,0.0,0.0,0.3381,0.0378,0.0,0.3381,0.6619,0.0378,0.9622,0.0,1.0,0.0,1.0,300,44,0.1467,1074,569,92,0.1617,0.2393,0.3892,0.8383,0.9093,0.1683,5,0,18,0.0,0.0,0.0,0.0,10,2,37,0.2,0.0541,0.2,0.0,15,9,54,0.6,0.1667,0.3333,0.1333,228,28,0.1228,0.1442,0.2248,0.3932,0.8558,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,198,39,0.197,0.254,0.2618,0.2388,86.499,0.16,0.2552,0.1635,0.1817,1.0,4-Seam,0.2958,0.1031,90.676,1.5,90,43,6,0.1395,0.1299,VELO_BAND_1.5,0.0,0.1817,0.1172,0.1366,0.2064,0.225,0.1817,0.3246,0.2251,0.2307,0.2532,0.1837,4-Seam,0.2958,92.0761,0.211,0.2743,Changeup,0.178,84.6735,0.2917,0.1985,Sweeper,0.1702,80.4815,0.3553,0.3154,Cutter,0.1387,86.7179,0.2444,0.2925,Curve,0.1099,79.4952,0.2258,0.2857,96.2,66.2,30.0,3.8,0.0,0.0,33.8,3.8,0.0,33.8,66.2,3.8,96.2,0.0,100.0,0.0,100.0,14.7,16.2,23.9,38.9,83.8,90.9,16.8,0.0,5.4,16.7,0.0,20.0,33.3,0.0,0.0,13.3,12.3,14.4,22.5,39.3,85.6,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,19.7,25.4,26.2,23.9,16.0,25.5,16.4,18.2,100.0,29.6,10.3,18.2,11.7,13.7,20.6,22.5,18.2,32.5,22.5,23.1,25.3,18.4,23.1,28.6,14.0,,,,,,,,,,,,,Sinker,0.089,92.1926,0.129,0.1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-09-04,824797,2026-09-04T23:05:00Z,Scheduled,BOS,BAL,643396,Isiah Kiner-Falefa,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,7.005,7.005,9.0,1.0,0.3314,669358,Shane Baz,R,1.15,0.78,0.3779,1.5,LESS,0.9609,-2456,67,86,0.2098,0.3779,0.0,0.6613,0.2996,0.039,0.0001,0.0,0.3387,0.0391,0.0001,0.3387,0.6613,0.0391,0.9609,0.0001,0.9999,0.0,1.0,93,11,0.1183,338,165,28,0.1697,0.2308,0.3094,0.8303,0.9174,0.1667,5,2,17,0.4,0.1176,0.2,0.2,10,3,35,0.3,0.0857,0.2,0.1,15,5,51,0.3333,0.098,0.2667,0.0667,70,8,0.1143,0.1518,0.2338,0.3115,0.8482,3,0,0.0,0.2109,5,0.0,0.1122,0.2,0.2816,0.5,1.0,1.0,0.115,93.0,0.0,0.0,495,106,0.2141,0.2043,0.2537,0.1943,90.6984,0.1173,0.2605,0.1303,0.1842,0.6698,4-Seam,0.3483,0.119,94.2185,1.5,73,37,3,0.0811,0.0957,VELO_BAND_1.5,0.05,0.1862,0.1489,0.1502,0.216,0.202,0.1876,0.2905,0.1867,0.2098,0.2244,0.1876,4-Seam,0.3483,95.6797,0.1379,0.2155,Knuckle Curve,0.3298,85.334,0.29,0.2965,Cutter,0.1284,89.4819,0.223,0.2716,Sinker,0.1068,95.1495,0.1386,0.2772,Changeup,0.0856,87.3722,0.1974,0.1914,96.1,66.1,30.0,3.9,0.0,0.0,33.9,3.9,0.0,33.9,66.1,3.9,96.1,0.0,100.0,0.0,100.0,11.8,17.0,23.1,30.9,83.0,91.7,16.7,11.8,8.6,9.8,20.0,20.0,26.7,20.0,10.0,6.7,11.4,15.2,23.4,31.1,84.8,0.0,21.1,0.0,11.2,20.0,28.2,50.0,100.0,100.0,11.5,21.4,20.4,25.4,19.4,11.7,26.1,13.0,18.4,67.0,34.8,11.9,18.6,14.9,15.0,21.6,20.2,18.8,29.1,18.7,21.0,22.4,18.8,21.0,28.6,8.1,,,,,,,,,2.0,0.115,0.5,0.225,,,,,,0.0,0.0,,,,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-09-04,822852,2026-09-05T00:05:00Z,Scheduled,TEX,TB,670032,Nicky Lopez,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,2.01,3.3433,2.01,2.0,0.4629,607259,Nick Martinez,R,1.15,0.78,0.3787,1.5,LESS,0.9608,-2454,75,88,0.2216,0.3787,0.0,0.6605,0.3004,0.0392,0.0,0.0,0.3395,0.0392,0.0,0.3395,0.6605,0.0392,0.9608,0.0,1.0,0.0,1.0,225,36,0.16,838,433,68,0.157,0.2399,0.3285,0.843,0.8923,0.1576,5,0,7,0.0,0.0,0.0,0.0,10,2,17,0.2,0.1176,0.2,0.0,15,6,29,0.4,0.2069,0.3333,0.0667,170,29,0.1706,0.1748,0.2472,0.3259,0.8252,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,450,63,0.14,0.1548,0.2484,0.1496,87.1418,0.131,0.2505,0.1198,0.1608,0.9987,Sinker,0.306,0.0862,91.4361,1.5,125,66,8,0.1212,0.1194,VELO_BAND_1.5,0.0,0.1923,0.1611,0.1769,0.1555,0.1969,0.1923,0.2713,0.2202,0.2216,0.2304,0.1867,Sinker,0.306,92.4159,0.0957,0.2908,Changeup,0.2695,78.0254,0.2917,0.2779,Cutter,0.2183,89.2519,0.0931,0.1906,4-Seam,0.1293,92.805,0.0917,0.1634,Curve,0.0403,80.281,0.0909,0.2857,96.1,66.0,30.0,3.9,0.0,0.0,34.0,3.9,0.0,34.0,66.0,3.9,96.1,0.0,100.0,0.0,100.0,16.0,15.7,24.0,32.9,84.3,89.2,15.8,0.0,11.8,20.7,0.0,20.0,33.3,0.0,0.0,6.7,17.1,17.5,24.7,32.6,82.5,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,14.0,15.5,24.8,15.0,13.1,25.1,12.0,16.1,99.9,30.6,8.6,19.2,16.1,17.7,15.5,19.7,19.2,27.1,22.0,22.2,23.0,18.7,22.2,42.9,12.1,,,,,,,,,,,,,Slider,0.0352,84.8455,0.4,0.2909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-09-04,824797,2026-09-04T23:05:00Z,Scheduled,BOS,BAL,681508,Mickey Gasper,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,2.0,1.67,2.0,2.0,0.4286,669358,Shane Baz,R,1.15,0.78,0.3776,1.5,LESS,0.9608,-2448,74,88,0.2098,0.3776,0.0,0.6617,0.2991,0.0392,0.0001,0.0,0.3383,0.0392,0.0001,0.3383,0.6617,0.0392,0.9608,0.0001,0.9999,0.0,1.0,170,25,0.1471,629,251,39,0.1554,0.248,0.2139,0.8446,0.9556,0.1644,5,3,18,0.6,0.1667,0.6,0.0,10,3,35,0.3,0.0857,0.3,0.0,15,4,55,0.2667,0.0727,0.2667,0.0,148,18,0.1216,0.1402,0.2315,0.2027,0.8598,3,0,0.0,0.2109,19,0.125,0.1156,0.1579,0.2676,0.3077,0.875,1.0,0.0,93.0,0.0,0.0,495,106,0.2141,0.2043,0.2537,0.1943,90.6984,0.1065,0.2501,0.131,0.1597,1.0,4-Seam,0.3483,0.0658,94.2185,1.5,111,45,6,0.1333,0.1263,VELO_BAND_1.5,0.0924,0.1879,0.1578,0.1429,0.216,0.1819,0.1904,0.2889,0.2263,0.2098,0.185,0.1857,4-Seam,0.3483,95.6797,0.1379,0.2155,Knuckle Curve,0.3298,85.334,0.29,0.2965,Cutter,0.1284,89.4819,0.223,0.2716,Sinker,0.1068,95.1495,0.1386,0.2772,Changeup,0.0856,87.3722,0.1974,0.1914,96.1,66.2,29.9,3.9,0.0,0.0,33.8,3.9,0.0,33.8,66.2,3.9,96.1,0.0,100.0,0.0,100.0,14.7,15.5,24.8,21.4,84.5,95.6,16.4,16.7,8.6,7.3,60.0,30.0,26.7,0.0,0.0,0.0,12.2,14.0,23.1,20.3,86.0,0.0,21.1,12.5,11.6,15.8,26.8,30.8,87.5,100.0,0.0,21.4,20.4,25.4,19.4,10.7,25.0,13.1,16.0,100.0,34.8,6.6,18.8,15.8,14.3,21.6,18.2,19.0,28.9,22.6,21.0,18.5,18.6,21.0,42.9,13.3,9.0,0.0,0.2222,0.225,,,,,6.0,0.0,0.0,0.0,,,,,,0.0,0.0,2.0,1.0,0.5,0.225,,,,,2.0,0.115,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
