rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,top_pitch_usage_pct,top_pitch_batter_whiff_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,velo_band_whiff_raw_pct,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,bvp_cu_pitches,bvp_cu_whiff,bvp_cu_csw,bvp_cu_k_pa,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_fs_pitches,bvp_fs_whiff,bvp_fs_csw,bvp_fs_k_pa,bvp_st_pitches,bvp_st_whiff,bvp_st_csw,bvp_st_k_pa,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,bvp_kc_pitches,bvp_kc_whiff,bvp_kc_csw,bvp_kc_k_pa,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds
1,2026-09-05,823904,2026-09-06T01:10:00Z,Scheduled,WSH,LAD,660688,Keibert Ruiz,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,5.0,5.0,4.0,5.0,0.2629,607192,Tyler Glasnow,R,1.15,0.78,0.3216,1.5,LESS,0.9745,-3818,68,86,0.2489,0.3216,0.0,0.704,0.2704,0.0254,0.0001,0.0,0.296,0.0255,0.0001,0.296,0.704,0.0255,0.9745,0.0001,0.9999,0.0,1.0,243,23,0.0947,760,405,49,0.121,0.2105,0.3731,0.879,0.9579,0.1545,5,2,16,0.4,0.125,0.4,0.0,10,2,36,0.2,0.0556,0.2,0.0,15,4,55,0.2667,0.0727,0.2667,0.0,181,12,0.0663,0.1107,0.1888,0.3741,0.8893,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,44,13,0.2955,0.2658,0.3029,0.3214,92.0201,0.1013,0.2242,0.1063,0.1271,0.8276,4-Seam,0.4571,0.0714,95.737,1.5,138,69,6,0.087,0.0951,VELO_BAND_1.5,0.0,0.1455,0.1183,0.0884,0.2465,0.1584,0.1455,0.2551,0.1737,0.2489,0.2439,0.155,4-Seam,0.4571,95.6275,0.0857,0.2625,Slider,0.2,90.14,0.4118,0.3714,Knuckle Curve,0.1714,81.1167,0.5,0.4,Sinker,0.16,96.05,0.3077,0.25,Curve,0.0057,83.5,0.115,0.0,,,,,,97.4,70.4,27.0,2.5,0.0,0.0,29.6,2.6,0.0,29.6,70.4,2.6,97.4,0.0,100.0,0.0,100.0,9.5,12.1,21.1,37.3,87.9,95.8,15.4,12.5,5.6,7.3,40.0,20.0,26.7,0.0,0.0,0.0,6.6,11.1,18.9,37.4,88.9,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,29.5,26.6,30.3,32.1,10.1,22.4,10.6,12.7,82.8,45.7,7.1,14.6,11.8,8.8,24.7,15.8,14.6,25.5,17.4,24.9,24.4,15.5,24.9,28.6,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-09-05,822850,2026-09-05T23:05:00Z,Scheduled,TB,TEX,689414,Liam Hicks,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,4.0,4.0,4.0,3.0,0.1543,594798,Jacob deGrom,R,1.15,0.7778,0.3316,1.5,LESS,0.9694,-3164,82,90,0.2242,0.3316,0.0,0.6991,0.2703,0.0306,0.0,0.0,0.3009,0.0306,0.0,0.3009,0.6991,0.0306,0.9694,0.0,1.0,0.0,1.0,364,36,0.0989,1319,536,59,0.1101,0.2509,0.2835,0.8899,0.9763,0.1289,5,3,16,0.6,0.1875,0.4,0.2,10,5,33,0.5,0.1515,0.4,0.1,15,8,52,0.5333,0.1538,0.4,0.1333,286,22,0.0769,0.1033,0.2382,0.273,0.8967,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,411,120,0.292,0.3204,0.2963,0.2976,93.0359,0.122,0.2608,0.1318,0.1525,1.0,4-Seam,0.4008,0.024,97.3561,1.5,167,69,2,0.029,0.0538,VELO_BAND_1.5,0.0,0.1394,0.1499,0.0892,0.2789,0.189,0.1394,0.255,0.1527,0.2242,0.2073,0.1641,4-Seam,0.4008,97.4101,0.238,0.2889,Slider,0.3872,91.3038,0.375,0.3083,Changeup,0.1122,89.645,0.4819,0.291,Curve,0.0653,80.6536,0.413,0.3727,Sinker,0.0297,96.628,0.0968,0.14,,,,,,96.9,69.9,27.0,3.1,0.0,0.0,30.1,3.1,0.0,30.1,69.9,3.1,96.9,0.0,100.0,0.0,100.0,9.9,11.0,25.1,28.3,89.0,97.6,12.9,18.8,15.2,15.4,40.0,40.0,40.0,20.0,10.0,13.3,7.7,10.3,23.8,27.3,89.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,29.2,32.0,29.6,29.8,12.2,26.1,13.2,15.2,100.0,40.1,2.4,13.9,15.0,8.9,27.9,18.9,13.9,25.5,15.3,22.4,20.7,16.4,22.4,14.3,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-09-05,823904,2026-09-06T01:10:00Z,Scheduled,LAD,WSH,500743,Miguel Rojas,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,676917,Cade Cavalli,R,1.15,0.78,0.3537,1.5,LESS,0.9654,-2790,70,87,0.2011,0.3537,0.0,0.681,0.2844,0.0346,0.0,0.0,0.319,0.0346,0.0,0.319,0.681,0.0346,0.9654,0.0,1.0,0.0,1.0,151,14,0.0927,539,262,33,0.126,0.2096,0.3028,0.874,0.9489,0.1026,5,1,10,0.2,0.1,0.2,0.0,10,3,22,0.3,0.1364,0.2,0.1,15,3,33,0.2,0.0909,0.1333,0.0667,46,4,0.087,0.137,0.1961,0.3133,0.863,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,475,137,0.2884,0.2373,0.2896,0.2318,91.7732,0.1266,0.2522,0.1346,0.1869,0.9989,4-Seam,0.3251,0.0533,96.3557,1.5,100,52,4,0.0769,0.0903,VELO_BAND_1.5,0.0,0.1558,0.1454,0.1285,0.2774,0.2075,0.1558,0.232,0.1688,0.2011,0.2167,0.1777,4-Seam,0.3251,97.0391,0.1921,0.2765,Knuckle Curve,0.2761,86.5614,0.3532,0.3489,Sweeper,0.1351,86.5805,0.3421,0.3705,Sinker,0.1087,96.3139,0.0893,0.203,Cutter,0.0786,93.5863,0.1316,0.2055,Changeup,0.0732,89.0404,0.2222,0.2059,96.5,68.1,28.4,3.5,0.0,0.0,31.9,3.5,0.0,31.9,68.1,3.5,96.5,0.0,100.0,0.0,100.0,9.3,12.6,21.0,30.3,87.4,94.9,10.3,10.0,13.6,9.1,20.0,20.0,13.3,0.0,10.0,6.7,8.7,13.7,19.6,31.3,86.3,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,28.8,23.7,29.0,23.2,12.7,25.2,13.5,18.7,99.9,32.5,5.3,15.6,14.5,12.9,27.7,20.8,15.6,23.2,16.9,20.1,21.7,17.8,20.1,0.0,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-09-05,824066,2026-09-05T23:10:00Z,Scheduled,KC,TOR,686681,Michael Massey,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,7.0,6.6667,7.0,0.0,0.4971,453286,Max Scherzer,R,1.15,0.7593,0.3672,1.5,LESS,0.9646,-2722,76,88,0.2302,0.3672,0.0,0.6684,0.2962,0.0353,0.0001,0.0,0.3316,0.0354,0.0001,0.3316,0.6684,0.0354,0.9646,0.0001,0.9999,0.0,1.0,302,44,0.1457,1080,572,92,0.1608,0.237,0.3875,0.8392,0.9099,0.1683,5,0,18,0.0,0.0,0.0,0.0,10,1,37,0.1,0.027,0.1,0.0,15,9,54,0.6,0.1667,0.3333,0.1333,229,28,0.1223,0.1435,0.2222,0.391,0.8565,3,0,0.0,0.2109,13,0.4,0.1264,0.3077,0.2872,0.375,0.6,1.0,0.0,10.0,0.0,0.0,164,36,0.2195,0.2132,0.2504,0.2132,87.5455,0.1409,0.2431,0.157,0.1759,1.0,4-Seam,0.4624,0.1036,92.566,1.5,215,111,5,0.045,0.0591,VELO_BAND_1.5,0.0782,0.1809,0.1094,0.136,0.2216,0.209,0.1842,0.3182,0.1626,0.2302,0.2531,0.1793,4-Seam,0.4624,93.378,0.1507,0.2389,Changeup,0.1635,84.1486,0.2,0.1892,Slider,0.1517,85.0019,0.2778,0.301,Curve,0.1384,74.5287,0.381,0.3511,Cutter,0.0839,88.093,0.1944,0.1754,,,,,,96.5,66.8,29.6,3.5,0.0,0.0,33.2,3.5,0.0,33.2,66.8,3.5,96.5,0.0,100.0,0.0,100.0,14.6,16.1,23.7,38.8,83.9,91.0,16.8,0.0,2.7,16.7,0.0,10.0,33.3,0.0,0.0,13.3,12.2,14.4,22.2,39.1,85.6,0.0,21.1,40.0,12.6,30.8,28.7,37.5,60.0,100.0,0.0,22.0,21.3,25.0,21.3,14.1,24.3,15.7,17.6,100.0,46.2,10.4,18.1,10.9,13.6,22.2,20.9,18.4,31.8,16.3,23.0,25.3,17.9,23.0,42.9,4.5,2.0,0.115,0.0,0.225,3.0,1.0,0.6667,0.225,0.0,0.0,8.0,0.0,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-09-05,823904,2026-09-06T01:10:00Z,Scheduled,WSH,LAD,678391,Jorbit Vivas,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,7.0,7.2525,9.01,0.0,0.5371,607192,Tyler Glasnow,R,1.15,0.78,0.362,1.5,LESS,0.9635,-2641,69,86,0.2489,0.362,0.0,0.6746,0.289,0.0364,0.0,0.0,0.3254,0.0365,0.0,0.3254,0.6746,0.0365,0.9635,0.0,1.0,0.0,1.0,229,29,0.1266,809,390,64,0.1641,0.2027,0.2711,0.8359,0.9262,0.1597,5,0,18,0.0,0.0,0.0,0.0,10,2,36,0.2,0.0556,0.2,0.0,15,4,52,0.2667,0.0769,0.2667,0.0,201,26,0.1294,0.1647,0.2017,0.2684,0.8353,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,44,13,0.2955,0.2658,0.3029,0.3214,92.0201,0.1075,0.2163,0.1155,0.1502,1.0,4-Seam,0.4571,0.0783,95.737,1.5,143,64,3,0.0469,0.0676,VELO_BAND_1.5,0.0,0.173,0.1136,0.1406,0.2465,0.1723,0.173,0.2692,0.1621,0.2489,0.2086,0.1732,4-Seam,0.4571,95.6275,0.0857,0.2625,Slider,0.2,90.14,0.4118,0.3714,Knuckle Curve,0.1714,81.1167,0.5,0.4,Sinker,0.16,96.05,0.3077,0.25,Curve,0.0057,83.5,0.115,0.0,,,,,,96.4,67.5,28.9,3.6,0.0,0.0,32.5,3.6,0.0,32.5,67.5,3.6,96.4,0.0,100.0,0.0,100.0,12.7,16.4,20.3,27.1,83.6,92.6,16.0,0.0,5.6,7.7,0.0,20.0,26.7,0.0,0.0,0.0,12.9,16.5,20.2,26.8,83.5,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,29.5,26.6,30.3,32.1,10.8,21.6,11.5,15.0,100.0,45.7,7.8,17.3,11.4,14.1,24.7,17.2,17.3,26.9,16.2,24.9,20.9,17.3,24.9,57.1,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-09-05,823419,2026-09-05T22:05:00Z,Scheduled,PHI,ATL,665561,Rafael Marchán,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,527048,Martín Pérez,L,1.15,0.6111,0.384,1.5,LESS,0.9613,-2483,65,85,0.2275,0.384,0.0,0.6547,0.3066,0.0387,0.0,0.0,0.3453,0.0387,0.0,0.3453,0.6547,0.0387,0.9613,0.0,1.0,0.0,1.0,35,2,0.0571,146,76,12,0.1579,0.2397,0.3418,0.8421,0.898,0.0588,5,0,14,0.0,0.0,0.0,0.0,10,1,28,0.1,0.0357,0.1,0.0,13,2,35,0.1538,0.0571,0.1538,0.0,12,2,0.1667,0.1429,0.3023,0.375,0.8571,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,365,67,0.1836,0.2121,0.2744,0.1913,84.9229,0.1112,0.2808,0.1055,0.2135,1.0,Sinker,0.3726,0.0,87.5344,,85,42,4,0.0952,0.1031,HITTER_FASTBALL_FALLBACK,0.0,0.1899,0.1281,0.1865,0.1925,0.2163,0.1899,0.1763,0.1969,0.2275,0.2358,0.1853,Sinker,0.3726,89.0102,0.0879,0.3008,Changeup,0.3049,81.3578,0.3543,0.2434,Cutter,0.2176,84.6378,0.1721,0.2642,Curve,0.0655,76.4789,0.1818,0.3667,4-Seam,0.0378,89.6596,0.05,0.1731,,,,,,96.1,65.5,30.7,3.9,0.0,0.0,34.5,3.9,0.0,34.5,65.5,3.9,96.1,0.0,100.0,0.0,100.0,5.7,15.8,24.0,34.2,84.2,89.8,5.9,0.0,3.6,5.7,0.0,10.0,15.4,0.0,0.0,0.0,16.7,14.3,30.2,37.5,85.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,18.4,21.2,27.4,19.1,11.1,28.1,10.5,21.3,100.0,37.3,0.0,19.0,12.8,18.7,19.2,21.6,19.0,17.6,19.7,22.8,23.6,18.5,22.8,0.0,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-09-05,824389,2026-09-05T22:10:00Z,Scheduled,DET,CLE,656716,Zach McKinstry,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,6.505,7.0025,9.0,1.0,0.5371,800048,Parker Messick,L,1.15,0.78,0.3981,1.5,LESS,0.9592,-2349,75,88,0.2478,0.3981,0.0,0.6428,0.3164,0.0408,0.0001,0.0,0.3572,0.0408,0.0001,0.3572,0.6428,0.0408,0.9592,0.0001,0.9999,0.0,1.0,328,49,0.1494,1215,588,83,0.1412,0.2362,0.2893,0.8588,0.9398,0.1652,5,3,16,0.6,0.1875,0.4,0.2,10,7,32,0.7,0.2188,0.6,0.1,15,11,48,0.7333,0.2292,0.6,0.1333,66,10,0.1515,0.1034,0.22,0.2241,0.8966,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,481,117,0.2432,0.2287,0.2627,0.2515,90.3784,0.1245,0.2411,0.141,0.1646,1.0,4-Seam,0.4258,0.0714,93.7354,1.5,296,152,17,0.1118,0.1123,VELO_BAND_1.5,0.0,0.1793,0.1903,0.1658,0.2401,0.1934,0.1793,0.2996,0.213,0.2478,0.2131,0.1967,4-Seam,0.4258,94.4323,0.253,0.3022,Changeup,0.2368,86.0669,0.3008,0.2103,Sinker,0.1721,92.7338,0.0745,0.2308,Curve,0.0863,79.2399,0.0769,0.319,Slider,0.0413,86.9321,0.2667,0.2436,Cutter,0.035,90.1773,0.35,0.197,95.9,64.3,31.6,4.1,0.0,0.0,35.7,4.1,0.0,35.7,64.3,4.1,95.9,0.0,100.0,0.0,100.0,14.9,14.1,23.6,28.9,85.9,94.0,16.5,18.8,21.9,22.9,40.0,60.0,60.0,20.0,10.0,13.3,15.2,10.3,22.0,22.4,89.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,24.3,22.9,26.3,25.1,12.5,24.1,14.1,16.5,100.0,42.6,7.1,17.9,19.0,16.6,24.0,19.3,17.9,30.0,21.3,24.8,21.3,19.7,24.8,57.1,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-09-05,824310,2026-09-06T00:10:00Z,Scheduled,COL,STL,664954,Brett Sullivan,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,8.0,7.6767,8.03,3.0,0.4514,669461,Matthew Liberatore,L,1.15,0.78,0.393,1.5,LESS,0.9589,-2332,69,86,0.2056,0.393,0.0,0.6482,0.3106,0.041,0.0001,0.0,0.3518,0.0411,0.0001,0.3518,0.6482,0.0411,0.9589,0.0001,0.9999,0.0,1.0,148,22,0.1486,527,264,37,0.1402,0.222,0.3059,0.8598,0.9194,0.1461,5,3,16,0.6,0.1875,0.4,0.2,10,4,33,0.4,0.1212,0.3,0.1,15,7,50,0.4667,0.14,0.4,0.0667,36,4,0.1111,0.1935,0.2609,0.2258,0.8065,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,412,112,0.2718,0.2427,0.2924,0.2457,88.4136,0.1249,0.2486,0.1169,0.173,1.0,4-Seam,0.2905,0.0805,93.9134,1.5,92,47,5,0.1064,0.1096,VELO_BAND_1.5,0.0,0.1883,0.1713,0.1621,0.2627,0.1991,0.1883,0.2572,0.2041,0.2056,0.2195,0.1974,4-Seam,0.2905,94.3625,0.1255,0.2611,Slider,0.2587,86.0671,0.3663,0.3546,Curve,0.1963,79.843,0.422,0.3209,Changeup,0.1217,88.5608,0.1881,0.2111,Sinker,0.0801,94.2672,0.0746,0.2977,Cutter,0.0459,90.4507,0.2286,0.2533,95.9,64.8,31.1,4.1,0.0,0.0,35.2,4.1,0.0,35.2,64.8,4.1,95.9,0.0,100.0,0.0,100.0,14.9,14.0,22.2,30.6,86.0,91.9,14.6,18.8,12.1,14.0,40.0,30.0,40.0,20.0,10.0,6.7,11.1,19.4,26.1,22.6,80.6,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,27.2,24.3,29.2,24.6,12.5,24.9,11.7,17.3,100.0,29.1,8.0,18.8,17.1,16.2,26.3,19.9,18.8,25.7,20.4,20.6,22.0,19.7,20.6,42.9,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-09-05,824468,2026-09-05T22:40:00Z,Scheduled,MIL,CIN,683734,Andrew Vaughn,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,5.0,5.34,5.0,2.0,0.4171,671096,Andrew Abbott,L,1.15,0.78,0.3966,1.5,LESS,0.9586,-2315,76,88,0.2064,0.3966,0.0,0.6449,0.3137,0.0413,0.0001,0.0,0.3551,0.0414,0.0001,0.3551,0.6449,0.0414,0.9586,0.0001,0.9999,0.0,1.0,291,45,0.1546,1192,453,79,0.1744,0.2852,0.23,0.8256,0.8964,0.1414,5,2,13,0.4,0.1538,0.4,0.0,10,6,31,0.6,0.1935,0.5,0.1,15,7,47,0.4667,0.1489,0.4,0.0667,112,14,0.125,0.1534,0.2662,0.1984,0.8466,3,1,0.3333,0.2318,12,0.3333,0.1203,0.4167,0.297,0.1667,0.6667,0.5,0.0,65.0,1.0,0.0,467,87,0.1863,0.2032,0.2582,0.1726,87.4241,0.173,0.2659,0.1295,0.188,1.0,4-Seam,0.4349,0.0889,92.1777,1.5,172,71,4,0.0563,0.0729,VELO_BAND_1.5,0.0754,0.1879,0.1842,0.1492,0.1931,0.2375,0.1914,0.265,0.1654,0.2064,0.1937,0.1939,4-Seam,0.4349,92.4608,0.1085,0.2574,Sweeper,0.2051,82.2856,0.2619,0.2428,Changeup,0.1885,86.242,0.3171,0.25,Curve,0.128,79.8569,0.2308,0.2887,Cutter,0.0375,88.8929,0.2381,0.2714,,,,,,95.9,64.5,31.4,4.1,0.0,0.0,35.5,4.1,0.0,35.5,64.5,4.1,95.9,0.0,100.0,0.0,100.0,15.5,17.4,28.5,23.0,82.6,89.6,14.1,15.4,19.4,14.9,40.0,50.0,40.0,0.0,10.0,6.7,12.5,15.3,26.6,19.8,84.7,33.3,23.2,33.3,12.0,41.7,29.7,16.7,66.7,50.0,0.0,18.6,20.3,25.8,17.3,17.3,26.6,12.9,18.8,100.0,43.5,8.9,18.8,18.4,14.9,19.3,23.8,19.1,26.5,16.5,20.6,19.4,19.4,20.6,42.9,5.6,2.0,0.115,0.0,0.0,2.0,0.115,0.5,0.225,100.0,0.0,3.0,0.0,0.6667,0.5,,,,,,,,,,,,,4.0,0.5,0.25,0.225,1.0,0.115,1.0,0.225,,,,,,,,,,,,,,,,,
10,2026-09-05,824795,2026-09-05T23:05:00Z,Scheduled,BOS,BAL,655316,Andruw Monasterio,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,4.01,4.01,2.02,2.0,0.3943,605135,Chris Bassitt,R,1.15,0.78,0.4034,1.5,LESS,0.9582,-2290,73,87,0.2104,0.4034,0.0,0.6385,0.3197,0.0418,0.0001,0.0,0.3615,0.0418,0.0001,0.3615,0.6385,0.0418,0.9582,0.0001,0.9999,0.0,1.0,259,47,0.1815,1094,510,86,0.1686,0.2569,0.2662,0.8314,0.9098,0.1396,5,2,12,0.4,0.1667,0.2,0.2,10,3,33,0.3,0.0909,0.2,0.1,15,5,54,0.3333,0.0926,0.2667,0.0667,171,32,0.1871,0.1858,0.2693,0.2909,0.8142,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,207,35,0.1691,0.1813,0.2523,0.1855,85.7973,0.1508,0.289,0.1101,0.1674,1.0,Sinker,0.3798,0.0877,91.5879,1.5,140,60,6,0.1,0.1048,VELO_BAND_1.5,0.0,0.2059,0.1708,0.1926,0.1873,0.2179,0.2059,0.2443,0.2053,0.2104,0.2072,0.2003,Sinker,0.3798,92.3685,0.1206,0.2727,Cutter,0.2019,89.873,0.2055,0.2105,Curve,0.1992,71.186,0.2987,0.28,4-Seam,0.0744,92.2554,0.0645,0.1607,Sweeper,0.0491,73.4,0.3571,0.3784,Slider,0.0478,80.2417,0.0625,0.1944,95.8,63.8,32.0,4.2,0.0,0.0,36.2,4.2,0.0,36.2,63.8,4.2,95.8,0.0,100.0,0.0,100.0,18.1,16.9,25.7,26.6,83.1,91.0,14.0,16.7,9.1,9.3,20.0,20.0,26.7,20.0,10.0,6.7,18.7,18.6,26.9,29.1,81.4,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,16.9,18.1,25.2,18.5,15.1,28.9,11.0,16.7,100.0,38.0,8.8,20.6,17.1,19.3,18.7,21.8,20.6,24.4,20.5,21.0,20.7,20.0,21.0,42.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
