rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,bvp_st_pitches,bvp_st_whiff,bvp_st_csw,bvp_st_k_pa,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,top_pitch_usage_pct,top_pitch_batter_whiff_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,velo_band_whiff_raw_pct,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,bvp_kc_pitches,bvp_kc_whiff,bvp_kc_csw,bvp_kc_k_pa,bvp_cu_pitches,bvp_cu_whiff,bvp_cu_csw,bvp_cu_k_pa,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,bvp_fs_pitches,bvp_fs_whiff,bvp_fs_csw,bvp_fs_k_pa,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds
1,2026-09-06,822848,2026-09-06T18:35:00Z,Scheduled,TB,TEX,689414,Liam Hicks,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,4.0,4.0,4.0,4.0,0.1429,669022,MacKenzie Gore,L,1.15,0.78,0.3288,1.5,LESS,0.9736,-3682,77,89,0.2242,0.3288,0.0,0.6978,0.2758,0.0264,0.0001,0.0,0.3022,0.0264,0.0001,0.3022,0.6978,0.0264,0.9736,0.0001,0.9999,0.0,1.0,367,36,0.0981,1326,538,59,0.1097,0.2504,0.2819,0.8903,0.9764,0.1295,5,3,17,0.6,0.1765,0.4,0.2,10,4,34,0.4,0.1176,0.3,0.1,15,7,51,0.4667,0.1373,0.3333,0.1333,79,14,0.1772,0.1351,0.2975,0.3261,0.8649,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,488,121,0.248,0.2532,0.2672,0.2717,90.2648,0.0856,0.2459,0.0965,0.1229,1.0,4-Seam,0.4772,0.0241,94.5843,1.5,269,117,3,0.0256,0.0429,VELO_BAND_1.5,0.0,0.1387,0.1392,0.1591,0.244,0.1505,0.1387,0.2211,0.1541,0.2242,0.2067,0.1615,,,,,,,,,,,,,,,,,,,,,4-Seam,0.4772,95.2072,0.2095,0.2623,Curve,0.1765,81.5169,0.2908,0.2967,Changeup,0.1289,86.1398,0.3968,0.2724,Slider,0.1016,85.5314,0.3039,0.2835,Cutter,0.0676,89.8008,0.2394,0.2403,97.4,69.8,27.6,2.6,0.0,0.0,30.2,2.6,0.0,30.2,69.8,2.6,97.4,0.0,100.0,0.0,100.0,9.8,11.0,25.0,28.2,89.0,97.6,13.0,17.6,11.8,13.7,40.0,30.0,33.3,20.0,10.0,13.3,17.7,13.5,29.7,32.6,86.5,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,24.8,25.3,26.7,27.2,8.6,24.6,9.6,12.3,100.0,47.7,2.4,13.9,13.9,15.9,24.4,15.1,13.9,22.1,15.4,22.4,20.7,16.1,22.4,14.3,2.6,Sinker,0.0471,95.1356,0.0889,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-09-06,823903,2026-09-07T02:10:00Z,Scheduled,LAD,WSH,500743,Miguel Rojas,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,674841,Andrew Alvarez,L,1.15,0.6806,0.3565,1.5,LESS,0.9669,-2923,71,87,0.2018,0.3565,0.0,0.6767,0.2902,0.033,0.0001,0.0,0.3233,0.0331,0.0001,0.3233,0.6767,0.0331,0.9669,0.0001,0.9999,0.0,1.0,151,15,0.0993,541,263,36,0.1369,0.2163,0.3101,0.8631,0.9483,0.1154,5,2,12,0.4,0.1667,0.4,0.0,10,4,24,0.4,0.1667,0.3,0.1,15,4,35,0.2667,0.1143,0.2,0.0667,105,11,0.1048,0.1368,0.2242,0.3088,0.8632,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,367,81,0.2207,0.2404,0.2761,0.2609,87.2398,0.1265,0.2449,0.1064,0.1701,1.0,Curve,0.3034,0.25,92.0895,1.5,94,46,3,0.0652,0.0841,VELO_BAND_1.5,0.0,0.1611,0.163,0.1273,0.2216,0.198,0.1611,0.217,0.1632,0.2018,0.2208,0.1746,,,,,,,,,,,,,,,,,,,,,Curve,0.3034,82.7958,0.3196,0.3095,4-Seam,0.2782,92.2484,0.0893,0.2242,Slider,0.2165,84.1045,0.3493,0.3074,Sinker,0.1507,91.7963,0.1494,0.2698,Changeup,0.0512,86.2123,0.3103,0.2466,96.7,67.7,29.0,3.3,0.0,0.0,32.3,3.3,0.0,32.3,67.7,3.3,96.7,0.0,100.0,0.0,100.0,9.9,13.7,21.6,31.0,86.3,94.8,11.5,16.7,16.7,11.4,40.0,30.0,20.0,0.0,10.0,6.7,10.5,13.7,22.4,30.9,86.3,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,22.1,24.0,27.6,26.1,12.7,24.5,10.6,17.0,100.0,30.3,25.0,16.1,16.3,12.7,22.2,19.8,16.1,21.7,16.3,20.2,22.1,17.5,20.2,0.0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-09-06,823336,2026-09-06T17:35:00Z,Scheduled,LAA,PIT,623168,Tyler Heineman,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,9.0,7.51,9.02,3.0,0.5371,694973,Paul Skenes,R,1.15,0.78,0.3724,1.5,LESS,0.9638,-2662,70,87,0.2402,0.3724,0.0,0.6638,0.3,0.0362,0.0,0.0,0.3362,0.0362,0.0,0.3362,0.6638,0.0362,0.9638,0.0,1.0,0.0,1.0,113,11,0.0973,392,213,31,0.1455,0.2296,0.398,0.8545,0.9398,0.1096,5,1,16,0.2,0.0625,0.2,0.0,10,2,31,0.2,0.0645,0.2,0.0,15,2,43,0.1333,0.0465,0.1333,0.0,89,8,0.0899,0.1479,0.2211,0.3961,0.8521,2,1,0.5,0.2367,9,0.0,0.1104,0.1111,0.2729,0.5,1.0,1.0,0.0,105.0,1.0,0.0,462,133,0.2879,0.2668,0.2649,0.2661,92.5173,0.1277,0.2559,0.126,0.1801,1.0,4-Seam,0.4257,0.1094,96.7087,1.5,73,41,2,0.0488,0.0757,VELO_BAND_1.5,0.0545,0.1686,0.1274,0.1245,0.2767,0.2054,0.1718,0.2305,0.1625,0.2402,0.2513,0.1796,1.0,0.115,1.0,1.0,,,,,,,,,1.0,0.115,0.0,0.225,4.0,0.0,0.0,0.225,4-Seam,0.4257,96.7294,0.2825,0.2807,Sweeper,0.1565,84.4858,0.281,0.3176,Changeup,0.1105,88.566,0.3711,0.201,Sinker,0.1058,96.625,0.1011,0.265,Slider,0.1015,86.7255,0.3271,0.276,96.4,66.4,30.0,3.6,0.0,0.0,33.6,3.6,0.0,33.6,66.4,3.6,96.4,0.0,100.0,0.0,100.0,9.7,14.6,23.0,39.8,85.4,94.0,11.0,6.2,6.5,4.7,20.0,20.0,13.3,0.0,0.0,0.0,9.0,14.8,22.1,39.6,85.2,50.0,23.7,0.0,11.0,11.1,27.3,50.0,100.0,100.0,0.0,100.0,0.0,28.8,26.7,26.5,26.6,12.8,25.6,12.6,18.0,100.0,42.6,10.9,16.9,12.7,12.5,27.7,20.5,17.2,23.1,16.2,24.0,25.1,18.0,24.0,57.1,4.9,Splitter,0.0999,93.0614,0.1616,0.1746,,,,,,,,,2.0,0.0,0.0,0.0,1.0,0.115,0.0,0.225,,,,,,,,,,,,,
4,2026-09-06,823417,2026-09-06T17:10:00Z,Scheduled,PHI,ATL,665561,Rafael Marchán,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,641816,Tyler Mahle,R,1.15,0.78,0.3747,1.5,LESS,0.962,-2532,66,85,0.227,0.3747,0.0,0.6634,0.2986,0.038,0.0,0.0,0.3366,0.038,0.0,0.3366,0.6634,0.038,0.962,0.0,1.0,0.0,1.0,35,2,0.0571,146,76,12,0.1579,0.2397,0.3418,0.8421,0.898,0.0588,5,0,14,0.0,0.0,0.0,0.0,10,1,28,0.1,0.0357,0.1,0.0,13,2,35,0.1538,0.0571,0.1538,0.0,23,0,0.0,0.1636,0.2136,0.3273,0.8364,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,364,87,0.239,0.2273,0.2712,0.2564,89.7579,0.1211,0.2711,0.0873,0.1616,1.0,4-Seam,0.4861,0.1176,91.5717,2.5,35,16,2,0.125,0.1186,VELO_BAND_2.5,0.0,0.1899,0.1281,0.1429,0.236,0.1947,0.1899,0.1585,0.2055,0.227,0.2358,0.1813,,,,,,,,,,,,,,,,,,,,,4-Seam,0.4861,92.8735,0.2071,0.3089,Splitter,0.2911,86.4496,0.2614,0.2372,Cutter,0.1694,87.8357,0.1887,0.2521,Slider,0.052,85.411,0.2727,0.1781,,,,,,96.2,66.3,29.9,3.8,0.0,0.0,33.7,3.8,0.0,33.7,66.3,3.8,96.2,0.0,100.0,0.0,100.0,5.7,15.8,24.0,34.2,84.2,89.8,5.9,0.0,3.6,5.7,0.0,10.0,15.4,0.0,0.0,0.0,0.0,16.4,21.4,32.7,83.6,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,23.9,22.7,27.1,25.6,12.1,27.1,8.7,16.2,100.0,48.6,11.8,19.0,12.8,14.3,23.6,19.5,19.0,15.8,20.5,22.7,23.6,18.1,22.7,0.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-09-06,822848,2026-09-06T18:35:00Z,Scheduled,TB,TEX,663743,Nick Fortes,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,7.0,7.0,7.0,5.0,0.1314,669022,MacKenzie Gore,L,1.15,0.78,0.3828,1.5,LESS,0.9616,-2501,73,87,0.2242,0.3828,0.0,0.6558,0.3058,0.0383,0.0001,0.0,0.3442,0.0384,0.0001,0.3442,0.6558,0.0384,0.9616,0.0001,0.9999,0.0,1.0,191,24,0.1257,657,344,54,0.157,0.239,0.3797,0.843,0.8868,0.1475,5,4,17,0.8,0.2353,0.8,0.0,10,6,32,0.6,0.1875,0.6,0.0,15,7,46,0.4667,0.1522,0.4667,0.0,95,9,0.0947,0.1285,0.2041,0.3391,0.8715,2,0,0.0,0.2154,3,0.0,0.1131,0.3333,0.2862,1.0,1.0,1.0,0.115,38.0,0.0,0.0,488,121,0.248,0.2532,0.2672,0.2717,90.2648,0.139,0.2572,0.1487,0.1763,1.0,4-Seam,0.4772,0.1224,94.5843,1.5,150,89,6,0.0674,0.0788,VELO_BAND_1.5,0.0322,0.1742,0.1868,0.1285,0.244,0.2104,0.1757,0.2898,0.1623,0.2242,0.2506,0.1909,,,,,,,,,,,,,,,,,3.0,0.0,0.3333,0.0,4-Seam,0.4772,95.2072,0.2095,0.2623,Curve,0.1765,81.5169,0.2908,0.2967,Changeup,0.1289,86.1398,0.3968,0.2724,Slider,0.1016,85.5314,0.3039,0.2835,Cutter,0.0676,89.8008,0.2394,0.2403,96.2,65.6,30.6,3.8,0.0,0.0,34.4,3.8,0.0,34.4,65.6,3.8,96.2,0.0,100.0,0.0,100.0,12.6,15.7,23.9,38.0,84.3,88.7,14.8,23.5,18.8,15.2,80.0,60.0,46.7,0.0,0.0,0.0,9.5,12.8,20.4,33.9,87.2,0.0,21.5,0.0,11.3,33.3,28.6,100.0,100.0,100.0,11.5,0.0,0.0,24.8,25.3,26.7,27.2,13.9,25.7,14.9,17.6,100.0,47.7,12.2,17.4,18.7,12.8,24.4,21.0,17.6,29.0,16.2,22.4,25.1,19.1,22.4,14.3,6.7,Sinker,0.0471,95.1356,0.0889,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-09-06,824309,2026-09-06T19:10:00Z,Scheduled,COL,STL,664954,Brett Sullivan,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,8.0,7.6767,8.03,4.0,0.4171,681517,Kyle Leahy,R,1.15,0.7639,0.3889,1.5,LESS,0.959,-2341,71,87,0.2053,0.3889,0.0,0.6522,0.3068,0.0408,0.0002,0.0,0.3478,0.041,0.0002,0.3478,0.6522,0.041,0.959,0.0002,0.9998,0.0,1.0,144,21,0.1458,508,260,34,0.1308,0.2146,0.3086,0.8692,0.9189,0.1364,5,3,16,0.6,0.1875,0.4,0.2,10,4,33,0.4,0.1212,0.3,0.1,15,7,50,0.4667,0.14,0.4,0.0667,112,18,0.1607,0.1238,0.2082,0.3316,0.8762,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,387,91,0.2351,0.2126,0.2685,0.2059,89.4984,0.1262,0.2487,0.1351,0.1801,0.9994,4-Seam,0.2412,0.0805,94.51,1.5,81,40,4,0.1,0.1062,VELO_BAND_1.5,0.0,0.1858,0.1697,0.1703,0.2331,0.2034,0.1858,0.2656,0.1984,0.2053,0.2195,0.1948,,,,,,,,,,,,,,,,,,,,,4-Seam,0.2412,94.5339,0.1391,0.2339,Curve,0.1712,83.3216,0.2683,0.2614,Slider,0.1673,89.4287,0.2409,0.3217,Changeup,0.1569,88.8079,0.2713,0.219,Sweeper,0.1414,84.9638,0.213,0.2569,95.9,65.2,30.7,4.1,0.0,0.0,34.8,4.1,0.0,34.8,65.2,4.1,95.9,0.0,100.0,0.0,100.0,14.6,13.1,21.5,30.9,86.9,91.9,13.6,18.8,12.1,14.0,40.0,30.0,40.0,20.0,10.0,6.7,16.1,12.4,20.8,33.2,87.6,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,23.5,21.3,26.8,20.6,12.6,24.9,13.5,18.0,99.9,24.1,8.0,18.6,17.0,17.0,23.3,20.3,18.6,26.6,19.8,20.5,22.0,19.5,20.5,42.9,10.0,Sinker,0.1213,94.4626,0.1235,0.3529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-09-06,824794,2026-09-06T17:35:00Z,Scheduled,BOS,BAL,655316,Andruw Monasterio,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,3.015,3.015,2.02,3.0,0.2629,680694,Kyle Bradish,R,1.15,0.78,0.4083,1.5,LESS,0.9568,-2213,77,89,0.2106,0.4083,0.0,0.635,0.3218,0.0432,0.0,0.0,0.365,0.0432,0.0,0.365,0.635,0.0432,0.9568,0.0,1.0,0.0,1.0,259,47,0.1815,1094,510,86,0.1686,0.2569,0.2662,0.8314,0.9098,0.1396,5,2,12,0.4,0.1667,0.2,0.2,10,3,33,0.3,0.0909,0.2,0.1,15,5,54,0.3333,0.0926,0.2667,0.0667,171,32,0.1871,0.1858,0.2693,0.2909,0.8142,2,0,0.0,0.2154,8,0.0,0.1113,0.25,0.2828,0.25,1.0,1.0,0.0,45.0,0.0,0.0,448,92,0.2054,0.2164,0.2645,0.2076,90.962,0.1583,0.2856,0.1268,0.1723,1.0,Sinker,0.3854,0.0877,94.5573,1.5,225,113,13,0.115,0.115,VELO_BAND_1.5,0.0516,0.2059,0.1708,0.1926,0.2089,0.2242,0.2065,0.2606,0.221,0.2106,0.2072,0.2051,3.0,0.0,0.3333,0.0,5.0,0.0,0.2,0.0,,,,,,,,,,,,,Sinker,0.3854,94.6976,0.0933,0.2737,Slider,0.2206,87.6845,0.3586,0.2791,Curve,0.2155,85.0661,0.3235,0.246,4-Seam,0.1705,94.2401,0.1471,0.2508,Changeup,0.008,90.3643,0.115,0.2143,95.7,63.5,32.2,4.3,0.0,0.0,36.5,4.3,0.0,36.5,63.5,4.3,95.7,0.0,100.0,0.0,100.0,18.1,16.9,25.7,26.6,83.1,91.0,14.0,16.7,9.1,9.3,20.0,20.0,26.7,20.0,10.0,6.7,18.7,18.6,26.9,29.1,81.4,0.0,21.5,0.0,11.1,25.0,28.3,25.0,100.0,100.0,0.0,0.0,0.0,20.5,21.6,26.5,20.8,15.8,28.6,12.7,17.2,100.0,38.5,8.8,20.6,17.1,19.3,20.9,22.4,20.7,26.1,22.1,21.1,20.7,20.5,21.1,28.6,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-09-06,824794,2026-09-06T17:35:00Z,Scheduled,BOS,BAL,681508,Mickey Gasper,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,2.0,2.0,2.0,1.0,0.44,680694,Kyle Bradish,R,1.15,0.78,0.3977,1.5,LESS,0.9555,-2146,74,88,0.2106,0.3977,0.0,0.6469,0.3086,0.0444,0.0001,0.0,0.3531,0.0445,0.0001,0.3531,0.6469,0.0445,0.9555,0.0001,0.9999,0.0,1.0,178,28,0.1573,656,266,45,0.1692,0.253,0.2232,0.8308,0.9524,0.1923,5,6,22,1.2,0.2727,1.0,0.2,10,6,38,0.6,0.1579,0.5,0.1,15,7,54,0.4667,0.1296,0.4,0.0667,156,21,0.1346,0.1572,0.2381,0.2138,0.8428,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,448,92,0.2054,0.2164,0.2645,0.2076,90.962,0.1388,0.2644,0.1461,0.1766,1.0,Sinker,0.3854,0.0952,94.5573,1.5,123,50,6,0.12,0.1182,VELO_BAND_1.5,0.0,0.1949,0.1978,0.1533,0.2089,0.2115,0.1949,0.3173,0.2193,0.2106,0.1903,0.2002,,,,,,,,,,,,,,,,,,,,,Sinker,0.3854,94.6976,0.0933,0.2737,Slider,0.2206,87.6845,0.3586,0.2791,Curve,0.2155,85.0661,0.3235,0.246,4-Seam,0.1705,94.2401,0.1471,0.2508,Changeup,0.008,90.3643,0.115,0.2143,95.5,64.7,30.9,4.4,0.0,0.0,35.3,4.5,0.0,35.3,64.7,4.5,95.5,0.0,100.0,0.0,100.0,15.7,16.9,25.3,22.3,83.1,95.2,19.2,27.3,15.8,13.0,100.0,50.0,40.0,20.0,10.0,6.7,13.5,15.7,23.8,21.4,84.3,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,20.5,21.6,26.5,20.8,13.9,26.4,14.6,17.7,100.0,38.5,9.5,19.5,19.8,15.3,20.9,21.1,19.5,31.7,21.9,21.1,19.0,20.0,21.1,42.9,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-09-06,824309,2026-09-06T19:10:00Z,Scheduled,STL,COL,693409,César Prieto,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,1.02,1.02,1.02,0.0,0.1771,685299,Tanner Gordon,R,1.15,0.78,0.4051,1.5,LESS,0.9553,-2138,63,85,0.1736,0.4051,0.0,0.6396,0.3157,0.0446,0.0001,0.0,0.3604,0.0447,0.0001,0.3604,0.6396,0.0447,0.9553,0.0001,0.9999,0.0,1.0,26,3,0.1154,74,39,8,0.2051,0.2703,0.425,0.7949,0.9545,0.3333,5,1,11,0.2,0.0909,0.2,0.0,10,3,26,0.3,0.1154,0.3,0.0,10,3,26,0.3,0.1154,0.3,0.0,25,3,0.12,0.2105,0.2778,0.4359,0.7895,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,322,55,0.1708,0.182,0.2518,0.1712,88.5563,0.1406,0.2951,0.1236,0.2027,0.7852,4-Seam,0.4541,0.1875,92.5879,2.5,33,15,2,0.1333,0.1214,VELO_BAND_2.5,0.0,0.2112,0.1742,0.1872,0.1836,0.2305,0.2112,0.2953,0.2205,0.1736,0.2587,0.2055,,,,,,,,,,,,,,,,,,,,,4-Seam,0.4541,92.6152,0.1739,0.2713,Changeup,0.2338,84.4296,0.2051,0.2231,Slider,0.214,87.0714,0.1885,0.2605,Curve,0.0809,81.1111,0.1622,0.2333,Sinker,0.0135,91.6667,0.0,0.1333,95.5,64.0,31.6,4.5,0.0,0.0,36.0,4.5,0.0,36.0,64.0,4.5,95.5,0.0,100.0,0.0,100.0,11.5,20.5,27.0,42.5,79.5,95.5,33.3,9.1,11.5,11.5,20.0,30.0,30.0,0.0,0.0,0.0,12.0,21.1,27.8,43.6,78.9,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,17.1,18.2,25.2,17.1,14.1,29.5,12.4,20.3,78.5,45.4,18.8,21.1,17.4,18.7,18.4,23.0,21.1,29.5,22.1,17.4,25.9,20.6,17.4,14.3,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-09-06,823578,2026-09-06T17:40:00Z,Scheduled,SF,NYM,687551,Drew Gilbert,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,1.005,1.005,1.0,3.0,0.2629,681035,Christian Scott,R,1.15,0.78,0.4106,1.5,LESS,0.9549,-2116,80,89,0.233,0.4106,0.0,0.6346,0.3203,0.0451,0.0,0.0,0.3654,0.0451,0.0,0.3654,0.6346,0.0451,0.9549,0.0,1.0,0.0,1.0,291,50,0.1718,1153,483,93,0.1925,0.2819,0.2543,0.8075,0.9072,0.1786,5,2,18,0.4,0.1111,0.4,0.0,10,3,34,0.3,0.0882,0.3,0.0,15,11,50,0.7333,0.22,0.4667,0.1333,258,39,0.1512,0.1768,0.2713,0.2309,0.8232,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,364,98,0.2692,0.2436,0.2741,0.2308,89.6152,0.1549,0.2792,0.136,0.19,1.0,4-Seam,0.4623,0.1458,93.7468,1.5,235,102,16,0.1569,0.1478,VELO_BAND_1.5,0.0,0.199,0.1567,0.1614,0.2597,0.23,0.199,0.3074,0.2709,0.233,0.2056,0.2069,,,,,,,,,,,,,,,,,,,,,4-Seam,0.4623,95.3631,0.2478,0.2979,Sweeper,0.2485,81.3604,0.2825,0.2955,Cutter,0.1744,89.6425,0.2406,0.2632,Curve,0.063,81.899,0.1356,0.1458,Splitter,0.0328,84.678,0.15,0.12,95.5,63.5,32.0,4.5,0.0,0.0,36.5,4.5,0.0,36.5,63.5,4.5,95.5,0.0,100.0,0.0,100.0,17.2,19.3,28.2,25.4,80.7,90.7,17.9,11.1,8.8,22.0,40.0,30.0,46.7,0.0,0.0,13.3,15.1,17.7,27.1,23.1,82.3,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,,,26.9,24.4,27.4,23.1,15.5,27.9,13.6,19.0,100.0,46.2,14.6,19.9,15.7,16.1,26.0,23.0,19.9,30.7,27.1,23.3,20.6,20.7,23.3,28.6,15.7,Sinker,0.0177,91.9778,0.2,0.1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
