rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,top_pitch_usage_pct,top_pitch_batter_whiff_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,velo_band_whiff_raw_pct,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,bvp_st_pitches,bvp_st_whiff,bvp_st_csw,bvp_st_k_pa,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_cu_pitches,bvp_cu_whiff,bvp_cu_csw,bvp_cu_k_pa,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds
1,2026-09-07,823742,2026-09-07T18:10:00Z,Final,MIL,CHC,686217,Sal Frelick,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,5,0.7143,3.01,3.404,1.0,1.0,0.6914,571510,Matthew Boyd,L,1.15,0.78,0.3116,1.5,LESS,0.9752,-3926,71,87,0.2061,0.3116,0.0,0.7133,0.2618,0.0248,0.0001,0.0,0.2867,0.0248,0.0001,0.2867,0.7133,0.0248,0.9752,0.0001,0.9999,0.0,1.0,212,23,0.1085,805,348,27,0.0776,0.2472,0.2533,0.9224,0.9633,0.0719,5,3,19,0.6,0.1579,0.4,0.2,10,6,37,0.6,0.1622,0.4,0.2,15,9,54,0.6,0.1667,0.4667,0.1333,51,4,0.0784,0.0921,0.25,0.1975,0.9079,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,323,48,0.1486,0.1784,0.2555,0.1716,84.6189,0.1033,0.2643,0.0977,0.146,1.0,4-Seam,0.4194,0.0813,92.8661,1.5,196,70,4,0.0571,0.0737,VELO_BAND_1.5,0.0,0.1497,0.1544,0.1197,0.1667,0.1754,0.1497,0.1687,0.1557,0.2061,0.1921,0.1561,4-Seam,0.4194,92.8917,0.0909,0.2389,Changeup,0.253,78.4144,0.209,0.2215,Slider,0.1647,82.7814,0.3457,0.268,Curve,0.1486,73.1394,0.2444,0.3429,97.5,71.3,26.2,2.5,0.0,0.0,28.7,2.5,0.0,28.7,71.3,2.5,97.5,0.0,100.0,0.0,100.0,10.8,7.8,24.7,25.3,92.2,96.3,7.2,15.8,16.2,16.7,40.0,40.0,46.7,20.0,20.0,13.3,7.8,9.2,25.0,19.8,90.8,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,14.9,17.8,25.6,17.2,10.3,26.4,9.8,14.6,100.0,41.9,8.1,15.0,15.4,12.0,16.7,17.5,15.0,16.9,15.6,20.6,19.2,15.6,20.6,71.4,5.7,,,,,,,,,,,,,,,Sinker,0.0144,92.1235,0.2,0.2941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-09-07,823175,2026-09-08T00:10:00Z,In Progress,STL,SF,665877,José Fermín,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,7,1.0,1.01,3.7186,1.01,1.0,1.0,657277,Logan Webb,R,1.15,0.78,0.3295,1.5,LESS,0.9711,-3358,77,89,0.1976,0.3295,0.0,0.6995,0.2716,0.0289,0.0,0.0,0.3005,0.0289,0.0,0.3005,0.6995,0.0289,0.9711,0.0,1.0,0.0,1.0,287,33,0.115,1172,469,48,0.1023,0.2619,0.2213,0.8977,0.9298,0.0802,5,1,15,0.2,0.0667,0.2,0.0,10,6,36,0.6,0.1667,0.5,0.1,15,9,57,0.6,0.1579,0.5333,0.0667,159,21,0.1321,0.1093,0.2697,0.2186,0.8907,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,414,77,0.186,0.1827,0.2674,0.1579,88.5042,0.1069,0.2614,0.0839,0.1545,1.0,Changeup,0.2514,0.14,91.3206,1.5,175,72,7,0.0972,0.1022,VELO_BAND_1.5,0.0,0.1524,0.1423,0.1383,0.1936,0.1812,0.1524,0.1606,0.1878,0.1976,0.182,0.1618,Changeup,0.2514,85.7449,0.2544,0.2132,Sinker,0.2438,91.9003,0.0724,0.3037,Sweeper,0.194,84.0388,0.2054,0.3553,Cutter,0.1595,89.6392,0.1371,0.256,97.1,69.9,27.2,2.9,0.0,0.0,30.1,2.9,0.0,30.1,69.9,2.9,97.1,0.0,100.0,0.0,100.0,11.5,10.2,26.2,22.1,89.8,93.0,8.0,6.7,16.7,15.8,20.0,50.0,53.3,0.0,10.0,6.7,13.2,10.9,27.0,21.9,89.1,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,18.6,18.3,26.7,15.8,10.7,26.1,8.4,15.4,100.0,25.1,14.0,15.2,14.2,13.8,19.4,18.1,15.2,16.1,18.8,19.8,18.2,16.2,19.8,100.0,9.7,,,,,,,,,,,,,,,4-Seam,0.1506,92.1636,0.2114,0.1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-09-07,823902,2026-09-08T01:10:00Z,Pre-Game,LAD,CIN,605141,Mookie Betts,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,7,1.0,3.0,2.5714,2.0,0.0,1.0,695505,Chase Burns,R,1.15,0.78,0.3406,1.5,LESS,0.9679,-3017,84,91,0.2069,0.3406,0.0,0.6916,0.2763,0.032,0.0001,0.0,0.3084,0.0321,0.0001,0.3084,0.6916,0.0321,0.9679,0.0001,0.9999,0.0,1.0,420,47,0.1119,1534,641,76,0.1186,0.2588,0.2041,0.8814,0.9469,0.1255,5,4,24,0.8,0.1667,0.6,0.2,10,6,47,0.6,0.1277,0.4,0.2,15,7,70,0.4667,0.1,0.3333,0.1333,279,36,0.129,0.1357,0.2598,0.2102,0.8643,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,408,123,0.3015,0.285,0.284,0.269,94.156,0.1235,0.2671,0.1176,0.1444,1.0,4-Seam,0.5591,0.057,97.4466,1.5,176,75,5,0.0667,0.0798,VELO_BAND_1.5,0.0,0.1477,0.1451,0.1328,0.2864,0.1869,0.1477,0.2379,0.155,0.2069,0.1769,0.1721,4-Seam,0.5591,97.449,0.1276,0.2423,Slider,0.3886,89.8703,0.5076,0.3578,Changeup,0.0463,90.1692,0.4,0.1923,Sinker,0.0053,97.2,0.0,0.1111,96.8,69.2,27.6,3.2,0.0,0.0,30.8,3.2,0.0,30.8,69.2,3.2,96.8,0.0,100.0,0.0,100.0,11.2,11.9,25.9,20.4,88.1,94.7,12.6,16.7,12.8,10.0,60.0,40.0,33.3,20.0,20.0,13.3,12.9,13.6,26.0,21.0,86.4,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,30.1,28.5,28.4,26.9,12.3,26.7,11.8,14.4,100.0,55.9,5.7,14.8,14.5,13.3,28.6,18.7,14.8,23.8,15.5,20.7,17.7,17.2,20.7,100.0,6.7,,,,,,,,,,,,,,,Curve,0.0006,81.9,0.115,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-09-07,823254,2026-09-07T21:10:00Z,Final,WSH,SD,678391,Jorbit Vivas,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,3,0.4286,6.0,7.0033,6.0,1.0,0.4286,601713,Nick Pivetta,R,1.15,0.6,0.3692,1.5,LESS,0.9645,-2718,61,84,0.2174,0.3692,0.0,0.6664,0.2981,0.0354,0.0001,0.0,0.3336,0.0355,0.0001,0.3336,0.6664,0.0355,0.9645,0.0001,0.9999,0.0,1.0,234,30,0.1282,832,397,66,0.1662,0.2055,0.2715,0.8338,0.927,0.1639,5,1,16,0.2,0.0625,0.2,0.0,10,3,37,0.3,0.0811,0.3,0.0,15,4,51,0.2667,0.0784,0.2667,0.0,205,27,0.1317,0.1676,0.2054,0.2696,0.8324,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,0,0,0.225,0.115,0.285,0.115,,0.115,0.285,0.115,0.225,0.0,,,,,,0,0,0,,0.115,LEAGUE_FALLBACK,0.0,0.174,0.1305,0.1425,0.225,0.225,0.174,0.2729,0.174,0.2174,0.2091,0.1825,,,,,,,,,,,,,,,,,,,,,96.5,66.6,29.8,3.5,0.0,0.0,33.4,3.5,0.0,33.4,66.6,3.5,96.5,0.0,100.0,0.0,100.0,12.8,16.6,20.6,27.2,83.4,92.7,16.4,6.2,8.1,7.8,20.0,30.0,26.7,0.0,0.0,0.0,13.2,16.8,20.5,27.0,83.2,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,22.5,11.5,28.5,11.5,11.5,28.5,11.5,22.5,0.0,,,17.4,13.0,14.2,22.5,22.5,17.4,27.3,17.4,21.7,20.9,18.2,21.7,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-09-07,823415,2026-09-07T17:05:00Z,Final,PHI,ATL,665561,Rafael Marchán,S,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,0,0,0.0,,,,,0.0,656550,Grant Holmes,R,1.15,0.7778,0.3699,1.5,LESS,0.9632,-2617,66,85,0.2273,0.3699,0.0,0.6669,0.2963,0.0368,0.0,0.0,0.3331,0.0368,0.0,0.3331,0.6669,0.0368,0.9632,0.0,1.0,0.0,1.0,35,2,0.0571,146,76,12,0.1579,0.2397,0.3418,0.8421,0.898,0.0588,5,0,14,0.0,0.0,0.0,0.0,10,1,28,0.1,0.0357,0.1,0.0,13,2,35,0.1538,0.0571,0.1538,0.0,23,0,0.0,0.1636,0.2136,0.3273,0.8364,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,401,75,0.187,0.2486,0.2643,0.26,89.3044,0.1382,0.2747,0.0845,0.167,1.0,Slider,0.344,0.4444,93.2425,1.5,28,14,1,0.0714,0.1005,VELO_BAND_1.5,0.0,0.1899,0.1281,0.1429,0.1946,0.208,0.1899,0.1557,0.192,0.2273,0.2358,0.1781,Slider,0.344,85.388,0.3491,0.3108,4-Seam,0.2649,93.8907,0.1323,0.2306,Sinker,0.1394,92.8638,0.1489,0.2476,Curve,0.0883,82.8008,0.3857,0.2632,96.3,66.7,29.6,3.7,0.0,0.0,33.3,3.7,0.0,33.3,66.7,3.7,96.3,0.0,100.0,0.0,100.0,5.7,15.8,24.0,34.2,84.2,89.8,5.9,0.0,3.6,5.7,0.0,10.0,15.4,0.0,0.0,0.0,0.0,16.4,21.4,32.7,83.6,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,18.7,24.9,26.4,26.0,13.8,27.5,8.4,16.7,100.0,34.4,44.4,19.0,12.8,14.3,19.5,20.8,19.0,15.6,19.2,22.7,23.6,17.8,22.7,0.0,7.1,,,,,,,,,,,,,,,Cutter,0.0876,91.8856,0.1667,0.3106,Changeup,0.075,89.0876,0.2292,0.1504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-09-07,823902,2026-09-08T01:10:00Z,Pre-Game,LAD,CIN,500743,Miguel Rojas,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,0,0,0.0,,,,,0.0,695505,Chase Burns,R,1.15,0.78,0.3636,1.5,LESS,0.9628,-2591,70,87,0.2069,0.3636,0.0,0.6737,0.2892,0.0371,0.0001,0.0,0.3263,0.0372,0.0001,0.3263,0.6737,0.0372,0.9628,0.0001,0.9999,0.0,1.0,153,16,0.1046,546,265,36,0.1358,0.2198,0.3125,0.8642,0.9486,0.1154,5,3,13,0.6,0.2308,0.6,0.0,10,5,25,0.5,0.2,0.4,0.1,15,5,36,0.3333,0.1389,0.2667,0.0667,46,4,0.087,0.137,0.1961,0.3133,0.863,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,408,123,0.3015,0.285,0.284,0.269,94.156,0.1078,0.2204,0.1068,0.1501,1.0,4-Seam,0.5591,0.0533,97.4466,1.5,59,33,4,0.1212,0.1184,VELO_BAND_1.5,0.0,0.1635,0.18,0.1331,0.2864,0.1731,0.1635,0.2173,0.1972,0.2069,0.2216,0.1825,4-Seam,0.5591,97.449,0.1276,0.2423,Slider,0.3886,89.8703,0.5076,0.3578,Changeup,0.0463,90.1692,0.4,0.1923,Sinker,0.0053,97.2,0.0,0.1111,96.3,67.4,28.9,3.7,0.0,0.0,32.6,3.7,0.0,32.6,67.4,3.7,96.3,0.0,100.0,0.0,100.0,10.5,13.6,22.0,31.2,86.4,94.9,11.5,23.1,20.0,13.9,60.0,40.0,26.7,0.0,10.0,6.7,8.7,13.7,19.6,31.3,86.3,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,30.1,28.5,28.4,26.9,10.8,22.0,10.7,15.0,100.0,55.9,5.3,16.3,18.0,13.3,28.6,17.3,16.3,21.7,19.7,20.7,22.2,18.2,20.7,0.0,12.1,,,,,,,,,,,,,,,Curve,0.0006,81.9,0.115,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-09-07,823742,2026-09-07T18:10:00Z,Final,MIL,CHC,683734,Andrew Vaughn,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,4,0.5714,4.5,4.255,5.01,1.0,0.5943,571510,Matthew Boyd,L,1.15,0.78,0.3803,1.5,LESS,0.9627,-2582,75,88,0.2061,0.3803,0.0,0.657,0.3057,0.0372,0.0,0.0,0.343,0.0373,0.0,0.343,0.657,0.0373,0.9627,0.0,1.0,0.0,1.0,292,46,0.1575,1208,457,79,0.1729,0.2881,0.2315,0.8271,0.8968,0.1386,5,2,16,0.4,0.125,0.4,0.0,10,5,30,0.5,0.1667,0.4,0.1,15,8,47,0.5333,0.1702,0.4667,0.0667,112,15,0.1339,0.1497,0.2719,0.2101,0.8503,2,0,0.0,0.2154,9,0.0,0.1131,0.4444,0.2961,0.25,1.0,1.0,0.0,6.0,0.0,0.0,323,48,0.1486,0.1784,0.2555,0.1716,84.6189,0.1804,0.2698,0.1282,0.1773,1.0,4-Seam,0.4194,0.087,92.8661,1.5,220,87,5,0.0575,0.0715,VELO_BAND_1.5,0.0545,0.1898,0.1748,0.1554,0.1667,0.2372,0.1915,0.261,0.1644,0.2061,0.1941,0.1901,4-Seam,0.4194,92.8917,0.0909,0.2389,Changeup,0.253,78.4144,0.209,0.2215,Slider,0.1647,82.7814,0.3457,0.268,Curve,0.1486,73.1394,0.2444,0.3429,96.3,65.7,30.6,3.7,0.0,0.0,34.3,3.7,0.0,34.3,65.7,3.7,96.3,0.0,100.0,0.0,100.0,15.8,17.3,28.8,23.1,82.7,89.7,13.9,12.5,16.7,17.0,40.0,40.0,46.7,0.0,10.0,6.7,13.4,15.0,27.2,21.0,85.0,0.0,21.5,0.0,11.3,44.4,29.6,25.0,100.0,100.0,0.0,14.9,17.8,25.6,17.2,18.0,27.0,12.8,17.7,100.0,41.9,8.7,19.0,17.5,15.5,16.7,23.7,19.1,26.1,16.4,20.6,19.4,19.0,20.6,57.1,5.7,2.0,0.115,1.0,0.225,,,,,4.0,0.0,0.25,0.0,0.0,0.0,Sinker,0.0144,92.1235,0.2,0.2941,,,,,,1.0,0.115,0.0,0.225,,,,,2.0,0.115,0.5,0.225,,,,,,,,,,,,,,,,,
8,2026-09-07,824062,2026-09-07T18:10:00Z,Final,KC,AZ,668942,Josh Rojas,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,3,0.4286,5.0,5.0033,5.0,1.0,0.4057,571882,Derek Law,R,1.15,0.42,0.4017,1.5,LESS,0.958,-2279,62,84,0.1834,0.4017,0.0,0.6404,0.3176,0.042,0.0,0.0,0.3596,0.042,0.0,0.3596,0.6404,0.042,0.958,0.0,1.0,0.0,1.0,103,16,0.1553,372,187,33,0.1765,0.2446,0.3138,0.8235,0.9062,0.1618,5,1,14,0.2,0.0714,0.2,0.0,10,7,35,0.7,0.2,0.6,0.1,15,7,51,0.4667,0.1373,0.4,0.0667,82,12,0.1463,0.1656,0.2386,0.3165,0.8344,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,19,3,0.1579,0.1714,0.2558,0.0588,88.9465,0.1503,0.2835,0.1432,0.224,1.0,Cutter,0.407,0.2,91.2529,1.5,56,28,4,0.1429,0.1289,VELO_BAND_1.5,0.0,0.2011,0.18,0.1715,0.2143,0.245,0.2011,0.2984,0.2258,0.1834,0.227,0.2073,Cutter,0.407,90.1886,0.0,0.2571,Slider,0.2558,86.5318,0.3,0.2273,Changeup,0.1395,84.575,0.1667,0.1667,4-Seam,0.1395,93.3917,0.2,0.3333,95.8,64.0,31.8,4.2,0.0,0.0,36.0,4.2,0.0,36.0,64.0,4.2,95.8,0.0,100.0,0.0,100.0,15.5,17.6,24.5,31.4,82.4,90.6,16.2,7.1,20.0,13.7,20.0,60.0,40.0,0.0,10.0,6.7,14.6,16.6,23.9,31.6,83.4,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,15.8,17.1,25.6,5.9,15.0,28.3,14.3,22.4,100.0,40.7,20.0,20.1,18.0,17.2,21.4,24.5,20.1,29.8,22.6,18.3,22.7,20.7,18.3,42.9,14.3,,,,,,,,,,,,,,,Sinker,0.0465,94.15,0.5,0.5,Curve,0.0116,76.9,0.115,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-09-07,823902,2026-09-08T01:10:00Z,Pre-Game,LAD,CIN,672613,Eliezer Alfonzo,S,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,0,0,0.0,,,,,0.0,695505,Chase Burns,R,1.15,0.78,0.4001,1.5,LESS,0.9578,-2267,62,84,0.2069,0.4001,0.0,0.6422,0.3155,0.0422,0.0001,0.0,0.3578,0.0422,0.0001,0.3578,0.6422,0.0422,0.9578,0.0001,0.9999,0.0,1.0,27,2,0.0741,90,48,6,0.125,0.2222,0.3182,0.875,0.9412,0.1538,5,1,15,0.2,0.0667,0.2,0.0,10,2,22,0.2,0.0909,0.2,0.0,12,2,27,0.1667,0.0741,0.1667,0.0,13,1,0.0769,0.125,0.25,0.3462,0.875,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,408,123,0.3015,0.285,0.284,0.269,94.156,0.128,0.3008,0.1023,0.1846,0.6108,4-Seam,0.5591,0.1111,97.4466,,60,33,2,0.0606,0.0856,HITTER_FASTBALL_FALLBACK,0.0,0.1954,0.1596,0.1768,0.2864,0.215,0.1954,0.2506,0.1814,0.2069,0.2227,0.204,4-Seam,0.5591,97.449,0.1276,0.2423,Slider,0.3886,89.8703,0.5076,0.3578,Changeup,0.0463,90.1692,0.4,0.1923,Sinker,0.0053,97.2,0.0,0.1111,95.8,64.2,31.6,4.2,0.0,0.0,35.8,4.2,0.0,35.8,64.2,4.2,95.8,0.0,100.0,0.0,100.0,7.4,12.5,22.2,31.8,87.5,94.1,15.4,6.7,9.1,7.4,20.0,20.0,16.7,0.0,0.0,0.0,7.7,12.5,25.0,34.6,87.5,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,30.1,28.5,28.4,26.9,12.8,30.1,10.2,18.5,61.1,55.9,11.1,19.5,16.0,17.7,28.6,21.5,19.5,25.1,18.1,20.7,22.3,20.4,20.7,0.0,6.1,,,,,,,,,,,,,,,Curve,0.0006,81.9,0.115,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-09-07,824062,2026-09-07T18:10:00Z,Final,KC,AZ,521692,Salvador Perez,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,4,0.5714,4.0,4.0,4.0,1.0,0.5371,571882,Derek Law,R,1.15,0.42,0.3978,1.5,LESS,0.9573,-2243,76,88,0.1834,0.3978,0.0,0.6449,0.3124,0.0426,0.0,0.0,0.3551,0.0427,0.0,0.3551,0.6449,0.0427,0.9573,0.0,1.0,0.0,1.0,398,71,0.1784,1467,815,181,0.2221,0.2474,0.4425,0.7779,0.9018,0.1903,5,2,21,0.4,0.0952,0.4,0.0,10,6,43,0.6,0.1395,0.5,0.1,15,11,64,0.7333,0.1719,0.5333,0.2,282,49,0.1738,0.2289,0.2469,0.4268,0.7711,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,19,3,0.1579,0.1714,0.2558,0.0588,88.9465,0.2065,0.264,0.1844,0.1964,1.0,Cutter,0.407,0.2195,91.2529,1.5,154,90,13,0.1444,0.1375,VELO_BAND_1.5,0.0,0.2014,0.1642,0.1793,0.2143,0.2611,0.2014,0.3488,0.25,0.1834,0.2611,0.211,Cutter,0.407,90.1886,0.0,0.2571,Slider,0.2558,86.5318,0.3,0.2273,Changeup,0.1395,84.575,0.1667,0.1667,4-Seam,0.1395,93.3917,0.2,0.3333,95.7,64.5,31.2,4.3,0.0,0.0,35.5,4.3,0.0,35.5,64.5,4.3,95.7,0.0,100.0,0.0,100.0,17.8,22.2,24.7,44.2,77.8,90.2,19.0,9.5,14.0,17.2,40.0,50.0,53.3,0.0,10.0,20.0,17.4,22.9,24.7,42.7,77.1,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,15.8,17.1,25.6,5.9,20.7,26.4,18.4,19.6,100.0,40.7,22.0,20.1,16.4,17.9,21.4,26.1,20.1,34.9,25.0,18.3,26.1,21.1,18.3,57.1,14.4,,,,,,,,,,,,,,,Sinker,0.0465,94.15,0.5,0.5,Curve,0.0116,76.9,0.115,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
