rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,top_pitch_usage_pct,top_pitch_batter_whiff_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,velo_band_whiff_raw_pct,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,bvp_cu_pitches,bvp_cu_whiff,bvp_cu_csw,bvp_cu_k_pa,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_st_pitches,bvp_st_whiff,bvp_st_csw,bvp_st_k_pa,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,bvp_fs_pitches,bvp_fs_whiff,bvp_fs_csw,bvp_fs_k_pa,bvp_cs_pitches,bvp_cs_whiff,bvp_cs_csw,bvp_cs_k_pa,bvp_kc_pitches,bvp_kc_whiff,bvp_kc_csw,bvp_kc_k_pa,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds
1,2026-09-08,824875,2026-09-08T23:15:00Z,Scheduled,TB,ATL,689414,Liam Hicks,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,4.005,4.005,4.01,2.0,0.3086,700363,AJ Smith-Shawver,R,1.15,0.78,0.3016,1.5,LESS,0.9735,-3676,76,88,0.2273,0.3016,0.0,0.7248,0.2487,0.0265,0.0,0.0,0.2752,0.0265,0.0,0.2752,0.7248,0.0265,0.9735,0.0,1.0,0.0,1.0,364,36,0.0989,1327,536,60,0.1119,0.2532,0.2819,0.8881,0.9763,0.1289,5,2,17,0.4,0.1176,0.2,0.2,10,4,33,0.4,0.1212,0.3,0.1,15,5,50,0.3333,0.1,0.2667,0.0667,286,22,0.0769,0.1056,0.2403,0.2692,0.8944,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,85,15,0.1765,0.2387,0.2594,0.2075,88.5847,0.1251,0.2404,0.1112,0.1346,1.0,4-Seam,0.4094,0.0307,95.8484,1.5,280,117,2,0.0171,0.036,VELO_BAND_1.5,0.0,0.1397,0.1316,0.0893,0.2027,0.1787,0.1397,0.2349,0.1544,0.2273,0.2069,0.152,4-Seam,0.4094,96.0481,0.0984,0.2214,Splitter,0.3656,82.5359,0.3714,0.3248,Curve,0.075,75.0417,0.25,0.2083,Sinker,0.075,94.7583,0.2222,0.2917,Slider,0.075,84.7042,0.1429,0.1667,97.4,72.5,24.9,2.6,0.0,0.0,27.5,2.6,0.0,27.5,72.5,2.6,97.4,0.0,100.0,0.0,100.0,9.9,11.2,25.3,28.2,88.8,97.6,12.9,11.8,12.1,10.0,20.0,30.0,26.7,20.0,10.0,6.7,7.7,10.6,24.0,26.9,89.4,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,17.6,23.9,25.9,20.8,12.5,24.0,11.1,13.5,100.0,40.9,3.1,14.0,13.2,8.9,20.3,17.9,14.0,23.5,15.4,22.7,20.7,15.2,22.7,28.6,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-09-08,823250,2026-09-09T01:40:00Z,Scheduled,WSH,SD,660688,Keibert Ruiz,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,5.5,5.5,7.0,1.0,0.2857,663554,Casey Mize,R,1.15,0.7778,0.3285,1.5,LESS,0.9711,-3363,75,88,0.2174,0.3285,0.0,0.7004,0.2707,0.0288,0.0001,0.0,0.2996,0.0289,0.0001,0.2996,0.7004,0.0289,0.9711,0.0001,0.9999,0.0,1.0,243,24,0.0988,759,405,51,0.1259,0.2121,0.3714,0.8741,0.9504,0.1626,5,3,18,0.6,0.1667,0.6,0.0,10,3,35,0.3,0.0857,0.3,0.0,15,5,54,0.3333,0.0926,0.3333,0.0,184,13,0.0707,0.1154,0.1904,0.375,0.8846,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,338,65,0.1923,0.2047,0.2623,0.1923,90.0264,0.1138,0.2323,0.1331,0.1466,0.95,4-Seam,0.3538,0.0794,93.4631,1.5,165,85,9,0.1059,0.1081,VELO_BAND_1.5,0.0,0.1489,0.1352,0.0922,0.1998,0.1768,0.1489,0.2893,0.1949,0.2174,0.2438,0.1588,4-Seam,0.3538,93.3946,0.1704,0.2587,Slider,0.29,87.5324,0.2179,0.321,Splitter,0.21,88.1974,0.2625,0.1905,Sinker,0.0962,93.7152,0.1571,0.272,SV,0.05,81.2431,0.1923,0.2308,97.1,70.0,27.1,2.9,0.0,0.0,30.0,2.9,0.0,30.0,70.0,2.9,97.1,0.0,100.0,0.0,100.0,9.9,12.6,21.2,37.1,87.4,95.0,16.3,16.7,8.6,9.3,60.0,30.0,33.3,0.0,0.0,0.0,7.1,11.5,19.0,37.5,88.5,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,19.2,20.5,26.2,19.2,11.4,23.2,13.3,14.7,95.0,35.4,7.9,14.9,13.5,9.2,20.0,17.7,14.9,28.9,19.5,21.7,24.4,15.9,21.7,28.6,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-09-08,823250,2026-09-09T01:40:00Z,Scheduled,WSH,SD,678391,Jorbit Vivas,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,7.505,7.505,6.0,2.0,0.2971,663554,Casey Mize,R,1.15,0.7778,0.3591,1.5,LESS,0.9674,-2971,75,88,0.2174,0.3591,0.0,0.6735,0.2939,0.0325,0.0,0.0,0.3265,0.0326,0.0,0.3265,0.6735,0.0326,0.9674,0.0,1.0,0.0,1.0,231,30,0.1299,821,393,66,0.1679,0.2058,0.2746,0.8321,0.9259,0.1653,5,1,16,0.2,0.0625,0.2,0.0,10,3,37,0.3,0.0811,0.3,0.0,15,4,51,0.2667,0.0784,0.2667,0.0,202,27,0.1337,0.1695,0.2057,0.273,0.8305,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,338,65,0.1923,0.2047,0.2623,0.1923,90.0264,0.1357,0.2347,0.1268,0.1653,0.95,4-Seam,0.3538,0.0826,93.4631,1.5,163,79,4,0.0506,0.0675,VELO_BAND_1.5,0.0,0.1753,0.1312,0.1444,0.1998,0.1994,0.1753,0.2857,0.1623,0.2174,0.2105,0.1768,4-Seam,0.3538,93.3946,0.1704,0.2587,Slider,0.29,87.5324,0.2179,0.321,Splitter,0.21,88.1974,0.2625,0.1905,Sinker,0.0962,93.7152,0.1571,0.272,SV,0.05,81.2431,0.1923,0.2308,96.7,67.4,29.4,3.3,0.0,0.0,32.6,3.3,0.0,32.6,67.4,3.3,96.7,0.0,100.0,0.0,100.0,13.0,16.8,20.6,27.5,83.2,92.6,16.5,6.2,8.1,7.8,20.0,30.0,26.7,0.0,0.0,0.0,13.4,17.0,20.6,27.3,83.0,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,19.2,20.5,26.2,19.2,13.6,23.5,12.7,16.5,95.0,35.4,8.3,17.5,13.1,14.4,20.0,19.9,17.5,28.6,16.2,21.7,21.0,17.7,21.7,28.6,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-09-08,823901,2026-09-09T02:10:00Z,Scheduled,LAD,CIN,500743,Miguel Rojas,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,9.01,9.01,9.01,0.0,0.1771,666157,Nick Lodolo,L,1.15,0.78,0.3524,1.5,LESS,0.9661,-2848,71,87,0.2072,0.3524,0.0,0.6815,0.2846,0.0339,0.0,0.0,0.3185,0.0339,0.0,0.3185,0.6815,0.0339,0.9661,0.0,1.0,0.0,1.0,153,16,0.1046,546,265,36,0.1358,0.2198,0.3125,0.8642,0.9486,0.1154,5,3,13,0.6,0.2308,0.6,0.0,10,5,25,0.5,0.2,0.4,0.1,15,5,36,0.3333,0.1389,0.2667,0.0667,107,12,0.1121,0.1354,0.229,0.3122,0.8646,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,364,67,0.1841,0.2113,0.2566,0.2051,89.7057,0.1284,0.2416,0.0879,0.1531,1.0,4-Seam,0.2656,0.0533,93.7706,1.5,131,71,2,0.0282,0.0527,VELO_BAND_1.5,0.0,0.1635,0.18,0.1324,0.1929,0.19,0.1635,0.1989,0.1594,0.2072,0.2216,0.1735,4-Seam,0.2656,93.8869,0.1377,0.1963,Sinker,0.2622,93.6528,0.0819,0.2997,Curve,0.2427,82.4536,0.415,0.298,Changeup,0.2295,88.0261,0.2381,0.2333,,,,,,96.6,68.2,28.5,3.4,0.0,0.0,31.8,3.4,0.0,31.8,68.2,3.4,96.6,0.0,100.0,0.0,100.0,10.5,13.6,22.0,31.2,86.4,94.9,11.5,23.1,20.0,13.9,60.0,40.0,26.7,0.0,10.0,6.7,11.2,13.5,22.9,31.2,86.5,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,18.4,21.1,25.7,20.5,12.8,24.2,8.8,15.3,100.0,26.6,5.3,16.3,18.0,13.2,19.3,19.0,16.3,19.9,15.9,20.7,22.2,17.3,20.7,14.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-09-08,824957,2026-09-09T01:40:00Z,Scheduled,TOR,ATH,672386,Alejandro Kirk,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,4.0,3.5,4.0,3.0,0.5257,678022,Jack Perkins,R,1.15,0.4815,0.3749,1.5,LESS,0.9637,-2653,75,88,0.2142,0.3749,0.0,0.6614,0.3022,0.0363,0.0,0.0,0.3386,0.0363,0.0,0.3386,0.6614,0.0363,0.9637,0.0,1.0,0.0,1.0,235,29,0.1234,919,380,54,0.1421,0.2633,0.2731,0.8579,0.9062,0.1386,5,4,23,0.8,0.1739,0.4,0.4,10,7,41,0.7,0.1707,0.4,0.3,15,8,66,0.5333,0.1212,0.3333,0.2,155,13,0.0839,0.1115,0.2442,0.2929,0.8885,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,385,95,0.2468,0.2479,0.2836,0.2471,90.9081,0.1434,0.2557,0.1326,0.1769,1.0,4-Seam,0.2956,0.2088,94.5721,1.5,249,90,17,0.1889,0.1714,VELO_BAND_1.5,0.0,0.1671,0.1694,0.1098,0.2423,0.213,0.1671,0.2653,0.2772,0.2142,0.2068,0.1839,4-Seam,0.2956,95.6401,0.1472,0.2432,Sweeper,0.2803,86.1665,0.348,0.3872,Changeup,0.1758,89.2909,0.373,0.2841,Cutter,0.1438,92.3847,0.14,0.2269,Sinker,0.0426,94.5453,0.1143,0.1719,96.4,66.1,30.2,3.6,0.0,0.0,33.9,3.6,0.0,33.9,66.1,3.6,96.4,0.0,100.0,0.0,100.0,12.3,14.2,26.3,27.3,85.8,90.6,13.9,17.4,17.1,12.1,40.0,40.0,33.3,40.0,30.0,20.0,8.4,11.2,24.4,29.3,88.8,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,24.7,24.8,28.4,24.7,14.3,25.6,13.3,17.7,100.0,29.6,20.9,16.7,16.9,11.0,24.2,21.3,16.7,26.5,27.7,21.4,20.7,18.4,21.4,57.1,18.9,,,,,,,,,,,Slider,0.0326,86.2224,0.2727,0.2449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-09-08,823414,2026-09-08T22:40:00Z,Scheduled,PHI,HOU,665561,Rafael Marchán,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,669713,Hayden Wesneski,R,1.15,0.78,0.3763,1.5,LESS,0.9626,-2571,61,84,0.229,0.3763,0.0,0.6612,0.3014,0.0374,0.0,0.0,0.3388,0.0374,0.0,0.3388,0.6612,0.0374,0.9626,0.0,1.0,0.0,1.0,35,2,0.0571,146,76,12,0.1579,0.2397,0.3418,0.8421,0.898,0.0588,5,0,14,0.0,0.0,0.0,0.0,10,1,28,0.1,0.0357,0.1,0.0,13,2,35,0.1538,0.0571,0.1538,0.0,23,0,0.0,0.1636,0.2136,0.3273,0.8364,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,158,33,0.2089,0.2388,0.266,0.2708,88.0621,0.1149,0.2751,0.0919,0.1829,1.0,Sweeper,0.3047,0.1667,92.2599,1.5,27,12,2,0.1667,0.1305,VELO_BAND_1.5,0.0,0.1899,0.1281,0.1429,0.2151,0.2023,0.1899,0.1631,0.2102,0.229,0.2358,0.1806,Sweeper,0.3047,81.0829,0.4167,0.3646,4-Seam,0.2391,93.6831,0.1233,0.1972,Sinker,0.1785,92.6726,0.1167,0.1887,Cutter,0.1448,89.4012,0.2045,0.2558,Changeup,0.1279,86.6408,0.3684,0.2895,96.3,66.1,30.1,3.7,0.0,0.0,33.9,3.7,0.0,33.9,66.1,3.7,96.3,0.0,100.0,0.0,100.0,5.7,15.8,24.0,34.2,84.2,89.8,5.9,0.0,3.6,5.7,0.0,10.0,15.4,0.0,0.0,0.0,0.0,16.4,21.4,32.7,83.6,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,20.9,23.9,26.6,27.1,11.5,27.5,9.2,18.3,100.0,30.5,16.7,19.0,12.8,14.3,21.5,20.2,19.0,16.3,21.0,22.9,23.6,18.1,22.9,0.0,16.7,,,,,,,,,,,Curve,0.0034,72.65,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-09-08,823500,2026-09-08T23:05:00Z,Scheduled,COL,NYY,664954,Brett Sullivan,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,8.0,7.6767,8.03,6.0,0.3829,693645,Cam Schlittler,R,1.15,0.78,0.3852,1.5,LESS,0.9606,-2438,71,87,0.2413,0.3852,0.0,0.6543,0.3063,0.0393,0.0001,0.0,0.3457,0.0394,0.0001,0.3457,0.6543,0.0394,0.9606,0.0001,0.9999,0.0,1.0,142,19,0.1338,494,251,29,0.1155,0.2065,0.2876,0.8845,0.9293,0.122,5,1,14,0.2,0.0714,0.2,0.0,10,4,31,0.4,0.129,0.3,0.1,15,7,51,0.4667,0.1373,0.4,0.0667,110,17,0.1545,0.1192,0.2038,0.3094,0.8808,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,475,151,0.3179,0.2605,0.2872,0.2835,96.0714,0.1005,0.2428,0.1085,0.1791,0.9995,4-Seam,0.4388,0.0814,97.1991,1.5,81,38,2,0.0526,0.0791,VELO_BAND_1.5,0.0,0.1773,0.1497,0.1634,0.3017,0.1869,0.1773,0.2255,0.1659,0.2413,0.2095,0.1905,4-Seam,0.4388,98.0467,0.3018,0.3069,Cutter,0.2492,95.0125,0.22,0.2564,Sinker,0.2022,98.0546,0.1395,0.2768,Curve,0.1061,86.7687,0.4267,0.3085,Slider,0.0032,90.7667,0.0,0.0,96.1,65.4,30.6,3.9,0.0,0.0,34.6,3.9,0.0,34.6,65.4,3.9,96.1,0.0,100.0,0.0,100.0,13.4,11.6,20.6,28.8,88.4,92.9,12.2,7.1,12.9,13.7,20.0,30.0,40.0,0.0,10.0,6.7,15.5,11.9,20.4,30.9,88.1,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,31.8,26.1,28.7,28.3,10.1,24.3,10.9,17.9,99.9,43.9,8.1,17.7,15.0,16.3,30.2,18.7,17.7,22.5,16.6,24.1,21.0,19.0,24.1,42.9,5.3,,,,,,,,,,,PO,0.0005,96.5,0.115,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-09-08,824228,2026-09-08T22:40:00Z,Scheduled,DET,MIN,656716,Zach McKinstry,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,8.5,8.5,8.0,3.0,0.2971,665152,Dean Kremer,R,1.15,0.78,0.3963,1.5,LESS,0.9603,-2420,79,89,0.2179,0.3963,0.0,0.6437,0.3166,0.0394,0.0003,0.0,0.3563,0.0397,0.0003,0.3563,0.6437,0.0397,0.9603,0.0003,0.9997,0.0,1.0,328,51,0.1555,1216,592,86,0.1453,0.2368,0.2919,0.8547,0.933,0.1712,5,6,19,1.2,0.3158,0.8,0.4,10,9,34,0.9,0.2647,0.7,0.2,15,13,52,0.8667,0.25,0.6667,0.2,256,39,0.1523,0.1545,0.24,0.3101,0.8455,4,1,0.25,0.227,9,0.5,0.1333,0.5556,0.3039,0.8,0.5,1.0,0.5,5.0,0.5,0.0,238,50,0.2101,0.2442,0.2766,0.2321,86.9317,0.1362,0.2552,0.1544,0.1752,0.999,4-Seam,0.2724,0.0807,90.8087,1.5,121,54,4,0.0741,0.088,VELO_BAND_1.5,0.0755,0.184,0.2255,0.1591,0.2145,0.2078,0.1881,0.3185,0.1761,0.2179,0.2146,0.2006,4-Seam,0.2724,92.7981,0.1282,0.2835,Splitter,0.2328,82.5973,0.3419,0.2466,Cutter,0.2015,87.2679,0.3265,0.2642,Sinker,0.1503,91.9486,0.1132,0.2986,Curve,0.1315,76.6032,0.2791,0.3333,96.0,64.4,31.7,3.9,0.0,0.0,35.6,4.0,0.0,35.6,64.4,4.0,96.0,0.0,100.0,0.0,100.0,15.5,14.5,23.7,29.2,85.5,93.3,17.1,31.6,26.5,25.0,80.0,70.0,66.7,40.0,20.0,20.0,15.2,15.5,24.0,31.0,84.5,25.0,22.7,50.0,13.3,55.6,30.4,80.0,50.0,100.0,50.0,21.0,24.4,27.7,23.2,13.6,25.5,15.4,17.5,99.9,27.2,8.1,18.4,22.5,15.9,21.4,20.8,18.8,31.9,17.6,21.8,21.5,20.1,21.8,28.6,7.4,2.0,0.0,0.5,0.0,3.0,1.0,0.6667,0.225,50.0,0.0,Slider,0.0104,83.36,0.0,0.0,,,,,,,,,,,,,,,,,,,,,4.0,0.5,0.5,0.3333,,,,,,,,,,,,,,,,,,,,,
9,2026-09-08,823738,2026-09-08T23:40:00Z,Scheduled,MIL,CHC,683734,Andrew Vaughn,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,5.0,4.67,5.01,2.0,0.4514,656849,David Peterson,L,1.15,0.7685,0.3852,1.5,LESS,0.96,-2400,77,89,0.2061,0.3852,0.0,0.6549,0.3051,0.0398,0.0002,0.0,0.3451,0.04,0.0002,0.3451,0.6549,0.04,0.96,0.0002,0.9998,0.0,1.0,288,44,0.1528,1190,448,74,0.1652,0.2857,0.2313,0.8348,0.9043,0.132,5,2,16,0.4,0.125,0.4,0.0,10,5,30,0.5,0.1667,0.4,0.1,15,8,47,0.5333,0.1702,0.4667,0.0667,110,15,0.1364,0.1472,0.2735,0.2143,0.8528,5,1,0.2,0.2225,24,0.1429,0.1165,0.2917,0.2861,0.2143,0.8571,1.0,0.25,5.0,0.5,0.0,399,75,0.188,0.198,0.256,0.2059,88.9961,0.1556,0.291,0.1261,0.1669,1.0,Sinker,0.292,0.0482,92.431,1.5,189,74,4,0.0541,0.0708,VELO_BAND_1.5,0.1291,0.1866,0.1728,0.1559,0.1954,0.2207,0.1915,0.2525,0.1645,0.2061,0.193,0.19,Sinker,0.292,92.3018,0.1658,0.3059,4-Seam,0.2473,92.5836,0.1512,0.1725,Slider,0.2267,86.4056,0.2601,0.2765,Changeup,0.1413,85.6264,0.21,0.2311,Curve,0.0913,80.3562,0.2558,0.3139,96.0,65.5,30.5,4.0,0.0,0.0,34.5,4.0,0.0,34.5,65.5,4.0,96.0,0.0,100.0,0.0,100.0,15.3,16.5,28.6,23.1,83.5,90.4,13.2,12.5,16.7,17.0,40.0,40.0,46.7,0.0,10.0,6.7,13.6,14.7,27.4,21.4,85.3,20.0,22.2,14.3,11.7,29.2,28.6,21.4,85.7,100.0,25.0,18.8,19.8,25.6,20.6,15.6,29.1,12.6,16.7,100.0,29.2,4.8,18.7,17.3,15.6,19.5,22.1,19.2,25.2,16.5,20.6,19.3,19.0,20.6,42.9,5.4,7.0,0.0,0.1429,0.0,2.0,0.115,0.0,0.225,50.0,0.0,,,,,,,,,,8.0,0.0,0.375,0.0,,,,,3.0,0.115,0.3333,0.225,4.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-09-08,824792,2026-09-08T22:35:00Z,Scheduled,CLE,BAL,800050,Chase DeLauter,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,2.0,2.0,2.0,4.0,0.36,687064,Brandon Young,R,1.15,0.78,0.399,1.5,LESS,0.9594,-2361,81,90,0.2109,0.399,0.0,0.6417,0.3177,0.0406,0.0,0.0,0.3583,0.0406,0.0,0.3583,0.6417,0.0406,0.9594,0.0,1.0,0.0,1.0,346,58,0.1676,1352,583,83,0.1424,0.2256,0.2244,0.8576,0.922,0.1952,5,3,19,0.6,0.1579,0.4,0.2,10,8,33,0.8,0.2424,0.5,0.3,15,10,51,0.6667,0.1961,0.4,0.2667,234,33,0.141,0.1204,0.2125,0.2102,0.8796,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,492,96,0.1951,0.2239,0.2595,0.2353,88.4991,0.1312,0.2437,0.1601,0.1716,1.0,4-Seam,0.4026,0.1061,94.2391,1.5,263,123,18,0.1463,0.1405,VELO_BAND_1.5,0.0,0.1911,0.1989,0.1526,0.2002,0.2012,0.1911,0.331,0.2594,0.2109,0.1876,0.1976,4-Seam,0.4026,94.3672,0.1654,0.2432,Splitter,0.1839,83.8364,0.2883,0.2012,Slider,0.1491,84.7818,0.4453,0.3504,Sinker,0.1371,93.8631,0.0815,0.2143,Curve,0.1273,75.2534,0.2535,0.3376,95.9,64.2,31.8,4.1,0.0,0.0,35.8,4.1,0.0,35.8,64.2,4.1,95.9,0.0,100.0,0.0,100.0,16.8,14.2,22.6,22.4,85.8,92.2,19.5,15.8,24.2,19.6,40.0,50.0,40.0,20.0,30.0,26.7,14.1,12.0,21.2,21.0,88.0,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,19.5,22.4,26.0,23.5,13.1,24.4,16.0,17.2,100.0,40.3,10.6,19.1,19.9,15.3,20.0,20.1,19.1,33.1,25.9,21.1,18.8,19.8,21.1,42.9,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
