rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,top_pitch_usage_pct,top_pitch_batter_whiff_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,velo_band_whiff_raw_pct,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,bvp_kc_pitches,bvp_kc_whiff,bvp_kc_csw,bvp_kc_k_pa,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,bvp_cu_pitches,bvp_cu_whiff,bvp_cu_csw,bvp_cu_k_pa,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,bvp_fs_pitches,bvp_fs_whiff,bvp_fs_csw,bvp_fs_k_pa,bvp_st_pitches,bvp_st_whiff,bvp_st_csw,bvp_st_k_pa,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds
1,2026-09-09,823251,2026-09-09T20:10:00Z,Scheduled,WSH,SD,660688,Keibert Ruiz,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,7.0,7.0,7.0,2.0,0.1657,621111,Walker Buehler,R,1.15,0.78,0.3282,1.5,LESS,0.9706,-3306,76,88,0.2181,0.3282,0.0,0.7011,0.2695,0.0294,0.0,0.0,0.2989,0.0294,0.0,0.2989,0.7011,0.0294,0.9706,0.0,1.0,0.0,1.0,246,24,0.0976,768,410,51,0.1244,0.2109,0.3728,0.8756,0.9509,0.1613,5,3,16,0.6,0.1875,0.6,0.0,10,3,35,0.3,0.0857,0.3,0.0,15,5,53,0.3333,0.0943,0.3333,0.0,187,13,0.0695,0.1136,0.1891,0.3768,0.8864,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,419,86,0.2053,0.1866,0.2555,0.1856,90.4834,0.1137,0.2374,0.1414,0.1448,1.0,Cutter,0.2478,0.0588,92.8969,1.5,153,81,5,0.0617,0.0754,VELO_BAND_1.5,0.0,0.1476,0.1378,0.0908,0.2091,0.1766,0.1476,0.2961,0.1547,0.2181,0.2441,0.1587,Cutter,0.2478,90.5959,0.1869,0.2567,Sinker,0.2166,94.3468,0.1156,0.2992,4-Seam,0.2034,94.1563,0.1343,0.3038,Slider,0.1026,87.269,0.2245,0.2047,Changeup,0.0984,89.4744,0.3467,0.2195,97.1,70.1,27.0,2.9,0.0,0.0,29.9,2.9,0.0,29.9,70.1,2.9,97.1,0.0,100.0,0.0,100.0,9.8,12.4,21.1,37.3,87.6,95.1,16.1,18.8,8.6,9.4,60.0,30.0,33.3,0.0,0.0,0.0,7.0,11.4,18.9,37.7,88.6,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,20.5,18.7,25.6,18.6,11.4,23.7,14.1,14.5,100.0,24.8,5.9,14.8,13.8,9.1,20.9,17.7,14.8,29.6,15.5,21.8,24.4,15.9,21.8,14.3,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweeper,0.069,82.6339,0.2419,0.2087,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-09-09,823900,2026-09-10T02:10:00Z,Scheduled,LAD,CIN,500743,Miguel Rojas,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,9.01,9.01,9.01,1.0,0.1657,695076,Rhett Lowder,R,1.15,0.713,0.3498,1.5,LESS,0.9678,-3002,70,87,0.2072,0.3498,0.0,0.6825,0.2853,0.0322,0.0,0.0,0.3175,0.0322,0.0,0.3175,0.6825,0.0322,0.9678,0.0,1.0,0.0,1.0,153,16,0.1046,541,263,36,0.1369,0.22,0.3099,0.8631,0.9486,0.1184,5,3,12,0.6,0.25,0.6,0.0,10,3,22,0.3,0.1364,0.3,0.0,15,5,34,0.3333,0.1471,0.2667,0.0667,45,4,0.0889,0.1389,0.1921,0.3133,0.8611,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,356,63,0.177,0.168,0.2485,0.1568,89.3719,0.1307,0.233,0.0772,0.1378,1.0,Sinker,0.2871,0.0877,93.5831,1.5,129,69,3,0.0435,0.0641,VELO_BAND_1.5,0.0,0.1636,0.1686,0.1344,0.1875,0.1824,0.1636,0.1914,0.1594,0.2072,0.2207,0.1701,Sinker,0.2871,93.3155,0.0559,0.2765,Slider,0.2708,85.1241,0.3056,0.2932,Changeup,0.2003,86.6067,0.1897,0.1667,4-Seam,0.1988,93.9694,0.1212,0.2388,Curve,0.0378,80.5725,0.0588,0.2157,96.8,68.2,28.5,3.2,0.0,0.0,31.8,3.2,0.0,31.8,68.2,3.2,96.8,0.0,100.0,0.0,100.0,10.5,13.7,22.0,31.0,86.3,94.9,11.8,25.0,13.6,14.7,60.0,30.0,26.7,0.0,0.0,6.7,8.9,13.9,19.2,31.3,86.1,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,17.7,16.8,24.9,15.7,13.1,23.3,7.7,13.8,100.0,28.7,8.8,16.4,16.9,13.4,18.8,18.2,16.4,19.1,15.9,20.7,22.1,17.0,20.7,14.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweeper,0.0015,83.15,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-09-09,823251,2026-09-09T20:10:00Z,Scheduled,WSH,SD,678391,Jorbit Vivas,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,7.505,7.505,6.0,3.0,0.2743,621111,Walker Buehler,R,1.15,0.78,0.3626,1.5,LESS,0.9639,-2672,76,88,0.2181,0.3626,0.0,0.6735,0.2904,0.036,0.0,0.0,0.3265,0.0361,0.0,0.3265,0.6735,0.0361,0.9639,0.0,1.0,0.0,1.0,233,30,0.1288,826,395,66,0.1671,0.2058,0.2733,0.8329,0.9265,0.1653,5,1,14,0.2,0.0714,0.2,0.0,10,2,34,0.2,0.0588,0.2,0.0,15,4,50,0.2667,0.08,0.2667,0.0,204,27,0.1324,0.1686,0.2057,0.2716,0.8314,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,419,86,0.2053,0.1866,0.2555,0.1856,90.4834,0.124,0.228,0.1217,0.157,1.0,Cutter,0.2478,0.08,92.8969,1.5,155,71,5,0.0704,0.083,VELO_BAND_1.5,0.0,0.1745,0.1285,0.1431,0.2091,0.1873,0.1745,0.2808,0.1658,0.2181,0.2099,0.1751,Cutter,0.2478,90.5959,0.1869,0.2567,Sinker,0.2166,94.3468,0.1156,0.2992,4-Seam,0.2034,94.1563,0.1343,0.3038,Slider,0.1026,87.269,0.2245,0.2047,Changeup,0.0984,89.4744,0.3467,0.2195,96.4,67.3,29.0,3.6,0.0,0.0,32.7,3.6,0.0,32.7,67.3,3.6,96.4,0.0,100.0,0.0,100.0,12.9,16.7,20.6,27.3,83.3,92.6,16.5,7.1,5.9,8.0,20.0,20.0,26.7,0.0,0.0,0.0,13.2,16.9,20.6,27.2,83.1,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,20.5,18.7,25.6,18.6,12.4,22.8,12.2,15.7,100.0,24.8,8.0,17.4,12.8,14.3,20.9,18.7,17.4,28.1,16.6,21.8,21.0,17.5,21.8,28.6,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweeper,0.069,82.6339,0.2419,0.2087,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-09-09,823416,2026-09-09T22:40:00Z,Scheduled,PHI,HOU,665561,Rafael Marchán,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,686613,Hunter Brown,R,1.15,0.78,0.3787,1.5,LESS,0.9616,-2501,63,85,0.2285,0.3787,0.0,0.6598,0.3018,0.0384,0.0001,0.0,0.3402,0.0384,0.0001,0.3402,0.6598,0.0384,0.9616,0.0001,0.9999,0.0,1.0,35,2,0.0571,146,76,12,0.1579,0.2397,0.3418,0.8421,0.898,0.0588,5,0,14,0.0,0.0,0.0,0.0,10,1,28,0.1,0.0357,0.1,0.0,13,2,35,0.1538,0.0571,0.1538,0.0,23,0,0.0,0.1636,0.2136,0.3273,0.8364,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,324,76,0.2346,0.2428,0.2874,0.2227,92.3333,0.1193,0.2723,0.0878,0.1742,0.8109,4-Seam,0.3207,0.1176,96.1111,1.5,33,19,2,0.1053,0.1111,VELO_BAND_1.5,0.0,0.1899,0.1281,0.1429,0.2323,0.2001,0.1899,0.1591,0.1996,0.2285,0.2358,0.1817,4-Seam,0.3207,96.2021,0.2209,0.2689,Sinker,0.295,96.0121,0.1786,0.3359,Knuckle Curve,0.1891,83.35,0.3238,0.272,Changeup,0.0983,87.4723,0.3704,0.2769,Slider,0.0968,90.7914,0.2258,0.2422,96.2,66.0,30.2,3.8,0.0,0.0,34.0,3.8,0.0,34.0,66.0,3.8,96.2,0.0,100.0,0.0,100.0,5.7,15.8,24.0,34.2,84.2,89.8,5.9,0.0,3.6,5.7,0.0,10.0,15.4,0.0,0.0,0.0,0.0,16.4,21.4,32.7,83.6,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,23.5,24.3,28.7,22.3,11.9,27.2,8.8,17.4,81.1,32.1,11.8,19.0,12.8,14.3,23.2,20.0,19.0,15.9,20.0,22.9,23.6,18.2,22.9,0.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-09-09,824713,2026-09-09T22:45:00Z,Scheduled,LAA,BOS,623168,Tyler Heineman,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,9.0,9.005,9.0,2.0,0.5486,687562,Jake Bennett,L,1.15,0.78,0.3788,1.5,LESS,0.9615,-2499,69,86,0.2318,0.3788,0.0,0.6598,0.3018,0.0384,0.0001,0.0,0.3402,0.0385,0.0001,0.3402,0.6598,0.0385,0.9615,0.0001,0.9999,0.0,1.0,116,13,0.1121,409,222,35,0.1577,0.2323,0.3962,0.8423,0.9348,0.1316,5,2,17,0.4,0.1176,0.2,0.2,10,4,32,0.4,0.125,0.3,0.1,15,4,45,0.2667,0.0889,0.2,0.0667,24,3,0.125,0.1364,0.2584,0.4043,0.8636,3,1,0.3333,0.2318,9,0.25,0.1194,0.3333,0.2884,0.4286,0.75,1.0,1.0,67.0,1.0,0.0,353,77,0.2181,0.2159,0.2619,0.2077,88.6474,0.1236,0.2486,0.1174,0.1664,1.0,4-Seam,0.356,0.1045,92.2801,1.5,47,20,2,0.1,0.1088,VELO_BAND_1.5,0.066,0.177,0.1551,0.1637,0.2196,0.195,0.1805,0.2435,0.1927,0.2318,0.2527,0.1861,4-Seam,0.356,92.9172,0.1736,0.246,Changeup,0.2627,83.5134,0.3085,0.2617,Sinker,0.2332,92.5488,0.1,0.3018,Sweeper,0.0777,79.5305,0.3409,0.2316,Cutter,0.0401,85.0612,0.3571,0.3469,96.2,66.0,30.2,3.8,0.0,0.0,34.0,3.8,0.0,34.0,66.0,3.8,96.2,0.0,100.0,0.0,100.0,11.2,15.8,23.2,39.6,84.2,93.5,13.2,11.8,12.5,8.9,20.0,30.0,20.0,20.0,10.0,6.7,12.5,13.6,25.8,40.4,86.4,33.3,23.2,25.0,11.9,33.3,28.8,42.9,75.0,100.0,100.0,21.8,21.6,26.2,20.8,12.4,24.9,11.7,16.6,100.0,35.6,10.4,17.7,15.5,16.4,22.0,19.5,18.1,24.4,19.3,23.2,25.3,18.6,23.2,57.1,10.0,2.0,1.0,1.0,1.0,,,,,3.0,0.0,0.0,0.0,4.0,0.0,0.25,0.225,,,,,100.0,0.0,,,,,Curve,0.0229,78.6679,0.1818,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-09-09,823900,2026-09-10T02:10:00Z,Scheduled,LAD,CIN,672613,Eliezer Alfonzo,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,695076,Rhett Lowder,R,1.15,0.713,0.3885,1.5,LESS,0.9604,-2423,63,85,0.2072,0.3885,0.0,0.6512,0.3092,0.0396,0.0,0.0,0.3488,0.0396,0.0,0.3488,0.6512,0.0396,0.9604,0.0,1.0,0.0,1.0,27,2,0.0741,90,48,6,0.125,0.2222,0.3182,0.875,0.9412,0.1538,5,1,15,0.2,0.0667,0.2,0.0,10,2,22,0.2,0.0909,0.2,0.0,12,2,27,0.1667,0.0741,0.1667,0.0,13,1,0.0769,0.125,0.25,0.3462,0.875,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,356,63,0.177,0.168,0.2485,0.1568,89.3719,0.1229,0.2725,0.1059,0.187,0.6888,Sinker,0.2871,0.0,93.5831,1.5,34,16,1,0.0625,0.0959,VELO_BAND_1.5,0.0,0.1954,0.1596,0.1768,0.1875,0.2086,0.1954,0.2541,0.1926,0.2072,0.2227,0.192,Sinker,0.2871,93.3155,0.0559,0.2765,Slider,0.2708,85.1241,0.3056,0.2932,Changeup,0.2003,86.6067,0.1897,0.1667,4-Seam,0.1988,93.9694,0.1212,0.2388,Curve,0.0378,80.5725,0.0588,0.2157,96.0,65.1,30.9,4.0,0.0,0.0,34.9,4.0,0.0,34.9,65.1,4.0,96.0,0.0,100.0,0.0,100.0,7.4,12.5,22.2,31.8,87.5,94.1,15.4,6.7,9.1,7.4,20.0,20.0,16.7,0.0,0.0,0.0,7.7,12.5,25.0,34.6,87.5,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,17.7,16.8,24.9,15.7,12.3,27.3,10.6,18.7,68.9,28.7,0.0,19.5,16.0,17.7,18.8,20.9,19.5,25.4,19.3,20.7,22.3,19.2,20.7,0.0,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweeper,0.0015,83.15,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-09-09,823497,2026-09-09T23:05:00Z,Scheduled,COL,NYY,664954,Brett Sullivan,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,2,0.2857,7.515,7.515,8.03,7.0,0.2514,701542,Will Warren,R,1.15,0.78,0.3749,1.5,LESS,0.9602,-2413,71,87,0.2423,0.3749,0.0,0.6649,0.2953,0.0398,0.0,0.0,0.3351,0.0398,0.0,0.3351,0.6649,0.0398,0.9602,0.0,1.0,0.0,1.0,142,19,0.1338,494,251,29,0.1155,0.2065,0.2876,0.8845,0.9293,0.122,5,1,14,0.2,0.0714,0.2,0.0,10,4,31,0.4,0.129,0.3,0.1,15,7,51,0.4667,0.1373,0.4,0.0667,110,17,0.1545,0.1192,0.2038,0.3094,0.8808,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,420,80,0.1905,0.193,0.2649,0.1897,89.9602,0.1053,0.2429,0.1344,0.1728,1.0,4-Seam,0.3422,0.0814,93.3928,1.5,93,44,4,0.0909,0.1003,VELO_BAND_1.5,0.0,0.1773,0.1497,0.1634,0.1971,0.1865,0.1773,0.2508,0.1888,0.2423,0.2095,0.1809,4-Seam,0.3422,93.5769,0.2,0.2821,Sinker,0.2605,93.1511,0.12,0.2565,Sweeper,0.177,83.8101,0.2,0.3357,Changeup,0.1535,87.1992,0.2328,0.1653,Curve,0.0625,81.2307,0.3095,0.2574,96.0,66.5,29.5,4.0,0.0,0.0,33.5,4.0,0.0,33.5,66.5,4.0,96.0,0.0,100.0,0.0,100.0,13.4,11.6,20.6,28.8,88.4,92.9,12.2,7.1,12.9,13.7,20.0,30.0,40.0,0.0,10.0,6.7,15.5,11.9,20.4,30.9,88.1,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,19.0,19.3,26.5,19.0,10.5,24.3,13.4,17.3,100.0,34.2,8.1,17.7,15.0,16.3,19.7,18.7,17.7,25.1,18.9,24.2,21.0,18.1,24.2,28.6,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Slider,0.0019,86.5333,0.5,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-09-09,824713,2026-09-09T22:45:00Z,Scheduled,BOS,LAA,681508,Mickey Gasper,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,2.0,2.0,2.0,2.0,0.4171,696270,Ryan Johnson,R,1.15,0.6019,0.4003,1.5,LESS,0.9589,-2334,73,87,0.2348,0.4003,0.0,0.6409,0.318,0.041,0.0001,0.0,0.3591,0.0411,0.0001,0.3591,0.6409,0.0411,0.9589,0.0001,0.9999,0.0,1.0,187,28,0.1497,704,274,47,0.1715,0.2528,0.2053,0.8285,0.9492,0.1852,5,3,21,0.6,0.1429,0.4,0.2,10,6,39,0.6,0.1538,0.5,0.1,15,6,56,0.4,0.1071,0.3333,0.0667,163,21,0.1288,0.1617,0.2388,0.1988,0.8383,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,319,56,0.1755,0.216,0.2665,0.157,87.1822,0.1446,0.2733,0.1847,0.1931,1.0,Cutter,0.3703,0.1786,90.4299,1.5,80,32,2,0.0625,0.087,VELO_BAND_1.5,0.0,0.19,0.1719,0.1472,0.1874,0.2246,0.19,0.3488,0.1787,0.2348,0.1836,0.1934,Cutter,0.3703,89.4482,0.2093,0.3206,Splitter,0.2201,84.8332,0.2941,0.2179,Sweeper,0.2044,80.6619,0.3206,0.3231,Sinker,0.202,92.2292,0.0185,0.1673,Slider,0.0031,84.35,0.0,0.0,95.9,64.1,31.8,4.1,0.0,0.0,35.9,4.1,0.0,35.9,64.1,4.1,95.9,0.0,100.0,0.0,100.0,15.0,17.2,25.3,20.5,82.8,94.9,18.5,14.3,15.4,10.7,40.0,50.0,33.3,20.0,10.0,6.7,12.9,16.2,23.9,19.9,83.8,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,17.6,21.6,26.7,15.7,14.5,27.3,18.5,19.3,100.0,37.0,17.9,19.0,17.2,14.7,18.7,22.5,19.0,34.9,17.9,23.5,18.4,19.3,23.5,42.9,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-09-09,824064,2026-09-09T23:40:00Z,Scheduled,KC,AZ,668942,Josh Rojas,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,5.0,5.0,5.0,3.0,0.1543,668678,Zac Gallen,R,1.15,0.78,0.3973,1.5,LESS,0.9585,-2311,67,86,0.1833,0.3973,0.0,0.6442,0.3143,0.0414,0.0001,0.0,0.3558,0.0415,0.0001,0.3558,0.6442,0.0415,0.9585,0.0001,0.9999,0.0,1.0,103,16,0.1553,372,187,33,0.1765,0.2446,0.3138,0.8235,0.9062,0.1618,5,1,14,0.2,0.0714,0.2,0.0,10,7,35,0.7,0.2,0.6,0.1,15,7,51,0.4667,0.1373,0.4,0.0667,82,12,0.1463,0.1656,0.2386,0.3165,0.8344,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,271,36,0.1328,0.1794,0.2636,0.1351,88.7789,0.1523,0.2723,0.1444,0.2035,0.999,4-Seam,0.3563,0.1017,93.1907,1.5,75,41,4,0.0976,0.1046,VELO_BAND_1.5,0.0,0.2011,0.18,0.1715,0.1577,0.2341,0.2011,0.2995,0.2031,0.1833,0.227,0.1973,4-Seam,0.3563,93.2682,0.0833,0.3035,Changeup,0.2142,86.599,0.2574,0.274,Slider,0.1905,88.6589,0.2292,0.2216,Knuckle Curve,0.1771,81.3831,0.2135,0.2209,Sinker,0.0515,92.654,0.0833,0.24,95.9,64.4,31.4,4.1,0.0,0.0,35.6,4.1,0.0,35.6,64.4,4.1,95.9,0.0,100.0,0.0,100.0,15.5,17.6,24.5,31.4,82.4,90.6,16.2,7.1,20.0,13.7,20.0,60.0,40.0,0.0,10.0,6.7,14.6,16.6,23.9,31.6,83.4,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,13.3,17.9,26.4,13.5,15.2,27.2,14.4,20.3,99.9,35.6,10.2,20.1,18.0,17.2,15.8,23.4,20.1,30.0,20.3,18.3,22.7,19.7,18.3,14.3,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,PO,0.001,89.4,0.115,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-09-09,824549,2026-09-09T23:40:00Z,Scheduled,PIT,CWS,682927,Ronny Simon,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,663436,Davis Martin,R,1.15,0.78,0.3973,1.5,LESS,0.9583,-2299,66,85,0.2173,0.3973,0.0,0.6444,0.3139,0.0416,0.0001,0.0,0.3556,0.0417,0.0001,0.3556,0.6444,0.0417,0.9583,0.0001,0.9999,0.0,1.0,34,4,0.1176,129,73,11,0.1507,0.2093,0.4028,0.8493,0.8864,0.0714,5,4,19,0.8,0.2105,0.6,0.2,9,4,34,0.4444,0.1176,0.3333,0.1111,9,4,34,0.4444,0.1176,0.3333,0.1111,23,2,0.087,0.2326,0.2469,0.375,0.7674,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,361,62,0.1717,0.2036,0.246,0.1723,89.8771,0.1223,0.2674,0.0995,0.2033,1.0,4-Seam,0.2677,0.0952,92.6214,1.5,26,15,1,0.0667,0.0981,VELO_BAND_1.5,0.0,0.2044,0.1831,0.1754,0.1833,0.2156,0.2044,0.1705,0.2007,0.2173,0.2519,0.1966,4-Seam,0.2677,93.8111,0.1977,0.2351,Sinker,0.199,92.76,0.0657,0.2,Curve,0.1556,81.5735,0.3974,0.3163,Slider,0.1194,87.0558,0.2527,0.2121,Changeup,0.1179,90.0816,0.1125,0.1902,95.8,64.4,31.4,4.2,0.0,0.0,35.6,4.2,0.0,35.6,64.4,4.2,95.8,0.0,100.0,0.0,100.0,11.8,15.1,20.9,40.3,84.9,88.6,7.1,21.1,11.8,11.8,60.0,33.3,33.3,20.0,11.1,11.1,8.7,23.3,24.7,37.5,76.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,17.2,20.4,24.6,17.2,12.2,26.7,10.0,20.3,100.0,26.8,9.5,20.4,18.3,17.5,18.3,21.6,20.4,17.0,20.1,21.7,25.2,19.7,21.7,0.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,Cutter,0.1179,89.6871,0.2588,0.3252,,,,,,,,,,,,,,,,,,,,,,,,,
