rank,date,game_pk,game_time_utc,game_status,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_confirmed_games,last7_starts,last7_start_rate,last7_median_order,last7_avg_order,last7_most_recent_order,last7_days_since_start,last7_lineup_score,starter_id,starter,starter_hand,expected_pa,starter_pa_share,proj_k,line,play,true_probability,fair_odds,confidence,ai_score,bullpen_k_pa,sim_mean_k,sim_median_k,sim_p0,sim_p1,sim_p2,sim_p3,sim_p4plus,sim_1plus,sim_2plus,sim_3plus,more_0_5,less_0_5,more_1_5,less_1_5,more_2_5,less_2_5,more_3_5,less_3_5,pa,k,k_rate,bat_pitches,bat_swings,bat_whiffs,bat_whiff_rate,bat_csw_rate,bat_chase_rate,bat_contact_rate,bat_zone_contact_rate,bat_two_strike_whiff,l5_games,l5_k,l5_pa,l5_k_per_game,l5_k_rate,l5_1plus,l5_2plus,l10_games,l10_k,l10_pa,l10_k_per_game,l10_k_rate,l10_1plus,l10_2plus,l15_games,l15_k,l15_pa,l15_k_per_game,l15_k_rate,l15_1plus,l15_2plus,split_pa,split_k,split_k_rate,split_whiff,split_csw,split_chase,split_contact,bvp_pa,bvp_k,bvp_k_rate,bvp_k_rate_reg,bvp_pitches,bvp_whiff,bvp_whiff_reg,bvp_csw,bvp_csw_reg,bvp_chase,bvp_contact,bvp_zone_contact,bvp_two_strike_whiff,bvp_last_seen_days,bvp_k_1plus_rate,bvp_k_2plus_rate,sp_pa,sp_k,sp_k_rate,sp_whiff,sp_csw,sp_two_strike_whiff,sp_avg_velo,arsenal_whiff_allowed,arsenal_csw_allowed,arsenal_two_strike_whiff,arsenal_k_pressure,arsenal_coverage,top_pitch,top_pitch_usage,top_pitch_batter_whiff,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw,velo_band_whiff,velo_band_source,bvp_reliability,model_batter_baseline_k_pa,model_recent_k_pa,model_platoon_k_pa,model_starter_k_pa,model_arsenal_k_pa,model_bvp_k_pa,model_two_strike_k_pa,model_velo_k_pa,model_bullpen_k_pa,model_contact_k_pa,model_k_pa,sp_pitch1,sp_pitch1_usage,sp_pitch1_velo,sp_pitch1_whiff,sp_pitch1_csw,sp_pitch2,sp_pitch2_usage,sp_pitch2_velo,sp_pitch2_whiff,sp_pitch2_csw,sp_pitch3,sp_pitch3_usage,sp_pitch3_velo,sp_pitch3_whiff,sp_pitch3_csw,sp_pitch4,sp_pitch4_usage,sp_pitch4_velo,sp_pitch4_whiff,sp_pitch4_csw,sp_pitch5,sp_pitch5_usage,sp_pitch5_velo,sp_pitch5_whiff,sp_pitch5_csw,true_probability_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct,sim_1plus_pct,sim_2plus_pct,sim_3plus_pct,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,k_rate_pct,bat_whiff_rate_pct,bat_csw_rate_pct,bat_chase_rate_pct,bat_contact_rate_pct,bat_zone_contact_rate_pct,bat_two_strike_whiff_pct,l5_k_rate_pct,l10_k_rate_pct,l15_k_rate_pct,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,split_k_rate_pct,split_whiff_pct,split_csw_pct,split_chase_pct,split_contact_pct,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_whiff_pct,bvp_whiff_reg_pct,bvp_csw_pct,bvp_csw_reg_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,sp_two_strike_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,arsenal_two_strike_whiff_pct,arsenal_k_pressure_pct,arsenal_coverage_pct,top_pitch_usage_pct,top_pitch_batter_whiff_pct,model_batter_baseline_k_pa_pct,model_recent_k_pa_pct,model_platoon_k_pa_pct,model_starter_k_pa_pct,model_arsenal_k_pa_pct,model_bvp_k_pa_pct,model_two_strike_k_pa_pct,model_velo_k_pa_pct,model_bullpen_k_pa_pct,model_contact_k_pa_pct,model_k_pa_pct,bullpen_k_pa_pct,last7_start_rate_pct,velo_band_whiff_raw_pct,sp_pitch6,sp_pitch6_usage,sp_pitch6_velo,sp_pitch6_whiff,sp_pitch6_csw,bvp_ff_pitches,bvp_ff_whiff,bvp_ff_csw,bvp_ff_k_pa,bvp_sl_pitches,bvp_sl_whiff,bvp_sl_csw,bvp_sl_k_pa,bvp_k_1plus_rate_pct,bvp_k_2plus_rate_pct,bvp_fc_pitches,bvp_fc_whiff,bvp_fc_csw,bvp_fc_k_pa,bvp_ch_pitches,bvp_ch_whiff,bvp_ch_csw,bvp_ch_k_pa,bvp_st_pitches,bvp_st_whiff,bvp_st_csw,bvp_st_k_pa,bvp_fs_pitches,bvp_fs_whiff,bvp_fs_csw,bvp_fs_k_pa,bvp_si_pitches,bvp_si_whiff,bvp_si_csw,bvp_si_k_pa,bvp_cu_pitches,bvp_cu_whiff,bvp_cu_csw,bvp_cu_k_pa,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds
1,2026-09-10,824872,2026-09-10T16:15:00Z,Scheduled,TB,ATL,663611,Nick Madrigal,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,527048,Martín Pérez,L,1.15,0.6111,0.3372,1.5,LESS,0.9717,-3436,66,85,0.2265,0.3372,0.0,0.6912,0.2805,0.0282,0.0001,0.0,0.3088,0.0283,0.0001,0.3088,0.6912,0.0283,0.9717,0.0001,0.9999,0.0,1.0,52,3,0.0577,208,104,8,0.0769,0.2212,0.3163,0.9231,0.9589,0.0426,5,1,21,0.2,0.0476,0.2,0.0,10,2,41,0.2,0.0488,0.2,0.0,15,3,52,0.2,0.0577,0.2,0.0,15,1,0.0667,0.0,0.1846,0.2667,1.0,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,387,70,0.1809,0.2092,0.2737,0.1823,84.9808,0.0808,0.2544,0.0795,0.1556,1.0,Sinker,0.3724,0.0,87.5633,,114,55,2,0.0364,0.0629,HITTER_FASTBALL_FALLBACK,0.0,0.1649,0.1112,0.1476,0.1899,0.1654,0.1649,0.1509,0.1601,0.2265,0.2169,0.159,Sinker,0.3724,89.0757,0.0867,0.2983,Changeup,0.3038,81.4158,0.3504,0.237,Cutter,0.2209,84.6571,0.1667,0.2702,Curve,0.0638,76.4602,0.1765,0.3763,4-Seam,0.037,89.6852,0.0952,0.1852,97.2,69.1,28.1,2.8,0.0,0.0,30.9,2.8,0.0,30.9,69.1,2.8,97.2,0.0,100.0,0.0,100.0,5.8,7.7,22.1,31.6,92.3,95.9,4.3,4.8,4.9,5.8,20.0,20.0,20.0,0.0,0.0,0.0,6.7,0.0,18.5,26.7,100.0,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,18.1,20.9,27.4,18.2,8.1,25.4,8.0,15.6,100.0,37.2,0.0,16.5,11.1,14.8,19.0,16.5,16.5,15.1,16.0,22.7,21.7,15.9,22.7,0.0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-09-10,824872,2026-09-10T16:15:00Z,Scheduled,TB,ATL,689414,Liam Hicks,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,4.0,4.0033,4.0,1.0,0.44,527048,Martín Pérez,L,1.15,0.6111,0.3268,1.5,LESS,0.9714,-3397,77,89,0.2265,0.3268,0.0,0.7018,0.2696,0.0286,0.0,0.0,0.2982,0.0286,0.0,0.2982,0.7018,0.0286,0.9714,0.0,1.0,0.0,1.0,365,36,0.0986,1339,537,61,0.1136,0.2539,0.2769,0.8864,0.9764,0.1282,5,2,18,0.4,0.1111,0.2,0.2,10,4,34,0.4,0.1176,0.3,0.1,15,5,51,0.3333,0.098,0.2667,0.0667,80,14,0.175,0.1416,0.305,0.3309,0.8584,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,387,70,0.1809,0.2092,0.2737,0.1823,84.9808,0.092,0.2551,0.1002,0.1167,1.0,Sinker,0.3724,0.0337,87.5633,1.5,40,17,3,0.1765,0.1382,VELO_BAND_1.5,0.0,0.1398,0.1296,0.1586,0.1899,0.1526,0.1398,0.2234,0.192,0.2265,0.2051,0.1561,Sinker,0.3724,89.0757,0.0867,0.2983,Changeup,0.3038,81.4158,0.3504,0.237,Cutter,0.2209,84.6571,0.1667,0.2702,Curve,0.0638,76.4602,0.1765,0.3763,4-Seam,0.037,89.6852,0.0952,0.1852,97.1,70.2,27.0,2.9,0.0,0.0,29.8,2.9,0.0,29.8,70.2,2.9,97.1,0.0,100.0,0.0,100.0,9.9,11.4,25.4,27.7,88.6,97.6,12.8,11.1,11.8,9.8,20.0,30.0,26.7,20.0,10.0,6.7,17.5,14.2,30.5,33.1,85.8,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,18.1,20.9,27.4,18.2,9.2,25.5,10.0,11.7,100.0,37.2,3.4,14.0,13.0,15.9,19.0,15.3,14.0,22.3,19.2,22.7,20.5,15.6,22.7,42.9,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-09-10,824872,2026-09-10T16:15:00Z,Scheduled,TB,ATL,663743,Nick Fortes,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,9.0,9.0,9.0,4.0,0.1543,527048,Martín Pérez,L,1.15,0.6111,0.3671,1.5,LESS,0.9639,-2669,72,87,0.2265,0.3671,0.0,0.669,0.2948,0.0361,0.0,0.0,0.331,0.0361,0.0,0.331,0.669,0.0361,0.9639,0.0,1.0,0.0,1.0,187,22,0.1176,631,329,53,0.1611,0.2456,0.3837,0.8389,0.8856,0.1565,5,4,18,0.8,0.2222,0.8,0.0,10,6,33,0.6,0.1818,0.6,0.0,15,7,47,0.4667,0.1489,0.4667,0.0,93,10,0.1075,0.1412,0.2171,0.3455,0.8588,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,387,70,0.1809,0.2092,0.2737,0.1823,84.9808,0.1108,0.2496,0.1196,0.1466,1.0,Sinker,0.3724,0.0533,87.5633,1.5,32,19,4,0.2105,0.1536,VELO_BAND_1.5,0.0,0.1707,0.1815,0.1346,0.1899,0.1778,0.1707,0.2701,0.2158,0.2265,0.2527,0.1792,Sinker,0.3724,89.0757,0.0867,0.2983,Changeup,0.3038,81.4158,0.3504,0.237,Cutter,0.2209,84.6571,0.1667,0.2702,Curve,0.0638,76.4602,0.1765,0.3763,4-Seam,0.037,89.6852,0.0952,0.1852,96.4,66.9,29.5,3.6,0.0,0.0,33.1,3.6,0.0,33.1,66.9,3.6,96.4,0.0,100.0,0.0,100.0,11.8,16.1,24.6,38.4,83.9,88.6,15.7,22.2,18.2,14.9,80.0,60.0,46.7,0.0,0.0,0.0,10.8,14.1,21.7,34.5,85.9,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,18.1,20.9,27.4,18.2,11.1,25.0,12.0,14.7,100.0,37.2,5.3,17.1,18.1,13.5,19.0,17.8,17.1,27.0,21.6,22.7,25.3,17.9,22.7,14.3,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-09-10,823499,2026-09-10T23:05:00Z,Scheduled,COL,NYY,664954,Brett Sullivan,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,7.0,7.3433,7.0,1.0,0.4057,608331,Max Fried,L,1.15,0.6528,0.3818,1.5,LESS,0.9626,-2574,64,85,0.2428,0.3818,0.0,0.6556,0.307,0.0374,0.0,0.0,0.3444,0.0374,0.0,0.3444,0.6556,0.0374,0.9626,0.0,1.0,0.0,1.0,142,19,0.1338,494,251,29,0.1155,0.2065,0.2876,0.8845,0.9293,0.122,5,1,14,0.2,0.0714,0.2,0.0,10,4,31,0.4,0.129,0.3,0.1,15,7,51,0.4667,0.1373,0.4,0.0667,32,2,0.0625,0.1034,0.2149,0.2115,0.8966,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,141,39,0.2766,0.2169,0.2661,0.2095,88.5807,0.1052,0.2415,0.114,0.1643,1.0,Cutter,0.2139,0.0833,93.5035,1.5,87,42,5,0.119,0.1174,VELO_BAND_1.5,0.0,0.1773,0.1497,0.1413,0.2552,0.182,0.1773,0.2308,0.2083,0.2428,0.2095,0.1836,Cutter,0.2139,91.8675,0.2982,0.374,Sinker,0.2139,93.5187,0.2,0.2114,4-Seam,0.2104,95.1512,0.1159,0.157,Sweeper,0.1374,80.0025,0.25,0.3544,Curve,0.1096,73.3873,0.3077,0.3333,96.3,65.6,30.7,3.7,0.0,0.0,34.4,3.7,0.0,34.4,65.6,3.7,96.3,0.0,100.0,0.0,100.0,13.4,11.6,20.6,28.8,88.4,92.9,12.2,7.1,12.9,13.7,20.0,30.0,40.0,0.0,10.0,6.7,6.2,10.3,21.5,21.2,89.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,27.7,21.7,26.6,21.0,10.5,24.2,11.4,16.4,100.0,21.4,8.3,17.7,15.0,14.1,25.5,18.2,17.7,23.1,20.8,24.3,21.0,18.4,24.3,42.9,11.9,Changeup,0.1009,85.8724,0.2414,0.2241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-09-10,823413,2026-09-10T17:05:00Z,Scheduled,PHI,HOU,665561,Rafael Marchán,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,664299,Cristian Javier,R,1.15,0.5972,0.3808,1.5,LESS,0.962,-2532,61,84,0.2291,0.3808,0.0,0.6572,0.3048,0.038,0.0,0.0,0.3428,0.038,0.0,0.3428,0.6572,0.038,0.962,0.0,1.0,0.0,1.0,35,2,0.0571,146,76,12,0.1579,0.2397,0.3418,0.8421,0.898,0.0588,5,0,14,0.0,0.0,0.0,0.0,10,1,28,0.1,0.0357,0.1,0.0,13,2,35,0.1538,0.0571,0.1538,0.0,23,0,0.0,0.1636,0.2136,0.3273,0.8364,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,175,46,0.2629,0.2995,0.2897,0.2368,88.5242,0.1213,0.2649,0.083,0.1661,0.989,4-Seam,0.4772,0.1176,92.6901,1.5,28,14,2,0.1429,0.1243,VELO_BAND_1.5,0.0,0.1899,0.1281,0.1429,0.2491,0.196,0.1899,0.1543,0.2069,0.2291,0.2358,0.1828,4-Seam,0.4772,93.3139,0.2812,0.263,Sweeper,0.2648,81.6219,0.4,0.3594,Changeup,0.1559,86.0283,0.3051,0.2743,Cutter,0.0828,89.0933,0.1892,0.2833,Knuckle Curve,0.0097,78.5571,0.0,0.1429,96.2,65.7,30.5,3.8,0.0,0.0,34.3,3.8,0.0,34.3,65.7,3.8,96.2,0.0,100.0,0.0,100.0,5.7,15.8,24.0,34.2,84.2,89.8,5.9,0.0,3.6,5.7,0.0,10.0,15.4,0.0,0.0,0.0,0.0,16.4,21.4,32.7,83.6,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,26.3,29.9,29.0,23.7,12.1,26.5,8.3,16.6,98.9,47.7,11.8,19.0,12.8,14.3,24.9,19.6,19.0,15.4,20.7,22.9,23.6,18.3,22.9,0.0,14.3,Slider,0.0069,84.72,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-09-10,823088,2026-09-10T20:10:00Z,Scheduled,SEA,TEX,645302,Victor Robles,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,7.01,7.01,7.01,1.0,0.1771,594798,Jacob deGrom,R,1.15,0.7778,0.4049,1.5,LESS,0.9574,-2247,71,87,0.2225,0.4049,0.0,0.6378,0.3196,0.0425,0.0001,0.0,0.3622,0.0426,0.0001,0.3622,0.6378,0.0426,0.9574,0.0001,0.9999,0.0,1.0,134,19,0.1418,461,252,50,0.1984,0.2299,0.3629,0.8016,0.9198,0.15,5,0,11,0.0,0.0,0.0,0.0,10,3,30,0.3,0.1,0.3,0.0,15,5,48,0.3333,0.1042,0.3333,0.0,96,12,0.125,0.1833,0.2156,0.3684,0.8167,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,408,117,0.2868,0.3122,0.2923,0.2841,93.0197,0.1709,0.2514,0.1286,0.178,1.0,4-Seam,0.3982,0.1356,97.3419,1.5,47,36,4,0.1111,0.1128,VELO_BAND_1.5,0.0,0.1905,0.1411,0.1526,0.2746,0.229,0.1905,0.2725,0.2038,0.2225,0.2492,0.1992,4-Seam,0.3982,97.4146,0.2241,0.284,Slider,0.375,91.333,0.3673,0.3032,Changeup,0.1196,89.5766,0.4894,0.2985,Curve,0.0673,80.7027,0.3958,0.3628,Sinker,0.0351,96.5169,0.1053,0.1525,95.7,63.8,32.0,4.3,0.0,0.0,36.2,4.3,0.0,36.2,63.8,4.3,95.7,0.0,100.0,0.0,100.0,14.2,19.8,23.0,36.3,80.2,92.0,15.0,0.0,10.0,10.4,0.0,30.0,33.3,0.0,0.0,0.0,12.5,18.3,21.6,36.8,81.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,28.7,31.2,29.2,28.4,17.1,25.1,12.9,17.8,100.0,39.8,13.6,19.0,14.1,15.3,27.5,22.9,19.0,27.3,20.4,22.3,24.9,19.9,22.3,14.3,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-09-10,823088,2026-09-10T20:10:00Z,Scheduled,TEX,SEA,683227,Cody Freeman,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,4,0.5714,8.0,8.0025,8.01,1.0,0.5371,669302,Logan Gilbert,R,1.15,0.78,0.4028,1.5,LESS,0.9552,-2130,67,86,0.2286,0.4028,0.0,0.642,0.3131,0.0448,0.0,0.0,0.358,0.0448,0.0,0.358,0.642,0.0448,0.9552,0.0,1.0,0.0,1.0,90,13,0.1444,373,157,21,0.1338,0.2815,0.2757,0.8662,0.9057,0.1486,5,1,13,0.2,0.0769,0.2,0.0,10,3,33,0.3,0.0909,0.3,0.0,15,4,53,0.2667,0.0755,0.2667,0.0,46,7,0.1522,0.1139,0.288,0.2584,0.8861,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,457,124,0.2713,0.2752,0.277,0.2632,90.4036,0.1186,0.2759,0.1115,0.1824,0.851,4-Seam,0.4421,0.082,96.3172,1.5,57,27,4,0.1481,0.1313,VELO_BAND_1.5,0.0,0.193,0.1492,0.1768,0.263,0.2044,0.193,0.2545,0.2241,0.2286,0.2069,0.1988,4-Seam,0.4421,96.6497,0.2009,0.2905,Slider,0.2574,86.9962,0.3203,0.3057,Splitter,0.1486,82.4585,0.403,0.2169,Changeup,0.0683,86.092,0.2895,0.248,Sweeper,0.0497,82.0231,0.413,0.2527,95.5,64.2,31.3,4.5,0.0,0.0,35.8,4.5,0.0,35.8,64.2,4.5,95.5,0.0,100.0,0.0,100.0,14.4,13.4,28.2,27.6,86.6,90.6,14.9,7.7,9.1,7.5,20.0,30.0,26.7,0.0,0.0,0.0,15.2,11.4,28.8,25.8,88.6,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,27.1,27.5,27.7,26.3,11.9,27.6,11.2,18.2,85.1,44.2,8.2,19.3,14.9,17.7,26.3,20.4,19.3,25.4,22.4,22.9,20.7,19.9,22.9,57.1,14.8,Cutter,0.0257,91.1511,0.0952,0.2766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-09-10,824872,2026-09-10T16:15:00Z,Scheduled,ATL,TB,642086,Dominic Smith,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,1,0.1429,7.0,7.0,7.0,5.0,0.1314,607259,Nick Martinez,R,1.15,0.78,0.409,1.5,LESS,0.9544,-2095,75,88,0.2197,0.409,0.0,0.6367,0.3177,0.0454,0.0002,0.0,0.3633,0.0456,0.0002,0.3633,0.6367,0.0456,0.9544,0.0002,0.9998,0.0,1.0,202,34,0.1683,817,375,73,0.1947,0.2399,0.2847,0.8053,0.884,0.1579,5,2,11,0.4,0.1818,0.2,0.2,10,8,22,0.8,0.3636,0.4,0.2,15,10,34,0.6667,0.2941,0.4,0.1333,173,31,0.1792,0.2049,0.2394,0.2921,0.7951,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,450,64,0.1422,0.1617,0.2525,0.1403,87.2505,0.1539,0.2573,0.1502,0.1715,0.9987,Sinker,0.3123,0.0597,91.3628,1.5,91,33,2,0.0606,0.0856,VELO_BAND_1.5,0.0,0.1999,0.2297,0.1852,0.1573,0.2167,0.1999,0.3014,0.1803,0.2197,0.2179,0.203,Sinker,0.3123,92.3497,0.0932,0.2933,Changeup,0.2627,78.0242,0.3033,0.2809,Cutter,0.2214,89.1647,0.1154,0.2069,4-Seam,0.1336,92.6981,0.0909,0.1619,Slider,0.035,84.7091,0.4211,0.2909,95.4,63.7,31.8,4.5,0.0,0.0,36.3,4.6,0.0,36.3,63.7,4.6,95.4,0.0,100.0,0.0,100.0,16.8,19.5,24.0,28.5,80.5,88.4,15.8,18.2,36.4,29.4,20.0,40.0,40.0,20.0,20.0,13.3,17.9,20.5,23.9,29.2,79.5,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,14.2,16.2,25.3,14.0,15.4,25.7,15.0,17.1,99.9,31.2,6.0,20.0,23.0,18.5,15.7,21.7,20.0,30.1,18.0,22.0,21.8,20.3,22.0,14.3,6.1,Curve,0.0337,80.1679,0.1111,0.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-09-10,824550,2026-09-10T23:40:00Z,Scheduled,PIT,CWS,682927,Ronny Simon,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0,0.0,,,,,0.0,696146,Hagen Smith,L,1.15,0.42,0.4183,1.5,LESS,0.9542,-2083,59,84,0.2167,0.4183,0.0,0.6276,0.3266,0.0457,0.0001,0.0,0.3724,0.0458,0.0001,0.3724,0.6276,0.0458,0.9542,0.0001,0.9999,0.0,1.0,34,4,0.1176,129,73,11,0.1507,0.2093,0.4028,0.8493,0.8864,0.0714,5,4,19,0.8,0.2105,0.6,0.2,9,4,34,0.4444,0.1176,0.3333,0.1111,9,4,34,0.4444,0.1176,0.3333,0.1111,11,2,0.1818,0.0333,0.1458,0.4583,0.9667,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,62,23,0.371,0.3448,0.3519,0.2917,89.6033,0.1205,0.2755,0.0855,0.1908,1.0,4-Seam,0.5074,0.0952,92.6616,1.5,26,15,1,0.0667,0.0981,VELO_BAND_1.5,0.0,0.2044,0.1831,0.2013,0.2809,0.2096,0.2044,0.1568,0.2007,0.2167,0.2519,0.2096,4-Seam,0.5074,93.881,0.2941,0.3577,Slider,0.3074,83.312,0.4255,0.3614,Cutter,0.1481,88.485,0.2857,0.375,Changeup,0.037,87.69,0.25,0.1,,,,,,95.4,62.8,32.7,4.6,0.0,0.0,37.2,4.6,0.0,37.2,62.8,4.6,95.4,0.0,100.0,0.0,100.0,11.8,15.1,20.9,40.3,84.9,88.6,7.1,21.1,11.8,11.8,60.0,33.3,33.3,20.0,11.1,11.1,18.2,3.3,14.6,45.8,96.7,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,37.1,34.5,35.2,29.2,12.1,27.5,8.6,19.1,100.0,50.7,9.5,20.4,18.3,20.1,28.1,21.0,20.4,15.7,20.1,21.7,25.2,21.0,21.7,0.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-09-10,823499,2026-09-10T23:05:00Z,Scheduled,COL,NYY,687859,Troy Johnston,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,7,3,0.4286,7.0,5.3333,2.0,4.0,0.4286,608331,Max Fried,L,1.15,0.6528,0.424,1.5,LESS,0.9533,-2042,69,86,0.2428,0.424,0.0,0.6227,0.3306,0.0467,0.0,0.0,0.3773,0.0467,0.0,0.3773,0.6227,0.0467,0.9533,0.0,1.0,0.0,1.0,281,44,0.1566,1042,559,118,0.2111,0.2226,0.3471,0.7889,0.8934,0.1762,5,7,19,1.4,0.3684,0.6,0.4,10,9,32,0.9,0.2812,0.5,0.2,15,11,49,0.7333,0.2245,0.4667,0.1333,75,13,0.1733,0.2357,0.2279,0.3958,0.7643,0,0,0.225,0.225,0,0.115,0.115,0.285,0.285,0.285,0.755,0.825,0.115,,,,141,39,0.2766,0.2169,0.2661,0.2095,88.5807,0.1718,0.2421,0.1263,0.1654,1.0,Cutter,0.2139,0.1053,93.5035,1.5,220,103,18,0.1748,0.162,VELO_BAND_1.5,0.0,0.1895,0.2395,0.1812,0.2552,0.2218,0.1895,0.2958,0.2793,0.2428,0.2447,0.2175,Cutter,0.2139,91.8675,0.2982,0.374,Sinker,0.2139,93.5187,0.2,0.2114,4-Seam,0.2104,95.1512,0.1159,0.157,Sweeper,0.1374,80.0025,0.25,0.3544,Curve,0.1096,73.3873,0.3077,0.3333,95.3,62.3,33.1,4.7,0.0,0.0,37.7,4.7,0.0,37.7,62.3,4.7,95.3,0.0,100.0,0.0,100.0,15.7,21.1,22.3,34.7,78.9,89.3,17.6,36.8,28.1,22.4,60.0,50.0,46.7,40.0,20.0,13.3,17.3,23.6,22.8,39.6,76.4,22.5,22.5,11.5,11.5,28.5,28.5,28.5,75.5,82.5,11.5,27.7,21.7,26.6,21.0,17.2,24.2,12.6,16.5,100.0,21.4,10.5,19.0,23.9,18.1,25.5,22.2,19.0,29.6,27.9,24.3,24.5,21.8,24.3,42.9,17.5,Changeup,0.1009,85.8724,0.2414,0.2241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
